date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,21.81,21.88,21.31,21.69,13.6527,454200.0,0.0,1.0
1998-01-05,21.63,21.94,21.56,21.75,13.6904,876200.0,0.0,1.0
1998-01-06,21.56,21.63,21.13,21.25,13.3757,829900.0,0.0,1.0
1998-01-07,21.0,22.63,20.75,22.56,14.2003,1952800.0,0.0,1.0
1998-01-08,22.63,22.94,22.13,22.44,14.1247,1751700.0,0.0,1.0
1998-01-09,22.25,22.31,21.88,21.88,13.7722,1315600.0,0.0,1.0
1998-01-12,21.56,22.31,21.56,22.25,14.0051,1239500.0,0.0,1.0
1998-01-13,22.25,22.44,21.94,22.19,13.9674,1425600.0,0.0,1.0
1998-01-14,22.31,22.31,21.5,22.06,13.8855,1253500.0,0.0,1.0
1998-01-15,22.0,22.25,21.94,22.0,13.8478,625400.0,0.0,1.0
1998-01-16,22.0,22.19,21.5,21.94,13.81,2835300.0,0.0,1.0
1998-01-20,21.81,22.06,21.81,22.0,13.8478,1373600.0,0.0,1.0
1998-01-21,21.94,22.0,21.63,21.94,13.81,1855700.0,0.0,1.0
1998-01-22,21.81,22.19,21.75,22.06,13.8855,1174900.0,0.0,1.0
1998-01-23,22.19,22.38,21.69,22.06,13.8855,1290200.0,0.0,1.0
1998-01-26,21.94,22.19,21.81,22.06,13.8855,1223900.0,0.0,1.0
1998-01-27,22.0,22.13,21.56,21.56,13.5708,1216300.0,0.0,1.0
1998-01-28,21.69,21.75,21.25,21.44,13.4953,1663200.0,0.0,1.0
1998-01-29,21.31,22.0,21.31,21.69,13.6527,2342600.0,0.0,1.0
1998-01-30,21.63,21.75,21.06,21.06,13.2561,1216500.0,0.0,1.0
1998-02-02,21.19,21.69,21.19,21.56,13.5708,1235100.0,0.0,1.0
1998-02-03,21.63,22.0,21.56,21.81,13.7282,1550400.0,0.0,1.0
1998-02-04,21.63,21.94,21.5,21.94,13.8359,932400.0,0.0411,1.0
1998-02-05,21.88,21.94,21.56,21.88,13.7981,1282000.0,0.0,1.0
1998-02-06,21.94,22.13,21.81,22.06,13.9116,1250800.0,0.0,1.0
1998-02-09,22.0,22.63,21.94,22.5,14.1891,1273000.0,0.0,1.0
1998-02-10,22.63,22.88,22.38,22.44,14.1512,1401700.0,0.0,1.0
1998-02-11,22.38,22.63,22.19,22.56,14.2269,1010500.0,0.0,1.0
1998-02-12,22.38,22.88,22.31,22.69,14.3089,1111500.0,0.0,1.0
1998-02-13,22.56,22.69,22.31,22.44,14.1512,810700.0,0.0,1.0
1998-02-17,22.81,22.81,22.25,22.31,14.0692,1241000.0,0.0,1.0
1998-02-18,22.31,22.56,22.25,22.56,14.2269,1251400.0,0.0,1.0
1998-02-19,22.5,22.56,22.25,22.44,14.1512,989300.0,0.0,1.0
1998-02-20,22.44,22.56,22.25,22.5,14.1891,885100.0,0.0,1.0
1998-02-23,22.56,22.56,22.0,22.13,13.9557,835200.0,0.0,1.0
1998-02-24,22.06,22.38,22.0,22.25,14.0314,974800.0,0.0,1.0
1998-02-25,22.19,22.44,22.13,22.38,14.1134,486500.0,0.0,1.0
1998-02-26,22.44,22.44,22.19,22.44,14.1512,556200.0,0.0,1.0
1998-02-27,22.25,22.5,22.25,22.44,14.1512,458600.0,0.0,1.0
1998-03-02,22.44,22.81,22.31,22.63,14.271,999900.0,0.0,1.0
1998-03-03,22.63,22.81,22.5,22.81,14.3845,755100.0,0.0,1.0
1998-03-04,22.75,23.13,22.63,23.13,14.5863,1281600.0,0.0,1.0
1998-03-05,22.88,23.06,22.56,22.69,14.3089,1042000.0,0.0,1.0
1998-03-06,22.75,23.19,22.75,23.13,14.5863,599300.0,0.0,1.0
1998-03-09,23.06,23.38,23.06,23.06,14.5422,705400.0,0.0,1.0
1998-03-10,23.0,23.31,22.69,23.31,14.6999,987100.0,0.0,1.0
1998-03-11,23.19,23.44,22.94,23.38,14.744,1013600.0,0.0,1.0
1998-03-12,23.31,23.56,23.19,23.56,14.8575,1059900.0,0.0,1.0
1998-03-13,23.5,23.63,23.44,23.5,14.8197,990400.0,0.0,1.0
1998-03-16,23.0,23.0,22.38,22.63,14.271,1515700.0,0.0,1.0
1998-03-17,22.31,22.44,22.0,22.0,13.8737,1624500.0,0.0,1.0
1998-03-18,22.0,22.19,21.94,22.13,13.9557,1557400.0,0.0,1.0
1998-03-19,22.19,22.19,21.81,22.13,13.9557,951700.0,0.0,1.0
1998-03-20,22.38,22.38,21.94,21.94,13.8359,1381100.0,0.0,1.0
1998-03-23,21.88,22.06,21.63,22.06,13.9116,1647900.0,0.0,1.0
1998-03-24,22.25,22.31,22.06,22.19,13.9936,1272300.0,0.0,1.0
1998-03-25,22.19,22.31,21.5,21.88,13.7981,1216300.0,0.0,1.0
1998-03-26,21.94,22.0,21.63,21.63,13.6404,1139100.0,0.0,1.0
1998-03-27,21.88,21.88,21.44,21.63,13.6404,1044800.0,0.0,1.0
1998-03-30,22.0,22.0,21.38,21.63,13.6404,1368800.0,0.0,1.0
1998-03-31,21.88,21.94,21.5,21.94,13.8359,2092700.0,0.0,1.0
1998-04-01,22.0,22.31,21.75,22.13,13.9557,1762500.0,0.0,1.0
1998-04-02,22.13,22.75,21.94,22.56,14.2269,1775100.0,0.0,1.0
1998-04-03,22.69,22.69,22.31,22.38,14.1134,1991100.0,0.0,1.0
1998-04-06,22.38,22.5,21.81,21.81,13.7539,1276700.0,0.0,1.0
1998-04-07,21.81,21.88,21.5,21.63,13.6404,1058600.0,0.0,1.0
1998-04-08,21.63,21.75,21.38,21.5,13.5584,887600.0,0.0,1.0
1998-04-09,21.5,21.75,21.38,21.56,13.5963,1762000.0,0.0,1.0
1998-04-13,21.88,21.94,21.44,21.5,13.5584,1420400.0,0.0,1.0
1998-04-14,21.63,21.69,21.44,21.69,13.6782,1459900.0,0.0,1.0
1998-04-15,21.81,22.0,21.63,22.0,13.8737,1409500.0,0.0,1.0
1998-04-16,21.94,22.38,21.81,22.06,13.9116,2984900.0,0.0,1.0
1998-04-17,22.06,22.19,21.94,22.13,13.9557,1306700.0,0.0,1.0
1998-04-20,22.0,22.0,21.63,21.75,13.7161,974400.0,0.0,1.0
1998-04-21,21.75,22.06,21.56,22.0,13.8737,1851000.0,0.0,1.0
1998-04-22,21.88,21.88,21.5,21.56,13.5963,1460700.0,0.0,1.0
1998-04-23,21.5,21.94,21.5,21.56,13.5963,1176100.0,0.0,1.0
1998-04-24,21.56,21.75,21.25,21.63,13.6404,1543200.0,0.0,1.0
1998-04-27,21.5,21.56,21.25,21.25,13.4008,1013900.0,0.0,1.0
1998-04-28,21.5,21.63,21.31,21.63,13.6404,1717100.0,0.0,1.0
1998-04-29,21.5,21.63,21.38,21.5,13.5584,2229700.0,0.0,1.0
1998-04-30,21.69,21.88,21.44,21.5,13.5584,1891900.0,0.0,1.0
1998-05-01,21.5,21.56,21.25,21.31,13.4386,1379000.0,0.0,1.0
1998-05-04,21.38,21.44,21.06,21.25,13.4008,1753300.0,0.0,1.0
1998-05-05,21.25,21.25,21.06,21.13,13.3251,1595800.0,0.0,1.0
1998-05-06,21.0,21.13,21.0,21.06,13.3069,2631500.0,0.0411,1.0
1998-05-07,21.0,21.06,20.88,20.94,13.2311,1565100.0,0.0,1.0
1998-05-08,21.13,21.19,20.69,20.94,13.2311,1385700.0,0.0,1.0
1998-05-11,21.0,21.0,20.69,20.75,13.111,676400.0,0.0,1.0
1998-05-12,20.69,20.81,20.5,20.69,13.0731,1073900.0,0.0,1.0
1998-05-13,20.5,20.56,20.19,20.25,12.7951,1757700.0,0.0,1.0
1998-05-14,20.38,20.5,20.13,20.19,12.7572,1106300.0,0.0,1.0
1998-05-15,20.25,20.31,19.94,20.0,12.6371,1795800.0,0.0,1.0
1998-05-18,20.0,20.0,19.63,19.81,12.5171,1274600.0,0.0,1.0
1998-05-19,19.88,20.13,19.75,19.81,12.5171,1301000.0,0.0,1.0
1998-05-20,19.81,20.0,19.81,20.0,12.6371,1243500.0,0.0,1.0
1998-05-21,20.0,20.13,19.5,19.94,12.5992,1997100.0,0.0,1.0
1998-05-22,19.63,19.81,19.44,19.5,12.3212,1974400.0,0.0,1.0
