date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,46.63,46.94,45.31,45.31,16.4527,179300.0,0.0,1.0
1998-01-05,45.19,46.0,44.38,46.0,16.7032,478900.0,0.0,1.0
1998-01-06,45.75,45.75,45.0,45.75,16.6125,330400.0,0.0,1.0
1998-01-07,45.88,46.75,45.88,46.25,16.794,390600.0,0.0,1.0
1998-01-08,46.31,46.31,45.19,45.31,16.4527,427900.0,0.0,1.0
1998-01-09,44.88,45.31,44.13,44.5,16.1586,687400.0,0.0,1.0
1998-01-12,43.0,44.44,42.06,44.31,16.0896,575400.0,0.0,1.0
1998-01-13,44.56,45.31,44.13,44.44,16.1368,509700.0,0.0,1.0
1998-01-14,44.5,44.5,43.13,43.25,15.7047,108000.0,0.0,1.0
1998-01-15,43.0,43.0,40.5,41.69,15.1382,545500.0,0.0,1.0
1998-01-16,41.94,42.63,41.0,41.0,14.8877,239900.0,0.0,1.0
1998-01-20,41.88,42.5,41.19,41.75,15.16,240300.0,0.0,1.0
1998-01-21,41.5,42.75,41.5,42.69,15.5013,526900.0,0.0,1.0
1998-01-22,42.63,42.75,42.25,42.75,15.5231,568900.0,0.0,1.0
1998-01-23,42.75,43.63,42.75,43.25,15.7047,344200.0,0.0,1.0
1998-01-26,43.13,43.56,43.13,43.44,15.7737,333700.0,0.0,1.0
1998-01-27,43.19,43.31,41.31,41.31,15.0002,441100.0,0.0,1.0
1998-01-28,41.44,42.06,40.75,41.19,14.9567,380000.0,0.0,1.0
1998-01-29,41.13,42.5,41.13,41.19,14.9567,322400.0,0.0,1.0
1998-01-30,41.44,43.06,41.44,42.81,15.5449,646600.0,0.0,1.0
1998-02-02,43.5,43.88,43.5,43.5,15.7954,912800.0,0.0,1.0
1998-02-03,43.56,44.44,43.56,43.94,15.9552,492500.0,0.0,1.0
1998-02-04,44.13,44.19,43.19,43.38,15.7519,199400.0,0.0,1.0
1998-02-05,43.75,44.13,43.19,43.31,15.7265,535900.0,0.0,1.0
1998-02-06,43.31,44.25,43.25,43.63,15.8427,223900.0,0.0,1.0
1998-02-09,43.88,43.94,42.06,42.75,15.5231,175800.0,0.0,1.0
1998-02-10,43.5,43.5,41.13,41.25,14.9784,443500.0,0.0,1.0
1998-02-11,41.44,41.69,41.19,41.56,15.091,356800.0,0.0,1.0
1998-02-12,42.5,43.0,42.13,42.75,15.5231,648300.0,0.0,1.0
1998-02-13,42.56,42.63,41.13,41.5,15.0692,445400.0,0.0,1.0
1998-02-17,41.63,41.81,40.88,41.25,14.9784,233600.0,0.0,1.0
1998-02-18,41.31,41.31,41.0,41.06,14.9094,380400.0,0.0,1.0
1998-02-19,41.19,41.19,39.38,39.88,14.481,644700.0,0.0,1.0
1998-02-20,40.0,41.0,40.0,40.63,14.7533,517700.0,0.0,1.0
1998-02-23,40.5,42.13,40.44,42.0,15.2508,556300.0,0.0,1.0
1998-02-24,42.0,42.63,41.75,42.0,15.2508,308900.0,0.0,1.0
