date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,32.63,32.63,31.0,32.31,31.1214,222900.0,0.0,1.0
1998-01-05,32.31,33.75,32.31,33.75,32.5084,314500.0,0.0,1.0
1998-01-06,34.25,34.25,32.69,33.38,32.152,202100.0,0.0,1.0
1998-01-07,33.25,33.25,32.5,32.69,31.4874,100400.0,0.0,1.0
1998-01-08,32.56,33.44,32.31,33.44,32.2098,153700.0,0.0,1.0
1998-01-09,33.19,33.25,31.31,31.44,30.2834,529100.0,0.0,1.0
1998-01-12,30.5,32.13,30.5,30.81,29.6766,371400.0,0.0,1.0
1998-01-13,30.94,31.38,30.63,30.75,29.6188,367400.0,0.0,1.0
1998-01-14,30.88,31.81,30.75,31.81,30.6398,98900.0,0.0,1.0
1998-01-15,31.56,32.0,31.5,31.81,30.6398,146800.0,0.0,1.0
1998-01-16,32.0,33.5,31.94,33.38,32.152,208500.0,0.0,1.0
1998-01-20,33.31,33.5,32.88,33.13,31.9112,278800.0,0.0,1.0
1998-01-21,32.88,33.0,32.38,33.0,31.786,167000.0,0.0,1.0
1998-01-22,32.88,33.31,32.5,33.31,32.0846,195300.0,0.0,1.0
1998-01-23,33.13,35.69,33.0,35.19,33.8955,858400.0,0.0,1.0
1998-01-26,36.0,36.75,35.0,35.06,33.7702,1097200.0,0.0,1.0
1998-01-27,35.06,35.31,34.5,35.19,33.8955,316500.0,0.0,1.0
1998-01-28,35.25,36.0,35.25,36.0,34.6757,452600.0,0.0,1.0
1998-01-29,36.0,36.25,35.25,35.81,34.4926,335900.0,0.0,1.0
1998-01-30,35.75,37.31,35.19,36.75,35.3981,366100.0,0.0,1.0
1998-02-02,38.5,38.5,37.75,38.25,36.8429,433000.0,0.0,1.0
1998-02-03,38.25,38.5,37.38,38.5,37.0837,296200.0,0.0,1.0
1998-02-04,38.5,39.13,38.5,38.94,37.5075,356000.0,0.0,1.0
1998-02-05,39.13,39.44,37.88,38.25,36.8429,325200.0,0.0,1.0
1998-02-06,38.0,39.06,38.0,39.0,37.5653,263400.0,0.0,1.0
1998-02-09,39.5,39.94,37.25,37.63,36.2457,364800.0,0.0,1.0
1998-02-10,37.63,38.31,35.5,37.0,35.6389,974700.0,0.0,1.0
1998-02-11,37.0,37.13,35.56,36.69,35.3403,782600.0,0.0,1.0
1998-02-12,36.63,38.0,36.63,37.38,36.0049,739200.0,0.0,1.0
1998-02-13,37.0,37.25,36.63,36.63,35.2825,243700.0,0.0,1.0
1998-02-17,37.13,37.44,35.69,36.19,34.8587,267800.0,0.0,1.0
1998-02-18,36.06,37.0,36.0,37.0,35.6389,440100.0,0.0,1.0
1998-02-19,37.25,37.63,36.0,36.75,35.3981,450700.0,0.0,1.0
1998-02-20,37.0,37.0,36.0,36.38,35.0417,195500.0,0.0,1.0
1998-02-23,36.38,36.5,36.0,36.06,34.7335,235500.0,0.0,1.0
1998-02-24,35.63,36.31,35.25,36.19,34.8587,240300.0,0.0,1.0
1998-02-25,36.81,37.0,36.0,36.25,34.9165,733200.0,0.0,1.0
1998-02-26,36.19,36.25,35.5,35.75,34.4349,287300.0,0.0,1.0
1998-02-27,35.81,36.0,35.75,35.88,34.5601,368500.0,0.0,1.0
1998-03-02,35.94,37.13,35.94,36.44,35.0995,594900.0,0.0,1.0
1998-03-03,36.5,36.75,35.75,36.0,34.6757,305800.0,0.0,1.0
1998-03-04,36.13,37.94,36.0,37.19,35.8219,885800.0,0.0,1.0
1998-03-05,37.0,37.38,36.56,36.63,35.2825,321000.0,0.0,1.0
1998-03-06,36.63,37.06,36.38,36.81,35.4559,285500.0,0.0,1.0
1998-03-09,36.69,38.13,36.69,37.69,36.3035,665500.0,0.0,1.0
1998-03-10,39.5,39.5,37.69,37.94,36.5443,681200.0,0.0,1.0
1998-03-11,38.19,39.25,38.0,39.13,37.6905,514100.0,0.0,1.0
1998-03-12,39.19,40.0,38.75,40.0,38.5285,362400.0,0.0,1.0
1998-03-13,41.0,41.0,39.88,40.25,38.7693,363000.0,0.0,1.0
1998-03-16,40.5,40.88,40.38,40.69,39.1931,559000.0,0.0,1.0
1998-03-17,40.69,41.5,40.69,41.06,39.5495,377500.0,0.0,1.0
1998-03-18,41.19,42.09,41.19,41.88,40.3393,317200.0,0.0,1.0
1998-03-19,42.13,42.94,41.88,42.0,40.4549,494900.0,0.0,1.0
1998-03-20,42.0,42.0,40.13,40.81,39.3087,400200.0,0.0,1.0
1998-03-23,40.81,40.81,36.75,36.75,35.3981,901500.0,0.0,1.0
1998-03-24,37.25,37.69,36.25,36.88,35.5233,2618500.0,0.0,1.0
1998-03-25,37.88,37.94,36.56,37.13,35.7641,589400.0,0.0,1.0
1998-03-26,37.19,37.19,36.13,36.88,35.5233,380300.0,0.0,1.0
1998-03-27,37.38,37.44,36.63,37.0,35.6389,320100.0,0.0,1.0
1998-03-30,37.06,37.06,35.5,35.5,34.1941,539700.0,0.0,1.0
1998-03-31,35.31,36.75,35.0,36.0,34.6757,898400.0,0.0,1.0
1998-04-01,36.5,37.88,36.25,37.88,36.4865,682000.0,0.0,1.0
1998-04-02,40.0,40.38,38.75,39.88,38.4129,931000.0,0.0,1.0
1998-04-03,41.0,41.0,39.38,39.75,38.2877,659000.0,0.0,1.0
1998-04-06,39.63,39.88,38.56,38.75,37.3245,251800.0,0.0,1.0
1998-04-07,38.94,38.94,37.31,38.19,36.7851,277500.0,0.0,1.0
1998-04-08,38.56,39.06,38.31,38.44,37.0259,310200.0,0.0,1.0
1998-04-09,38.5,38.81,37.5,37.69,36.3035,277800.0,0.0,1.0
1998-04-13,37.94,38.0,37.25,37.63,36.2457,181700.0,0.0,1.0
1998-04-14,37.25,37.38,36.94,37.19,35.8219,312900.0,0.0,1.0
1998-04-15,37.44,38.75,37.44,38.0,36.6021,780300.0,0.0,1.0
1998-04-16,38.0,38.13,37.63,38.13,36.7273,170500.0,0.0,1.0
1998-04-17,38.13,40.5,38.0,40.44,38.9523,639600.0,0.0,1.0
1998-04-20,40.63,40.69,39.63,40.63,39.1353,244300.0,0.0,1.0
1998-04-21,40.38,40.75,39.56,40.0,38.5285,258100.0,0.0,1.0
1998-04-22,40.06,40.31,39.5,40.0,38.5285,503300.0,0.0,1.0
1998-04-23,40.25,40.5,39.63,39.63,38.1721,260200.0,0.0,1.0
1998-04-24,39.88,39.88,38.75,39.06,37.6231,300100.0,0.0,1.0
1998-04-27,38.63,38.63,36.69,36.88,35.5233,395900.0,0.0,1.0
