date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2004-02-05,23.75,24.94,23.25,24.7,18.9373,27565200.0,0.0,1.0
2004-02-06,24.71,24.94,24.15,24.85,19.0523,5284400.0,0.0,1.0
2004-02-09,24.6,24.7,24.0,24.47,18.761,3252900.0,0.0,1.0
2004-02-10,24.15,24.47,24.05,24.35,18.669,1651600.0,0.0,1.0
2004-02-11,24.28,24.5,24.15,24.25,18.5923,2010200.0,0.0,1.0
2004-02-12,24.19,25.0,24.17,24.68,18.922,1637500.0,0.0,1.0
2004-02-13,24.79,24.84,24.28,24.7,18.9373,612000.0,0.0,1.0
2004-02-17,24.75,24.9,24.5,24.6,18.8606,592300.0,0.0,1.0
2004-02-18,24.6,25.4,24.35,25.4,19.474,805700.0,0.0,1.0
2004-02-19,25.25,25.98,25.25,25.68,19.6887,1494600.0,0.0,1.0
2004-02-20,25.69,25.69,25.0,25.35,19.4357,742000.0,0.0,1.0
2004-02-23,25.39,25.39,24.35,24.55,18.8223,1331500.0,0.0,1.0
2004-02-24,24.4,24.97,24.21,24.8,19.014,963600.0,0.0,1.0
2004-02-25,24.8,25.0,24.7,24.85,19.0523,321700.0,0.0,1.0
2004-02-26,24.85,25.27,24.6,25.24,19.3513,617200.0,0.0,1.0
2004-02-27,25.15,25.75,25.11,25.74,19.7347,1569100.0,0.0,1.0
2004-03-01,25.74,26.19,25.7,25.8,19.7807,851700.0,0.0,1.0
2004-03-02,25.95,25.95,25.1,25.94,19.888,595600.0,0.0,1.0
2004-03-03,25.7,25.8,25.35,25.48,19.5353,457000.0,0.0,1.0
2004-03-04,25.48,25.75,24.75,25.21,19.3283,1060200.0,0.0,1.0
2004-03-05,25.02,25.64,25.0,25.55,19.589,450200.0,0.0,1.0
2004-03-08,25.55,25.65,25.17,25.48,19.5353,370100.0,0.0,1.0
2004-03-09,25.5,25.51,24.71,25.0,19.1673,816200.0,0.0,1.0
2004-03-10,24.75,24.85,24.4,24.65,18.899,1034300.0,0.0,1.0
2004-03-11,24.15,24.65,24.15,24.2,18.554,2538500.0,0.0,1.0
2004-03-12,24.34,24.65,24.25,24.5,18.784,1501700.0,0.0,1.0
2004-03-15,24.75,24.75,23.74,24.0,18.4006,1595900.0,0.0,1.0
2004-03-16,24.5,24.55,24.18,24.23,18.577,1525800.0,0.0,1.0
2004-03-17,24.2,24.5,24.06,24.07,18.4543,1051700.0,0.0,1.0
2004-03-18,24.07,24.1,23.71,23.8,18.2473,1006800.0,0.0,1.0
2004-03-19,23.75,23.84,23.4,23.74,18.2013,759200.0,0.0,1.0
2004-03-22,23.4,23.75,23.09,23.7,18.1706,1018700.0,0.0,1.0
2004-03-23,23.75,24.0,23.51,24.0,18.4006,678300.0,0.0,1.0
2004-03-24,24.0,24.05,23.77,23.8,18.2473,510900.0,0.0,1.0
2004-03-25,23.65,24.06,23.49,23.96,18.37,1499800.0,0.0,1.0
2004-03-26,23.87,24.34,23.87,24.1,18.4773,887500.0,0.0,1.0
2004-03-29,24.11,24.44,24.11,24.37,18.6843,823900.0,0.0,1.0
2004-03-30,24.2,24.75,24.18,24.72,18.9526,739300.0,0.0,1.0
2004-03-31,24.75,25.29,24.6,25.15,19.2823,728500.0,0.0,1.0
2004-04-01,25.25,25.4,24.78,25.25,19.359,1568800.0,0.0,1.0
2004-04-02,25.36,25.41,24.75,25.22,19.336,1166400.0,0.0,1.0
2004-04-05,25.05,25.53,24.9,25.51,19.5583,544200.0,0.0,1.0
2004-04-06,25.45,26.0,25.25,25.94,19.888,697900.0,0.0,1.0
2004-04-07,25.75,25.86,25.4,25.73,19.727,444100.0,0.0,1.0
2004-04-08,25.84,26.26,25.7,26.22,20.1027,657400.0,0.0,1.0
2004-04-12,26.15,26.25,25.71,25.88,19.842,804000.0,0.0,1.0
2004-04-13,25.98,26.16,25.15,25.25,19.359,860800.0,0.0,1.0
2004-04-14,25.25,25.45,24.97,25.19,19.313,1518700.0,0.0,1.0
2004-04-15,25.3,25.75,25.07,25.25,19.359,1406600.0,0.0,1.0
2004-04-16,25.3,25.64,25.05,25.54,19.5813,272100.0,0.0,1.0
2004-04-19,25.45,26.13,25.45,25.73,19.727,627800.0,0.0,1.0
2004-04-20,25.7,25.8,25.4,25.55,19.589,926200.0,0.0,1.0
2004-04-21,25.5,25.58,25.0,25.2,19.3207,980800.0,0.0,1.0
2004-04-22,25.35,25.44,25.0,25.2,19.3207,568200.0,0.0,1.0
2004-04-23,25.2,25.22,24.86,25.03,19.1903,355900.0,0.0,1.0
2004-04-26,24.85,25.0,24.65,24.9,19.0907,238900.0,0.0,1.0
2004-04-27,24.85,25.27,24.84,25.17,19.2977,171900.0,0.0,1.0
2004-04-28,25.25,25.25,24.92,25.0,19.1673,256100.0,0.0,1.0
2004-04-29,24.89,24.95,24.6,24.72,18.9526,298200.0,0.0,1.0
2004-04-30,24.63,25.0,24.34,24.36,18.6766,608100.0,0.0,1.0
2004-05-03,24.56,25.04,24.45,25.0,19.1673,514800.0,0.0,1.0
2004-05-04,24.95,25.02,24.5,24.75,18.9756,953800.0,0.0,1.0
2004-05-05,24.9,25.0,24.6,24.69,18.9296,304700.0,0.0,1.0
2004-05-06,24.7,24.96,24.29,24.65,18.899,319600.0,0.0,1.0
2004-05-07,24.5,24.8,23.55,24.1,18.4773,564500.0,0.0,1.0
2004-05-10,24.0,24.05,23.48,24.0,18.4006,479000.0,0.0,1.0
2004-05-11,23.94,24.49,23.72,24.26,18.6,418400.0,0.0,1.0
2004-05-12,24.65,24.72,23.56,24.4,18.7073,1549800.0,0.0,1.0
2004-05-13,24.25,25.28,24.08,24.99,19.1597,753400.0,0.0,1.0
2004-05-14,24.99,25.15,24.85,25.0,19.1673,750400.0,0.0,1.0
2004-05-17,24.8,24.8,24.25,24.37,18.6843,569600.0,0.0,1.0
2004-05-18,24.5,25.05,24.41,24.84,19.0446,852100.0,0.0,1.0
2004-05-19,24.8,25.0,24.64,24.75,18.9756,434400.0,0.0,1.0
2004-05-20,24.75,25.0,24.7,25.0,19.221,546500.0,0.07,1.0
2004-05-21,24.99,25.0,24.88,24.93,19.1672,469600.0,0.0,1.0
2004-05-24,25.05,25.05,24.82,25.0,19.221,532500.0,0.0,1.0
2004-05-25,25.0,25.01,24.52,24.65,18.9519,1171200.0,0.0,1.0
