date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2001-01-02,29.5,29.88,29.0,29.56,6.7965,164000.0,0.0,1.0
2001-01-03,29.44,32.0,29.44,31.94,7.3437,342900.0,0.0,1.0
2001-01-04,31.63,34.0,31.63,34.0,7.8174,544900.0,0.0,1.0
2001-01-05,34.0,34.06,33.31,33.81,7.7737,361800.0,0.0,1.0
2001-01-08,34.0,35.25,33.44,33.88,7.7898,400100.0,0.0,1.0
2001-01-09,32.75,32.75,30.81,30.94,7.1138,600800.0,0.0,1.0
2001-01-10,30.88,30.88,30.13,30.88,7.1,234200.0,0.0,1.0
2001-01-11,30.94,31.25,29.94,30.19,6.9414,206700.0,0.0,1.0
2001-01-12,30.19,30.25,29.25,29.88,6.8701,262100.0,0.0,1.0
2001-01-16,29.94,30.0,29.69,30.0,6.8977,116300.0,0.0,1.0
2001-01-17,29.88,29.94,29.31,29.5,6.7827,77700.0,0.0,1.0
2001-01-18,29.5,30.0,29.19,29.81,6.854,128200.0,0.0,1.0
2001-01-19,29.75,30.0,29.63,30.0,6.8977,173700.0,0.0,1.0
2001-01-22,29.75,30.44,29.5,30.31,6.969,124500.0,0.0,1.0
2001-01-23,30.31,32.19,30.13,32.19,7.4012,275800.0,0.0,1.0
2001-01-24,32.06,32.38,30.5,30.5,7.0126,118500.0,0.0,1.0
2001-01-25,30.38,31.94,30.38,31.56,7.2564,103200.0,0.0,1.0
2001-01-26,30.56,31.19,30.31,30.38,6.9851,170500.0,0.0,1.0
2001-01-29,30.4,31.32,30.36,31.2,7.1736,125100.0,0.0,1.0
2001-01-30,31.35,31.8,31.05,31.8,7.3115,83300.0,0.0,1.0
2001-01-31,31.75,32.6,31.75,32.34,7.4357,153600.0,0.0,1.0
2001-02-01,32.3,32.35,31.6,31.98,7.3529,85700.0,0.0,1.0
2001-02-02,31.98,32.63,31.9,32.3,7.4265,130100.0,0.0,1.0
2001-02-05,32.45,33.0,32.38,32.88,7.5599,117800.0,0.0,1.0
2001-02-06,32.75,33.65,32.75,33.31,7.6587,149400.0,0.0,1.0
2001-02-07,33.1,33.29,33.0,33.16,7.6242,74400.0,0.0,1.0
2001-02-08,32.95,33.0,31.95,32.48,7.4679,88100.0,0.0,1.0
2001-02-09,32.4,32.4,31.66,31.86,7.3253,70800.0,0.0,1.0
2001-02-12,31.7,32.29,31.67,31.9,7.3345,70800.0,0.0,1.0
2001-02-13,31.9,31.95,31.64,31.85,7.323,61100.0,0.0,1.0
2001-02-14,31.84,31.84,31.65,31.73,7.2955,70300.0,0.0,1.0
2001-02-15,31.6,31.65,30.9,31.2,7.1736,274500.0,0.0,1.0
2001-02-16,31.0,31.05,30.15,30.46,7.0035,170000.0,0.0,1.0
2001-02-20,30.45,30.54,28.99,29.0,6.6678,222400.0,0.0,1.0
2001-02-21,29.15,29.49,29.0,29.12,6.6954,188200.0,0.0,1.0
2001-02-22,29.11,29.11,28.4,28.85,6.6333,255900.0,0.0,1.0
2001-02-23,28.85,28.85,28.06,28.5,6.5528,132600.0,0.0,1.0
2001-02-26,28.45,29.6,28.45,29.59,6.8034,141500.0,0.0,1.0
2001-02-27,29.55,29.55,28.75,29.02,6.6724,102900.0,0.0,1.0
2001-02-28,29.02,29.4,28.14,28.58,6.5712,139100.0,0.0,1.0
2001-03-01,28.1,28.11,26.4,27.3,6.2769,318800.0,0.0,1.0
2001-03-02,27.1,28.39,27.0,28.24,6.493,156000.0,0.0,1.0
2001-03-05,28.24,28.24,27.65,27.86,6.4057,252700.0,0.0,1.0
2001-03-06,27.95,28.1,27.45,28.1,6.4608,437200.0,0.0,1.0
