date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,71.3752,71.6252,70.6876,71.25,28.8378,525900.0,0.0,1.0
1998-01-05,72.0,73.1252,71.8752,72.5,29.3437,1047700.0,0.0,1.0
1998-01-06,72.1252,72.1252,70.8124,70.8752,28.6861,765300.0,0.0,1.0
1998-01-07,69.5624,71.0,69.5624,71.0,28.7366,685000.0,0.0,1.0
1998-01-08,71.0,71.5,67.8752,68.0,27.5224,491300.0,0.0,1.0
1998-01-09,67.9376,67.9376,66.25,66.25,26.8141,1518100.0,0.0,1.0
1998-01-12,65.0624,66.25,65.0624,66.1252,26.7636,1091800.0,0.0,1.0
1998-01-13,67.0,67.0,65.25,66.0,26.7129,838900.0,0.0,1.0
1998-01-14,66.3752,66.8124,65.8752,66.1876,26.7889,1307500.0,0.0,1.0
1998-01-15,66.0624,66.3124,65.4376,65.9376,26.6877,1005400.0,0.0,1.0
1998-01-16,66.75,67.3752,65.8752,66.5,26.9153,1600100.0,0.0,1.0
1998-01-20,66.5,68.3752,66.3752,68.3124,27.6489,1307800.0,0.0,1.0
1998-01-21,68.4376,69.1252,68.0624,68.6252,27.7755,815100.0,0.0,1.0
1998-01-22,69.5,69.5,67.6252,67.6252,27.3707,642700.0,0.0,1.0
1998-01-23,68.5,69.3752,67.9376,69.1252,27.9778,856000.0,0.0,1.0
1998-01-26,69.0,70.0624,69.0,69.5,28.1295,977100.0,0.0,1.0
1998-01-27,69.5,70.4376,69.3752,69.9376,28.3066,832700.0,0.0,1.0
1998-01-28,70.0,72.25,70.0,72.1252,29.1921,889500.0,0.0,1.0
1998-01-29,72.3752,75.75,72.3752,75.75,30.6592,1728500.0,0.0,1.0
1998-01-30,75.75,77.0,75.0,76.3752,30.9122,1902200.0,0.0,1.0
1998-02-02,77.0,78.1876,76.6252,78.0624,31.5951,1654100.0,0.0,1.0
1998-02-03,77.8124,77.8124,76.75,77.0624,31.1903,627500.0,0.0,1.0
1998-02-04,76.6252,76.9376,75.4376,76.1252,30.8616,998400.0,0.125,1.0
1998-02-05,76.5,76.6876,75.0624,75.5624,30.6334,406200.0,0.0,1.0
1998-02-06,75.6252,76.3752,75.5624,75.9376,30.7856,280300.0,0.0,1.0
1998-02-09,75.6876,76.0,75.0624,75.25,30.5068,279100.0,0.0,1.0
1998-02-10,75.0624,76.4376,75.0,76.0,30.8109,513100.0,0.0,1.0
