date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,49.0,50.0,48.75,50.0,18.1108,305200.0,0.0,1.0
1998-01-05,50.19,50.25,49.31,50.25,18.2013,336700.0,0.0,1.0
1998-01-06,50.0,50.63,49.63,50.19,18.1796,285300.0,0.0,1.0
1998-01-07,50.25,50.75,49.5,49.81,18.042,259000.0,0.0,1.0
1998-01-08,49.69,50.69,49.69,50.63,18.339,258400.0,0.0,1.0
1998-01-09,50.63,50.75,49.5,49.56,17.9514,489900.0,0.0,1.0
1998-01-12,49.0,49.81,48.88,49.5,17.9297,390400.0,0.0,1.0
1998-01-13,49.75,49.94,49.13,49.63,17.9768,223100.0,0.0,1.0
1998-01-14,49.88,51.0,49.5,50.63,18.339,278200.0,0.0,1.0
1998-01-15,51.88,52.31,51.5,52.31,18.9475,575500.0,0.0,1.0
1998-01-16,54.0,55.31,54.0,55.0,19.9219,805900.0,0.0,1.0
1998-01-20,55.0,55.63,54.88,55.19,19.9907,593300.0,0.0,1.0
1998-01-21,54.94,57.25,54.75,56.5,20.4652,427500.0,0.0,1.0
1998-01-22,55.0,58.5,55.0,58.5,21.1896,467600.0,0.0,1.0
1998-01-23,59.0,61.0,58.75,60.25,21.8235,1230400.0,0.0,1.0
1998-01-26,59.5,59.56,57.81,59.0,21.3707,421800.0,0.0,1.0
1998-01-27,59.0,61.75,58.13,61.69,22.3451,806100.0,0.0,1.0
1998-01-28,61.69,62.75,60.88,61.88,22.4139,934300.0,0.0,1.0
1998-01-29,62.06,65.19,62.0,63.25,22.9101,810000.0,0.0,1.0
1998-01-30,63.5,64.5,62.38,63.13,22.8667,741800.0,0.0,1.0
1998-02-02,63.38,66.5,63.38,66.06,23.928,614800.0,0.0,1.0
1998-02-03,66.06,67.44,65.19,66.06,23.928,1030700.0,0.0,1.0
1998-02-04,65.0,65.0,63.63,64.56,23.3846,911500.0,0.0,1.0
1998-02-05,64.31,64.5,62.5,62.69,22.7073,492000.0,0.0,1.0
1998-02-06,62.94,65.06,62.94,64.69,23.4317,545300.0,0.0,1.0
1998-02-09,64.75,65.44,64.06,64.38,23.3194,389900.0,0.0,1.0
1998-02-10,64.56,65.81,64.56,65.19,23.6128,345900.0,0.0,1.0
1998-02-11,64.94,65.88,64.19,64.81,23.4752,224400.0,0.0,1.0
1998-02-12,64.31,65.25,63.0,65.19,23.6128,294000.0,0.0,1.0
1998-02-13,64.94,65.25,64.38,64.38,23.3194,266900.0,0.0,1.0
1998-02-17,64.13,64.5,63.63,64.31,23.2941,278900.0,0.0,1.0
1998-02-18,64.31,64.94,63.88,64.38,23.3194,272300.0,0.0,1.0
1998-02-19,64.5,64.56,63.44,63.44,22.979,278200.0,0.0,1.0
1998-02-20,64.75,65.5,63.56,65.25,23.6346,614800.0,0.0,1.0
1998-02-23,65.5,65.69,64.69,65.06,23.5657,384700.0,0.0,1.0
1998-02-24,64.81,64.81,63.88,64.25,23.2723,162200.0,0.0,1.0
1998-02-25,64.5,65.0,63.69,64.13,23.2289,205600.0,0.0,1.0
1998-02-26,64.38,64.88,64.13,64.5,23.3629,720600.0,0.0,1.0
1998-02-27,64.25,64.25,63.38,63.63,23.0478,480900.0,0.0,1.0
1998-03-02,63.63,63.63,62.38,62.75,22.729,302700.0,0.0,1.0
1998-03-03,62.75,62.88,62.38,62.56,22.6602,445700.0,0.0,1.0
1998-03-04,62.63,63.13,61.25,63.13,22.9192,497800.0,0.145,1.0
1998-03-05,62.75,63.13,62.63,63.06,22.8938,335800.0,0.0,1.0
1998-03-06,62.88,65.31,62.88,65.31,23.7106,307400.0,0.0,1.0
1998-03-09,64.56,66.0,64.44,65.31,23.7106,310800.0,0.0,1.0
1998-03-10,65.13,66.44,65.13,66.0,23.9611,201800.0,0.0,1.0
1998-03-11,65.75,66.94,65.69,66.81,24.2552,344100.0,0.0,1.0
1998-03-12,67.31,69.88,67.31,69.25,25.141,687600.0,0.0,1.0
1998-03-13,69.25,69.81,68.81,69.44,25.21,465500.0,0.0,1.0
1998-03-16,69.19,69.5,68.75,69.5,25.2318,354600.0,0.0,1.0
1998-03-17,69.75,70.44,69.63,70.06,25.4351,443000.0,0.0,1.0
1998-03-18,69.81,70.31,69.75,70.31,25.5259,257900.0,0.0,1.0
1998-03-19,70.31,71.38,70.25,70.94,25.7546,247500.0,0.0,1.0
1998-03-20,71.19,71.19,70.38,70.81,25.7074,248000.0,0.0,1.0
1998-03-23,70.13,70.5,69.63,69.81,25.3443,203100.0,0.0,1.0
1998-03-24,69.56,70.5,69.5,70.44,25.5731,290000.0,0.0,1.0
1998-03-25,70.31,70.63,69.5,70.25,25.5041,361600.0,0.0,1.0
1998-03-26,70.13,70.69,69.56,69.88,25.3698,441900.0,0.0,1.0
1998-03-27,70.0,70.63,68.5,68.63,24.9159,633800.0,0.0,1.0
1998-03-30,68.63,69.31,68.13,69.0,25.0503,343100.0,0.0,1.0
1998-03-31,68.88,69.69,68.06,68.06,24.709,412600.0,0.0,1.0
1998-04-01,68.06,69.81,67.63,69.19,25.1193,348300.0,0.0,1.0
1998-04-02,69.06,70.25,68.88,70.25,25.5041,182800.0,0.0,1.0
1998-04-03,70.13,70.38,69.5,69.63,25.279,255800.0,0.0,1.0
1998-04-06,69.38,69.69,68.88,69.31,25.1628,165400.0,0.0,1.0
1998-04-07,69.06,69.44,68.81,69.44,25.21,139400.0,0.0,1.0
1998-04-08,69.5,71.63,69.5,70.0,25.4133,717400.0,0.0,1.0
1998-04-09,70.06,71.44,70.06,70.56,25.6166,397500.0,0.0,1.0
1998-04-13,70.56,70.56,69.5,69.5,25.2318,199900.0,0.0,1.0
1998-04-14,69.5,69.5,69.0,69.25,25.141,263300.0,0.0,1.0
1998-04-15,69.5,70.25,69.06,69.69,25.3008,449800.0,0.0,1.0
1998-04-16,70.56,70.56,68.56,68.81,24.9813,295000.0,0.0,1.0
1998-04-17,69.06,69.38,68.25,69.19,25.1193,273600.0,0.0,1.0
1998-04-20,69.44,69.56,69.25,69.5,25.2318,179900.0,0.0,1.0
1998-04-21,68.75,69.31,67.88,69.31,25.1628,272000.0,0.0,1.0
1998-04-22,69.56,72.5,69.06,72.25,26.2302,435500.0,0.0,1.0
1998-04-23,72.13,73.88,72.13,73.56,26.7058,497600.0,0.0,1.0
1998-04-24,73.63,76.88,73.06,73.25,26.5932,546500.0,0.0,1.0
1998-04-27,73.25,73.25,70.0,70.69,25.6638,315200.0,0.0,1.0
1998-04-28,70.94,71.13,68.56,69.13,25.0975,517700.0,0.0,1.0
1998-04-29,69.13,70.31,69.0,70.19,25.4823,357800.0,0.0,1.0
1998-04-30,69.94,70.5,69.63,69.63,25.279,357400.0,0.0,1.0
1998-05-01,69.88,70.44,69.75,70.25,25.5041,225900.0,0.0,1.0
1998-05-04,70.5,71.19,70.44,70.88,25.7328,156800.0,0.0,1.0
1998-05-05,70.94,70.94,69.5,70.0,25.4133,353100.0,0.0,1.0
1998-05-06,69.81,69.94,69.0,69.25,25.141,117500.0,0.0,1.0
1998-05-07,69.0,69.0,67.63,67.69,24.5747,154500.0,0.0,1.0
1998-05-08,67.75,68.44,67.75,68.25,24.778,125000.0,0.0,1.0
1998-05-11,68.5,69.63,68.5,69.06,25.0721,250300.0,0.0,1.0
1998-05-12,69.31,70.19,68.75,70.0,25.4133,190200.0,0.0,1.0
1998-05-13,69.94,71.44,69.94,71.06,25.7982,228200.0,0.0,1.0
1998-05-14,71.19,71.56,70.25,70.44,25.5731,208900.0,0.0,1.0
1998-05-15,70.25,70.31,69.25,69.31,25.1628,123700.0,0.0,1.0
1998-05-18,69.25,69.63,67.88,68.81,24.9813,151100.0,0.0,1.0
1998-05-19,68.81,70.0,68.81,69.5,25.2318,180100.0,0.0,1.0
1998-05-20,72.25,72.25,72.25,72.25,26.2302,689700.0,0.0,1.0
1998-05-21,72.19,72.94,72.0,72.31,26.252,378900.0,0.0,1.0
1998-05-22,72.31,73.31,71.38,72.0,26.1394,666700.0,0.0,1.0
1998-05-26,72.0,72.0,71.5,71.56,25.9797,192200.0,0.0,1.0
1998-05-27,71.31,71.31,70.0,71.0,25.7764,181700.0,0.0,1.0
1998-05-28,71.0,71.63,70.5,71.0,25.7764,181200.0,0.0,1.0
1998-05-29,71.25,71.75,70.75,70.75,25.6856,243400.0,0.0,1.0
1998-06-01,70.88,72.56,70.19,72.44,26.2992,358000.0,0.0,1.0
1998-06-02,72.5,73.88,71.19,71.44,25.9361,224100.0,0.0,1.0
1998-06-03,71.25,72.06,71.0,72.0,26.1921,455900.0,0.145,1.0
1998-06-04,72.0,72.56,71.31,72.19,26.2612,372600.0,0.0,1.0
1998-06-05,72.06,73.94,71.88,73.38,26.6941,346000.0,0.0,1.0
1998-06-08,73.63,74.88,73.5,73.94,26.8978,280600.0,0.0,1.0
1998-06-09,73.69,73.75,72.25,72.81,26.4867,205100.0,0.0,1.0
1998-06-10,72.94,75.12,72.81,74.0,26.9196,290400.0,0.0,1.0
1998-06-11,74.25,75.88,73.0,73.88,26.876,308400.0,0.0,1.0
1998-06-12,73.63,74.25,71.94,72.63,26.4212,349500.0,0.0,1.0
1998-06-15,72.38,73.44,72.0,72.0,26.1921,216900.0,0.0,1.0
1998-06-16,72.0,75.0,72.0,73.94,26.8978,382200.0,0.0,1.0
1998-06-17,74.13,76.5,74.13,76.44,27.8072,204300.0,0.0,1.0
1998-06-18,76.69,77.13,75.44,75.44,27.4435,264100.0,0.0,1.0
1998-06-19,75.44,76.31,75.0,76.06,27.669,334600.0,0.0,1.0
1998-06-22,76.13,77.63,76.0,76.75,27.92,248000.0,0.0,1.0
1998-06-23,76.5,76.88,76.0,76.19,27.7163,217600.0,0.0,1.0
1998-06-24,76.25,76.44,75.56,76.25,27.7381,234100.0,0.0,1.0
1998-06-25,76.13,76.69,75.06,75.56,27.4871,248400.0,0.0,1.0
1998-06-26,76.0,76.5,75.94,76.0,27.6472,378200.0,0.0,1.0
1998-06-29,76.25,78.5,76.13,78.19,28.4438,372700.0,0.0,1.0
1998-06-30,77.38,78.56,77.38,77.63,28.2401,350700.0,0.0,1.0
1998-07-01,77.88,79.38,77.38,79.38,28.8767,210000.0,0.0,1.0
1998-07-02,79.38,82.31,79.38,81.5,29.648,534500.0,0.0,1.0
1998-07-06,81.5,82.44,81.44,82.19,29.899,229700.0,0.0,1.0
1998-07-07,82.44,82.88,81.56,81.69,29.7171,203700.0,0.0,1.0
1998-07-08,81.94,84.75,81.5,83.5,30.3755,600000.0,0.0,1.0
1998-07-09,83.75,86.38,83.63,85.44,31.0812,525800.0,0.0,1.0
1998-07-10,85.81,87.0,85.0,85.5,31.1031,362200.0,0.0,1.0
1998-07-13,85.5,85.56,84.06,84.63,30.7866,304500.0,0.0,1.0
1998-07-14,84.38,86.25,84.25,86.25,31.3759,513000.0,0.0,1.0
1998-07-15,86.5,87.63,86.13,86.13,31.3322,340900.0,0.0,1.0
1998-07-16,86.25,87.13,85.31,87.13,31.696,224800.0,0.0,1.0
1998-07-17,87.19,87.63,86.19,87.38,31.787,214400.0,0.0,1.0
1998-07-20,87.5,87.5,85.63,86.06,31.3068,246000.0,0.0,1.0
1998-07-21,86.31,86.75,84.13,84.38,30.6956,388600.0,0.0,1.0
1998-07-22,84.38,86.38,84.38,86.0,31.285,517800.0,0.0,1.0
1998-07-23,86.25,86.81,85.06,85.38,31.0594,306200.0,0.0,1.0
1998-07-24,85.13,85.19,83.69,83.69,30.4446,295300.0,0.0,1.0
1998-07-27,83.44,84.44,82.69,83.56,30.3973,315000.0,0.0,1.0
1998-07-28,83.63,83.63,81.38,82.75,30.1027,317400.0,0.0,1.0
1998-07-29,83.38,85.25,83.38,84.63,30.7866,487400.0,0.0,1.0
1998-07-30,85.13,86.25,83.0,83.56,30.3973,380300.0,0.0,1.0
1998-07-31,83.56,83.81,81.38,82.63,30.059,236200.0,0.0,1.0
1998-08-03,82.63,83.31,81.81,82.13,29.8771,384100.0,0.0,1.0
1998-08-04,82.38,82.94,79.13,79.31,28.8513,529600.0,0.0,1.0
1998-08-05,79.56,81.5,79.56,80.31,29.2151,459700.0,0.0,1.0
1998-08-06,80.0,83.38,80.0,83.0,30.1936,419000.0,0.0,1.0
1998-08-07,83.06,84.31,82.81,83.25,30.2846,374000.0,0.0,1.0
1998-08-10,83.13,84.31,83.13,83.88,30.5137,244500.0,0.0,1.0
1998-08-11,83.63,84.88,81.63,84.25,30.6483,322000.0,0.0,1.0
1998-08-12,83.63,84.94,81.63,84.75,30.8302,541200.0,0.0,1.0
1998-08-13,84.0,84.94,83.38,83.81,30.4883,595800.0,0.0,1.0
1998-08-14,84.0,84.31,82.25,83.25,30.2846,463300.0,0.0,1.0
1998-08-17,83.0,83.0,81.13,82.06,29.8517,486000.0,0.0,1.0
1998-08-18,81.88,82.88,81.13,82.25,29.9208,606900.0,0.0,1.0
1998-08-19,82.5,83.88,82.06,83.88,30.5137,449800.0,0.0,1.0
1998-08-20,84.0,85.19,83.44,84.25,30.6483,404600.0,0.0,1.0
1998-08-21,42.0,42.5,39.88,42.5,30.9212,404650.0,0.0,2.0
1998-08-24,42.75,42.88,42.0,42.31,30.7829,588000.0,0.0,1.0
1998-08-25,42.5,42.69,40.88,41.31,30.0554,859700.0,0.0,1.0
1998-08-26,41.0,41.0,39.88,39.94,29.0586,693600.0,0.0,1.0
1998-08-27,39.94,40.88,38.69,39.63,28.8331,1258900.0,0.0,1.0
1998-08-28,39.56,39.63,37.25,37.63,27.378,812500.0,0.0,1.0
1998-08-31,37.5,38.0,33.06,33.31,24.2349,1364600.0,0.0,1.0
1998-09-01,34.0,39.19,34.0,38.88,28.2874,1831600.0,0.0,1.0
1998-09-02,38.81,40.63,38.81,39.38,28.6512,1441300.0,0.0,1.0
1998-09-03,38.75,41.25,38.19,40.0,29.1023,976200.0,0.0,1.0
1998-09-04,40.0,40.44,37.81,38.19,27.8382,996600.0,0.0725,1.0
1998-09-08,39.25,41.19,38.63,41.19,30.025,734500.0,0.0,1.0
1998-09-09,41.19,41.63,39.75,39.94,29.1138,548500.0,0.0,1.0
1998-09-10,39.88,42.75,38.25,42.25,30.7976,1374300.0,0.0,1.0
1998-09-11,41.75,41.81,39.25,40.38,29.4345,598800.0,0.0,1.0
1998-09-14,40.56,42.19,40.56,41.0,29.8865,621300.0,0.0,1.0
1998-09-15,41.25,41.69,40.56,40.75,29.7042,333700.0,0.0,1.0
1998-09-16,41.0,41.0,39.69,40.69,29.6605,908700.0,0.0,1.0
1998-09-17,40.25,40.38,39.81,40.0,29.1575,473800.0,0.0,1.0
