date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-06-14,28.0,30.5,28.0,28.75,24.087,3279100.0,0.0,1.0
2007-06-15,29.5,29.8,28.88,29.08,24.3635,790100.0,0.0,1.0
2007-06-18,29.32,30.2,29.3,29.93,25.0757,1591000.0,0.0,1.0
2007-06-19,30.0,30.3,29.6,29.7,24.883,1585100.0,0.0,1.0
2007-06-20,30.04,30.1,29.57,29.81,24.9751,855900.0,0.0,1.0
2007-06-21,30.06,31.95,29.61,31.21,26.1481,842700.0,0.0,1.0
2007-06-22,31.5,32.17,31.0,31.7,26.5586,1490700.0,0.0,1.0
2007-06-25,31.5,32.0,31.01,31.3,26.2235,490000.0,0.0,1.0
2007-06-26,31.3,31.65,30.25,30.41,25.4778,853900.0,0.0,1.0
2007-06-27,30.6,30.8,29.57,29.58,24.7824,1127300.0,0.0,1.0
2007-06-28,29.88,29.9,29.16,29.5,24.7154,488900.0,0.0,1.0
2007-06-29,29.99,30.3,27.93,28.5,23.8776,3085200.0,0.0,1.0
2007-07-02,28.55,29.15,27.2,27.5,23.0398,10999000.0,0.0,1.0
2007-07-03,27.5,27.5,26.15,26.67,22.3444,8600100.0,0.0,1.0
2007-07-05,26.25,26.92,25.74,25.93,21.7244,8422000.0,0.0,1.0
2007-07-06,25.64,25.86,25.21,25.64,21.4815,7211800.0,0.0,1.0
2007-07-09,25.72,26.54,25.44,25.54,21.3977,11675200.0,0.0,1.0
2007-07-10,25.6,25.65,24.8,24.9,20.8615,8591800.0,0.0,1.0
2007-07-11,25.02,25.27,24.75,25.21,21.1212,10251400.0,0.0,1.0
2007-07-12,25.59,26.59,25.21,26.34,22.0679,10297300.0,0.0,1.0
2007-07-13,26.47,27.43,26.02,27.16,22.7549,6752500.0,0.0,1.0
2007-07-16,27.21,27.45,26.66,26.84,22.4868,9892000.0,0.0,1.0
2007-07-17,26.96,26.99,26.31,26.5,22.202,5434600.0,0.0,1.0
2007-07-18,26.45,26.5,25.7,26.36,22.0847,4594800.0,0.0,1.0
