date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,35.88,36.31,35.75,35.88,16.1988,183400.0,0.0,1.0
1998-01-05,36.25,36.44,35.69,36.06,16.2801,315200.0,0.0,1.0
1998-01-06,35.88,36.19,35.69,36.06,16.2801,297800.0,0.0,1.0
1998-01-07,35.88,35.94,35.06,35.25,15.9144,474600.0,0.0,1.0
1998-01-08,35.25,35.25,34.38,34.88,15.7474,545300.0,0.0,1.0
1998-01-09,34.69,34.94,34.0,34.06,15.3772,407500.0,0.0,1.0
1998-01-12,33.5,34.56,33.06,34.25,15.4629,782800.0,0.0,1.0
1998-01-13,34.19,34.25,33.81,34.06,15.3772,347200.0,0.0,1.0
1998-01-14,34.06,35.63,33.69,35.25,15.9144,654300.0,0.0,1.0
1998-01-15,35.13,35.19,34.37,34.75,15.6887,455700.0,0.0,1.0
1998-01-16,35.0,35.06,34.5,34.5,15.5758,632300.0,0.0,1.0
1998-01-20,34.0,35.31,33.13,35.31,15.9415,680200.0,0.0,1.0
1998-01-21,35.19,35.63,34.88,35.38,15.9731,352800.0,0.0,1.0
1998-01-22,35.25,35.25,33.63,33.81,15.2643,456200.0,0.0,1.0
1998-01-23,34.0,34.69,33.88,34.13,15.4088,372700.0,0.0,1.0
1998-01-26,34.13,34.38,33.38,33.75,15.2372,216900.0,0.0,1.0
1998-01-27,33.94,34.5,32.5,33.0,14.8986,714200.0,0.0,1.0
1998-01-28,33.19,33.5,33.0,33.31,15.0386,766300.0,0.0,1.0
1998-01-29,33.19,34.56,33.0,34.44,15.5487,700800.0,0.0,1.0
1998-01-30,34.5,35.06,33.81,34.06,15.3772,889500.0,0.0,1.0
1998-02-02,34.75,35.69,34.75,35.38,15.9731,631600.0,0.0,1.0
1998-02-03,35.75,35.75,34.75,35.31,15.9415,499100.0,0.0,1.0
1998-02-04,35.31,35.38,34.63,35.19,15.8873,395600.0,0.0,1.0
1998-02-05,35.06,35.25,34.75,35.06,15.8286,598500.0,0.0,1.0
1998-02-06,35.19,35.63,35.06,35.19,15.8873,518500.0,0.0,1.0
1998-02-09,35.25,35.88,35.25,35.88,16.1988,396800.0,0.0,1.0
1998-02-10,35.75,37.5,35.75,37.38,16.876,1062600.0,0.0,1.0
1998-02-11,37.31,37.31,36.25,36.63,16.5374,289500.0,0.0,1.0
1998-02-12,36.38,36.63,35.63,36.5,16.4788,668000.0,0.0,1.0
1998-02-13,36.25,36.94,36.19,36.31,16.393,247100.0,0.0,1.0
1998-02-17,36.56,37.19,36.13,36.19,16.3388,251400.0,0.0,1.0
1998-02-18,36.31,38.0,36.19,37.69,17.016,351900.0,0.0,1.0
1998-02-19,37.44,37.94,37.31,37.69,17.016,301900.0,0.0,1.0
1998-02-20,37.94,37.94,37.13,37.31,16.8444,373100.0,0.0,1.0
1998-02-23,37.38,37.75,36.81,37.0,16.7045,350800.0,0.0,1.0
1998-02-24,37.0,37.75,36.69,36.94,16.6774,427000.0,0.0,1.0
1998-02-25,36.69,37.75,36.69,37.5,16.9731,316900.0,0.095,1.0
1998-02-26,37.56,39.19,37.5,39.19,17.738,436400.0,0.0,1.0
1998-02-27,39.06,39.19,38.0,38.63,17.4846,452400.0,0.0,1.0
1998-03-02,38.56,38.63,38.0,38.19,17.2854,294100.0,0.0,1.0
1998-03-03,38.0,38.38,37.75,38.19,17.2854,447800.0,0.0,1.0
1998-03-04,38.31,38.63,37.75,38.44,17.3986,411100.0,0.0,1.0
1998-03-05,37.5,38.31,37.38,38.31,17.3397,683200.0,0.0,1.0
1998-03-06,38.44,39.69,38.44,39.44,17.8512,817900.0,0.0,1.0
1998-03-09,39.38,39.63,38.63,38.69,17.5117,446500.0,0.0,1.0
1998-03-10,38.75,39.38,38.75,39.0,17.652,166500.0,0.0,1.0
1998-03-11,39.0,39.0,38.31,38.5,17.4257,402300.0,0.0,1.0
1998-03-12,37.25,37.94,36.44,37.5,16.9731,1037600.0,0.0,1.0
1998-03-13,37.38,39.0,37.38,38.06,17.2266,548200.0,0.0,1.0
1998-03-16,38.31,38.31,38.0,38.13,17.2583,371500.0,0.0,1.0
1998-03-17,38.0,38.13,37.0,37.88,17.1451,584300.0,0.0,1.0
1998-03-18,37.88,37.88,37.25,37.69,17.0591,463500.0,0.0,1.0
1998-03-19,37.63,38.25,37.44,37.88,17.1451,494100.0,0.0,1.0
1998-03-20,38.38,38.5,37.94,38.25,17.3126,381300.0,0.0,1.0
1998-03-23,38.13,38.38,37.94,38.19,17.2854,291700.0,0.0,1.0
1998-03-24,38.19,38.5,37.88,38.13,17.2583,852700.0,0.0,1.0
1998-03-25,38.5,38.63,37.75,38.13,17.2583,371600.0,0.0,1.0
1998-03-26,38.31,38.31,37.63,37.75,17.0863,417000.0,0.0,1.0
1998-03-27,37.69,38.0,37.56,37.63,17.032,540600.0,0.0,1.0
1998-03-30,37.38,37.81,37.25,37.69,17.0591,413600.0,0.0,1.0
1998-03-31,37.63,38.06,37.44,38.0,17.1994,460000.0,0.0,1.0
1998-04-01,37.75,37.88,36.63,37.69,17.0591,837100.0,0.0,1.0
1998-04-02,37.75,38.13,37.38,38.13,17.2583,588400.0,0.0,1.0
1998-04-03,37.94,38.0,37.06,37.5,16.9731,558300.0,0.0,1.0
1998-04-06,37.38,37.38,36.81,37.06,16.774,748900.0,0.0,1.0
1998-04-07,37.13,37.13,36.44,36.81,16.6608,600000.0,0.0,1.0
1998-04-08,36.69,37.0,35.88,36.75,16.6337,918900.0,0.0,1.0
1998-04-09,36.75,36.75,35.75,36.0,16.2942,653100.0,0.0,1.0
1998-04-13,36.44,37.13,35.94,36.44,16.4933,685500.0,0.0,1.0
1998-04-14,37.0,37.94,37.0,37.38,16.9188,912300.0,0.0,1.0
1998-04-15,37.44,38.38,37.44,38.25,17.3126,1035900.0,0.0,1.0
