date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-09-24,53.5,54.25,44.25,47.38,0.8392,9095400.0,0.0,1.0
1998-09-25,45.5,46.13,41.13,44.88,0.7949,2126400.0,0.0,1.0
1998-09-28,47.5,50.88,46.0,48.25,0.8546,1574300.0,0.0,1.0
1998-09-29,49.38,50.25,47.75,48.88,0.8657,689000.0,0.0,1.0
1998-09-30,47.19,48.0,43.25,45.06,0.7981,773600.0,0.0,1.0
1998-10-01,42.63,43.25,40.0,40.0,0.7085,779200.0,0.0,1.0
1998-10-02,40.5,41.75,35.0,40.0,0.7085,821000.0,0.0,1.0
1998-10-05,39.13,39.13,34.88,35.88,0.6355,593300.0,0.0,1.0
1998-10-06,38.25,38.25,32.0,36.5,0.6465,706200.0,0.0,1.0
1998-10-07,35.0,35.63,30.88,30.88,0.5469,614800.0,0.0,1.0
1998-10-08,27.88,29.25,25.25,29.0,0.5136,1002600.0,0.0,1.0
1998-10-09,30.75,32.25,29.5,30.81,0.5457,675500.0,0.0,1.0
1998-10-12,32.0,32.0,31.5,31.5,0.5579,494500.0,0.0,1.0
1998-10-13,31.56,31.75,29.25,29.38,0.5204,270600.0,0.0,1.0
1998-10-14,29.13,32.13,29.13,30.13,0.5336,542500.0,0.0,1.0
1998-10-15,30.13,32.75,30.13,32.63,0.5779,511100.0,0.0,1.0
1998-10-16,33.38,36.5,33.0,36.0,0.6376,760100.0,0.0,1.0
1998-10-19,37.13,46.0,37.0,45.38,0.8037,1370500.0,0.0,1.0
1998-10-20,49.0,51.88,45.25,46.5,0.8236,1916600.0,0.0,1.0
1998-10-21,49.0,51.5,47.25,50.56,0.8955,1152200.0,0.0,1.0
1998-10-22,51.75,53.5,49.25,51.56,0.9132,935100.0,0.0,1.0
1998-10-23,51.63,52.25,49.5,50.13,0.8879,566600.0,0.0,1.0
1998-10-26,60.0,73.5,58.75,73.38,1.2997,6838900.0,0.0,1.0
1998-10-27,81.5,90.81,80.25,82.5,1.4612,10013900.0,0.0,1.0
1998-10-28,78.0,84.75,76.5,80.0,1.4169,4464000.0,0.0,1.0
1998-10-29,81.25,82.94,79.75,79.88,1.4148,1423100.0,0.0,1.0
1998-10-30,80.88,84.38,80.06,83.13,1.4723,1665000.0,0.0,1.0
1998-11-02,86.88,87.75,83.75,84.0,1.4877,2169400.0,0.0,1.0
1998-11-03,85.0,85.5,83.0,84.0,1.4877,806300.0,0.0,1.0
1998-11-04,85.5,85.75,81.69,82.69,1.4645,782700.0,0.0,1.0
1998-11-05,81.0,83.75,78.75,81.19,1.438,1158900.0,0.0,1.0
1998-11-06,80.38,84.44,80.25,84.0,1.4877,858700.0,0.0,1.0
1998-11-09,84.63,103.0,84.5,103.0,1.8243,3548600.0,0.0,1.0
1998-11-10,112.7,140.0,111.1,130.9,2.3184,10130800.0,0.0,1.0
1998-11-11,127.3,135.3,114.1,115.9,2.0527,5381500.0,0.0,1.0
1998-11-12,113.9,132.9,112.5,126.1,2.2334,3922900.0,0.0,1.0
1998-11-13,130.0,132.9,119.8,123.9,2.1944,2379500.0,0.0,1.0
1998-11-16,129.5,130.0,122.2,127.6,2.26,1445200.0,0.0,1.0
1998-11-17,127.5,133.0,124.0,128.6,2.2777,1430200.0,0.0,1.0
1998-11-18,130.5,148.5,125.4,147.5,2.6124,3528200.0,0.0,1.0
1998-11-19,151.0,155.1,141.8,143.8,2.5469,2384500.0,0.0,1.0
1998-11-20,150.0,150.0,140.4,147.0,2.6036,1178700.0,0.0,1.0
1998-11-23,153.0,195.5,151.7,193.0,3.4183,2850000.0,0.0,1.0
1998-11-24,189.0,234.1,178.0,196.8,3.4856,6005400.0,0.0,1.0
1998-11-25,201.0,214.25,195.5,204.5,3.622,3429200.0,0.0,1.0
1998-11-27,211.0,220.1,207.0,218.0,3.8611,1168500.0,0.0,1.0
1998-11-30,224.4,225.0,188.0,197.6,3.4997,2380900.0,0.0,1.0
1998-12-01,187.1,209.0,182.0,207.3,3.6715,2593200.0,0.0,1.0
1998-12-02,206.0,214.0,198.0,203.0,3.5954,1263900.0,0.0,1.0
1998-12-03,198.3,208.3,185.0,187.0,3.312,1341000.0,0.0,1.0
1998-12-04,195.5,198.0,160.3,182.5,3.2323,2425100.0,0.0,1.0
1998-12-07,183.0,183.0,167.0,174.3,3.0871,2023400.0,0.0,1.0
1998-12-08,168.0,182.0,166.5,176.9,3.1331,2119600.0,0.0,1.0
1998-12-09,177.6,194.5,172.8,179.5,3.1792,2094400.0,0.0,1.0
1998-12-10,184.0,190.6,180.1,186.1,3.2961,1999600.0,0.0,1.0
1998-12-11,182.3,193.3,182.1,192.0,3.4006,1056700.0,0.0,1.0
1998-12-14,185.9,193.0,185.5,188.5,3.3386,818700.0,0.0,1.0
1998-12-15,192.5,194.4,189.3,194.0,3.436,708900.0,0.0,1.0
1998-12-16,200.1,226.0,200.0,223.5,3.9585,2161400.0,0.0,1.0
1998-12-17,218.0,243.5,215.5,238.3,4.2206,1864600.0,0.0,1.0
