date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,50.63,50.88,50.5,50.63,8.113,104300.0,0.0,1.0
1998-01-05,50.63,51.0,50.5,50.75,8.1322,312400.0,0.0,1.0
1998-01-06,50.88,51.0,50.63,50.69,8.1226,348700.0,0.0,1.0
1998-01-07,50.75,50.88,50.63,50.69,8.1226,232800.0,0.0,1.0
1998-01-08,50.69,51.0,50.69,50.94,8.1627,217200.0,0.0,1.0
1998-01-09,51.06,51.81,50.88,51.0,8.1723,226200.0,0.0,1.0
1998-01-12,50.75,50.75,50.25,50.5,8.0922,164600.0,0.0,1.0
1998-01-13,50.38,50.63,50.38,50.44,8.0826,151700.0,0.0,1.0
1998-01-14,50.5,50.75,50.38,50.69,8.1226,93900.0,0.0,1.0
1998-01-15,50.69,51.56,50.69,51.5,8.2524,227000.0,0.0,1.0
1998-01-16,52.0,52.38,52.0,52.13,8.3534,275900.0,0.0,1.0
1998-01-20,52.38,52.44,51.0,51.13,8.1931,52100.0,0.0,1.0
1998-01-21,51.13,51.13,50.38,50.44,8.0826,87500.0,0.0,1.0
1998-01-22,50.25,50.38,50.0,50.13,8.0329,1021500.0,0.0,1.0
1998-01-23,50.19,50.38,50.0,50.06,8.0217,268400.0,0.0,1.0
1998-01-26,50.06,50.25,50.0,50.19,8.0425,137400.0,0.0,1.0
1998-01-27,50.25,50.44,50.06,50.25,8.0521,113200.0,0.0,1.0
1998-01-28,50.38,51.25,50.25,51.25,8.2124,280100.0,0.0,1.0
1998-01-29,51.19,51.38,51.0,51.06,8.1819,227400.0,0.0,1.0
1998-01-30,51.13,51.25,51.0,51.13,8.1931,146900.0,0.0,1.0
1998-02-02,51.44,51.44,51.06,51.13,8.1931,175400.0,0.0,1.0
1998-02-03,51.06,51.19,50.63,50.81,8.1418,107700.0,0.0,1.0
1998-02-04,50.94,50.94,50.31,50.44,8.0826,129800.0,0.0,1.0
1998-02-05,50.44,50.69,50.38,50.44,8.0826,140000.0,0.0,1.0
1998-02-06,50.44,50.56,50.38,50.5,8.0922,80200.0,0.0,1.0
1998-02-09,50.38,50.75,50.25,50.63,8.113,279100.0,0.0,1.0
1998-02-10,50.75,50.75,50.63,50.69,8.1226,212600.0,0.0,1.0
1998-02-11,50.75,50.88,50.56,50.56,8.1018,155400.0,0.0,1.0
1998-02-12,50.63,50.63,50.5,50.5,8.0922,125900.0,0.0,1.0
1998-02-13,50.38,50.56,50.25,50.25,8.0521,341500.0,0.0,1.0
1998-02-17,50.25,50.56,50.25,50.38,8.0729,204100.0,0.0,1.0
1998-02-18,50.38,50.44,49.94,50.0,8.0121,247900.0,0.0,1.0
1998-02-19,49.88,49.88,48.75,49.0,7.8518,332200.0,0.0,1.0
1998-02-20,49.0,49.25,49.0,49.06,7.8614,507800.0,0.0,1.0
1998-02-23,49.06,49.75,49.06,49.5,7.9319,173400.0,0.0,1.0
1998-02-24,49.5,49.63,48.94,49.0,7.8518,387600.0,0.0,1.0
1998-02-25,49.0,49.13,48.94,49.06,7.8614,294200.0,0.0,1.0
1998-02-26,49.06,49.13,48.88,49.0,7.8518,216300.0,0.0,1.0
1998-02-27,49.0,49.0,47.94,48.0,7.6916,1633800.0,0.0,1.0
1998-03-02,47.94,47.94,46.94,47.5,7.6114,871900.0,0.0,1.0
1998-03-03,47.5,48.25,47.44,47.94,7.682,499100.0,0.0,1.0
1998-03-04,47.88,48.5,47.75,48.5,7.7717,253500.0,0.0,1.0
1998-03-05,48.25,48.63,48.0,48.13,7.7124,156800.0,0.0,1.0
1998-03-06,48.13,48.75,48.13,48.75,7.8117,266800.0,0.0,1.0
1998-03-09,48.63,48.81,48.5,48.69,7.8021,207300.0,0.0,1.0
1998-03-10,48.69,48.88,48.63,48.75,7.8117,365900.0,0.0,1.0
1998-03-11,48.75,49.13,48.75,48.94,7.8422,217700.0,0.0,1.0
1998-03-12,49.0,49.0,48.88,49.0,7.8518,87800.0,0.0,1.0
1998-03-13,49.0,49.0,48.5,48.81,7.8214,317100.0,0.0,1.0
1998-03-16,48.75,48.94,48.75,48.75,7.8117,119800.0,0.0,1.0
1998-03-17,48.81,48.81,48.5,48.5,7.7717,321200.0,0.0,1.0
1998-03-18,48.63,48.75,48.44,48.75,7.8117,254200.0,0.0,1.0
1998-03-19,48.75,49.0,48.69,48.94,7.8422,582600.0,0.0,1.0
1998-03-20,49.63,50.13,49.63,50.0,8.0121,930200.0,0.0,1.0
1998-03-23,50.13,50.19,49.75,49.75,7.972,246200.0,0.0,1.0
1998-03-24,49.88,50.13,49.75,49.88,7.9928,683300.0,0.0,1.0
1998-03-25,49.5,50.63,49.44,50.44,8.1899,1112700.0,0.67,1.0
1998-03-26,50.31,51.0,50.13,50.81,8.25,145800.0,0.0,1.0
1998-03-27,50.5,50.75,50.13,50.44,8.1899,115900.0,0.0,1.0
1998-03-30,50.44,50.69,50.38,50.38,8.1802,82000.0,0.0,1.0
1998-03-31,50.38,50.44,49.88,50.25,8.1591,245400.0,0.0,1.0
1998-04-01,50.25,50.44,50.0,50.31,8.1688,159100.0,0.0,1.0
1998-04-02,50.31,50.5,50.13,50.38,8.1802,288900.0,0.0,1.0
1998-04-03,50.44,50.94,50.38,50.63,8.2208,148700.0,0.0,1.0
1998-04-06,50.75,51.0,50.06,50.13,8.1396,201500.0,0.0,1.0
1998-04-07,50.0,50.63,50.0,50.56,8.2094,176400.0,0.0,1.0
1998-04-08,50.56,50.88,50.44,50.88,8.2614,164700.0,0.0,1.0
1998-04-09,50.81,51.25,50.81,51.25,8.3214,340200.0,0.0,1.0
1998-04-13,51.13,52.56,51.13,51.69,8.3929,241600.0,0.0,1.0
1998-04-14,51.56,51.94,51.44,51.44,8.3523,632700.0,0.0,1.0
1998-04-15,51.31,51.5,51.25,51.25,8.3214,192800.0,0.0,1.0
1998-04-16,51.0,51.0,50.63,50.69,8.2305,190200.0,0.0,1.0
1998-04-17,50.56,50.56,49.5,49.88,8.099,339200.0,0.0,1.0
1998-04-20,50.0,50.25,49.81,49.81,8.0876,151400.0,0.0,1.0
1998-04-21,49.75,49.88,49.31,49.38,8.0178,714900.0,0.0,1.0
1998-04-22,49.38,49.69,49.25,49.44,8.0275,167300.0,0.0,1.0
1998-04-23,49.5,49.63,49.13,49.13,7.9772,117600.0,0.0,1.0
1998-04-24,49.19,49.19,48.31,48.38,7.8554,73000.0,0.0,1.0
1998-04-27,48.38,48.69,48.13,48.44,7.8652,129100.0,0.0,1.0
1998-04-28,48.56,48.94,48.5,48.69,7.9058,132200.0,0.0,1.0
1998-04-29,48.69,49.38,48.56,49.13,7.9772,87400.0,0.0,1.0
1998-04-30,49.31,49.38,49.06,49.13,7.9772,273000.0,0.0,1.0
1998-05-01,49.13,49.38,49.13,49.19,7.987,137500.0,0.0,1.0
1998-05-04,49.19,49.31,49.19,49.19,7.987,142200.0,0.0,1.0
1998-05-05,49.25,49.25,49.06,49.06,7.9658,75000.0,0.0,1.0
1998-05-06,49.19,49.5,49.06,49.06,7.9658,118400.0,0.0,1.0
