date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,11.75,12.13,11.69,12.06,6.6577,284900.0,0.0,1.0
1998-01-05,12.19,12.44,12.13,12.38,6.8344,469800.0,0.0,1.0
1998-01-06,12.25,12.56,12.13,12.5,6.9006,820400.0,0.0,1.0
1998-01-07,12.5,12.69,12.5,12.69,7.0055,956400.0,0.0,1.0
1998-01-08,12.63,12.88,12.5,12.81,7.0718,328400.0,0.0,1.0
1998-01-09,12.69,12.75,12.5,12.56,6.9338,407400.0,0.0,1.0
1998-01-12,12.38,12.56,12.38,12.5,6.9006,207400.0,0.0,1.0
1998-01-13,12.63,12.63,12.31,12.63,6.9724,139100.0,0.0,1.0
1998-01-14,12.63,12.63,12.5,12.63,6.9724,220400.0,0.0,1.0
1998-01-15,12.5,12.56,12.5,12.56,6.9338,283000.0,0.0,1.0
1998-01-16,12.5,12.59,12.5,12.5,6.9006,253400.0,0.0,1.0
1998-01-20,12.5,12.81,12.5,12.75,7.0387,427400.0,0.0,1.0
1998-01-21,12.5,12.56,12.13,12.13,6.6964,344300.0,0.0,1.0
1998-01-22,12.0,12.19,11.94,12.06,6.6577,270100.0,0.0,1.0
1998-01-23,12.06,12.13,12.0,12.13,6.6964,75500.0,0.0,1.0
1998-01-26,12.0,12.25,11.88,12.25,6.7626,198100.0,0.0,1.0
1998-01-27,12.13,12.25,11.88,11.88,6.5584,206300.0,0.0,1.0
1998-01-28,12.0,12.19,11.94,12.06,6.6577,361600.0,0.0,1.0
1998-01-29,12.0,12.13,11.94,11.94,6.5915,499600.0,0.0,1.0
1998-01-30,12.0,12.31,11.88,12.25,6.7626,1515000.0,0.0,1.0
1998-02-02,12.31,12.38,12.25,12.31,6.7958,149100.0,0.0,1.0
1998-02-03,12.19,12.38,12.13,12.31,6.7958,546700.0,0.0,1.0
1998-02-04,12.38,12.5,12.25,12.5,6.9006,282200.0,0.0,1.0
1998-02-05,12.5,12.63,12.44,12.63,6.9724,370900.0,0.0,1.0
1998-02-06,12.56,12.75,12.56,12.75,7.0387,264300.0,0.0,1.0
1998-02-09,12.69,12.75,12.56,12.56,6.9338,181000.0,0.0,1.0
1998-02-10,12.56,12.69,12.5,12.56,6.9338,574500.0,0.0,1.0
1998-02-11,12.56,12.69,12.44,12.56,6.9338,457400.0,0.0,1.0
1998-02-12,12.44,12.75,12.44,12.75,7.0387,204300.0,0.0,1.0
1998-02-13,12.63,12.69,12.5,12.56,6.9338,222500.0,0.0,1.0
1998-02-17,12.56,12.63,12.56,12.56,6.9338,153700.0,0.0,1.0
1998-02-18,12.56,12.69,12.38,12.69,7.0055,202000.0,0.0,1.0
1998-02-19,12.56,12.63,12.38,12.5,6.9006,689600.0,0.0,1.0
1998-02-20,12.5,12.5,12.38,12.5,6.9006,129000.0,0.0,1.0
1998-02-23,12.38,12.63,12.38,12.5,6.9006,372800.0,0.0,1.0
1998-02-24,12.44,12.56,12.44,12.5,6.9006,99200.0,0.0,1.0
