date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,22.87,23.12,21.5,22.94,57.0111,554250.0,0.0,1.0
1998-01-05,23.25,25.37,22.75,25.31,62.9011,3256000.0,0.0,1.0
1998-01-06,25.12,25.37,24.0,24.59,61.1117,1034750.0,0.0,1.0
1998-01-07,24.25,25.25,22.25,24.94,61.9815,1632500.0,0.0,1.0
1998-01-08,24.62,25.37,24.12,24.44,60.7389,1622750.0,0.0,1.0
1998-01-09,24.25,24.31,22.5,22.87,56.8371,1492500.0,0.0,1.0
1998-01-12,22.0,23.5,21.19,22.62,56.2158,1047000.0,0.0,1.0
1998-01-13,23.12,23.5,22.62,22.84,56.7626,597250.0,0.0,1.0
1998-01-14,23.0,23.12,22.25,22.75,56.5389,515500.0,0.0,1.0
1998-01-15,22.37,22.94,21.87,22.56,56.0667,353750.0,0.0,1.0
1998-01-16,22.62,23.12,22.25,22.87,56.8371,494000.0,0.0,1.0
1998-01-20,23.44,23.62,22.75,23.31,57.9306,680750.0,0.0,1.0
1998-01-21,23.25,24.25,22.62,23.94,59.4963,856500.0,0.0,1.0
1998-01-22,23.87,24.0,23.37,23.69,58.875,479250.0,0.0,1.0
1998-01-23,23.44,23.87,21.5,22.0,54.675,1400500.0,0.0,1.0
1998-01-26,22.0,22.12,19.94,20.25,50.3258,1141500.0,0.0,1.0
1998-01-27,19.87,21.37,19.75,19.91,49.4808,1175000.0,0.0,1.0
1998-01-28,19.94,20.5,18.75,20.44,50.798,1334750.0,0.0,1.0
1998-01-29,20.5,20.5,20.0,20.19,50.1767,886500.0,0.0,1.0
1998-01-30,20.25,21.94,20.12,21.81,54.2028,1258750.0,0.0,1.0
1998-02-02,22.5,24.0,22.37,23.81,59.1732,1755750.0,0.0,1.0
1998-02-03,23.81,25.0,23.75,24.75,61.5093,1136500.0,0.0,1.0
1998-02-04,24.5,24.75,23.87,24.56,61.0371,804000.0,0.0,1.0
1998-02-05,24.81,25.0,24.0,25.0,62.1306,1025750.0,0.0,1.0
1998-02-06,25.0,25.25,23.19,23.19,57.6324,762000.0,0.0,1.0
1998-02-09,23.5,27.5,23.5,27.37,68.0206,2229000.0,0.0,1.0
1998-02-10,27.12,27.75,26.37,26.75,66.4798,1268250.0,0.0,1.0
1998-02-11,26.62,26.94,25.75,26.62,66.1567,596500.0,0.0,1.0
1998-02-12,26.25,27.87,26.25,27.75,68.965,736250.0,0.0,1.0
1998-02-13,27.5,27.75,25.75,26.12,64.9141,1831250.0,0.0,1.0
1998-02-17,26.44,26.5,25.62,26.0,64.6159,648500.0,0.0,1.0
1998-02-18,25.87,26.25,25.25,25.5,63.3733,574000.0,0.0,1.0
1998-02-19,25.75,26.25,25.31,26.0,64.6159,470500.0,0.0,1.0
1998-02-20,26.25,26.75,25.75,25.87,64.2928,683000.0,0.0,1.0
1998-02-23,26.0,26.5,26.0,26.28,65.3117,483000.0,0.0,1.0
1998-02-24,26.19,26.5,25.37,25.69,63.8454,796500.0,0.0,1.0
1998-02-25,25.69,26.0,24.75,24.81,61.6584,1056750.0,0.0,1.0
