date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,89.0,89.06,87.19,87.44,12.2093,349500.0,0.0,1.0
1998-01-05,88.69,88.94,88.0,88.88,12.4104,604400.0,0.0,1.0
1998-01-06,88.88,90.44,88.88,90.25,12.6016,382000.0,0.0,1.0
1998-01-07,90.19,91.0,89.81,90.38,12.6198,506200.0,0.0,1.0
1998-01-08,91.38,91.94,90.44,91.19,12.7329,332900.0,0.0,1.0
1998-01-09,91.0,91.06,85.88,86.06,12.0166,765100.0,0.0,1.0
1998-01-12,85.25,88.38,85.19,87.69,12.2442,480000.0,0.0,1.0
1998-01-13,87.63,89.38,87.13,89.06,12.4355,482800.0,0.0,1.0
1998-01-14,89.25,90.5,89.06,90.31,12.61,318300.0,0.0,1.0
1998-01-15,90.31,91.31,90.06,90.69,12.6631,215300.0,0.0,1.0
1998-01-16,91.0,93.13,91.0,92.44,12.9074,286100.0,0.0,1.0
1998-01-20,92.19,92.19,88.63,88.75,12.3922,316600.0,0.0,1.0
1998-01-21,89.0,90.13,89.0,89.75,12.5318,555000.0,0.0,1.0
1998-01-22,89.63,90.25,89.0,89.44,12.4885,462300.0,0.0,1.0
1998-01-23,89.38,90.13,88.31,88.38,12.3405,647300.0,0.0,1.0
1998-01-26,88.0,89.0,87.5,88.63,12.3754,350200.0,0.0,1.0
1998-01-27,88.63,88.69,88.13,88.13,12.3056,415400.0,0.0,1.0
1998-01-28,88.13,89.0,87.75,87.81,12.261,329200.0,0.0,1.0
1998-01-29,88.13,92.38,88.0,91.06,12.7148,423000.0,0.0,1.0
1998-01-30,90.81,91.31,89.5,89.75,12.5318,223600.0,0.0,1.0
1998-02-02,90.25,93.31,90.25,93.13,13.0038,304700.0,0.0,1.0
1998-02-03,92.88,94.13,92.88,94.13,13.1434,247600.0,0.0,1.0
1998-02-04,94.13,94.13,92.81,92.88,12.9689,161000.0,0.0,1.0
1998-02-05,92.94,94.63,92.94,93.31,13.0904,257000.0,0.44,1.0
1998-02-06,94.19,94.38,93.5,93.63,13.1352,279400.0,0.0,1.0
1998-02-09,93.75,95.5,93.75,94.13,13.2054,205600.0,0.0,1.0
1998-02-10,94.19,94.19,92.81,93.0,13.0469,409100.0,0.0,1.0
1998-02-11,93.06,93.06,92.25,92.44,12.9683,280500.0,0.0,1.0
1998-02-12,92.38,92.38,90.88,91.5,12.8364,357800.0,0.0,1.0
1998-02-13,91.56,91.69,90.88,91.06,12.7747,391700.0,0.0,1.0
1998-02-17,92.0,95.31,92.0,92.44,12.9683,485800.0,0.0,1.0
1998-02-18,91.5,93.0,91.06,92.31,12.9501,226900.0,0.0,1.0
1998-02-19,92.31,93.0,91.5,92.25,12.9417,334200.0,0.0,1.0
1998-02-20,92.75,93.19,92.31,93.0,13.0469,521700.0,0.0,1.0
1998-02-23,92.75,94.0,92.75,93.5,13.117,233400.0,0.0,1.0
1998-02-24,93.25,94.63,93.06,94.0,13.1872,310800.0,0.0,1.0
1998-02-25,94.06,96.31,94.0,95.38,13.3808,333100.0,0.0,1.0
1998-02-26,95.63,96.69,95.5,96.63,13.5561,177700.0,0.0,1.0
1998-02-27,96.56,97.25,95.75,96.06,13.4762,214800.0,0.0,1.0
1998-03-02,95.94,95.94,94.56,95.69,13.4242,128700.0,0.0,1.0
1998-03-03,95.19,96.19,94.63,95.69,13.4242,129500.0,0.0,1.0
1998-03-04,96.13,97.44,95.88,96.69,13.5645,245100.0,0.0,1.0
1998-03-05,96.25,96.31,95.31,95.63,13.4158,162800.0,0.0,1.0
1998-03-06,95.38,97.5,95.06,95.63,13.4158,256600.0,0.0,1.0
1998-03-09,95.63,96.5,94.81,95.25,13.3625,173900.0,0.0,1.0
1998-03-10,95.25,97.56,95.13,96.5,13.5379,162100.0,0.0,1.0
1998-03-11,96.25,96.94,95.81,95.88,13.4509,117000.0,0.0,1.0
1998-03-12,95.63,96.94,95.38,96.19,13.4944,305900.0,0.0,1.0
1998-03-13,96.06,97.38,94.75,94.75,13.2924,169500.0,0.0,1.0
1998-03-16,94.75,95.5,94.38,95.5,13.3976,157600.0,0.0,1.0
