date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-06-04,55.24,55.48,53.48,54.0,52.6853,51172100.0,0.0,1.0
2018-06-05,54.0,54.0,54.0,54.0,52.6853,2904786.0,0.0,1.0
2018-06-06,54.05,54.19,52.11,52.29,51.0169,3642973.0,0.0,1.0
2018-06-07,52.25,52.56,51.74,51.93,50.6657,2928630.0,0.0,1.0
2018-06-08,52.26,52.51,51.26,51.32,50.0706,1830776.0,0.0,1.0
2018-06-11,51.46,51.76,50.89,51.57,50.3145,2490703.0,0.0,1.0
2018-06-12,51.83,52.46,51.47,52.25,50.9779,2956130.0,0.0,1.0
2018-06-13,52.4,53.12,51.67,52.18,50.9096,2088989.0,0.0,1.0
2018-06-14,52.45,52.75,51.63,51.95,50.6852,2494432.0,0.0,1.0
2018-06-15,52.06,53.16,51.65,52.78,51.495,5928826.0,0.0,1.0
2018-06-18,52.78,53.22,52.26,52.93,51.6414,1874817.0,0.0,1.0
2018-06-19,53.24,54.0,53.09,53.97,52.656,2585688.0,0.0,1.0
2018-06-20,53.72,54.46,53.3,54.2,52.8804,1355965.0,0.0,1.0
2018-06-21,54.39,54.77,53.91,54.17,52.8512,1951191.0,0.0,1.0
2018-06-22,54.06,54.55,53.96,54.44,53.1146,2453877.0,0.0,1.0
2018-06-25,54.36,55.09,54.03,54.91,53.5731,2031643.0,0.0,1.0
2018-06-26,54.57,55.85,54.57,55.21,53.8658,2018132.0,0.0,1.0
2018-06-27,55.1,55.81,55.01,55.46,54.1098,1506724.0,0.0,1.0
2018-06-28,55.37,56.29,55.3,55.71,54.3537,1226498.0,0.0,1.0
2018-06-29,55.54,56.25,55.07,56.15,54.783,2189669.0,0.0,1.0
2018-07-02,56.14,56.89,56.11,56.81,55.4269,1952092.0,0.0,1.0
2018-07-03,56.81,57.07,56.26,56.55,55.1732,849502.0,0.0,1.0
2018-07-05,56.55,56.735,55.96,56.56,55.183,1523880.0,0.0,1.0
2018-07-06,56.45,57.09,56.41,56.76,55.3781,1242355.0,0.0,1.0
2018-07-09,56.7,56.74,54.6,54.77,53.4366,1309031.0,0.0,1.0
2018-07-10,54.37,55.04,54.17,55.0,53.661,1776735.0,0.0,1.0
2018-07-11,55.18,56.14,54.93,55.97,54.6073,1061935.0,0.0,1.0
2018-07-12,55.71,56.07,55.35,55.75,54.3927,1423293.0,0.0,1.0
2018-07-13,55.8,56.07,55.55,55.91,54.5488,888701.0,0.0,1.0
2018-07-16,55.76,56.09,55.55,56.0,54.6366,740531.0,0.0,1.0
2018-07-17,56.24,56.4,55.8458,56.03,54.6659,1213722.0,0.0,1.0
2018-07-18,55.83,56.03,55.18,55.55,54.1976,680418.0,0.0,1.0
2018-07-19,55.65,56.58,55.65,56.15,54.783,874451.0,0.0,1.0
2018-07-20,55.77,56.16,55.561,55.71,54.3537,817541.0,0.0,1.0
2018-07-23,55.79,55.8,54.93,55.05,53.7097,1459946.0,0.0,1.0
2018-07-24,54.91,55.31,54.37,54.99,53.6512,1560829.0,0.0,1.0
2018-07-25,54.95,55.53,54.84,55.04,53.7,1947552.0,0.0,1.0
2018-07-26,55.31,55.88,55.11,55.48,54.1293,951611.0,0.0,1.0
2018-07-27,55.43,55.73,54.9,55.33,53.9829,1013210.0,0.0,1.0
2018-07-30,55.3,55.89,54.8229,55.41,54.061,951443.0,0.0,1.0
2018-07-31,55.51,56.23,55.05,56.09,54.7244,1155699.0,0.0,1.0
2018-08-01,55.81,56.04,54.94,55.6,54.2463,914627.0,0.0,1.0
2018-08-02,55.54,56.12,55.38,55.82,54.461,1081343.0,0.0,1.0
2018-08-03,55.89,56.64,55.44,56.18,54.8122,1089819.0,0.0,1.0
2018-08-06,56.17,56.9,55.9501,56.15,54.783,1159138.0,0.0,1.0
2018-08-07,56.15,56.77,55.91,56.62,55.2415,1412066.0,0.0,1.0
2018-08-08,56.41,56.62,56.11,56.37,54.9976,1111468.0,0.0,1.0
2018-08-09,55.6,57.32,55.51,57.02,55.6318,1610132.0,0.0,1.0
2018-08-10,57.12,57.99,57.12,57.68,56.2757,1507528.0,0.0,1.0
2018-08-13,57.45,57.805,57.01,57.61,56.2074,1977295.0,0.0,1.0
2018-08-14,57.64,57.96,57.34,57.44,56.0416,1033225.0,0.0,1.0
2018-08-15,57.46,58.22,57.26,57.69,56.2855,1423625.0,0.0,1.0
2018-08-16,57.57,57.88,57.3,57.68,56.2757,1828457.0,0.0,1.0
2018-08-17,57.57,58.22,57.3681,57.87,56.4611,3784634.0,0.0,1.0
2018-08-20,57.87,58.24,57.64,57.85,56.4416,1413355.0,0.0,1.0
2018-08-21,57.65,57.68,57.32,57.41,56.0123,1729299.0,0.0,1.0
2018-08-22,57.53,57.63,56.81,56.99,55.6025,1304378.0,0.0,1.0
2018-08-23,56.91,57.41,56.82,56.94,55.5537,995955.0,0.0,1.0
2018-08-24,56.97,57.52,56.61,57.45,56.0513,1137851.0,0.0,1.0
2018-08-27,57.43,57.76,56.7,56.96,55.5732,2003756.0,0.0,1.0
2018-08-28,56.44,57.28,56.27,56.9,55.9635,1428868.0,0.46,1.0
2018-08-29,56.82,57.31,56.72,57.11,56.17,1266092.0,0.0,1.0
2018-08-30,57.28,57.61,57.12,57.35,56.4061,994138.0,0.0,1.0
2018-08-31,57.46,57.64,56.93,57.05,56.111,1422216.0,0.0,1.0
2018-09-04,57.27,57.68,57.03,57.51,56.5635,1135348.0,0.0,1.0
2018-09-05,57.63,58.62,57.63,58.52,57.5568,1871963.0,0.0,1.0
2018-09-06,58.41,59.28,58.41,58.95,57.9798,1559552.0,0.0,1.0
2018-09-07,58.43,58.86,58.28,58.3,57.3405,1598405.0,0.0,1.0
2018-09-10,58.43,58.98,58.3,58.48,57.5175,1660024.0,0.0,1.0
2018-09-11,58.34,58.75,58.34,58.41,57.4486,1194773.0,0.0,1.0
2018-09-12,58.35,58.6,57.99,58.15,57.1929,1221583.0,0.0,1.0
2018-09-13,58.24,58.33,57.8,58.1,57.1437,1289140.0,0.0,1.0
2018-09-14,58.07,58.07,57.28,57.76,56.8093,1268817.0,0.0,1.0
2018-09-17,57.92,58.13,57.48,57.7,56.7503,1355089.0,0.0,1.0
2018-09-18,57.47,57.81,56.42,57.48,56.534,1420615.0,0.0,1.0
2018-09-19,57.5,57.5,55.71,55.91,54.9898,3316033.0,0.0,1.0
2018-09-20,55.79,56.06,55.36,55.77,54.8521,2740649.0,0.0,1.0
2018-09-21,55.61,56.16,55.27,55.87,54.9505,7317026.0,0.0,1.0
2018-09-24,55.95,55.98,55.31,55.65,54.7341,2633488.0,0.0,1.0
2018-09-25,55.56,55.6,54.93,55.02,54.1144,2801208.0,0.0,1.0
2018-09-26,55.14,55.42,54.19,54.23,53.3374,1548346.0,0.0,1.0
2018-09-27,54.27,54.77,54.22,54.31,53.4161,2383141.0,0.0,1.0
2018-09-28,54.5,54.95,54.34,54.92,54.0161,2879376.0,0.0,1.0
2018-10-01,54.96,55.35,54.82,55.13,54.2226,1159288.0,0.0,1.0
2018-10-02,55.14,55.625,55.11,55.44,54.5275,1495552.0,0.0,1.0
2018-10-03,55.35,55.63,54.26,54.89,53.9866,1927079.0,0.0,1.0
2018-10-04,54.74,55.4911,54.26,55.25,54.3407,1303763.0,0.0,1.0
2018-10-05,55.09,55.87,55.08,55.72,54.8029,1660586.0,0.0,1.0
2018-10-08,55.76,56.415,55.735,56.12,55.1963,2176142.0,0.0,1.0
2018-10-09,56.28,56.75,56.0,56.38,55.4521,1290854.0,0.0,1.0
2018-10-10,56.19,56.97,56.06,56.11,55.1865,1870055.0,0.0,1.0
2018-10-11,56.3,56.55,55.22,55.54,54.6259,2516863.0,0.0,1.0
2018-10-12,55.46,55.86,54.89,55.62,54.7046,1758276.0,0.0,1.0
2018-10-15,55.64,56.12,55.64,55.73,54.8128,1239484.0,0.0,1.0
2018-10-16,55.57,56.44,55.38,56.14,55.216,1639874.0,0.0,1.0
2018-10-17,56.04,56.3,55.84,56.01,55.0881,1169590.0,0.0,1.0
2018-10-18,56.07,56.29,55.83,56.26,55.334,1178520.0,0.0,1.0
2018-10-19,56.24,57.18,56.115,57.02,56.0815,1518972.0,0.0,1.0
2018-10-22,57.02,57.07,56.51,56.81,55.875,1479408.0,0.0,1.0
2018-10-23,56.85,57.24,56.11,56.43,55.5012,1596209.0,0.0,1.0
2018-10-24,56.63,57.69,56.41,57.31,56.3668,1493426.0,0.0,1.0
2018-10-25,57.03,57.03,56.51,56.75,55.816,1185651.0,0.0,1.0
2018-10-26,56.93,57.24,55.58,56.12,55.1963,1783331.0,0.0,1.0
2018-10-29,56.2,57.05,56.2,56.57,55.6389,1290427.0,0.0,1.0
2018-10-30,56.77,56.94,55.855,56.28,55.3537,1448687.0,0.0,1.0
2018-10-31,56.08,56.4,55.41,55.99,55.0685,2117244.0,0.0,1.0
2018-11-01,55.93,56.22,55.7,56.11,55.1865,1778066.0,0.0,1.0
2018-11-02,56.21,56.6,55.49,55.83,54.9111,983260.0,0.0,1.0
2018-11-05,55.63,56.76,55.58,56.34,55.4127,1330870.0,0.0,1.0
2018-11-06,56.36,57.14,56.21,57.02,56.0815,1085389.0,0.0,1.0
2018-11-07,57.18,57.46,56.74,57.18,56.2389,1299511.0,0.0,1.0
2018-11-08,58.01,58.01,56.205,57.14,56.1995,1772166.0,0.0,1.0
2018-11-09,57.22,58.51,57.03,58.35,57.3896,1391469.0,0.0,1.0
2018-11-12,58.2,59.79,58.14,59.31,58.3338,1353490.0,0.0,1.0
2018-11-13,59.24,59.86,58.66,59.73,58.7469,1456913.0,0.0,1.0
2018-11-14,59.46,60.25,59.25,59.94,58.9535,1822245.0,0.0,1.0
2018-11-15,59.69,60.22,59.08,60.09,59.101,1887697.0,0.0,1.0
2018-11-16,60.73,61.1,59.85,60.12,59.1305,2070468.0,0.0,1.0
2018-11-19,60.05,60.18,59.1902,59.85,58.8649,1640673.0,0.0,1.0
2018-11-20,60.19,60.66,59.5,59.7,58.7174,1745335.0,0.0,1.0
2018-11-21,59.53,59.79,58.45,58.65,57.6847,853649.0,0.0,1.0
2018-11-23,58.65,58.8,57.94,58.73,57.7634,539480.0,0.0,1.0
2018-11-26,58.57,59.54,58.57,59.53,58.5502,1615838.0,0.0,1.0
2018-11-27,59.55,59.99,59.03,59.98,58.9928,1537394.0,0.0,1.0
2018-11-28,59.49,59.91,58.83,59.13,58.624,1380971.0,0.475,1.0
2018-11-29,59.24,59.25,58.11,58.82,58.3166,1656882.0,0.0,1.0
2018-11-30,58.99,59.55,58.48,59.37,58.8619,2113051.0,0.0,1.0
2018-12-03,59.2,59.72,58.68,59.71,59.199,1294891.0,0.0,1.0
2018-12-04,59.94,60.96,59.87,60.04,59.5262,2045420.0,0.0,1.0
2018-12-06,60.29,60.81,59.43,60.77,60.2499,2016172.0,0.0,1.0
2018-12-07,60.82,60.91,59.9201,60.31,59.7939,1682727.0,0.0,1.0
2018-12-10,60.3,60.61,59.03,60.51,59.9922,1917787.0,0.0,1.0
2018-12-11,60.49,61.0,60.25,60.63,60.1111,1365529.0,0.0,1.0
2018-12-12,60.58,61.0,59.725,59.83,59.318,1495754.0,0.0,1.0
2018-12-13,59.79,60.77,59.7,60.23,59.7146,1858914.0,0.0,1.0
2018-12-14,60.34,60.87,60.07,60.54,60.0219,1572994.0,0.0,1.0
2018-12-17,60.73,60.94,58.27,58.35,57.8507,2480483.0,0.0,1.0
2018-12-18,58.75,59.45,57.98,58.25,57.7515,1881383.0,0.0,1.0
