date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,38.5,39.38,38.25,39.0,4.067,81700.0,0.0,1.0
1998-01-05,39.25,39.38,37.5,38.38,4.0024,28100.0,0.0,1.0
1998-01-06,37.75,38.63,37.75,38.25,3.9888,285600.0,0.0,1.0
1998-01-07,38.38,38.38,36.25,37.38,3.8981,43700.0,0.0,1.0
1998-01-08,37.5,37.5,36.38,36.63,3.8199,166100.0,0.0,1.0
1998-01-09,37.25,37.25,35.75,36.19,3.774,162200.0,0.0,1.0
1998-01-12,36.0,36.0,34.63,35.0,3.6499,106800.0,0.0,1.0
1998-01-13,34.63,35.25,34.63,34.63,3.6113,210900.0,0.0,1.0
1998-01-14,35.13,35.13,34.0,34.44,3.5915,127500.0,0.0,1.0
1998-01-15,34.13,34.63,34.0,34.0,3.5456,156500.0,0.0,1.0
1998-01-16,34.38,35.13,33.63,35.0,3.6499,181900.0,0.0,1.0
1998-01-20,35.13,36.38,34.88,36.0,3.7542,220800.0,0.0,1.0
1998-01-21,34.63,35.88,34.63,35.88,3.7417,172900.0,0.0,1.0
1998-01-22,35.0,35.88,35.0,35.63,3.7156,47100.0,0.0,1.0
1998-01-23,35.0,35.88,32.75,33.69,3.5133,198400.0,0.0,1.0
1998-01-26,33.13,34.13,32.5,32.5,3.3892,250600.0,0.0,1.0
1998-01-27,32.75,32.75,29.94,30.75,3.2067,368100.0,0.0,1.0
1998-01-28,30.5,32.0,30.0,31.13,3.2463,313200.0,0.0,1.0
1998-01-29,31.5,31.63,30.88,31.63,3.2985,495500.0,0.0,1.0
1998-01-30,31.63,31.63,30.5,31.13,3.2463,325600.0,0.0,1.0
1998-02-02,32.25,33.5,31.38,32.25,3.3631,262200.0,0.0,1.0
1998-02-03,33.13,33.13,32.5,33.0,3.4413,419100.0,0.0,1.0
1998-02-04,33.0,34.88,32.75,34.88,3.6374,901500.0,0.0,1.0
1998-02-05,35.0,35.0,33.75,33.88,3.5331,139800.0,0.0,1.0
1998-02-06,33.75,34.5,33.75,34.25,3.5717,151800.0,0.0,1.0
1998-02-09,34.25,36.75,34.25,36.5,3.8063,155000.0,0.0,1.0
1998-02-10,38.5,39.63,37.5,39.38,4.1067,542700.0,0.0,1.0
1998-02-11,39.13,42.0,38.5,41.88,4.3674,462600.0,0.0,1.0
1998-02-12,40.88,42.0,40.81,41.94,4.3736,416700.0,0.0,1.0
1998-02-13,41.13,42.38,41.0,41.63,4.3413,127000.0,0.0,1.0
1998-02-17,42.13,43.0,41.63,42.88,4.4716,330600.0,0.0,1.0
1998-02-18,42.5,45.0,41.25,42.13,4.3934,577500.0,0.0,1.0
1998-02-19,41.75,42.5,39.75,40.13,4.1849,315200.0,0.0,1.0
1998-02-20,39.88,42.0,39.0,42.0,4.3799,138200.0,0.0,1.0
1998-02-23,42.0,42.0,41.0,41.81,4.3601,27800.0,0.0,1.0
1998-02-24,41.81,44.0,41.25,42.75,4.4581,150800.0,0.0,1.0
1998-02-25,42.75,44.5,42.25,43.25,4.5102,108700.0,0.0,1.0
1998-02-26,43.0,43.75,40.75,42.0,4.3799,65800.0,0.0,1.0
1998-02-27,40.63,42.0,40.5,40.5,4.2234,103300.0,0.0,1.0
1998-03-02,40.75,41.0,39.75,40.38,4.2109,185300.0,0.0,1.0
1998-03-03,40.5,40.75,40.0,40.75,4.2495,67000.0,0.0,1.0
1998-03-04,40.0,40.75,40.0,40.56,4.2297,67500.0,0.0,1.0
1998-03-05,40.0,40.63,40.0,40.13,4.1849,43800.0,0.0,1.0
1998-03-06,40.63,41.0,40.5,41.0,4.2756,114800.0,0.0,1.0
1998-03-09,40.81,41.5,40.25,40.25,4.1974,102400.0,0.0,1.0
1998-03-10,40.38,41.25,40.38,40.5,4.2234,61300.0,0.0,1.0
1998-03-11,40.25,42.5,40.25,41.0,4.2756,111800.0,0.0,1.0
1998-03-12,41.0,41.0,39.75,40.25,4.1974,152100.0,0.0,1.0
1998-03-13,40.25,41.25,39.88,40.25,4.1974,47700.0,0.0,1.0
1998-03-16,40.5,41.5,40.5,41.38,4.3152,37500.0,0.0,1.0
1998-03-17,40.5,41.38,40.5,40.75,4.2495,15500.0,0.0,1.0
1998-03-18,41.38,43.5,40.75,43.5,4.5363,216500.0,0.0,1.0
1998-03-19,43.0,43.25,42.63,43.0,4.4842,103300.0,0.0,1.0
1998-03-20,42.63,43.88,42.63,42.88,4.4716,73200.0,0.0,1.0
1998-03-23,44.0,44.0,42.0,43.5,4.5363,407800.0,0.0,1.0
1998-03-24,43.0,43.13,42.38,43.0,4.4842,238300.0,0.0,1.0
1998-03-25,43.0,43.0,42.0,42.38,4.4195,255100.0,0.0,1.0
1998-03-26,41.5,41.91,40.25,41.63,4.3413,1000900.0,0.0,1.0
1998-03-27,41.0,42.38,41.0,42.38,4.4195,51500.0,0.0,1.0
1998-03-30,41.75,42.5,41.75,42.25,4.4059,96100.0,0.0,1.0
1998-03-31,42.63,43.0,42.13,42.88,4.4716,66800.0,0.0,1.0
1998-04-01,42.88,44.75,42.13,44.63,4.6541,119200.0,0.0,1.0
1998-04-02,44.88,46.0,44.38,45.5,4.7449,144600.0,0.0,1.0
1998-04-03,45.5,46.38,45.5,45.5,4.7449,100000.0,0.0,1.0
1998-04-06,44.88,46.38,44.75,45.38,4.7323,28700.0,0.0,1.0
1998-04-07,45.63,45.63,44.88,44.88,4.6802,137900.0,0.0,1.0
1998-04-08,45.5,45.5,44.63,45.25,4.7188,40300.0,0.0,1.0
1998-04-09,45.38,46.0,45.0,46.0,4.797,135500.0,0.0,1.0
1998-04-13,45.25,46.38,45.25,46.13,4.8106,225300.0,0.0,1.0
1998-04-14,46.38,48.25,46.38,47.63,4.967,130900.0,0.0,1.0
1998-04-15,47.0,48.13,46.63,48.13,5.0191,78700.0,0.0,1.0
1998-04-16,48.13,48.13,46.13,46.69,4.869,83400.0,0.0,1.0
1998-04-17,46.69,47.25,46.38,47.25,4.9274,22100.0,0.0,1.0
1998-04-20,47.25,47.25,46.63,47.13,4.9148,21800.0,0.0,1.0
1998-04-21,47.13,47.25,46.5,47.13,4.9148,78900.0,0.0,1.0
1998-04-22,47.5,47.5,46.5,47.5,4.9534,87700.0,0.0,1.0
1998-04-23,47.5,47.5,46.75,46.88,4.8888,196200.0,0.0,1.0
1998-04-24,46.75,46.75,44.0,45.25,4.7188,60900.0,0.0,1.0
1998-04-27,44.63,44.63,41.63,42.0,4.3799,294100.0,0.0,1.0
1998-04-28,42.13,43.75,42.13,43.0,4.4842,474100.0,0.0,1.0
1998-04-29,42.88,43.25,42.88,43.13,4.4977,92900.0,0.0,1.0
1998-04-30,44.0,44.0,42.0,42.5,4.432,148300.0,0.0,1.0
1998-05-01,42.25,42.75,41.75,41.88,4.3674,95300.0,0.0,1.0
1998-05-04,41.88,42.88,41.88,42.75,4.4581,402000.0,0.0,1.0
1998-05-05,43.0,43.0,42.0,42.0,4.3799,174100.0,0.0,1.0
1998-05-06,43.0,43.25,41.75,42.88,4.4716,153600.0,0.0,1.0
1998-05-07,42.63,44.0,42.63,43.88,4.5759,196200.0,0.0,1.0
1998-05-08,45.0,45.0,42.88,43.25,4.5102,273900.0,0.0,1.0
1998-05-11,43.0,43.63,41.5,41.5,4.3277,181100.0,0.0,1.0
1998-05-12,41.5,41.5,39.63,41.5,4.3277,234900.0,0.0,1.0
1998-05-13,41.38,42.25,40.75,41.25,4.3017,295100.0,0.0,1.0
1998-05-14,41.0,41.31,39.75,39.94,4.165,137900.0,0.0,1.0
1998-05-15,40.13,40.5,39.63,40.13,4.1849,65000.0,0.0,1.0
1998-05-18,40.13,40.25,39.75,40.13,4.1849,145600.0,0.0,1.0
1998-05-19,40.25,40.88,39.88,40.88,4.2631,169300.0,0.0,1.0
1998-05-20,40.88,40.88,39.5,39.94,4.165,264800.0,0.0,1.0
1998-05-21,39.94,39.94,38.63,39.5,4.1192,317800.0,0.0,1.0
1998-05-22,39.63,41.5,39.5,41.06,4.2818,517200.0,0.0,1.0
1998-05-26,42.0,42.0,39.88,40.38,4.2109,532300.0,0.0,1.0
1998-05-27,40.25,40.25,39.0,39.0,4.067,574300.0,0.0,1.0
1998-05-28,39.88,40.22,38.75,39.63,4.14,341200.0,0.07,1.0
1998-05-29,39.75,40.06,39.25,40.0,4.1787,138100.0,0.0,1.0
1998-06-01,39.5,39.5,38.75,38.75,4.0481,144500.0,0.0,1.0
1998-06-02,39.25,39.63,38.75,39.25,4.1003,129100.0,0.0,1.0
1998-06-03,39.75,40.5,39.13,40.25,4.2048,75700.0,0.0,1.0
1998-06-04,40.88,41.0,39.75,40.5,4.2309,192600.0,0.0,1.0
1998-06-05,40.5,41.38,40.25,41.38,4.3228,37100.0,0.0,1.0
1998-06-08,41.5,41.5,40.25,40.38,4.2184,74100.0,0.0,1.0
1998-06-09,40.5,41.0,40.38,40.88,4.2706,75900.0,0.0,1.0
1998-06-10,40.5,40.75,40.38,40.44,4.2246,136200.0,0.0,1.0
1998-06-11,40.13,40.25,39.75,40.13,4.1923,175100.0,0.0,1.0
1998-06-12,39.75,40.13,39.5,40.13,4.1923,142900.0,0.0,1.0
1998-06-15,39.5,39.5,38.38,39.0,4.0742,50900.0,0.0,1.0
1998-06-16,38.5,40.0,38.5,39.88,4.1661,41500.0,0.0,1.0
1998-06-17,39.88,40.47,39.88,40.38,4.2184,227400.0,0.0,1.0
1998-06-18,40.0,40.38,39.38,39.38,4.1139,32800.0,0.0,1.0
1998-06-19,39.75,40.38,39.75,40.25,4.2048,149900.0,0.0,1.0
1998-06-22,40.03,40.38,40.0,40.38,4.2184,86000.0,0.0,1.0
1998-06-23,40.13,42.38,40.13,42.13,4.4012,170000.0,0.0,1.0
1998-06-24,42.25,42.38,41.75,42.38,4.4273,58000.0,0.0,1.0
1998-06-25,42.25,42.38,41.75,42.06,4.3939,165000.0,0.0,1.0
1998-06-26,42.38,43.38,41.63,42.25,4.4137,140100.0,0.0,1.0
1998-06-29,41.5,42.63,41.5,42.63,4.4534,77300.0,0.0,1.0
1998-06-30,42.63,44.0,41.5,44.0,4.5965,40300.0,0.0,1.0
