date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-07-21,24.11,24.6,23.92,24.02,20.532,218400.0,0.0,1.0
2005-07-22,24.62,24.9,23.95,24.86,21.2501,113600.0,0.0,1.0
2005-07-25,24.9,24.9,24.15,24.24,20.7201,79200.0,0.0,1.0
2005-07-26,24.35,24.35,23.75,24.0,20.5149,204800.0,0.0,1.0
2005-07-27,24.0,24.12,23.65,24.07,20.5748,196200.0,0.0,1.0
2005-07-28,24.1,24.12,23.91,24.05,20.5577,187200.0,0.0,1.0
2005-07-29,24.1,24.35,23.85,24.34,20.8056,121400.0,0.0,1.0
2005-08-01,24.23,24.5,24.1,24.35,20.8141,329800.0,0.0,1.0
2005-08-02,26.0,26.0,23.64,24.05,20.5577,599400.0,0.0,1.0
2005-08-03,24.27,24.27,23.76,23.85,20.3867,295400.0,0.0,1.0
2005-08-04,23.77,23.89,23.35,23.6,20.173,282400.0,0.0,1.0
2005-08-05,23.69,23.69,23.15,23.37,19.9764,414000.0,0.0,1.0
2005-08-08,23.5,23.65,21.26,22.5,19.2328,12768400.0,0.0,1.0
2005-08-09,23.27,23.85,22.52,23.85,20.3867,9740600.0,0.0,1.0
2005-08-10,24.19,24.52,23.67,23.7,20.2585,5118000.0,0.0,1.0
2005-08-11,23.58,23.78,22.78,22.87,19.549,3410200.0,0.0,1.0
2005-08-12,22.73,22.75,21.5,22.3,19.0618,3377800.0,0.0,1.0
2005-08-15,22.5,22.58,21.3,21.44,18.3267,2979600.0,0.0,1.0
2005-08-16,21.29,21.6,20.69,21.45,18.3352,4691200.0,0.0,1.0
2005-08-17,21.18,21.99,21.15,21.69,18.5404,2241200.0,0.0,1.0
2005-08-18,21.29,22.0,21.29,21.75,18.5917,2679800.0,0.0,1.0
2005-08-19,21.61,21.9,21.54,21.65,18.5062,1473400.0,0.0,1.0
2005-08-22,21.7,21.8,21.2,21.6,18.4634,3261200.0,0.0,1.0
2005-08-23,21.38,21.64,21.21,21.45,18.3352,2154400.0,0.0,1.0
2005-08-24,21.3,21.78,21.22,21.6,18.4634,2319200.0,0.0,1.0
2005-08-25,21.43,22.31,21.43,22.16,18.9421,1579200.0,0.0,1.0
2005-08-26,22.14,22.53,21.9,22.11,18.8994,1079800.0,0.0,1.0
2005-08-29,22.05,22.5,21.9,22.34,19.096,930000.0,0.0,1.0
2005-08-30,22.04,22.5,22.0,22.4,19.1473,1212200.0,0.0,1.0
2005-08-31,22.271,22.43,22.0,22.26,19.0276,1653800.0,0.0,1.0
2005-09-01,22.14,22.44,22.06,22.22,18.9934,1481000.0,0.0,1.0
2005-09-02,22.19,22.63,21.72,22.37,19.1216,1837000.0,0.0,1.0
2005-09-06,21.69,22.55,21.69,22.09,18.8823,2484400.0,0.0,1.0
2005-09-07,21.95,22.59,21.91,22.28,19.0447,1366800.0,0.0,1.0
2005-09-08,22.17,22.97,22.02,22.45,19.19,1280400.0,0.0,1.0
2005-09-09,22.0,22.35,21.75,22.06,18.8566,3991800.0,0.0,1.0
2005-09-12,21.95,22.79,21.95,22.1,18.8908,2021200.0,0.0,1.0
2005-09-13,22.34,22.41,22.0,22.07,18.8652,1496600.0,0.0,1.0
2005-09-14,21.94,22.14,21.75,21.82,18.6515,1454600.0,0.0,1.0
2005-09-15,21.73,21.85,21.05,21.41,18.301,2522800.0,0.0,1.0
2005-09-16,21.251,21.46,20.75,21.0,17.9506,1903800.0,0.0,1.0
2005-09-19,20.8,21.31,20.76,21.05,17.9933,2164000.0,0.0,1.0
2005-09-20,21.07,21.07,20.76,20.94,17.8993,1330600.0,0.0,1.0
2005-09-21,21.44,21.5,18.61,20.65,17.6514,1793200.0,0.0,1.0
2005-09-22,20.66,20.67,19.63,20.25,17.3095,1945200.0,0.0,1.0
2005-09-23,20.29,20.3,19.75,20.08,17.1642,1380400.0,0.0,1.0
2005-09-26,20.03,20.33,19.9,20.04,17.13,1531000.0,0.0,1.0
2005-09-27,20.04,20.27,19.6515,19.92,17.0274,1353000.0,0.0,1.0
2005-09-28,19.88,19.93,19.64,19.73,16.865,1303200.0,0.0,1.0
2005-09-29,19.61,20.11,19.54,20.02,17.1129,2288200.0,0.0,1.0
2005-09-30,19.65,19.99,19.52,19.81,16.9334,2145800.0,0.0,1.0
