date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,31.08,31.45,30.83,30.83,13.012,307467.0,0.0,1.0
1998-01-05,30.83,31.26,30.59,31.26,13.1935,538200.0,0.0,1.0
1998-01-06,31.51,33.55,31.39,32.56,13.7422,619800.0,0.0,1.0
1998-01-07,32.62,33.05,30.71,31.7,13.3792,829867.0,0.0,1.0
1998-01-08,31.94,32.07,31.2,31.57,13.3243,614467.0,0.0,1.0
1998-01-09,31.45,31.45,30.22,30.34,12.8052,390667.0,0.0,1.0
1998-01-12,29.48,30.96,29.48,30.96,13.0669,668600.0,0.0,1.0
1998-01-13,31.33,32.31,31.33,32.31,13.6366,454600.0,0.0,1.0
1998-01-14,32.19,32.44,32.07,32.37,13.662,637000.0,0.0,1.0
1998-01-15,32.56,33.3,32.31,32.31,13.6366,343667.0,0.0,1.0
1998-01-16,32.81,33.3,32.68,32.87,13.873,791200.0,0.0,1.0
1998-01-20,33.05,35.09,33.05,34.96,14.7551,735600.0,0.0,1.0
1998-01-21,34.59,34.59,33.3,34.29,14.4723,612467.0,0.0,1.0
1998-01-22,33.55,33.67,33.18,33.3,14.0545,316067.0,0.0,1.0
1998-01-23,33.18,33.42,32.44,32.81,13.8477,281800.0,0.0,1.0
1998-01-26,33.05,33.67,32.25,32.31,13.6366,294267.0,0.0,1.0
1998-01-27,32.31,33.48,32.19,32.93,13.8983,281800.0,0.0,1.0
1998-01-28,32.93,33.05,32.19,32.5,13.7168,358867.0,0.0,1.0
1998-01-29,32.44,33.3,32.44,33.05,13.9827,891267.0,0.08,1.0
1998-01-30,33.05,34.16,32.99,34.04,14.4016,833000.0,0.0,1.0
1998-02-02,34.53,34.59,34.16,34.29,14.5073,406067.0,0.0,1.0
1998-02-03,34.16,34.53,33.67,34.53,14.6089,191867.0,0.0,1.0
1998-02-04,34.29,34.29,34.04,34.29,14.5073,280800.0,0.0,1.0
1998-02-05,34.53,35.09,34.41,34.47,14.5835,799000.0,0.0,1.0
1998-02-06,34.9,35.77,34.9,35.21,14.8966,921200.0,0.0,1.0
1998-02-09,35.4,35.4,34.66,34.78,14.7147,1055200.0,0.0,1.0
1998-02-10,34.9,35.89,34.84,35.52,15.0277,669400.0,0.0,1.0
1998-02-11,35.27,36.26,35.27,35.64,15.0785,545800.0,0.0,1.0
1998-02-12,35.52,35.52,35.09,35.34,14.9516,570800.0,0.0,1.0
1998-02-13,35.4,35.77,35.34,35.58,15.0531,539667.0,0.0,1.0
1998-02-17,35.52,35.77,35.4,35.52,15.0277,430067.0,0.0,1.0
1998-02-18,35.52,35.64,35.4,35.52,15.0277,984067.0,0.0,1.0
1998-02-19,35.46,35.64,35.21,35.52,15.0277,528267.0,0.0,1.0
1998-02-20,35.46,36.08,35.34,36.08,15.2647,437267.0,0.0,1.0
1998-02-23,35.95,35.95,34.96,35.52,15.0277,350200.0,0.0,1.0
1998-02-24,35.52,35.64,34.53,34.66,14.6639,622400.0,0.0,1.0
1998-02-25,34.47,35.52,34.29,34.96,14.7908,716800.0,0.0,1.0
1998-02-26,35.09,35.15,34.53,34.78,14.7147,1015600.0,0.0,1.0
1998-02-27,34.78,35.89,34.41,35.77,15.1335,907400.0,0.0,1.0
1998-03-02,35.83,36.38,35.77,36.14,15.29,423267.0,0.0,1.0
1998-03-03,35.89,36.01,35.21,35.64,15.0785,322000.0,0.0,1.0
1998-03-04,35.4,35.77,34.53,34.72,14.6893,416600.0,0.0,1.0
1998-03-05,34.47,34.96,34.29,34.78,14.7147,514267.0,0.0,1.0
1998-03-06,34.9,35.21,34.9,34.9,14.7654,503200.0,0.0,1.0
1998-03-09,35.27,35.52,34.53,34.53,14.6089,612000.0,0.0,1.0
1998-03-10,34.72,36.75,34.72,36.51,15.4466,1314867.0,0.0,1.0
1998-03-11,36.26,36.69,36.14,36.63,15.4974,450600.0,0.0,1.0
1998-03-12,36.63,36.63,36.08,36.32,15.3662,325267.0,0.0,1.0
1998-03-13,36.51,36.51,36.01,36.01,15.235,223600.0,0.0,1.0
1998-03-16,36.38,36.63,36.01,36.01,15.235,959200.0,0.0,1.0
1998-03-17,36.26,36.75,36.14,36.63,15.4974,617400.0,0.0,1.0
1998-03-18,36.63,36.75,35.89,36.63,15.4974,493000.0,0.0,1.0
1998-03-19,36.63,37.49,36.51,37.25,15.7597,539267.0,0.0,1.0
1998-03-20,37.25,37.25,36.51,36.63,15.4974,407400.0,0.0,1.0
1998-03-23,36.26,37.31,36.26,36.75,15.5481,772067.0,0.0,1.0
1998-03-24,37.0,38.11,36.88,37.86,16.0177,416667.0,0.0,1.0
1998-03-25,34.53,34.78,34.29,34.59,14.6343,6903000.0,0.0,1.0
