date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2013-12-12,21.3,21.92,21.25,21.5,43.6993,26543600.0,0.0,1.0
2013-12-13,21.99,22.38,21.55,22.1,44.9188,2513400.0,0.0,1.0
2013-12-16,23.13,25.95,21.52,21.52,43.74,9680700.0,0.0,1.0
2013-12-17,21.61,21.99,21.58,21.81,44.3294,4748000.0,0.0,1.0
2013-12-18,21.83,22.18,21.66,21.83,44.3701,5864300.0,0.0,1.0
2013-12-19,21.75,22.41,21.55,22.28,45.2847,3014600.0,0.0,1.0
2013-12-20,22.5,22.55,21.86,21.93,44.5733,2041400.0,0.0,1.0
2013-12-23,22.01,22.19,21.56,21.56,43.8213,2504900.0,0.0,1.0
2013-12-24,21.6,21.67,21.15,21.51,43.7197,2532300.0,0.0,1.0
2013-12-26,21.56,21.96,21.55,21.7,44.1058,2686500.0,0.0,1.0
2013-12-27,21.6,21.84,21.55,21.6,43.9026,2237300.0,0.0,1.0
2013-12-30,21.72,21.97,21.6,21.89,44.492,1789000.0,0.0,1.0
2013-12-31,22.0,22.47,21.95,22.25,45.2237,2327600.0,0.0,1.0
2014-01-02,22.25,22.35,21.77,21.86,44.431,3619300.0,0.0,1.0
2014-01-03,21.8,22.09,21.75,22.01,44.7359,946500.0,0.0,1.0
2014-01-06,21.99,22.12,21.76,22.0,44.7156,2405600.0,0.0,1.0
2014-01-07,22.0,22.1,21.9,22.0,44.7156,4088800.0,0.0,1.0
2014-01-08,22.03,22.03,21.8,22.03,44.7766,2368500.0,0.0,1.0
2014-01-09,22.0,22.02,21.71,21.87,44.4514,943100.0,0.0,1.0
2014-01-10,21.76,21.86,21.57,21.69,44.0855,1666900.0,0.0,1.0
2014-01-13,21.56,21.83,21.56,21.72,44.1465,1494300.0,0.0,1.0
2014-01-14,21.71,22.11,21.64,22.1,44.9188,2568300.0,0.0,1.0
2014-01-15,22.05,22.17,21.83,21.91,44.5327,1878100.0,0.0,1.0
2014-01-16,21.9,22.03,21.69,21.96,44.6343,2318800.0,0.0,1.0
2014-01-17,21.96,22.56,21.8,22.25,45.2237,5545100.0,0.0,1.0
2014-01-21,22.51,22.59,21.8361,21.92,44.553,2627000.0,0.0,1.0
2014-01-22,21.99,22.49,21.9,22.46,45.6506,2931600.0,0.0,1.0
2014-01-23,22.43,22.66,22.1,22.66,46.0571,1920800.0,0.0,1.0
2014-01-24,22.35,22.48,22.09,22.45,45.6302,1828400.0,0.0,1.0
2014-01-27,22.45,22.45,21.89,21.99,44.6953,2256400.0,0.0,1.0
2014-01-28,21.84,22.0,21.75,21.9,44.5123,1408100.0,0.0,1.0
2014-01-29,21.81,21.88,21.56,21.66,44.0245,898500.0,0.0,1.0
2014-01-30,21.76,21.82,21.6,21.66,44.0245,1067600.0,0.0,1.0
2014-01-31,21.51,21.69,21.34,21.65,44.0042,879500.0,0.0,1.0
2014-02-03,21.65,21.7,20.84,20.95,42.5814,2288000.0,0.0,1.0
2014-02-04,21.0,21.0799,20.835,21.03,42.744,1715000.0,0.0,1.0
2014-02-05,20.85,20.96,20.55,20.8,42.2766,1425700.0,0.0,1.0
2014-02-06,20.84,21.2,20.82,21.2,43.0896,603500.0,0.0,1.0
2014-02-07,21.26,21.87,21.22,21.65,44.0042,1052700.0,0.0,1.0
2014-02-10,21.67,21.69,21.3,21.41,43.5164,1154100.0,0.0,1.0
2014-02-11,21.73,21.77,21.46,21.69,44.0855,1318300.0,0.0,1.0
2014-02-12,21.74,21.95,21.62,21.89,44.492,896000.0,0.0,1.0
2014-02-13,21.78,22.02,21.65,21.95,44.614,1131900.0,0.0,1.0
2014-02-14,22.0,22.05,21.86,22.0,44.7156,1329400.0,0.0,1.0
2014-02-18,22.0,22.0,21.73,21.76,44.2278,1264400.0,0.0,1.0
2014-02-19,21.76,21.95,21.5,21.53,43.7603,905000.0,0.0,1.0
2014-02-20,21.5,21.67,21.31,21.49,43.679,1235500.0,0.0,1.0
2014-02-21,21.5,22.19,21.47,22.15,45.0205,2392800.0,0.0,1.0
2014-02-24,22.21,22.5,22.0401,22.26,45.244,1525000.0,0.0,1.0
2014-02-25,22.25,22.58,22.21,22.37,45.4676,1689200.0,0.0,1.0
2014-02-26,22.41,22.68,22.3,22.54,45.8132,2199800.0,0.0,1.0
2014-02-27,22.41,22.8601,21.8,22.49,45.7115,4489400.0,0.0,1.0
2014-02-28,22.5,22.58,22.08,22.36,45.4473,1991600.0,0.0,1.0
2014-03-03,22.22,22.5,22.11,22.49,45.7115,1388700.0,0.0,1.0
2014-03-04,22.91,23.1,22.455,22.56,45.8538,4734000.0,0.0,1.0
2014-03-05,22.47,22.89,22.45,22.77,46.2806,1372200.0,0.0,1.0
2014-03-06,22.77,22.86,22.4,22.48,45.6912,1400300.0,0.0,1.0
2014-03-07,22.45,22.83,22.4,22.71,46.1587,1318100.0,0.0,1.0
2014-03-10,22.76,22.85,22.23,22.38,45.4879,1892000.0,0.0,1.0
2014-03-11,22.39,22.46,22.0,22.11,44.9392,1714300.0,0.0,1.0
2014-03-12,22.04,22.3993,21.77,22.35,45.427,1618300.0,0.0,1.0
2014-03-13,22.23,22.43,21.96,22.05,44.8172,2037000.0,0.0,1.0
2014-03-14,21.96,22.26,21.87,22.03,44.7766,1249800.0,0.0,1.0
2014-03-17,22.11,22.39,22.09,22.12,44.9595,757700.0,0.0,1.0
2014-03-18,22.1,22.59,22.06,22.57,45.8741,1390800.0,0.0,1.0
2014-03-19,22.52,22.525,22.16,22.26,45.244,1504900.0,0.0,1.0
2014-03-20,22.25,22.42,22.11,22.17,45.0611,1339400.0,0.0,1.0
2014-03-21,22.27,22.99,22.15,22.99,46.7278,6210900.0,0.0,1.0
2014-03-24,22.94,23.09,22.46,22.76,46.2603,1982300.0,0.0,1.0
2014-03-25,22.78,22.9,22.48,22.48,45.6912,1604200.0,0.0,1.0
2014-03-26,22.5,22.57,22.29,22.34,45.4066,1604600.0,0.0,1.0
2014-03-27,22.31,22.515,22.17,22.23,45.1831,1375900.0,0.0,1.0
2014-03-28,22.17,22.38,21.95,22.25,45.2237,4253900.0,0.0,1.0
2014-03-31,22.34,22.43,22.0,22.24,45.2034,10048500.0,0.0,1.0
2014-04-01,22.22,22.7,22.21,22.55,45.8335,2159800.0,0.0,1.0
2014-04-02,22.5,22.691,22.45,22.47,45.6709,2178300.0,0.0,1.0
2014-04-03,22.5,22.58,22.02,22.02,44.7562,1968600.0,0.0,1.0
2014-04-04,22.03,22.05,21.56,21.59,43.8823,5678500.0,0.0,1.0
2014-04-07,21.6,21.6311,21.26,21.37,43.4351,1424700.0,0.0,1.0
2014-04-08,21.35,21.4,21.14,21.36,43.4148,1408000.0,0.0,1.0
2014-04-09,21.43,21.65,21.38,21.51,43.7197,1774600.0,0.0,1.0
2014-04-10,21.47,21.57,21.04,21.18,43.0489,1083400.0,0.0,1.0
2014-04-11,21.1,21.38,20.96,21.25,43.1912,1559800.0,0.0,1.0
2014-04-14,21.29,21.61,21.11,21.35,43.3944,1057600.0,0.0,1.0
2014-04-15,21.51,21.51,21.0,21.38,43.4554,995200.0,0.0,1.0
2014-04-16,21.27,21.615,21.23,21.6,43.9026,1075200.0,0.0,1.0
2014-04-17,21.54,21.86,21.3,21.77,44.2481,1652200.0,0.0,1.0
2014-04-21,21.72,21.72,21.37,21.46,43.618,1022200.0,0.0,1.0
2014-04-22,21.45,21.72,21.43,21.51,43.7197,1050100.0,0.0,1.0
2014-04-23,21.48,21.65,21.36,21.49,43.679,964200.0,0.0,1.0
2014-04-24,21.56,21.67,21.46,21.5,43.6993,620400.0,0.0,1.0
2014-04-25,21.5,21.52,21.24,21.33,43.3538,420500.0,0.0,1.0
2014-04-28,21.34,21.43,21.05,21.37,43.4351,1283900.0,0.0,1.0
2014-04-29,21.62,21.68,20.97,21.09,42.866,2652900.0,0.0,1.0
2014-04-30,21.21,21.85,21.15,21.83,44.3701,1889700.0,0.0,1.0
2014-05-01,21.79,22.13,21.45,22.08,44.8782,1437500.0,0.0,1.0
2014-05-02,22.08,22.665,22.04,22.05,44.8172,2033600.0,0.0,1.0
2014-05-05,21.94,22.19,21.82,22.16,45.0408,843100.0,0.0,1.0
2014-05-06,22.1,22.28,21.9,22.16,45.0408,1401900.0,0.0,1.0
2014-05-07,22.8,22.98,22.105,22.66,46.0571,2130100.0,0.0,1.0
2014-05-08,22.76,22.86,22.56,22.64,46.0164,2488800.0,0.0,1.0
2014-05-09,23.73,23.8,22.78,23.07,46.8904,7102200.0,0.0,1.0
2014-05-12,23.45,23.5501,22.67,22.98,46.7075,3256000.0,0.0,1.0
2014-05-13,23.1,23.22,22.89,23.0,46.7481,2254200.0,0.0,1.0
2014-05-14,23.0,23.06,22.29,22.55,45.8335,2445500.0,0.0,1.0
2014-05-15,22.6,22.6,21.66,21.9,44.5123,3737500.0,0.0,1.0
2014-05-16,22.0,22.06,21.44,21.87,44.4514,2521600.0,0.0,1.0
2014-05-19,21.9,22.01,21.72,21.91,44.5327,1991300.0,0.0,1.0
2014-05-20,21.93,21.99,21.37,21.41,43.5164,2789100.0,0.0,1.0
2014-05-21,21.5,22.0,21.45,21.85,44.4107,3843000.0,0.0,1.0
2014-05-22,21.84,22.05,21.84,21.99,44.6953,2056900.0,0.0,1.0
2014-05-23,22.27,22.34,22.01,22.05,44.8172,1083000.0,0.0,1.0
2014-05-27,22.18,22.33,21.95,22.24,45.2034,2390200.0,0.0,1.0
2014-05-28,22.32,22.53,22.0,22.01,44.7359,2163200.0,0.0,1.0
2014-05-29,22.06,22.2,21.875,22.18,45.0814,1504000.0,0.0,1.0
2014-05-30,22.13,22.65,22.13,22.62,45.9758,2611300.0,0.0,1.0
2014-06-02,22.62,22.84,22.4,22.78,46.301,2467400.0,0.0,1.0
2014-06-03,22.68,22.91,22.44,22.71,46.1587,3046400.0,0.0,1.0
2014-06-04,22.63,22.95,22.59,22.77,46.2806,1366000.0,0.0,1.0
2014-06-05,22.77,23.05,22.6,23.02,46.7888,1803600.0,0.0,1.0
2014-06-06,23.02,23.36,22.72,23.28,47.3172,2534900.0,0.0,1.0
2014-06-09,23.28,23.45,22.94,23.29,47.3375,2534800.0,0.0,1.0
2014-06-10,23.16,23.67,23.16,23.43,47.6221,2774000.0,0.0,1.0
2014-06-11,22.99,23.07,22.65,22.81,46.3619,7533200.0,0.0,1.0
2014-06-12,22.59,22.83,22.42,22.48,45.6912,3726100.0,0.0,1.0
2014-06-13,22.45,22.55,22.17,22.29,45.305,4255300.0,0.0,1.0
2014-06-16,22.3,22.75,22.01,22.21,45.1424,5363400.0,0.0,1.0
2014-06-17,22.2,22.535,22.2,22.34,45.4066,2552200.0,0.0,1.0
2014-06-18,22.3,22.46,22.225,22.35,45.427,2873500.0,0.0,1.0
2014-06-19,22.38,22.58,22.3,22.33,45.3863,2666000.0,0.0,1.0
