date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,33.81,34.13,32.94,33.19,11.527,75150.0,0.0,2.0
1998-01-05,33.94,34.0,31.13,31.25,10.8532,271600.0,0.0,1.0
1998-01-06,30.75,31.0,29.0,29.94,10.3983,295300.0,0.0,1.0
1998-01-07,30.0,30.44,29.06,30.13,10.4642,276200.0,0.0,1.0
1998-01-08,30.13,30.25,28.75,28.75,9.985,344500.0,0.0,1.0
1998-01-09,28.0,28.31,25.0,25.31,8.7902,511400.0,0.0,1.0
1998-01-12,23.38,25.69,23.38,25.5,8.8562,1037300.0,0.0,1.0
1998-01-13,26.5,27.69,26.25,27.31,9.4848,373600.0,0.0,1.0
1998-01-14,27.31,27.75,27.13,27.63,9.596,265100.0,0.0,1.0
1998-01-15,27.5,28.38,27.31,27.31,9.4848,398600.0,0.0,1.0
1998-01-16,27.63,29.31,27.63,29.0,10.0718,283000.0,0.0,1.0
1998-01-20,29.75,30.63,29.44,30.31,10.5268,402400.0,0.0,1.0
1998-01-21,30.19,30.19,28.75,29.38,10.2038,531600.0,0.0,1.0
1998-01-22,29.38,29.38,28.25,28.88,10.0301,705500.0,0.0,1.0
1998-01-23,29.13,29.56,28.5,29.0,10.0718,345000.0,0.0,1.0
1998-01-26,29.13,29.44,27.5,28.0,9.7245,578200.0,0.0,1.0
1998-01-27,28.0,28.06,27.0,27.19,9.4432,658400.0,0.0,1.0
1998-01-28,27.5,27.94,26.0,26.56,9.2244,693600.0,0.0,1.0
1998-01-29,26.75,27.5,26.5,26.63,9.2487,1967000.0,0.0,1.0
1998-01-30,26.69,26.69,25.5,25.56,8.8771,629700.0,0.0,1.0
1998-02-02,25.63,25.81,24.31,24.56,8.5298,1042300.0,0.0,1.0
1998-02-03,24.75,26.63,24.56,25.75,8.9431,974600.0,0.0,1.0
1998-02-04,26.0,27.88,25.88,27.56,9.5717,1013500.0,0.0,1.0
1998-02-05,29.25,29.25,28.0,28.25,9.8113,1063400.0,0.0,1.0
1998-02-06,28.56,28.81,28.06,28.25,9.8113,397700.0,0.0,1.0
1998-02-09,28.06,28.69,28.06,28.31,9.8321,339600.0,0.0,1.0
1998-02-10,28.31,28.63,28.13,28.31,9.8321,736900.0,0.0,1.0
1998-02-11,28.56,28.94,28.19,28.25,9.8356,250300.0,0.07,1.0
1998-02-12,28.06,28.44,27.69,28.31,9.8565,401300.0,0.0,1.0
1998-02-13,27.75,29.13,27.75,29.0,10.0967,358500.0,0.0,1.0
1998-02-17,28.5,29.19,27.56,27.75,9.6615,439500.0,0.0,1.0
1998-02-18,27.63,29.0,27.63,28.94,10.0759,305600.0,0.0,1.0
1998-02-19,29.75,29.75,28.31,28.5,9.9227,323600.0,0.0,1.0
1998-02-20,28.5,28.69,27.81,28.19,9.8147,279900.0,0.0,1.0
1998-02-23,28.19,28.19,27.13,27.75,9.6615,578200.0,0.0,1.0
1998-02-24,27.56,27.88,26.94,27.31,9.5083,216100.0,0.0,1.0
1998-02-25,27.5,28.19,27.5,27.69,9.6407,100900.0,0.0,1.0
1998-02-26,28.63,29.88,28.63,29.88,10.4031,389800.0,0.0,1.0
1998-02-27,29.88,29.88,28.56,28.94,10.0759,288800.0,0.0,1.0
1998-03-02,29.13,30.0,29.13,29.88,10.4031,245400.0,0.0,1.0
1998-03-03,30.31,31.0,29.38,30.75,10.706,330400.0,0.0,1.0
1998-03-04,30.25,31.13,29.94,30.0,10.4449,398400.0,0.0,1.0
1998-03-05,30.0,30.94,30.0,30.69,10.6851,182800.0,0.0,1.0
1998-03-06,30.56,30.75,29.0,29.25,10.1838,258400.0,0.0,1.0
1998-03-09,28.94,29.75,28.0,29.44,10.2499,335800.0,0.0,1.0
1998-03-10,29.56,29.63,28.19,29.13,10.142,347100.0,0.0,1.0
1998-03-11,29.13,29.75,29.13,29.38,10.229,354800.0,0.0,1.0
1998-03-12,29.31,29.56,28.63,29.44,10.2499,269700.0,0.0,1.0
1998-03-13,29.31,29.75,29.06,29.5,10.2708,245900.0,0.0,1.0
1998-03-16,29.44,29.69,28.81,29.06,10.1176,261200.0,0.0,1.0
1998-03-17,29.0,29.0,27.81,28.63,9.9679,449700.0,0.0,1.0
1998-03-18,28.63,29.75,28.56,29.75,10.3579,308900.0,0.0,1.0
1998-03-19,29.88,30.56,29.69,30.25,10.5319,237600.0,0.0,1.0
1998-03-20,30.25,31.25,30.13,31.06,10.814,197200.0,0.0,1.0
1998-03-23,32.13,33.06,32.0,32.13,11.1865,406400.0,0.0,1.0
1998-03-24,32.44,32.63,31.63,31.69,11.0333,195100.0,0.0,1.0
1998-03-25,32.06,32.56,31.69,32.31,11.2492,197900.0,0.0,1.0
1998-03-26,32.38,32.88,32.25,32.5,11.3153,142700.0,0.0,1.0
1998-03-27,32.5,32.75,31.63,32.06,11.1621,109900.0,0.0,1.0
1998-03-30,32.25,32.31,31.25,31.56,10.988,72400.0,0.0,1.0
1998-03-31,31.75,31.81,31.06,31.31,10.901,141000.0,0.0,1.0
1998-04-01,31.0,33.5,31.0,33.25,11.5764,362500.0,0.0,1.0
1998-04-02,33.0,33.06,31.75,32.13,11.1865,204600.0,0.0,1.0
1998-04-03,31.88,33.25,31.88,32.31,11.2492,154000.0,0.0,1.0
1998-04-06,32.56,32.63,31.63,32.0,11.1412,128000.0,0.0,1.0
1998-04-07,31.44,31.75,31.13,31.75,11.0542,192700.0,0.0,1.0
1998-04-08,31.63,31.69,30.94,31.25,10.8801,90200.0,0.0,1.0
1998-04-09,31.44,31.5,30.63,31.06,10.814,292800.0,0.0,1.0
1998-04-13,31.31,31.38,30.81,31.19,10.8592,180500.0,0.0,1.0
1998-04-14,31.19,31.5,30.75,31.5,10.9672,391000.0,0.0,1.0
1998-04-15,31.25,32.5,31.0,32.44,11.2944,370000.0,0.0,1.0
1998-04-16,32.19,32.38,31.06,31.81,11.0751,194200.0,0.0,1.0
1998-04-17,32.0,32.44,31.56,32.25,11.2283,204800.0,0.0,1.0
1998-04-20,32.0,32.81,31.94,32.0,11.1412,198600.0,0.0,1.0
1998-04-21,32.0,32.75,31.88,32.75,11.4024,159600.0,0.0,1.0
1998-04-22,33.63,34.0,32.94,32.94,11.4685,373300.0,0.0,1.0
1998-04-23,32.69,33.0,31.31,31.44,10.9463,203400.0,0.0,1.0
1998-04-24,31.31,31.56,30.75,30.81,10.7269,225500.0,0.0,1.0
1998-04-27,30.75,30.75,29.81,30.13,10.4902,369000.0,0.0,1.0
1998-04-28,30.5,30.5,29.56,30.5,10.619,293900.0,0.0,1.0
1998-04-29,30.31,30.81,30.06,30.75,10.706,556900.0,0.0,1.0
1998-04-30,30.94,30.94,30.13,30.5,10.619,255400.0,0.0,1.0
1998-05-01,30.44,31.69,30.25,31.69,11.0333,384600.0,0.0,1.0
1998-05-04,31.75,32.19,30.94,31.06,10.814,247900.0,0.0,1.0
1998-05-05,31.0,31.5,30.69,31.5,10.9672,305800.0,0.0,1.0
1998-05-06,31.5,31.5,30.25,30.25,10.5319,188400.0,0.0,1.0
1998-05-07,30.38,30.38,29.75,29.75,10.3579,216600.0,0.0,1.0
1998-05-08,29.88,30.38,29.25,29.69,10.337,248300.0,0.0,1.0
1998-05-11,30.19,30.19,28.63,28.69,9.9888,385400.0,0.0,1.0
1998-05-12,28.69,29.0,28.38,28.63,9.9679,300300.0,0.0,1.0
1998-05-13,28.38,29.0,28.38,28.94,10.1002,111800.0,0.07,1.0
1998-05-14,28.81,29.25,28.75,28.88,10.0793,131700.0,0.0,1.0
1998-05-15,28.75,28.75,27.13,27.25,9.5104,279300.0,0.0,1.0
1998-05-18,27.13,27.19,26.56,26.63,9.294,296000.0,0.0,1.0
1998-05-19,26.25,27.19,26.06,26.31,9.1823,248600.0,0.0,1.0
1998-05-20,26.38,26.5,25.88,26.31,9.1823,230300.0,0.0,1.0
1998-05-21,26.38,26.44,25.63,26.06,9.0951,187000.0,0.0,1.0
1998-05-22,26.0,26.25,25.69,25.81,9.0078,87300.0,0.0,1.0
1998-05-26,25.94,26.13,24.69,24.94,8.7042,172900.0,0.0,1.0
1998-05-27,24.75,25.44,24.63,25.19,8.7915,308900.0,0.0,1.0
1998-05-28,25.25,25.56,25.0,25.5,8.8996,250100.0,0.0,1.0
1998-05-29,25.13,25.75,24.5,25.25,8.8124,211400.0,0.0,1.0
1998-06-01,25.0,25.06,24.31,24.38,8.5088,222300.0,0.0,1.0
1998-06-02,24.63,25.0,24.13,24.88,8.6833,177400.0,0.0,1.0
1998-06-03,24.75,24.81,23.5,23.63,8.247,179200.0,0.0,1.0
1998-06-04,24.0,25.75,24.0,25.06,8.7461,303400.0,0.0,1.0
1998-06-05,25.31,25.69,24.88,25.31,8.8333,252600.0,0.0,1.0
1998-06-08,24.5,24.88,24.44,24.63,8.596,336800.0,0.0,1.0
1998-06-09,24.56,24.69,23.81,24.19,8.4424,161900.0,0.0,1.0
1998-06-10,23.94,24.0,22.88,23.06,8.0481,379700.0,0.0,1.0
1998-06-11,23.06,23.31,22.38,22.44,7.8317,235900.0,0.0,1.0
1998-06-12,22.5,22.94,21.88,22.94,8.0062,305600.0,0.0,1.0
1998-06-15,22.94,22.94,21.56,21.56,7.5246,210100.0,0.0,1.0
1998-06-16,21.56,22.81,21.56,22.25,7.7654,481500.0,0.0,1.0
1998-06-17,22.75,23.28,22.75,22.94,8.0062,297500.0,0.0,1.0
1998-06-18,23.06,23.31,21.56,21.88,7.6362,364800.0,0.0,1.0
