date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,46.13,46.5,44.75,45.0,14.698,261400.0,0.0,1.0
1998-01-05,45.38,46.13,44.81,45.31,14.7992,239800.0,0.0,1.0
1998-01-06,44.94,45.0,44.38,44.94,14.6784,303450.0,0.0,1.0
1998-01-07,44.94,44.94,43.25,43.63,14.2505,286700.0,0.0,1.0
1998-01-08,43.88,45.19,43.88,44.81,14.6359,265300.0,0.0,1.0
1998-01-09,44.56,44.81,42.69,43.31,14.146,386300.0,0.0,1.0
1998-01-12,42.0,43.44,41.75,42.69,13.9435,679800.0,0.0,1.0
1998-01-13,42.0,44.0,42.0,43.88,14.3322,281400.0,0.0,1.0
1998-01-14,43.63,44.19,42.75,44.13,14.4138,240650.0,0.0,1.0
1998-01-15,44.38,44.38,43.5,43.56,14.2276,122950.0,0.0,1.0
1998-01-16,44.75,45.31,44.63,44.81,14.6359,175250.0,0.0,1.0
1998-01-20,44.81,46.5,44.56,46.44,15.1683,168150.0,0.0,1.0
1998-01-21,46.44,46.44,45.0,45.38,14.8221,287250.0,0.0,1.0
1998-01-22,44.81,45.0,43.75,44.75,14.6163,203950.0,0.0,1.0
1998-01-23,44.75,45.38,44.63,45.25,14.7796,322500.0,0.0,1.0
1998-01-26,45.31,45.5,44.25,44.63,14.5771,138850.0,0.0,1.0
1998-01-27,44.88,45.88,44.63,45.44,14.8417,222150.0,0.0,1.0
1998-01-28,45.44,45.75,45.0,45.31,14.7992,184050.0,0.0,1.0
1998-01-29,45.31,47.06,45.19,46.31,15.1258,197150.0,0.0,1.0
1998-01-30,46.19,47.69,46.0,47.63,15.557,392350.0,0.0,1.0
1998-02-02,48.63,48.63,47.5,47.5,15.5145,346500.0,0.0,1.0
1998-02-03,47.25,47.63,46.93,47.38,15.4753,309150.0,0.0,1.0
1998-02-04,47.13,48.5,46.97,47.75,15.5962,220950.0,0.0,1.0
1998-02-05,47.88,48.06,47.44,47.81,15.6158,86000.0,0.0,1.0
1998-02-06,48.0,48.31,47.56,47.63,15.557,75350.0,0.0,1.0
1998-02-09,47.56,47.94,47.5,47.81,15.6158,179900.0,0.0,1.0
1998-02-10,47.63,49.56,47.63,49.25,16.0861,240450.0,0.0,1.0
1998-02-11,49.0,50.38,48.81,50.25,16.4127,407550.0,0.0,1.0
1998-02-12,50.0,50.13,49.13,49.75,16.2494,263850.0,0.0,1.0
1998-02-13,49.5,50.25,49.44,49.94,16.3115,253450.0,0.0,1.0
1998-02-17,49.88,51.0,49.75,50.88,16.6185,234000.0,0.0,1.0
1998-02-18,50.88,51.69,50.75,50.81,16.5956,157350.0,0.0,1.0
1998-02-19,50.81,51.38,50.75,51.31,16.759,156600.0,0.0,1.0
1998-02-20,51.56,51.63,50.88,51.0,16.6577,445150.0,0.0,1.0
1998-02-23,51.0,51.13,50.69,50.81,16.5956,197150.0,0.0,1.0
1998-02-24,50.31,50.38,49.63,49.88,16.2919,353300.0,0.0,1.0
1998-02-25,49.94,50.56,49.81,50.38,16.4552,522400.0,0.0,1.0
1998-02-26,50.25,52.38,50.25,51.94,16.9647,205950.0,0.0,1.0
1998-02-27,51.69,51.69,50.38,50.75,16.576,206250.0,0.0,1.0
1998-03-02,50.94,51.25,50.0,50.06,16.3507,178650.0,0.0,1.0
1998-03-03,49.81,50.13,49.81,50.13,16.3735,242650.0,0.0,1.0
1998-03-04,50.13,50.38,49.75,50.31,16.4323,124000.0,0.0,1.0
1998-03-05,49.5,49.69,48.88,49.44,16.1482,226250.0,0.0,1.0
1998-03-06,49.44,50.81,49.44,50.0,16.4029,194400.0,0.22,1.0
1998-03-09,49.81,50.19,49.31,49.38,16.1995,258950.0,0.0,1.0
1998-03-10,49.63,51.13,49.63,51.0,16.731,275400.0,0.0,1.0
1998-03-11,50.75,51.94,50.69,51.44,16.8753,133100.0,0.0,1.0
1998-03-12,51.56,51.56,50.38,51.13,16.7736,162350.0,0.0,1.0
1998-03-13,51.13,51.88,50.5,50.5,16.567,237600.0,0.0,1.0
1998-03-16,50.75,52.44,50.75,52.31,17.1608,158000.0,0.0,1.0
1998-03-17,52.06,52.13,50.5,50.81,16.6687,139250.0,0.0,1.0
1998-03-18,51.06,51.63,50.81,51.63,16.9377,148450.0,0.0,1.0
1998-03-19,51.69,53.38,51.69,53.38,17.5118,317400.0,0.0,1.0
1998-03-20,53.81,53.94,52.13,52.94,17.3674,293050.0,0.0,1.0
1998-03-23,52.69,54.25,52.25,53.0,17.3871,194600.0,0.0,1.0
1998-03-24,53.0,53.69,52.94,53.63,17.5938,107000.0,0.0,1.0
1998-03-25,54.25,55.31,53.63,54.38,17.8398,303100.0,0.0,1.0
1998-03-26,53.88,54.44,53.56,53.63,17.5938,215250.0,0.0,1.0
1998-03-27,53.88,53.88,52.0,52.25,17.1411,364600.0,0.0,1.0
1998-03-30,52.25,52.38,51.63,52.19,17.1214,174950.0,0.0,1.0
1998-03-31,52.31,52.63,51.75,52.25,17.1411,345350.0,0.0,1.0
1998-04-01,52.13,52.63,51.81,52.13,17.1017,424100.0,0.0,1.0
1998-04-02,52.0,52.5,51.44,51.69,16.9574,539550.0,0.0,1.0
1998-04-03,51.94,52.13,51.69,51.81,16.9967,210500.0,0.0,1.0
1998-04-06,51.94,52.0,50.69,50.75,16.649,162650.0,0.0,1.0
1998-04-07,50.75,50.75,48.63,49.94,16.3833,205000.0,0.0,1.0
1998-04-08,49.63,50.5,49.56,50.25,16.485,486200.0,0.0,1.0
1998-04-09,50.13,50.5,50.0,50.31,16.5046,228600.0,0.0,1.0
1998-04-13,50.31,50.81,49.44,49.44,16.2192,262350.0,0.0,1.0
1998-04-14,49.56,50.75,49.0,50.56,16.5866,228300.0,0.0,1.0
1998-04-15,50.69,51.63,50.56,51.38,16.8557,398050.0,0.0,1.0
1998-04-16,51.13,51.94,50.94,51.63,16.9377,269750.0,0.0,1.0
1998-04-17,51.69,52.25,51.5,51.81,16.9967,167200.0,0.0,1.0
1998-04-20,51.81,51.81,50.63,50.88,16.6916,118300.0,0.0,1.0
1998-04-21,51.06,51.06,50.19,50.81,16.6687,191000.0,0.0,1.0
1998-04-22,51.0,52.88,50.75,52.5,17.2231,269450.0,0.0,1.0
1998-04-23,52.5,53.0,51.5,51.56,16.9147,108250.0,0.0,1.0
1998-04-24,51.44,51.88,49.69,49.94,16.3833,247550.0,0.0,1.0
1998-04-27,50.06,50.75,49.13,49.69,16.3012,145600.0,0.0,1.0
1998-04-28,49.81,49.94,48.63,48.88,16.0355,246600.0,0.0,1.0
1998-04-29,48.88,49.56,48.88,49.13,16.1175,251350.0,0.0,1.0
1998-04-30,49.63,50.63,48.31,48.38,15.8715,278450.0,0.0,1.0
1998-05-01,49.13,51.19,48.94,51.06,16.7507,276650.0,0.0,1.0
1998-05-04,51.13,52.13,50.88,51.0,16.731,186350.0,0.0,1.0
1998-05-05,51.25,51.5,50.38,51.13,16.7736,189850.0,0.0,1.0
1998-05-06,51.0,52.44,50.88,51.69,16.9574,253250.0,0.0,1.0
1998-05-07,51.19,51.25,50.56,51.19,16.7933,315600.0,0.0,1.0
1998-05-08,51.06,52.25,51.06,52.19,17.1214,240150.0,0.0,1.0
1998-05-11,52.19,52.31,51.56,51.56,16.9147,229750.0,0.0,1.0
1998-05-12,51.63,51.88,50.94,51.56,16.9147,132300.0,0.0,1.0
1998-05-13,51.63,52.19,51.5,52.0,17.0591,130700.0,0.0,1.0
1998-05-14,52.0,52.0,51.0,51.0,16.731,688350.0,0.0,1.0
1998-05-15,51.0,51.0,50.44,50.56,16.5866,218850.0,0.0,1.0
1998-05-18,50.56,51.38,50.5,50.75,16.649,122350.0,0.0,1.0
1998-05-19,50.63,50.69,50.19,50.5,16.567,154500.0,0.0,1.0
1998-05-20,50.75,51.0,48.5,50.19,16.4653,209000.0,0.0,1.0
1998-05-21,50.25,50.44,50.0,50.06,16.4226,276850.0,0.0,1.0
1998-05-22,50.0,50.25,48.88,49.69,16.3012,221300.0,0.0,1.0
1998-05-26,50.06,50.06,49.19,49.31,16.1766,173150.0,0.0,1.0
1998-05-27,48.94,48.94,47.44,47.44,15.5631,229850.0,0.0,1.0
1998-05-28,47.69,48.44,47.44,48.31,15.9207,151950.0,0.22,1.0
1998-05-29,48.56,48.56,48.13,48.38,15.9438,131850.0,0.0,1.0
1998-06-01,48.13,48.56,47.88,48.19,15.8811,191000.0,0.0,1.0
1998-06-02,48.19,48.63,47.38,47.63,15.6966,308800.0,0.0,1.0
1998-06-03,47.63,49.0,47.19,47.63,15.6966,406200.0,0.0,1.0
1998-06-04,47.38,47.69,46.88,47.0,15.489,316550.0,0.0,1.0
1998-06-05,47.13,47.13,45.38,45.44,14.9749,503900.0,0.0,1.0
1998-06-08,45.5,46.44,45.0,45.5,14.9946,649650.0,0.0,1.0
1998-06-09,45.81,46.63,45.75,46.44,15.3044,402600.0,0.0,1.0
1998-06-10,46.44,46.44,44.75,45.19,14.8925,475850.0,0.0,1.0
1998-06-11,45.13,45.5,44.63,44.75,14.7475,192950.0,0.0,1.0
1998-06-12,44.75,45.19,43.0,43.81,14.4377,274000.0,0.0,1.0
1998-06-15,43.94,44.31,42.94,42.94,14.151,189350.0,0.0,1.0
1998-06-16,42.88,43.38,42.06,42.25,13.9236,326900.0,0.0,1.0
1998-06-17,42.38,43.5,42.38,42.5,14.006,399100.0,0.0,1.0
1998-06-18,42.5,43.0,41.5,41.81,13.7786,368850.0,0.0,1.0
1998-06-19,41.0,42.38,41.0,42.31,13.9434,590600.0,0.0,1.0
1998-06-22,41.94,42.25,41.63,42.0,13.8412,568350.0,0.0,1.0
1998-06-23,41.0,41.5,40.63,40.81,13.449,882900.0,0.0,1.0
1998-06-24,40.69,41.63,40.38,41.19,13.5743,1145950.0,0.0,1.0
1998-06-25,41.0,42.44,40.69,42.19,13.9038,1064950.0,0.0,1.0
1998-06-26,42.25,43.5,42.13,43.38,14.296,374350.0,0.0,1.0
1998-06-29,44.13,44.38,43.69,43.88,14.4608,282700.0,0.0,1.0
1998-06-30,43.81,44.81,43.5,44.69,14.7277,377000.0,0.0,1.0
1998-07-01,44.69,44.88,43.88,44.19,14.5629,365250.0,0.0,1.0
1998-07-02,44.0,44.25,42.88,44.25,14.5827,268200.0,0.0,1.0
1998-07-06,44.25,44.25,43.44,43.69,14.3982,89750.0,0.0,1.0
1998-07-07,43.69,43.69,42.0,43.0,14.1708,296650.0,0.0,1.0
1998-07-08,43.0,43.19,42.0,42.0,13.8412,248050.0,0.0,1.0
1998-07-09,41.0,42.25,41.0,42.13,13.8841,300550.0,0.0,1.0
1998-07-10,43.0,43.0,41.63,41.75,13.7588,160950.0,0.0,1.0
1998-07-13,41.5,41.5,40.75,40.75,13.4293,141400.0,0.0,1.0
1998-07-14,41.0,41.75,40.88,41.25,13.594,238350.0,0.0,1.0
1998-07-15,41.25,42.75,41.13,42.31,13.9434,436150.0,0.0,1.0
1998-07-16,42.56,43.19,42.25,42.88,14.1312,151650.0,0.0,1.0
1998-07-17,42.81,42.94,42.0,42.25,13.9236,439950.0,0.0,1.0
1998-07-20,42.0,42.06,41.63,41.88,13.8017,249250.0,0.0,1.0
1998-07-21,40.5,41.75,40.5,41.69,13.7391,418150.0,0.0,1.0
1998-07-22,41.44,41.75,40.75,41.75,13.7588,302150.0,0.0,1.0
1998-07-23,41.63,41.63,40.0,40.25,13.2645,188050.0,0.0,1.0
1998-07-24,40.5,41.0,40.5,40.81,13.449,415700.0,0.0,1.0
1998-07-27,40.56,41.0,39.56,40.88,13.4721,319750.0,0.0,1.0
1998-07-28,40.63,41.56,40.5,40.94,13.4919,248800.0,0.0,1.0
1998-07-29,41.0,41.13,40.25,40.31,13.2843,206800.0,0.0,1.0
1998-07-30,40.31,41.19,40.19,40.81,13.449,203100.0,0.0,1.0
1998-07-31,40.88,40.88,39.31,39.63,13.0602,208700.0,0.0,1.0
1998-08-03,39.63,39.69,38.38,38.44,12.668,207750.0,0.0,1.0
1998-08-04,38.69,38.94,37.5,37.69,12.4208,434650.0,0.0,1.0
1998-08-05,38.0,38.88,37.56,38.0,12.523,423450.0,0.0,1.0
1998-08-06,37.75,37.81,36.69,37.63,12.4011,708500.0,0.0,1.0
1998-08-07,37.94,38.5,37.69,38.25,12.6054,538600.0,0.0,1.0
1998-08-10,39.38,39.38,38.0,38.19,12.5856,215050.0,0.0,1.0
1998-08-11,38.0,38.0,36.63,37.0,12.1934,703500.0,0.0,1.0
1998-08-12,38.0,38.0,36.63,37.56,12.378,750100.0,0.0,1.0
1998-08-13,37.31,37.56,36.75,37.0,12.1934,423350.0,0.0,1.0
1998-08-14,36.88,37.0,35.94,36.06,11.8837,219600.0,0.0,1.0
1998-08-17,36.31,37.5,35.94,37.25,12.2758,752100.0,0.0,1.0
1998-08-18,37.13,37.75,36.75,37.75,12.4406,285450.0,0.0,1.0
1998-08-19,38.38,38.56,37.75,38.38,12.6482,430550.0,0.0,1.0
1998-08-20,38.5,38.81,37.75,37.94,12.5032,617350.0,0.0,1.0
1998-08-21,37.69,38.0,36.88,38.0,12.523,282550.0,0.0,1.0
1998-08-24,38.0,38.94,38.0,38.5,12.6878,166800.0,0.0,1.0
1998-08-25,38.38,38.63,37.75,37.94,12.5032,386100.0,0.0,1.0
1998-08-26,37.88,38.0,37.0,37.13,12.2363,239050.0,0.0,1.0
1998-08-27,37.0,37.0,34.88,34.94,11.5146,216850.0,0.0,1.0
1998-08-28,34.69,35.31,33.88,34.06,11.2246,250400.0,0.0,1.0
1998-08-31,34.31,35.0,31.88,31.88,10.5061,521050.0,0.0,1.0
1998-09-01,32.5,33.81,31.88,33.81,11.1422,374550.0,0.0,1.0
1998-09-02,34.13,35.0,33.25,34.44,11.3498,435500.0,0.0,1.0
1998-09-03,34.44,35.38,33.13,33.5,11.04,720450.0,0.0,1.0
1998-09-04,33.38,33.88,33.31,33.75,11.1224,337600.0,0.0,1.0
1998-09-08,33.75,35.44,33.75,35.0,11.5343,340700.0,0.0,1.0
1998-09-09,35.06,35.13,34.31,35.0,11.5343,457950.0,0.0,1.0
1998-09-10,34.63,34.63,33.13,33.31,11.0565,310300.0,0.24,1.0
1998-09-11,33.06,33.63,32.38,33.13,10.9967,1366500.0,0.0,1.0
1998-09-14,33.25,33.88,33.19,33.63,11.1627,789750.0,0.0,1.0
1998-09-15,33.75,33.94,32.88,33.81,11.2225,175050.0,0.0,1.0
1998-09-16,33.81,34.56,33.5,34.5,11.4515,364700.0,0.0,1.0
1998-09-17,34.0,34.81,33.81,34.69,11.5146,169100.0,0.0,1.0
1998-09-18,35.5,35.81,34.88,35.81,11.8863,548450.0,0.0,1.0
1998-09-21,35.31,35.88,35.06,35.56,11.8033,158750.0,0.0,1.0
1998-09-22,36.06,36.5,35.88,36.0,11.9494,522200.0,0.0,1.0
1998-09-23,36.19,37.13,36.06,37.06,12.3012,435600.0,0.0,1.0
1998-09-24,35.5,36.5,33.25,33.44,11.0996,694100.0,0.0,1.0
1998-09-25,33.0,33.5,32.44,32.75,10.8706,558000.0,0.0,1.0
1998-09-28,32.94,33.25,32.06,32.75,10.8706,568550.0,0.0,1.0
1998-09-29,32.88,33.44,32.38,32.69,10.8507,384500.0,0.0,1.0
1998-09-30,32.44,32.75,31.25,32.0,10.6217,521900.0,0.0,1.0
1998-10-01,31.63,31.63,30.5,31.13,10.3329,493200.0,0.0,1.0
1998-10-02,31.0,31.5,29.94,30.44,10.1039,293500.0,0.0,1.0
1998-10-05,30.25,30.69,29.0,29.69,9.8549,508250.0,0.0,1.0
1998-10-06,29.94,30.38,28.81,29.25,9.7089,662850.0,0.0,1.0
1998-10-07,29.38,29.75,28.5,29.63,9.835,500600.0,0.0,1.0
1998-10-08,28.75,28.75,27.56,28.13,9.3371,451900.0,0.0,1.0
1998-10-09,28.38,28.81,28.0,28.0,9.294,484100.0,0.0,1.0
1998-10-12,28.63,29.94,28.44,29.44,9.7719,244900.0,0.0,1.0
1998-10-13,29.31,29.44,28.75,29.0,9.6259,328950.0,0.0,1.0
1998-10-14,29.13,29.69,28.88,29.13,9.669,316350.0,0.0,1.0
1998-10-15,29.0,30.13,28.88,30.06,9.9777,534600.0,0.0,1.0
1998-10-16,30.5,31.81,30.38,31.44,10.4358,428450.0,0.0,1.0
1998-10-19,31.44,31.56,30.75,31.56,10.4756,294300.0,0.0,1.0
1998-10-20,31.81,35.13,31.81,33.38,11.0797,490650.0,0.0,1.0
1998-10-21,33.25,35.56,33.25,34.88,11.5776,440500.0,0.0,1.0
1998-10-22,34.38,34.63,33.63,34.19,11.3486,223200.0,0.0,1.0
1998-10-23,33.94,34.5,33.56,33.56,11.1395,246800.0,0.0,1.0
1998-10-26,33.63,33.94,33.0,33.31,11.0565,129950.0,0.0,1.0
1998-10-27,33.5,34.75,33.44,34.69,11.5146,652200.0,0.0,1.0
1998-10-28,34.88,34.88,34.06,34.31,11.3884,328100.0,0.0,1.0
1998-10-29,34.31,35.0,34.13,34.94,11.5975,641150.0,0.0,1.0
1998-10-30,35.19,35.44,34.5,35.06,11.6374,451400.0,0.0,1.0
1998-11-02,36.06,37.31,35.56,36.56,12.1353,276850.0,0.0,1.0
1998-11-03,36.63,36.63,34.5,35.06,11.6374,462300.0,0.0,1.0
1998-11-04,36.0,36.81,35.63,36.81,12.2182,645100.0,0.0,1.0
1998-11-05,36.56,37.75,36.19,37.38,12.4074,617450.0,0.0,1.0
1998-11-06,37.0,37.63,37.0,37.5,12.4473,340250.0,0.0,1.0
1998-11-09,37.38,37.88,37.19,37.25,12.3643,273150.0,0.0,1.0
1998-11-10,37.19,37.88,36.69,37.38,12.4074,626450.0,0.0,1.0
1998-11-11,37.44,38.31,37.25,37.75,12.5302,329250.0,0.0,1.0
1998-11-12,37.75,38.13,36.88,37.94,12.5933,412650.0,0.0,1.0
1998-11-13,37.88,38.0,37.5,37.63,12.4904,174850.0,0.0,1.0
1998-11-16,38.0,38.44,37.69,37.94,12.5933,164650.0,0.0,1.0
1998-11-17,38.06,38.13,37.5,37.75,12.5302,251150.0,0.0,1.0
1998-11-18,37.63,38.19,37.56,37.88,12.6531,265100.0,0.24,1.0
1998-11-19,37.81,38.13,37.75,37.81,12.6297,219150.0,0.0,1.0
1998-11-20,38.13,38.5,37.88,38.19,12.7566,142350.0,0.0,1.0
1998-11-23,38.06,38.69,37.81,37.94,12.6731,162450.0,0.0,1.0
1998-11-24,38.06,38.75,38.0,38.56,12.8802,207450.0,0.0,1.0
1998-11-25,38.56,38.69,37.94,38.56,12.8802,133250.0,0.0,1.0
1998-11-27,38.31,38.81,38.31,38.81,12.9637,45050.0,0.0,1.0
1998-11-30,38.69,38.75,37.81,37.94,12.6731,216300.0,0.0,1.0
1998-12-01,38.0,38.56,37.88,38.0,12.6931,229350.0,0.0,1.0
1998-12-02,37.75,37.88,36.56,37.44,12.5061,699300.0,0.0,1.0
1998-12-03,37.5,38.5,37.0,37.06,12.3792,307150.0,0.0,1.0
1998-12-04,37.5,37.81,37.38,37.44,12.5061,216950.0,0.0,1.0
1998-12-07,37.19,38.44,37.06,38.31,12.7967,185000.0,0.0,1.0
1998-12-08,38.25,39.69,37.63,37.94,12.6731,303450.0,0.0,1.0
1998-12-09,37.94,39.56,37.94,39.0,13.0272,212800.0,0.0,1.0
1998-12-10,38.25,38.25,37.19,37.31,12.4627,258250.0,0.0,1.0
1998-12-11,37.06,37.19,36.19,36.38,12.152,214850.0,0.0,1.0
1998-12-14,36.38,36.38,35.19,35.31,11.7946,217250.0,0.0,1.0
1998-12-15,35.06,36.25,34.88,35.88,11.985,233900.0,0.0,1.0
1998-12-16,35.5,35.56,33.56,34.37,11.4806,367650.0,0.0,1.0
1998-12-17,34.63,36.0,34.63,35.94,12.005,449800.0,0.0,1.0
1998-12-18,35.81,37.0,35.63,36.81,12.2957,291450.0,0.0,1.0
1998-12-21,36.69,36.94,36.31,36.63,12.2355,293800.0,0.0,1.0
1998-12-22,36.5,36.88,35.94,36.19,12.0886,510050.0,0.0,1.0
1998-12-23,36.13,37.0,36.06,37.0,12.3591,174300.0,0.0,1.0
1998-12-24,36.94,37.0,36.5,36.56,12.2121,55750.0,0.0,1.0
1998-12-28,36.69,37.06,35.88,36.25,12.1086,120200.0,0.0,1.0
1998-12-29,36.0,37.13,35.44,36.81,12.2957,365850.0,0.0,1.0
1998-12-30,36.56,36.88,35.44,35.81,11.9616,204450.0,0.0,1.0
1998-12-31,35.75,36.63,35.5,36.63,12.2355,234750.0,0.0,1.0
1999-01-04,36.5,37.31,36.5,36.63,12.2355,311250.0,0.0,1.0
1999-01-05,36.88,37.31,36.69,37.13,12.4025,284350.0,0.0,1.0
1999-01-06,37.25,39.31,37.13,39.25,13.1107,589600.0,0.0,1.0
1999-01-07,38.75,39.0,37.75,38.56,12.8802,374250.0,0.0,1.0
1999-01-08,38.75,39.38,38.31,38.88,12.9871,425350.0,0.0,1.0
1999-01-11,38.88,39.31,38.63,38.94,13.0071,281300.0,0.0,1.0
1999-01-12,38.19,39.44,38.13,39.06,13.0472,316000.0,0.0,1.0
1999-01-13,38.5,38.75,37.75,37.75,12.6096,410550.0,0.0,1.0
1999-01-14,37.75,38.88,37.56,37.56,12.5462,277400.0,0.0,1.0
1999-01-15,37.56,38.31,37.38,38.31,12.7967,168800.0,0.0,1.0
1999-01-19,38.19,38.19,36.88,37.94,12.6731,222150.0,0.0,1.0
1999-01-20,37.94,39.25,37.88,38.5,12.8602,589950.0,0.0,1.0
1999-01-21,37.5,37.56,36.75,37.38,12.486,283850.0,0.0,1.0
1999-01-22,37.0,37.56,36.5,36.56,12.2121,183500.0,0.0,1.0
1999-01-25,36.31,36.88,35.81,36.88,12.319,529400.0,0.0,1.0
1999-01-26,36.88,37.75,36.75,37.56,12.5462,159900.0,0.0,1.0
1999-01-27,37.44,37.75,37.0,37.19,12.4226,269150.0,0.0,1.0
1999-01-28,37.06,37.81,36.69,36.75,12.2756,232100.0,0.0,1.0
1999-01-29,37.0,37.75,37.0,37.5,12.5261,335500.0,0.0,1.0
1999-02-01,37.56,37.88,37.13,37.88,12.6531,252300.0,0.0,1.0
1999-02-02,37.88,38.75,37.69,38.69,12.9236,434800.0,0.0,1.0
1999-02-03,38.69,39.94,38.38,38.38,12.8201,420800.0,0.0,1.0
1999-02-04,38.5,39.0,37.5,37.69,12.5896,410100.0,0.0,1.0
1999-02-05,37.75,37.94,36.81,37.13,12.4025,179150.0,0.0,1.0
1999-02-08,36.25,37.0,36.0,36.25,12.1086,270500.0,0.0,1.0
1999-02-09,36.5,36.5,35.56,35.63,11.9015,184650.0,0.0,1.0
1999-02-10,35.56,35.81,35.25,35.31,11.7946,207950.0,0.0,1.0
1999-02-11,35.56,35.75,35.13,35.56,11.8781,319000.0,0.0,1.0
1999-02-12,35.56,35.56,34.75,34.81,11.6276,475200.0,0.0,1.0
