date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,19.44,19.5,18.94,19.06,8.9559,342200.0,0.0,1.0
1998-01-05,19.25,19.44,18.38,18.75,8.8102,1678100.0,0.0,1.0
1998-01-06,18.63,18.63,18.0,18.5,8.6928,1259900.0,0.0,1.0
1998-01-07,18.5,18.56,18.13,18.38,8.6364,1695600.0,0.0,1.0
1998-01-08,18.25,18.44,18.06,18.06,8.486,539100.0,0.0,1.0
1998-01-09,18.19,18.25,17.81,17.81,8.3685,788200.0,0.0,1.0
1998-01-12,17.75,17.94,17.56,17.63,8.284,1219900.0,0.0,1.0
1998-01-13,17.88,17.94,17.63,17.75,8.3403,454900.0,0.0,1.0
1998-01-14,17.88,19.44,17.75,19.19,9.017,2497800.0,0.0,1.0
1998-01-15,19.19,19.38,18.88,19.19,9.017,1762800.0,0.0,1.0
1998-01-16,19.19,19.44,18.88,18.88,8.8713,1128900.0,0.0,1.0
1998-01-20,19.0,19.5,18.81,19.38,9.1062,377500.0,0.0,1.0
1998-01-21,19.25,19.25,18.88,19.13,8.9888,604600.0,0.0,1.0
1998-01-22,19.0,19.06,18.63,18.75,8.8102,381200.0,0.0,1.0
1998-01-23,18.75,19.0,18.75,18.94,8.8995,969100.0,0.0,1.0
1998-01-26,19.0,19.13,18.38,18.5,8.6928,1481700.0,0.0,1.0
1998-01-27,18.38,18.44,18.0,18.13,8.5189,4237400.0,0.0,1.0
1998-01-28,18.0,18.13,17.81,17.88,8.4014,1370800.0,0.0,1.0
1998-01-29,17.94,18.13,17.63,17.69,8.3122,1009400.0,0.0,1.0
1998-01-30,17.69,17.88,17.5,17.5,8.2229,684300.0,0.0,1.0
1998-02-02,17.69,18.38,17.63,18.13,8.5189,670800.0,0.0,1.0
1998-02-03,18.19,18.44,18.06,18.44,8.6646,450700.0,0.0,1.0
1998-02-04,18.44,19.0,18.44,19.0,8.9277,639100.0,0.0,1.0
1998-02-05,18.94,19.13,18.75,18.75,8.8102,497400.0,0.0,1.0
1998-02-06,18.75,19.0,18.5,19.0,8.9277,300500.0,0.0,1.0
1998-02-09,19.0,19.19,18.44,18.44,8.6646,260400.0,0.0,1.0
1998-02-10,18.56,18.63,18.44,18.56,8.7209,689100.0,0.0,1.0
1998-02-11,18.63,18.69,18.5,18.56,8.7209,766700.0,0.0,1.0
1998-02-12,18.5,18.56,18.38,18.44,8.6646,517900.0,0.0,1.0
1998-02-13,18.38,18.44,18.13,18.13,8.5189,1319700.0,0.0,1.0
1998-02-17,18.13,18.19,17.81,17.88,8.4014,496200.0,0.0,1.0
1998-02-18,17.94,18.19,17.81,18.13,8.5189,1557200.0,0.0,1.0
1998-02-19,18.25,19.0,18.13,18.94,8.8995,872600.0,0.0,1.0
1998-02-20,19.13,20.19,19.13,19.94,9.3694,3398400.0,0.0,1.0
1998-02-23,19.81,19.94,19.5,19.63,9.2237,644100.0,0.0,1.0
1998-02-24,19.44,19.5,19.25,19.38,9.1062,627800.0,0.0,1.0
1998-02-25,19.5,20.13,19.5,20.0,9.3976,505200.0,0.0,1.0
1998-02-26,19.94,20.13,19.88,19.94,9.3694,742100.0,0.0,1.0
1998-02-27,19.88,19.94,19.63,19.81,9.3083,453500.0,0.0,1.0
1998-03-02,19.88,20.19,19.75,19.81,9.3083,474600.0,0.0,1.0
1998-03-03,19.88,20.0,19.31,19.88,9.3412,928800.0,0.0,1.0
1998-03-04,19.94,20.0,19.63,19.94,9.3694,435500.0,0.0,1.0
1998-03-05,19.94,20.19,19.81,20.19,9.4868,972400.0,0.0,1.0
1998-03-06,20.31,20.56,20.31,20.44,9.6043,948800.0,0.0,1.0
1998-03-09,20.25,20.38,19.88,20.06,9.4258,262900.0,0.0,1.0
1998-03-10,20.13,20.31,20.0,20.13,9.4587,233500.0,0.0,1.0
1998-03-11,20.19,20.31,20.13,20.31,9.5432,176500.0,0.0,1.0
1998-03-12,19.88,20.06,19.69,19.75,9.2801,582700.0,0.0,1.0
1998-03-13,19.81,20.0,19.63,19.94,9.3694,952100.0,0.0,1.0
1998-03-16,20.06,20.19,19.56,19.88,9.3412,894200.0,0.0,1.0
1998-03-17,19.63,19.75,19.0,19.0,8.9277,1774400.0,0.0,1.0
1998-03-18,19.0,19.13,18.88,19.13,8.9888,2215100.0,0.0,1.0
1998-03-19,19.13,19.31,19.0,19.25,9.0452,593000.0,0.0,1.0
1998-03-20,19.5,19.63,19.19,19.19,9.017,904100.0,0.0,1.0
1998-03-23,19.38,19.44,19.19,19.25,9.0452,541500.0,0.0,1.0
1998-03-24,19.38,19.44,19.25,19.38,9.1062,792600.0,0.0,1.0
1998-03-25,19.38,19.69,19.19,19.19,9.017,512500.0,0.0,1.0
1998-03-26,19.25,19.25,19.06,19.13,8.9888,652100.0,0.0,1.0
1998-03-27,19.19,19.38,18.81,19.0,8.9277,998900.0,0.0,1.0
1998-03-30,19.0,19.06,18.81,18.94,8.8995,555500.0,0.0,1.0
