date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,59.5,59.62,58.25,59.5,19.552,232700.0,0.0,1.0
1998-01-05,59.5,59.56,58.62,59.38,19.5125,327600.0,0.0,1.0
1998-01-06,58.75,59.38,58.31,58.56,19.2431,368000.0,0.0,1.0
1998-01-07,58.0,58.0,57.0,57.69,18.9572,419200.0,0.0,1.0
1998-01-08,57.0,57.0,55.0,55.69,18.3,507300.0,0.0,1.0
1998-01-09,55.75,55.75,53.12,53.56,17.6001,333500.0,0.0,1.0
1998-01-12,52.75,54.75,52.69,53.31,17.5179,493400.0,0.0,1.0
1998-01-13,53.44,53.69,52.56,52.62,17.2912,584900.0,0.0,1.0
1998-01-14,52.88,55.94,52.88,55.62,18.277,916000.0,0.0,1.0
1998-01-15,55.62,55.62,54.56,54.88,18.0338,429500.0,0.0,1.0
1998-01-16,55.5,57.0,55.5,55.75,18.3197,338600.0,0.0,1.0
1998-01-20,55.94,57.94,55.94,57.94,19.0394,368900.0,0.0,1.0
1998-01-21,57.38,57.5,55.5,56.44,18.5464,286100.0,0.0,1.0
1998-01-22,55.5,56.38,55.0,56.12,18.4413,318100.0,0.0,1.0
1998-01-23,56.25,56.56,55.12,56.06,18.4216,298100.0,0.0,1.0
1998-01-26,56.31,56.94,56.0,56.06,18.4216,198900.0,0.0,1.0
1998-01-27,55.88,56.69,55.75,56.38,18.5267,232700.0,0.0,1.0
1998-01-28,56.62,57.0,55.12,56.56,18.5859,240700.0,0.0,1.0
1998-01-29,56.75,58.0,56.62,57.31,18.8323,443000.0,0.0,1.0
1998-01-30,57.31,57.31,55.44,55.62,18.277,367700.0,0.0,1.0
1998-02-02,56.75,57.69,56.38,57.0,18.7305,492500.0,0.0,1.0
1998-02-03,56.75,57.0,56.62,56.94,18.7108,181400.0,0.0,1.0
1998-02-04,56.81,56.81,55.75,56.25,18.484,221900.0,0.0,1.0
1998-02-05,56.06,56.62,55.31,56.25,18.484,312100.0,0.0,1.0
1998-02-06,56.75,56.88,55.62,56.5,18.5662,246700.0,0.0,1.0
1998-02-09,56.38,56.75,55.38,56.0,18.4019,259600.0,0.0,1.0
1998-02-10,56.0,56.25,55.38,55.81,18.3394,330400.0,0.0,1.0
1998-02-11,56.06,56.88,55.81,56.06,18.4216,354000.0,0.0,1.0
1998-02-12,55.94,57.06,55.44,57.0,18.7305,332300.0,0.0,1.0
1998-02-13,56.88,57.44,56.12,56.56,18.5859,219600.0,0.0,1.0
1998-02-17,56.75,57.75,56.5,56.88,18.691,285500.0,0.0,1.0
1998-02-18,57.0,57.38,56.56,57.19,18.7929,285300.0,0.0,1.0
1998-02-19,56.81,57.06,56.12,56.44,18.5464,141300.0,0.0,1.0
1998-02-20,56.69,57.12,56.06,57.12,18.7699,335200.0,0.0,1.0
1998-02-23,57.12,57.19,56.19,57.0,18.7305,232600.0,0.0,1.0
1998-02-24,57.0,57.12,56.5,57.0,18.7305,372800.0,0.0,1.0
1998-02-25,57.38,58.62,57.25,58.31,19.1609,584600.0,0.0,1.0
1998-02-26,58.19,59.38,58.09,59.25,19.4698,329800.0,0.0,1.0
1998-02-27,59.12,60.0,59.0,59.94,19.6966,326200.0,0.0,1.0
1998-03-02,59.94,60.75,59.62,60.75,19.9627,384200.0,0.0,1.0
1998-03-03,60.75,62.75,60.75,62.75,20.6199,801900.0,0.0,1.0
1998-03-04,62.75,62.75,60.81,61.31,20.1468,241800.0,0.0,1.0
