date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,18.75,18.88,18.56,18.63,3.8353,27500.0,0.0,1.0
1998-01-05,18.75,18.88,18.5,18.69,3.8477,81100.0,0.0,1.0
1998-01-06,18.69,18.75,18.38,18.75,3.86,99000.0,0.0,1.0
1998-01-07,18.75,18.75,18.25,18.31,3.7695,92600.0,0.0,1.0
1998-01-08,18.38,18.38,18.25,18.38,3.7839,90700.0,0.0,1.0
1998-01-09,18.13,18.31,17.5,17.5,3.6027,220000.0,0.0,1.0
1998-01-12,17.75,17.75,17.38,17.5,3.6027,38800.0,0.0,1.0
1998-01-13,17.5,18.0,17.5,17.75,3.6542,80800.0,0.0,1.0
1998-01-14,17.75,18.0,17.63,17.75,3.6542,159800.0,0.0,1.0
1998-01-15,18.0,18.0,17.63,17.69,3.6418,41100.0,0.0,1.0
1998-01-16,17.94,18.0,17.63,18.0,3.7056,115200.0,0.0,1.0
1998-01-20,18.0,18.25,17.94,18.06,3.718,77600.0,0.0,1.0
1998-01-21,18.13,18.5,17.88,17.88,3.6809,54900.0,0.0,1.0
1998-01-22,17.88,18.5,17.75,18.19,3.7448,196600.0,0.0,1.0
1998-01-23,18.5,18.5,18.19,18.31,3.7695,71900.0,0.0,1.0
1998-01-26,18.13,18.5,18.13,18.31,3.7695,68700.0,0.0,1.0
1998-01-27,18.25,20.13,18.25,19.5,4.0144,306600.0,0.0,1.0
1998-01-28,19.75,24.25,19.75,23.88,4.9162,1029900.0,0.0,1.0
1998-01-29,22.88,23.75,21.63,21.75,4.4777,735700.0,0.0,1.0
1998-01-30,21.75,22.44,21.13,22.0,4.5394,190000.0,0.05,1.0
1998-02-02,22.5,24.25,22.25,24.0,4.9521,601200.0,0.0,1.0
1998-02-03,23.75,25.5,23.38,25.13,5.1853,615000.0,0.0,1.0
1998-02-04,25.0,26.63,23.88,26.0,5.3648,1150700.0,0.0,1.0
