date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,68.25,69.0,67.25,67.94,12.8972,135500.0,0.0,1.0
1998-01-05,67.69,69.19,67.69,68.88,13.0756,95600.0,0.0,1.0
1998-01-06,68.5,68.56,66.88,67.5,12.8137,212200.0,0.0,1.0
1998-01-07,67.44,67.63,65.75,67.63,12.8383,149700.0,0.0,1.0
1998-01-08,68.0,69.19,68.0,68.38,12.9807,180400.0,0.0,1.0
1998-01-09,68.63,69.0,66.06,66.25,12.5764,227900.0,0.0,1.0
1998-01-12,65.0,67.25,64.81,67.06,12.7301,149300.0,0.0,1.0
1998-01-13,67.06,68.13,67.06,68.0,12.9086,279800.0,0.0,1.0
1998-01-14,67.75,68.44,67.5,68.06,12.92,134400.0,0.0,1.0
1998-01-15,69.5,70.38,68.75,70.31,13.3471,309900.0,0.0,1.0
1998-01-16,70.56,70.69,69.44,69.63,13.218,132000.0,0.0,1.0
1998-01-20,69.56,72.31,69.56,72.19,13.704,123000.0,0.0,1.0
1998-01-21,72.19,72.19,70.81,71.19,13.5141,100800.0,0.0,1.0
1998-01-22,71.13,72.25,71.0,71.94,13.6565,152400.0,0.0,1.0
1998-01-23,71.75,71.75,70.19,70.31,13.3471,93200.0,0.0,1.0
1998-01-26,70.13,70.13,68.38,68.69,13.0396,172300.0,0.0,1.0
1998-01-27,68.69,70.25,68.69,69.5,13.1933,136600.0,0.0,1.0
1998-01-28,69.75,70.25,68.38,68.5,13.0035,174500.0,0.0,1.0
1998-01-29,68.31,71.0,68.31,70.5,13.3832,111900.0,0.0,1.0
1998-01-30,70.44,70.44,68.88,69.38,13.1705,152500.0,0.0,1.0
1998-02-02,69.5,70.38,69.38,70.13,13.3129,176400.0,0.0,1.0
1998-02-03,70.63,71.06,69.63,71.06,13.4895,138500.0,0.0,1.0
1998-02-04,70.81,71.13,69.63,71.13,13.5027,277400.0,0.0,1.0
1998-02-05,76.5,76.5,74.94,76.0,14.4272,489200.0,0.0,1.0
1998-02-06,75.75,76.31,75.25,76.0,14.4272,124600.0,0.0,1.0
1998-02-09,76.0,76.5,75.81,76.25,14.4747,160900.0,0.0,1.0
1998-02-10,76.25,77.0,76.06,76.75,14.5696,202400.0,0.0,1.0
1998-02-11,77.0,77.25,76.5,77.13,14.6417,233200.0,0.0,1.0
1998-02-12,76.88,77.0,76.25,76.88,14.5943,174400.0,0.0,1.0
1998-02-13,77.0,77.38,76.5,77.25,14.6645,184600.0,0.0,1.0
1998-02-17,77.5,80.0,77.5,79.19,15.0328,128400.0,0.0,1.0
1998-02-18,79.25,80.5,79.06,80.44,15.2701,116700.0,0.0,1.0
1998-02-19,80.69,81.19,79.69,80.19,15.2226,155600.0,0.0,1.0
1998-02-20,80.44,80.5,79.88,80.38,15.2587,130500.0,0.0,1.0
1998-02-23,80.38,81.94,80.25,80.69,15.3175,194200.0,0.0,1.0
1998-02-24,80.69,80.69,79.75,79.75,15.1391,106200.0,0.0,1.0
1998-02-25,79.5,81.25,78.75,80.56,15.2929,213200.0,0.0,1.0
1998-02-26,80.44,81.13,79.75,79.81,15.1505,80900.0,0.0,1.0
1998-02-27,79.94,80.56,79.0,80.19,15.2226,160000.0,0.0,1.0
1998-03-02,79.5,81.81,79.0,81.81,15.5302,202600.0,0.0,1.0
1998-03-03,81.56,83.5,81.5,82.88,15.7333,167000.0,0.0,1.0
1998-03-04,83.94,84.0,82.5,82.63,15.6858,191100.0,0.0,1.0
1998-03-05,82.38,83.69,82.38,83.0,15.7561,192500.0,0.0,1.0
1998-03-06,83.06,83.56,82.75,83.44,15.8396,228300.0,0.0,1.0
1998-03-09,83.75,84.25,83.13,83.19,15.7921,288800.0,0.0,1.0
1998-03-10,83.25,85.31,82.75,82.75,15.7086,153100.0,0.0,1.0
1998-03-11,85.0,86.94,84.94,85.31,16.1946,1097100.0,0.0,1.0
1998-03-12,85.56,86.38,85.38,85.38,16.2079,179700.0,0.0,1.0
1998-03-13,85.63,86.13,85.19,85.81,16.2895,273400.0,0.0,1.0
1998-03-16,86.06,86.75,85.56,85.94,16.3142,130700.0,0.0,1.0
1998-03-17,85.94,85.94,84.19,84.75,16.0883,162700.0,0.0,1.0
1998-03-18,84.75,84.75,83.06,83.5,15.851,174500.0,0.0,1.0
1998-03-19,83.5,83.5,82.0,82.94,15.7447,189800.0,0.0,1.0
1998-03-20,82.94,83.0,82.0,82.31,15.6251,129200.0,0.0,1.0
1998-03-23,82.13,82.13,81.38,81.69,15.5074,94100.0,0.0,1.0
1998-03-24,81.75,82.13,81.5,81.94,15.5548,228900.0,0.0,1.0
1998-03-25,81.88,82.5,81.13,81.88,15.5434,330300.0,0.0,1.0
1998-03-26,81.94,82.19,81.19,81.69,15.5074,178700.0,0.0,1.0
1998-03-27,82.0,82.0,81.0,81.94,15.5548,164700.0,0.0,1.0
1998-03-30,82.0,82.38,81.56,81.81,15.5302,79200.0,0.0,1.0
1998-03-31,81.94,82.38,81.75,81.75,15.5188,128500.0,0.0,1.0
1998-04-01,81.88,84.25,81.88,83.63,15.8756,288500.0,0.0,1.0
