date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,77.88,78.44,77.13,78.13,24.2267,234500.0,0.0,1.0
1998-01-05,77.88,78.88,77.44,78.38,24.3042,135200.0,0.0,1.0
1998-01-06,77.63,78.0,77.38,78.0,24.1864,180900.0,0.0,1.0
1998-01-07,76.63,76.94,76.25,76.63,23.9228,206900.0,0.52,1.0
1998-01-08,76.63,76.75,74.94,75.38,23.5326,204400.0,0.0,1.0
1998-01-09,74.75,75.0,72.5,72.88,22.7521,323800.0,0.0,1.0
1998-01-12,72.5,73.5,72.25,73.19,22.8489,242100.0,0.0,1.0
1998-01-13,73.19,73.44,72.5,73.31,22.8864,177200.0,0.0,1.0
1998-01-14,73.25,74.38,73.0,74.06,23.1205,149100.0,0.0,1.0
1998-01-15,74.0,74.06,73.5,73.69,23.005,101800.0,0.0,1.0
1998-01-16,74.0,75.0,74.0,74.38,23.2204,277800.0,0.0,1.0
1998-01-20,74.38,76.38,74.38,76.38,23.8448,248600.0,0.0,1.0
1998-01-21,76.38,76.94,74.81,75.5,23.5701,193900.0,0.0,1.0
1998-01-22,74.69,76.0,74.63,75.81,23.6668,68900.0,0.0,1.0
1998-01-23,75.63,76.19,75.25,75.56,23.5888,132200.0,0.0,1.0
1998-01-26,75.56,76.0,75.56,75.56,23.5888,135400.0,0.0,1.0
1998-01-27,75.56,77.25,75.56,76.69,23.9416,108400.0,0.0,1.0
1998-01-28,76.56,76.81,75.88,76.63,23.9228,117700.0,0.0,1.0
1998-01-29,76.75,77.63,76.25,76.63,23.9228,146500.0,0.0,1.0
1998-01-30,76.38,76.75,75.69,76.13,23.7667,109300.0,0.0,1.0
1998-02-02,76.38,77.0,76.31,77.0,24.0383,115100.0,0.0,1.0
1998-02-03,77.0,77.0,76.06,76.88,24.0009,102000.0,0.0,1.0
1998-02-04,76.63,77.19,76.38,76.56,23.901,130800.0,0.0,1.0
1998-02-05,76.75,76.75,74.5,76.38,23.8448,258600.0,0.0,1.0
1998-02-06,76.63,77.38,76.63,77.19,24.0977,206800.0,0.0,1.0
1998-02-09,76.94,78.19,76.81,78.13,24.3911,221600.0,0.0,1.0
1998-02-10,78.06,79.38,77.63,79.25,24.7408,355900.0,0.0,1.0
1998-02-11,79.25,80.5,79.25,80.0,24.9749,314900.0,0.0,1.0
1998-02-12,80.0,80.38,79.25,80.19,25.0342,599300.0,0.0,1.0
1998-02-13,79.94,80.56,79.94,80.0,24.9749,289400.0,0.0,1.0
1998-02-17,80.19,82.13,80.19,81.44,25.4244,265600.0,0.0,1.0
1998-02-18,82.0,83.13,81.91,82.38,25.7179,547200.0,0.0,1.0
1998-02-19,82.0,82.38,81.38,82.06,25.618,107700.0,0.0,1.0
1998-02-20,82.31,82.81,82.0,82.63,25.7959,111300.0,0.0,1.0
1998-02-23,82.88,83.25,81.38,83.0,25.9115,233500.0,0.0,1.0
1998-02-24,83.0,83.25,82.5,83.0,25.9115,293900.0,0.0,1.0
1998-02-25,83.19,84.25,83.19,83.94,26.2049,287300.0,0.0,1.0
1998-02-26,83.69,84.5,82.88,84.44,26.361,150600.0,0.0,1.0
1998-02-27,84.19,84.38,83.0,84.0,26.2236,116600.0,0.0,1.0
1998-03-02,83.63,83.94,83.06,83.5,26.0676,147100.0,0.0,1.0
1998-03-03,83.25,83.88,83.0,83.88,26.1862,98200.0,0.0,1.0
1998-03-04,83.63,83.69,82.63,82.88,25.874,123200.0,0.0,1.0
1998-03-05,82.38,82.44,81.31,81.31,25.3839,169700.0,0.0,1.0
1998-03-06,81.31,81.88,81.0,81.88,25.5618,355200.0,0.0,1.0
1998-03-09,81.88,83.63,81.63,82.81,25.8521,187500.0,0.0,1.0
1998-03-10,82.94,83.69,82.56,83.69,26.1269,61200.0,0.0,1.0
1998-03-11,83.44,83.94,83.31,83.63,26.1081,134500.0,0.0,1.0
1998-03-12,83.5,83.94,83.44,83.69,26.1269,147700.0,0.0,1.0
1998-03-13,83.69,83.69,82.88,83.56,26.0863,82100.0,0.0,1.0
