date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,462.0,462.0,460.0,461.0,28.4828,3000.0,0.0,1.0
1998-01-05,460.0,460.06,448.0,448.0,27.6796,7200.0,0.0,1.0
1998-01-06,450.75,450.75,450.0,450.0,27.8032,2600.0,0.0,1.0
1998-01-07,448.0,448.0,442.5,444.0,27.4325,4700.0,0.0,1.0
1998-01-08,442.0,442.0,437.0,437.0,27.0,800.0,0.0,1.0
1998-01-09,437.06,437.06,435.0,435.06,26.8801,9800.0,0.0,1.0
1998-01-12,435.0,437.0,429.0,429.0,26.5057,8500.0,0.0,1.0
1998-01-13,433.0,434.75,433.0,434.75,26.861,700.0,0.0,1.0
1998-01-14,435.0,438.0,434.0,438.0,27.0618,7000.0,0.0,1.0
1998-01-15,436.0,444.0,436.0,444.0,27.4325,4200.0,0.0,1.0
1998-01-16,446.0,450.0,445.0,445.0,27.4942,1200.0,0.0,1.0
1998-01-20,446.0,446.0,442.0,442.06,27.3126,4600.0,0.0,1.0
1998-01-21,440.0,441.5,440.0,440.06,27.189,12600.0,0.0,1.0
1998-01-22,439.0,439.0,437.5,437.5,27.0309,4600.0,0.0,1.0
1998-01-23,435.5,438.0,432.0,437.5,27.0309,17900.0,0.0,1.0
1998-01-26,435.0,435.0,430.5,430.5,26.5984,3100.0,0.0,1.0
1998-01-27,430.56,447.0,430.0,445.0,27.4942,25600.0,0.0,1.0
1998-01-28,446.0,457.0,446.0,457.0,28.2357,13200.0,0.0,1.0
1998-01-29,455.0,466.0,455.0,461.06,28.4865,12500.0,0.0,1.0
1998-01-30,459.0,459.0,456.25,456.25,28.1893,7900.0,0.0,1.0
1998-02-02,454.0,471.94,454.0,471.75,29.147,33600.0,0.0,1.0
1998-02-03,470.75,488.0,470.25,488.0,30.151,8600.0,0.0,1.0
1998-02-04,488.0,488.0,480.0,480.0,29.6567,4300.0,0.0,1.0
1998-02-05,477.78,478.56,477.0,477.06,29.4751,13200.0,0.0,1.0
1998-02-06,476.0,482.0,470.5,482.0,29.7803,9800.0,0.0,1.0
1998-02-09,480.0,482.75,478.06,480.0,29.6567,8200.0,0.0,1.0
1998-02-10,482.0,482.0,478.0,478.06,29.5369,1600.0,0.0,1.0
1998-02-11,476.0,477.0,475.19,475.19,29.3595,4400.0,0.0,1.0
1998-02-12,476.0,481.5,474.0,476.06,29.4133,9300.0,0.0,1.0
1998-02-13,476.06,478.0,474.0,478.0,29.5331,1500.0,0.0,1.0
1998-02-17,478.0,478.0,473.06,478.0,29.5331,4300.0,0.0,1.0
1998-02-18,477.0,486.0,477.0,481.69,29.7611,4600.0,0.0,1.0
1998-02-19,481.75,481.75,478.0,479.5,29.6258,10400.0,0.0,1.0
1998-02-20,477.0,477.0,469.06,476.94,29.4677,13800.0,0.0,1.0
1998-02-23,477.0,477.0,475.69,475.69,29.3904,2200.0,0.0,1.0
1998-02-24,475.63,475.63,471.0,472.56,29.197,12200.0,0.0,1.0
1998-02-25,472.63,475.0,472.63,474.94,29.3441,11000.0,0.0,1.0
1998-02-26,474.13,480.0,474.13,478.06,29.5863,10800.0,0.8,1.0
1998-02-27,478.06,478.06,472.0,472.0,29.2112,1600.0,0.0,1.0
1998-03-02,472.06,473.0,470.19,470.19,29.0992,4100.0,0.0,1.0
1998-03-03,470.25,470.25,466.0,466.56,28.8746,19600.0,0.0,1.0
1998-03-04,468.0,473.0,466.63,471.0,29.1494,13300.0,0.0,1.0
1998-03-05,469.0,476.0,467.0,471.06,29.1531,16500.0,0.0,1.0
1998-03-06,471.06,479.0,468.0,479.0,29.6445,9700.0,0.0,1.0
1998-03-09,476.0,476.06,472.81,472.88,29.2657,1400.0,0.0,1.0
1998-03-10,470.0,472.13,469.0,471.5,29.1803,8500.0,0.0,1.0
1998-03-11,469.0,481.5,467.0,473.0,29.2731,14800.0,0.0,1.0
1998-03-12,473.06,476.5,473.06,476.5,29.4897,16700.0,0.0,1.0
1998-03-13,476.5,482.0,476.5,480.0,29.7063,23600.0,0.0,1.0
1998-03-16,477.0,485.5,476.0,485.5,30.0467,8500.0,0.0,1.0
1998-03-17,481.0,487.75,481.0,487.75,30.186,8300.0,0.0,1.0
1998-03-18,487.88,488.0,486.06,487.5,30.1705,12300.0,0.0,1.0
1998-03-19,487.5,489.88,484.0,489.88,30.3178,30300.0,0.0,1.0
1998-03-20,490.0,494.0,490.0,490.0,30.3252,6200.0,0.0,1.0
1998-03-23,488.0,493.0,488.0,490.0,30.3252,3700.0,0.0,1.0
1998-03-24,493.0,500.0,493.0,494.0,30.5728,3800.0,0.0,1.0
1998-03-25,504.0,504.0,498.0,498.0,30.8203,8100.0,0.0,1.0
1998-03-26,497.0,497.06,491.0,497.06,30.7622,1800.0,0.0,1.0
1998-03-27,498.06,498.06,494.0,494.0,30.5728,6300.0,0.0,1.0
1998-03-30,494.0,498.0,489.94,490.0,30.3252,23500.0,0.0,1.0
1998-03-31,493.0,500.0,493.0,499.88,30.9367,3300.0,0.0,1.0
1998-04-01,480.0,489.88,480.0,488.25,30.2169,28500.0,0.0,1.0
1998-04-02,490.0,492.0,487.13,489.0,30.2633,10700.0,0.0,1.0
1998-04-03,485.75,494.0,485.75,493.94,30.5691,11000.0,0.0,1.0
1998-04-06,500.0,508.0,492.0,504.0,31.1917,16100.0,0.0,1.0
1998-04-07,510.0,510.0,491.0,491.0,30.3871,16500.0,0.0,1.0
1998-04-08,489.5,501.0,485.5,485.5,30.0467,19800.0,0.0,1.0
1998-04-09,489.0,504.19,489.0,494.06,30.5765,20200.0,0.0,1.0
1998-04-13,502.0,507.0,500.94,501.0,31.006,4000.0,0.0,1.0
1998-04-14,497.0,512.0,495.0,507.0,31.3773,11200.0,0.0,1.0
1998-04-15,510.0,516.5,508.0,509.0,31.5011,19900.0,0.0,1.0
1998-04-16,510.0,515.0,506.0,511.56,31.6595,11000.0,0.0,1.0
1998-04-17,512.0,520.0,511.0,520.0,32.1819,19700.0,0.0,1.0
1998-04-20,515.0,525.06,511.0,520.25,32.1973,38000.0,0.0,1.0
1998-04-21,518.25,525.88,518.25,524.0,32.4294,23400.0,0.0,1.0
1998-04-22,521.0,530.0,521.0,530.0,32.8008,7200.0,0.0,1.0
1998-04-23,533.0,533.0,508.0,508.0,31.4392,14100.0,0.0,1.0
1998-04-24,515.0,517.0,506.0,509.0,31.5011,7800.0,0.0,1.0
1998-04-27,505.0,506.0,500.0,500.0,30.9441,49100.0,0.0,1.0
1998-04-28,500.0,510.0,500.0,507.94,31.4355,11000.0,0.0,1.0
1998-04-29,511.0,513.0,510.06,510.56,31.5976,5100.0,0.0,1.0
1998-04-30,510.0,513.5,510.0,510.0,31.563,5100.0,0.0,1.0
1998-05-01,510.0,515.94,510.0,514.38,31.8341,12600.0,0.0,1.0
1998-05-04,514.0,516.0,512.0,512.0,31.6868,13200.0,0.0,1.0
1998-05-05,512.0,512.0,511.5,511.5,31.6558,10700.0,0.0,1.0
1998-05-06,511.0,511.75,510.5,510.5,31.5939,6600.0,0.0,1.0
1998-05-07,507.0,511.94,507.0,511.94,31.6831,3200.0,0.0,1.0
1998-05-08,511.0,515.0,511.0,515.0,31.8724,11400.0,0.0,1.0
1998-05-11,512.0,514.94,511.0,511.0,31.6249,2200.0,0.0,1.0
1998-05-12,511.0,511.06,509.0,510.75,31.6094,23900.0,0.0,1.0
1998-05-13,512.0,512.0,510.06,510.13,31.571,7200.0,0.0,1.0
1998-05-14,512.0,512.0,510.0,510.06,31.5667,6500.0,0.0,1.0
1998-05-15,510.0,514.0,510.0,510.0,31.563,8400.0,0.0,1.0
1998-05-18,512.0,512.0,510.0,510.06,31.5667,6300.0,0.0,1.0
1998-05-19,510.0,514.0,510.0,510.81,31.6131,8800.0,0.0,1.0
1998-05-20,513.0,515.0,511.0,514.0,31.8105,10400.0,0.0,1.0
1998-05-21,516.0,517.0,513.0,514.5,31.8415,7400.0,0.0,1.0
1998-05-22,513.0,514.0,507.0,510.0,31.563,3600.0,0.0,1.0
1998-05-26,510.0,511.38,510.0,510.13,31.571,6800.0,0.0,1.0
1998-05-27,508.13,508.13,506.0,506.06,31.3192,2600.0,0.0,1.0
1998-05-28,505.0,505.06,505.0,505.06,31.3192,4400.0,1.0,1.0
1998-05-29,505.06,508.0,505.0,508.0,31.5015,25500.0,0.0,1.0
1998-06-01,508.0,508.0,507.38,507.75,31.486,17200.0,0.0,1.0
1998-06-02,508.0,509.38,508.0,509.25,31.579,1200.0,0.0,1.0
1998-06-03,508.88,509.13,508.63,508.88,31.556,1800.0,0.0,1.0
1998-06-04,509.13,510.25,509.0,510.25,31.641,2300.0,0.0,1.0
1998-06-05,510.25,513.0,510.0,513.0,31.8115,3000.0,0.0,1.0
1998-06-08,514.0,517.63,513.5,513.5,31.8425,5400.0,0.0,1.0
1998-06-09,513.88,514.0,513.25,513.88,31.8661,8000.0,0.0,1.0
1998-06-10,514.0,518.5,514.0,518.19,32.1334,6700.0,0.0,1.0
1998-06-11,518.19,518.19,517.0,518.0,32.1216,2500.0,0.0,1.0
1998-06-12,517.75,517.81,516.0,516.81,32.0478,19300.0,0.0,1.0
1998-06-15,516.31,516.81,516.13,516.5,32.0286,14200.0,0.0,1.0
1998-06-16,519.5,519.5,518.75,519.38,32.2071,16500.0,0.0,1.0
1998-06-17,519.25,519.63,519.0,519.5,32.2146,2200.0,0.0,1.0
1998-06-18,519.75,522.5,519.63,522.13,32.3777,6000.0,0.0,1.0
1998-06-19,522.38,522.38,520.88,521.0,32.3076,1500.0,0.0,1.0
1998-06-22,521.5,521.5,519.75,520.0,32.2456,4300.0,0.0,1.0
1998-06-23,519.63,519.75,519.0,519.75,32.2301,3600.0,0.0,1.0
1998-06-24,519.38,527.0,519.0,527.0,32.6797,7000.0,0.0,1.0
1998-06-25,526.75,533.5,524.75,533.5,33.0827,10400.0,0.0,1.0
1998-06-26,534.13,537.75,532.0,537.75,33.3463,4000.0,0.0,1.0
1998-06-29,541.0,544.5,540.5,544.5,33.7649,5900.0,0.0,1.0
1998-06-30,547.0,554.0,545.0,554.0,34.354,21400.0,0.0,1.0
