date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2003-12-02,19.0,19.25,19.0,19.25,8.669,80000.0,0.0,1.0
2003-12-03,19.5,19.5,19.5,19.5,8.7816,150000.0,0.0,1.0
2003-12-04,20.25,20.25,20.25,20.25,9.1193,25000.0,0.0,1.0
2003-12-05,20.25,20.25,20.25,20.25,9.1193,0.0,0.0,1.0
2003-12-08,21.0,21.8,21.0,21.8,9.8174,477000.0,0.0,1.0
2003-12-09,21.8,22.75,21.8,22.125,9.9637,1507100.0,0.0,1.0
2003-12-10,22.25,23.0,22.25,22.5,10.1326,1497300.0,0.0,1.0
2003-12-11,22.75,23.0,22.625,22.9,10.3127,1101600.0,0.0,1.0
2003-12-12,23.0,23.05,22.92,22.95,10.3353,354500.0,0.0,1.0
2003-12-15,22.9,22.9,22.4,22.4,10.0876,643500.0,0.0,1.0
2003-12-16,22.35,22.35,21.8,21.95,9.8849,442800.0,0.0,1.0
2003-12-17,21.9,21.9,21.4,21.45,9.6598,575400.0,0.0,1.0
2003-12-18,21.45,21.55,21.45,21.55,9.7048,1212600.0,0.0,1.0
2003-12-19,21.55,21.8,21.55,21.8,9.8174,710900.0,0.0,1.0
2003-12-22,21.65,21.8,21.65,21.65,9.7498,2600.0,0.0,1.0
2003-12-23,21.7,21.85,21.7,21.8,9.8174,66900.0,0.0,1.0
2003-12-24,21.8,21.85,21.8,21.85,9.8399,10100.0,0.0,1.0
2003-12-26,21.85,21.85,21.85,21.85,9.8399,500.0,0.0,1.0
2003-12-29,21.8,21.8,21.8,21.8,9.8174,600.0,0.0,1.0
2003-12-30,21.85,21.9,21.85,21.9,9.8624,15800.0,0.0,1.0
2003-12-31,21.9,22.0,21.9,21.9,9.8624,7100.0,0.0,1.0
2004-01-02,22.0,22.45,21.95,22.45,10.1101,278800.0,0.0,1.0
2004-01-05,22.45,22.5,22.3,22.4,10.0876,68000.0,0.0,1.0
2004-01-06,22.4,22.5,22.39,22.45,10.1101,80300.0,0.0,1.0
2004-01-07,22.4,22.4,22.0,22.25,10.02,141700.0,0.0,1.0
2004-01-08,22.35,22.35,22.2,22.26,10.0245,192600.0,0.0,1.0
2004-01-09,22.3,22.3,21.15,21.15,9.5247,1728100.0,0.0,1.0
2004-01-12,21.25,21.25,21.2,21.2,9.5472,8900.0,0.0,1.0
2004-01-13,21.25,21.35,20.96,21.0,9.4571,534800.0,0.0,1.0
2004-01-14,21.05,21.1,21.0,21.0,9.4571,104300.0,0.0,1.0
2004-01-15,21.0,21.0,20.75,20.85,9.3896,27100.0,0.0,1.0
2004-01-16,20.75,20.9,20.75,20.8,9.367,246900.0,0.0,1.0
2004-01-20,21.0,21.05,20.97,21.0,9.4571,428300.0,0.0,1.0
2004-01-21,21.05,21.15,21.0,21.0,9.4571,484800.0,0.0,1.0
2004-01-22,21.1,21.6,21.1,21.5,9.6823,431800.0,0.0,1.0
2004-01-23,21.5,21.5,21.1,21.2,9.5472,374200.0,0.0,1.0
2004-01-26,21.2,21.2,20.85,20.85,9.3896,145800.0,0.0,1.0
2004-01-27,20.85,20.85,20.7,20.73,9.3355,497300.0,0.0,1.0
2004-01-28,20.75,20.75,20.45,20.5,9.2319,50000.0,0.0,1.0
2004-01-29,20.5,20.5,19.75,20.0,9.0068,584500.0,0.0,1.0
2004-01-30,20.0,20.25,20.0,20.0,9.0068,170600.0,0.0,1.0
2004-02-02,20.0,20.35,20.0,20.15,9.0743,40400.0,0.0,1.0
2004-02-03,20.0,20.31,20.0,20.3,9.1419,689600.0,0.0,1.0
2004-02-04,20.25,20.3,20.25,20.25,9.1193,287600.0,0.0,1.0
2004-02-05,20.27,20.27,20.02,20.05,9.0293,324500.0,0.0,1.0
2004-02-06,20.15,20.15,20.0,20.05,9.0293,243300.0,0.0,1.0
2004-02-09,20.05,20.05,20.0,20.0,9.0068,303700.0,0.0,1.0
2004-02-10,20.0,20.1,20.0,20.03,9.0203,272300.0,0.0,1.0
2004-02-11,20.08,20.08,20.0,20.0,9.0068,507800.0,0.0,1.0
2004-02-12,20.02,20.05,20.0,20.0,9.0068,94300.0,0.0,1.0
2004-02-13,20.02,20.04,20.0,20.04,9.0248,463700.0,0.0,1.0
2004-02-17,20.03,20.04,19.8,19.8,8.9167,138100.0,0.0,1.0
2004-02-18,19.75,19.85,19.5,19.51,8.7861,221400.0,0.0,1.0
2004-02-19,19.53,19.55,19.5,19.54,8.7996,340400.0,0.0,1.0
2004-02-20,19.55,19.57,19.5,19.54,8.7996,105100.0,0.0,1.0
2004-02-23,19.5,19.52,19.0,19.25,8.669,47400.0,0.0,1.0
2004-02-24,20.25,20.25,20.25,20.25,9.1193,1428400.0,0.0,1.0
2004-02-25,18.5,19.25,18.4,19.2,8.6465,1089100.0,0.0,1.0
2004-02-26,19.2,19.35,19.1,19.15,8.624,514600.0,0.0,1.0
2004-02-27,19.1,19.3,19.1,19.3,8.6915,758300.0,0.0,1.0
2004-03-01,19.2,20.2,19.2,20.0,9.0068,665200.0,0.0,1.0
2004-03-02,20.0,20.05,19.75,19.9,8.9617,151900.0,0.0,1.0
2004-03-03,19.9,19.99,19.8,19.97,8.9933,232800.0,0.0,1.0
2004-03-04,19.95,19.95,18.85,19.8,8.9167,192600.0,0.0,1.0
2004-03-05,19.8,19.9,19.75,19.85,8.9392,80400.0,0.0,1.0
2004-03-08,19.9,19.9,19.07,19.5,8.7816,49500.0,0.0,1.0
2004-03-09,19.6,19.75,19.5,19.5,8.7816,47400.0,0.0,1.0
2004-03-10,19.7,19.7,19.4,19.4,8.7366,64900.0,0.0,1.0
2004-03-11,19.65,20.1,19.65,19.75,8.8942,1023100.0,0.0,1.0
2004-03-12,19.9,20.0,19.75,19.95,8.9842,382200.0,0.0,1.0
2004-03-15,19.98,19.98,19.75,19.85,8.9392,17900.0,0.0,1.0
2004-03-16,19.9,19.95,19.8,19.9,8.9617,977400.0,0.0,1.0
2004-03-17,19.95,20.55,19.95,20.5,9.2319,720200.0,0.0,1.0
2004-03-18,20.45,20.65,20.4,20.6,9.277,410800.0,0.0,1.0
2004-03-19,20.65,20.7,20.6,20.65,9.2995,33300.0,0.0,1.0
2004-03-22,20.65,20.8,20.65,20.75,9.3445,412700.0,0.0,1.0
2004-03-23,20.75,21.1,20.75,20.97,9.4436,1920000.0,0.0,1.0
2004-03-24,20.97,21.3,20.9,21.3,9.5922,778100.0,0.0,1.0
2004-03-25,22.0,22.15,21.0,21.31,9.5967,997700.0,0.0,1.0
2004-03-26,21.37,21.44,21.3,21.32,9.6012,451400.0,0.0,1.0
2004-03-29,21.35,22.2,21.35,21.85,9.8399,774400.0,0.0,1.0
2004-03-30,21.9,22.0,21.67,21.99,9.9029,246400.0,0.0,1.0
2004-03-31,21.85,22.2,21.8,22.2,9.9975,984900.0,0.0,1.0
2004-04-01,22.25,22.35,22.15,22.24,10.0155,426300.0,0.0,1.0
2004-04-02,22.36,22.5,22.35,22.5,10.1326,559200.0,0.0,1.0
2004-04-05,22.56,22.66,22.3,22.66,10.2047,423800.0,0.0,1.0
2004-04-06,22.66,22.8,22.56,22.66,10.2047,341800.0,0.0,1.0
2004-04-07,22.66,22.66,22.35,22.4,10.0876,314600.0,0.0,1.0
2004-04-08,22.5,22.5,22.15,22.19,9.993,193700.0,0.0,1.0
2004-04-12,22.26,22.32,21.98,22.14,9.9705,250000.0,0.0,1.0
2004-04-13,22.03,22.2,21.85,21.99,9.9029,460900.0,0.0,1.0
2004-04-14,22.0,22.0,21.5,21.7,9.7723,165500.0,0.0,1.0
2004-04-15,21.7,21.7,21.0,21.24,9.5652,191500.0,0.0,1.0
2004-04-16,21.34,21.4,21.25,21.35,9.6147,203200.0,0.0,1.0
2004-04-19,21.35,21.6,21.345,21.51,9.6868,112700.0,0.0,1.0
2004-04-20,21.55,21.55,21.02,21.25,9.5697,73100.0,0.0,1.0
2004-04-21,21.25,21.25,20.77,20.84,9.385,260500.0,0.0,1.0
2004-04-22,20.84,20.9,20.69,20.9,9.4121,276800.0,0.0,1.0
2004-04-23,20.95,21.1,20.94,21.0,9.4571,408100.0,0.0,1.0
2004-04-26,21.0,21.2,20.99,21.2,9.5472,234000.0,0.0,1.0
2004-04-27,21.25,21.25,21.17,21.23,9.5607,206400.0,0.0,1.0
2004-04-28,21.23,21.95,21.2,21.75,9.7949,404800.0,0.0,1.0
2004-04-29,21.6,21.7,21.5,21.7,9.7723,93500.0,0.0,1.0
2004-04-30,21.64,21.84,21.6,21.7,9.7723,88800.0,0.0,1.0
2004-05-03,21.7,21.7,20.6,21.1,9.5021,845500.0,0.0,1.0
2004-05-04,21.1,21.1,20.23,20.25,9.1193,445700.0,0.0,1.0
2004-05-05,20.3,20.3,19.9,19.99,9.0023,348600.0,0.0,1.0
2004-05-06,20.03,20.03,19.7,19.8,8.9167,56000.0,0.0,1.0
2004-05-07,19.71,19.96,19.5,19.69,8.8672,468600.0,0.0,1.0
2004-05-10,19.55,19.65,19.17,19.62,8.8356,274800.0,0.0,1.0
2004-05-11,19.62,20.74,19.62,20.6,9.277,766400.0,0.0,1.0
2004-05-12,20.7,20.7,20.06,20.49,9.2274,66100.0,0.0,1.0
2004-05-13,20.5,20.5,19.87,19.99,9.0023,99200.0,0.0,1.0
2004-05-14,20.2,21.2,20.15,20.95,9.4346,397100.0,0.0,1.0
2004-05-17,21.15,21.15,20.25,20.33,9.1554,66700.0,0.0,1.0
2004-05-18,20.33,20.75,20.33,20.5,9.2319,105300.0,0.0,1.0
2004-05-19,20.5,20.71,20.5,20.6,9.277,65500.0,0.0,1.0
2004-05-20,20.6,20.68,20.45,20.46,9.2139,78800.0,0.0,1.0
2004-05-21,20.5,20.5,20.25,20.42,9.1959,68900.0,0.0,1.0
2004-05-24,20.42,20.7,20.29,20.7,9.322,87300.0,0.0,1.0
2004-05-25,20.7,21.2,20.6,20.75,9.3445,165600.0,0.0,1.0
2004-05-26,20.8,21.15,20.8,21.1,9.5021,214800.0,0.0,1.0
2004-05-27,21.2,21.24,21.12,21.21,9.5517,198200.0,0.0,1.0
2004-05-28,21.35,21.35,20.99,21.14,9.5202,319300.0,0.0,1.0
2004-06-01,21.18,21.27,20.87,21.05,9.4796,328500.0,0.0,1.0
2004-06-02,21.15,21.4,21.15,21.4,9.6372,393800.0,0.0,1.0
2004-06-03,21.4,21.4,21.11,21.3,9.5922,326100.0,0.0,1.0
2004-06-04,21.5,21.63,21.4,21.6,9.7273,275000.0,0.0,1.0
2004-06-07,21.7,21.87,21.63,21.75,9.7949,226300.0,0.0,1.0
2004-06-08,21.85,21.99,21.77,21.99,9.9029,100400.0,0.0,1.0
2004-06-09,22.0,23.25,22.0,23.25,10.4704,1362900.0,0.0,1.0
2004-06-10,23.35,23.49,22.75,23.06,10.3848,1342500.0,0.0,1.0
2004-06-14,23.18,23.49,23.15,23.2,10.4478,447600.0,0.0,1.0
2004-06-15,23.28,23.28,23.1,23.11,10.4073,829900.0,0.0,1.0
2004-06-16,23.2,23.2,22.95,23.0,10.3578,507800.0,0.0,1.0
2004-06-17,23.05,23.13,22.99,23.0,10.3578,308100.0,0.0,1.0
2004-06-18,23.0,23.05,22.98,22.99,10.3533,531700.0,0.0,1.0
2004-06-21,23.21,23.4,22.95,23.0,10.3578,311500.0,0.0,1.0
2004-06-22,23.1,23.1,22.74,22.75,10.2452,268100.0,0.0,1.0
2004-06-23,22.7,22.85,22.45,22.52,10.1416,407100.0,0.0,1.0
2004-06-24,22.7,23.24,22.6,23.1,10.4028,384500.0,0.0,1.0
2004-06-25,23.25,23.9,23.0,23.9,10.7631,2297000.0,0.0,1.0
2004-06-28,23.8,24.0,23.56,23.98,10.7991,600000.0,0.0,1.0
2004-06-29,23.98,24.2,23.95,24.0,10.8081,709400.0,0.0,1.0
2004-06-30,24.25,24.8,24.19,24.8,11.1684,975700.0,0.0,1.0
2004-07-01,24.76,24.93,24.1,24.5,11.0333,391300.0,0.0,1.0
2004-07-02,24.49,24.8,24.35,24.71,11.1279,158000.0,0.0,1.0
2004-07-06,24.74,25.6,24.7,25.46,11.4656,1200100.0,0.0,1.0
2004-07-07,25.49,26.06,25.44,26.0,11.7088,1411300.0,0.0,1.0
2004-07-08,26.0,26.25,25.81,26.0,11.7088,731900.0,0.0,1.0
2004-07-09,26.1,26.45,25.86,26.0,11.7088,228600.0,0.0,1.0
2004-07-12,25.9,26.7,25.9,26.56,11.961,727700.0,0.0,1.0
2004-07-13,26.7,27.1,26.55,27.09,12.1997,718900.0,0.0,1.0
2004-07-14,27.0,27.05,26.65,26.95,12.1366,673100.0,0.0,1.0
2004-07-15,26.95,27.07,26.74,26.75,12.0465,406800.0,0.0,1.0
2004-07-16,26.66,26.8,26.6,26.63,11.9925,583600.0,0.0,1.0
2004-07-19,26.4,26.5,25.9,26.0,11.7088,269200.0,0.0,1.0
2004-07-20,26.0,26.0,25.74,25.91,11.6683,327800.0,0.0,1.0
2004-07-21,25.99,26.27,25.9,25.97,11.6953,509400.0,0.0,1.0
2004-07-22,25.92,26.0,25.46,25.8,11.6187,328300.0,0.0,1.0
2004-07-23,25.84,25.98,25.69,25.98,11.6998,256500.0,0.0,1.0
2004-07-26,25.98,25.98,25.41,25.65,11.5512,606800.0,0.0,1.0
2004-07-27,25.6,26.1,25.6,25.87,11.6503,258500.0,0.0,1.0
2004-07-28,25.97,26.39,25.85,26.25,11.8214,450100.0,0.0,1.0
2004-07-29,26.25,26.54,26.25,26.39,11.8844,465800.0,0.0,1.0
2004-07-30,26.34,26.6,26.25,26.59,11.9745,261700.0,0.0,1.0
2004-08-02,26.59,27.03,26.59,26.97,12.1456,609100.0,0.0,1.0
2004-08-03,26.95,26.95,26.75,26.75,12.0465,96500.0,0.0,1.0
2004-08-04,26.75,27.14,26.74,27.05,12.1817,1114200.0,0.0,1.0
2004-08-05,28.0,28.43,27.63,27.7,12.4744,2503600.0,0.0,1.0
2004-08-06,27.7,27.78,27.6,27.64,12.4473,691800.0,0.0,1.0
2004-08-09,27.64,27.73,27.41,27.72,12.4834,226600.0,0.0,1.0
2004-08-10,27.75,27.86,27.64,27.7,12.4744,175600.0,0.0,1.0
2004-08-11,27.7,27.74,27.6,27.7,12.4744,264200.0,0.0,1.0
2004-08-12,27.7,27.75,27.54,27.67,12.4609,491700.0,0.0,1.0
2004-08-13,27.62,27.67,27.29,27.45,12.3618,704000.0,0.0,1.0
2004-08-16,27.5,27.5,27.43,27.43,12.3528,195000.0,0.0,1.0
2004-08-17,27.35,27.57,27.34,27.48,12.3753,204000.0,0.0,1.0
2004-08-18,27.47,27.47,27.2,27.33,12.3077,654000.0,0.0,1.0
2004-08-19,27.35,27.5,27.21,27.3,12.2942,457600.0,0.0,1.0
2004-08-20,27.4,27.54,27.25,27.5,12.3843,398800.0,0.0,1.0
2004-08-23,27.5,27.6,27.35,27.5,12.3843,409200.0,0.0,1.0
2004-08-24,27.45,27.48,27.28,27.3,12.2942,123500.0,0.0,1.0
2004-08-25,27.31,27.5,27.3,27.4,12.3393,569400.0,0.0,1.0
2004-08-26,27.45,27.5,27.35,27.5,12.3843,249600.0,0.0,1.0
2004-08-27,27.5,27.59,27.31,27.32,12.3032,130300.0,0.0,1.0
2004-08-30,27.45,27.5,27.25,27.35,12.3168,262900.0,0.0,1.0
2004-08-31,27.4,27.46,27.24,27.35,12.3168,255000.0,0.0,1.0
