date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,25.44,25.63,25.31,25.63,3.5225,46800.0,0.0,1.0
1998-01-05,25.56,26.25,25.5,26.0,3.5734,40900.0,0.0,1.0
1998-01-06,25.88,26.75,25.88,26.25,3.6077,81900.0,0.0,1.0
1998-01-07,26.19,26.44,26.06,26.31,3.616,30600.0,0.0,1.0
1998-01-08,26.13,26.38,26.06,26.19,3.5995,45700.0,0.0,1.0
1998-01-09,26.13,26.13,25.88,26.13,3.5912,31200.0,0.0,1.0
1998-01-12,25.88,26.13,25.56,26.0,3.5734,32200.0,0.0,1.0
1998-01-13,26.13,26.25,25.88,26.19,3.5995,42400.0,0.0,1.0
1998-01-14,26.31,26.81,26.31,26.75,3.6765,81300.0,0.0,1.0
1998-01-15,26.88,26.88,26.5,26.5,3.6421,32700.0,0.0,1.0
1998-01-16,26.69,26.88,26.38,26.5,3.6421,43400.0,0.0,1.0
1998-01-20,26.5,27.0,26.5,26.81,3.6847,59400.0,0.0,1.0
1998-01-21,26.81,26.88,26.63,26.69,3.6682,49700.0,0.0,1.0
1998-01-22,26.69,26.75,26.5,26.5,3.6421,36900.0,0.0,1.0
1998-01-23,26.56,26.75,26.13,26.44,3.6338,48400.0,0.0,1.0
1998-01-26,26.56,26.75,26.25,26.63,3.66,31700.0,0.0,1.0
1998-01-27,26.38,26.75,26.38,26.75,3.6765,34400.0,0.0,1.0
1998-01-28,26.5,26.88,26.5,26.69,3.6682,22300.0,0.0,1.0
1998-01-29,26.44,26.88,26.44,26.75,3.6984,38700.0,0.16,1.0
1998-01-30,26.63,26.88,26.38,26.63,3.6818,39300.0,0.0,1.0
1998-02-02,26.63,26.88,26.5,26.69,3.6901,30300.0,0.0,1.0
1998-02-03,26.56,26.81,26.56,26.63,3.6818,33800.0,0.0,1.0
1998-02-04,26.63,26.88,26.56,26.56,3.6722,29200.0,0.0,1.0
1998-02-05,26.5,26.75,26.31,26.44,3.6556,32700.0,0.0,1.0
1998-02-06,26.44,26.69,26.44,26.56,3.6722,30100.0,0.0,1.0
1998-02-09,26.75,26.81,26.44,26.56,3.6722,41900.0,0.0,1.0
1998-02-10,26.69,26.81,26.44,26.44,3.6556,30800.0,0.0,1.0
1998-02-11,26.44,26.75,26.25,26.44,3.6556,45900.0,0.0,1.0
1998-02-12,26.44,26.75,26.13,26.63,3.6818,29200.0,0.0,1.0
1998-02-13,26.75,26.81,26.5,26.75,3.6984,28500.0,0.0,1.0
1998-02-17,26.75,26.88,26.56,26.81,3.7067,35000.0,0.0,1.0
1998-02-18,26.81,26.81,26.56,26.63,3.6818,31000.0,0.0,1.0
1998-02-19,26.56,26.81,26.5,26.63,3.6818,23100.0,0.0,1.0
1998-02-20,26.38,26.5,26.25,26.25,3.6293,31600.0,0.0,1.0
1998-02-23,26.38,26.63,26.13,26.56,3.6722,19600.0,0.0,1.0
1998-02-24,26.63,26.63,26.38,26.56,3.6722,50600.0,0.0,1.0
1998-02-25,26.44,26.75,26.44,26.69,3.6901,29300.0,0.0,1.0
1998-02-26,26.44,26.5,26.19,26.25,3.6514,51300.0,0.16,1.0
1998-02-27,26.0,26.13,25.69,25.81,3.5902,74100.0,0.0,1.0
1998-03-02,25.88,26.0,25.5,25.94,3.6083,60600.0,0.0,1.0
1998-03-03,25.94,26.31,25.81,26.31,3.6598,41300.0,0.0,1.0
1998-03-04,26.31,26.38,25.88,26.13,3.6347,31100.0,0.0,1.0
1998-03-05,26.0,26.13,25.5,25.63,3.5652,27800.0,0.0,1.0
1998-03-06,25.5,26.0,25.44,25.75,3.5819,28500.0,0.0,1.0
1998-03-09,25.56,25.75,25.5,25.75,3.5819,23700.0,0.0,1.0
1998-03-10,25.75,25.88,25.25,25.44,3.5388,39000.0,0.0,1.0
1998-03-11,25.44,25.94,25.38,25.75,3.5819,59200.0,0.0,1.0
1998-03-12,26.0,26.0,25.75,26.0,3.6167,72700.0,0.0,1.0
1998-03-13,26.13,26.31,26.0,26.0,3.6167,34800.0,0.0,1.0
1998-03-16,26.0,26.19,25.75,26.0,3.6167,41400.0,0.0,1.0
1998-03-17,26.13,26.19,25.75,26.19,3.6431,32400.0,0.0,1.0
1998-03-18,26.06,26.13,25.88,25.88,3.6,31600.0,0.0,1.0
1998-03-19,25.81,26.19,25.81,26.06,3.625,39500.0,0.0,1.0
1998-03-20,25.88,26.75,25.88,26.63,3.7043,72000.0,0.0,1.0
1998-03-23,26.75,27.12,26.75,27.06,3.7641,109300.0,0.0,1.0
1998-03-24,27.13,27.19,27.0,27.13,3.7738,39300.0,0.0,1.0
1998-03-25,26.88,27.13,26.63,26.88,3.7391,43700.0,0.0,1.0
1998-03-26,26.69,27.06,26.63,26.81,3.7293,44300.0,0.0,1.0
1998-03-27,26.81,27.0,26.63,26.81,3.7293,38600.0,0.0,1.0
1998-03-30,26.81,27.0,26.5,26.88,3.7617,45200.0,0.163,1.0
1998-03-31,26.69,27.19,26.69,27.19,3.8051,34200.0,0.0,1.0
1998-04-01,27.0,27.13,26.5,26.81,3.7519,54000.0,0.0,1.0
1998-04-02,26.69,26.94,26.38,26.94,3.7701,33800.0,0.0,1.0
1998-04-03,26.75,27.19,26.63,27.0,3.7785,34200.0,0.0,1.0
1998-04-06,27.0,27.0,26.63,26.75,3.7435,22200.0,0.0,1.0
1998-04-07,26.81,27.13,26.63,27.0,3.7785,49200.0,0.0,1.0
1998-04-08,26.88,27.0,26.63,26.63,3.7268,42000.0,0.0,1.0
1998-04-09,26.75,27.0,26.63,26.63,3.7268,26600.0,0.0,1.0
1998-04-13,26.63,26.69,26.31,26.5,3.7086,39500.0,0.0,1.0
1998-04-14,26.63,27.25,26.38,27.06,3.7869,80300.0,0.0,1.0
1998-04-15,27.06,27.13,26.5,26.56,3.717,35800.0,0.0,1.0
1998-04-16,26.5,26.88,26.25,26.75,3.7435,46000.0,0.0,1.0
1998-04-17,26.63,26.88,26.63,26.75,3.7435,24300.0,0.0,1.0
1998-04-20,26.5,26.63,26.38,26.63,3.7268,24900.0,0.0,1.0
1998-04-21,26.5,26.81,26.38,26.69,3.7352,36700.0,0.0,1.0
1998-04-22,26.69,26.69,26.25,26.63,3.7268,25400.0,0.0,1.0
1998-04-23,26.5,26.5,25.88,26.13,3.6568,61300.0,0.0,1.0
1998-04-24,26.06,26.5,26.06,26.31,3.682,27500.0,0.0,1.0
1998-04-27,26.0,26.13,25.63,25.81,3.612,45700.0,0.0,1.0
1998-04-28,25.94,26.19,25.63,25.94,3.6302,25200.0,0.0,1.0
1998-04-29,25.88,26.13,25.75,26.0,3.6614,33500.0,0.163,1.0
1998-04-30,26.0,26.25,26.0,26.13,3.6797,26300.0,0.0,1.0
1998-05-01,26.06,26.44,26.06,26.38,3.7149,12500.0,0.0,1.0
1998-05-04,26.38,26.38,25.75,26.13,3.6797,27400.0,0.0,1.0
1998-05-05,26.06,26.25,25.75,26.06,3.6698,27600.0,0.0,1.0
1998-05-06,25.88,26.06,25.81,25.88,3.6445,37300.0,0.0,1.0
1998-05-07,25.81,25.94,25.75,25.88,3.6445,12800.0,0.0,1.0
1998-05-08,25.81,26.44,25.81,26.38,3.7149,37700.0,0.0,1.0
1998-05-11,26.19,26.38,26.0,26.38,3.7149,32200.0,0.0,1.0
1998-05-12,26.38,26.38,26.06,26.13,3.6797,21900.0,0.0,1.0
1998-05-13,26.13,26.19,25.88,26.06,3.6698,19100.0,0.0,1.0
1998-05-14,25.81,26.13,25.81,26.0,3.6614,28800.0,0.0,1.0
1998-05-15,26.0,26.13,25.94,26.0,3.6614,36300.0,0.0,1.0
1998-05-18,26.06,26.06,25.75,25.94,3.653,30200.0,0.0,1.0
1998-05-19,25.81,26.0,25.81,26.0,3.6614,28200.0,0.0,1.0
1998-05-20,26.0,26.0,25.81,25.94,3.653,22800.0,0.0,1.0
1998-05-21,25.88,26.13,25.81,25.81,3.6346,20200.0,0.0,1.0
1998-05-22,25.94,25.94,25.81,25.94,3.653,22400.0,0.0,1.0
1998-05-26,25.75,26.0,25.75,26.0,3.6614,41300.0,0.0,1.0
1998-05-27,25.75,26.69,25.75,26.63,3.7501,91200.0,0.0,1.0
1998-05-28,26.44,26.5,26.06,26.38,3.7379,29800.0,0.163,1.0
1998-05-29,26.5,26.75,26.5,26.56,3.7634,30700.0,0.0,1.0
1998-06-01,26.38,27.0,26.38,26.63,3.7733,49000.0,0.0,1.0
1998-06-02,26.63,26.81,26.63,26.75,3.7903,43000.0,0.0,1.0
1998-06-03,26.63,26.94,26.63,26.88,3.8087,24600.0,0.0,1.0
1998-06-04,26.69,26.81,26.5,26.69,3.7818,29300.0,0.0,1.0
1998-06-05,26.63,26.94,26.63,26.94,3.8172,23200.0,0.0,1.0
1998-06-08,26.94,27.19,26.81,26.94,3.8172,28300.0,0.0,1.0
1998-06-09,27.06,27.06,26.25,26.44,3.7464,25000.0,0.0,1.0
1998-06-10,26.56,26.62,26.06,26.12,3.701,33100.0,0.0,1.0
1998-06-11,26.13,26.5,26.06,26.13,3.7024,26000.0,0.0,1.0
1998-06-12,26.25,26.25,25.81,26.06,3.6925,19100.0,0.0,1.0
1998-06-15,26.06,26.06,25.56,25.94,3.6755,19800.0,0.0,1.0
1998-06-16,26.13,26.19,25.75,25.88,3.667,36900.0,0.0,1.0
1998-06-17,26.0,26.25,25.75,26.13,3.7024,19600.0,0.0,1.0
1998-06-18,25.88,26.38,25.88,26.25,3.7194,30900.0,0.0,1.0
1998-06-19,26.31,26.38,25.5,25.69,3.6401,37000.0,0.0,1.0
1998-06-22,25.44,25.94,25.44,25.94,3.6755,36700.0,0.0,1.0
1998-06-23,25.88,26.0,25.5,25.88,3.667,25000.0,0.0,1.0
1998-06-24,25.88,26.13,25.75,25.88,3.667,27500.0,0.0,1.0
1998-06-25,26.0,26.38,25.88,26.06,3.6925,20200.0,0.0,1.0
1998-06-26,26.06,26.69,26.06,26.56,3.7634,42400.0,0.0,1.0
1998-06-29,26.19,26.56,26.19,26.44,3.7697,24200.0,0.165,1.0
1998-06-30,26.56,26.75,26.38,26.38,3.7612,37600.0,0.0,1.0
1998-07-01,26.5,26.94,26.5,26.94,3.841,38000.0,0.0,1.0
1998-07-02,26.81,26.94,26.56,26.63,3.7968,13100.0,0.0,1.0
1998-07-06,26.5,27.0,26.13,27.0,3.8496,27600.0,0.0,1.0
1998-07-07,26.88,27.13,26.56,27.0,3.8496,50800.0,0.0,1.0
1998-07-08,27.0,27.19,26.75,27.06,3.8581,33300.0,0.0,1.0
1998-07-09,26.81,27.25,26.81,27.25,3.8852,47800.0,0.0,1.0
1998-07-10,27.31,27.38,26.69,26.81,3.8225,16600.0,0.0,1.0
1998-07-13,26.69,26.88,26.63,26.88,3.8325,11100.0,0.0,1.0
1998-07-14,26.94,26.94,26.38,26.38,3.7612,19000.0,0.0,1.0
1998-07-15,26.13,26.63,26.13,26.63,3.7968,26800.0,0.0,1.0
1998-07-16,26.63,27.0,26.38,26.94,3.841,30600.0,0.0,1.0
1998-07-17,26.81,26.94,26.63,26.75,3.8139,18400.0,0.0,1.0
1998-07-20,26.56,26.56,26.0,26.19,3.7341,28500.0,0.0,1.0
1998-07-21,26.19,26.31,26.0,26.0,3.707,27400.0,0.0,1.0
1998-07-22,26.0,26.0,25.75,25.94,3.6985,47600.0,0.0,1.0
1998-07-23,25.81,25.81,25.56,25.63,3.6543,28500.0,0.0,1.0
1998-07-24,25.5,25.63,25.44,25.44,3.6272,35400.0,0.0,1.0
1998-07-27,25.38,25.5,25.19,25.5,3.6357,30100.0,0.0,1.0
1998-07-28,25.5,25.5,24.88,25.13,3.583,46800.0,0.0,1.0
1998-07-29,24.88,25.19,24.88,25.0,3.5644,33600.0,0.0,1.0
1998-07-30,24.88,25.0,24.81,24.81,3.5609,16900.0,0.165,1.0
1998-07-31,24.44,24.5,23.75,24.06,3.4532,99200.0,0.0,1.0
1998-08-03,23.81,24.06,23.44,23.94,3.436,52800.0,0.0,1.0
1998-08-04,24.0,24.13,23.75,23.88,3.4274,40400.0,0.0,1.0
1998-08-05,23.88,24.06,23.56,23.75,3.4087,61900.0,0.0,1.0
1998-08-06,23.88,24.19,23.88,24.06,3.4532,29100.0,0.0,1.0
1998-08-07,24.0,24.94,24.0,24.94,3.5795,38600.0,0.0,1.0
1998-08-10,25.06,25.13,24.81,25.0,3.5881,23100.0,0.0,1.0
1998-08-11,24.63,24.63,24.13,24.13,3.4633,34900.0,0.0,1.0
1998-08-12,24.63,25.0,24.13,25.0,3.5881,45200.0,0.0,1.0
1998-08-13,24.69,24.81,24.56,24.69,3.5436,22500.0,0.0,1.0
1998-08-14,25.0,25.63,24.38,25.19,3.6154,47200.0,0.0,1.0
1998-08-17,25.06,25.5,24.94,25.44,3.6513,21100.0,0.0,1.0
1998-08-18,25.44,25.63,25.44,25.56,3.6685,42800.0,0.0,1.0
1998-08-19,25.44,25.44,24.63,24.94,3.5795,38000.0,0.0,1.0
1998-08-20,24.81,25.38,24.75,25.13,3.6068,25700.0,0.0,1.0
1998-08-21,25.13,25.38,24.5,25.38,3.6427,33600.0,0.0,1.0
1998-08-24,25.25,25.44,24.88,25.0,3.5881,25400.0,0.0,1.0
1998-08-25,25.06,25.38,24.75,24.88,3.5709,31800.0,0.0,1.0
1998-08-26,25.0,25.0,24.38,24.88,3.5709,24300.0,0.0,1.0
1998-08-27,24.75,24.75,24.5,24.63,3.535,27700.0,0.0,1.0
1998-08-28,24.25,24.5,23.88,24.06,3.4769,43800.0,0.165,1.0
1998-08-31,23.94,24.0,23.56,23.56,3.4047,38100.0,0.0,1.0
1998-09-01,23.44,24.06,23.44,23.69,3.4234,44400.0,0.0,1.0
1998-09-02,23.56,24.13,23.56,24.06,3.4769,45300.0,0.0,1.0
1998-09-03,24.19,24.44,23.94,24.0,3.4682,31900.0,0.0,1.0
1998-09-04,24.13,24.13,23.5,24.0,3.4682,26600.0,0.0,1.0
1998-09-08,23.88,24.75,23.88,24.38,3.5232,34900.0,0.0,1.0
1998-09-09,24.25,24.38,23.75,24.0,3.4682,17200.0,0.0,1.0
1998-09-10,23.75,24.25,23.56,24.0,3.4682,27300.0,0.0,1.0
1998-09-11,24.13,24.63,24.0,24.56,3.5492,27200.0,0.0,1.0
1998-09-14,24.44,24.75,24.44,24.69,3.568,32800.0,0.0,1.0
1998-09-15,24.56,25.0,24.5,24.88,3.5954,41600.0,0.0,1.0
1998-09-16,25.0,25.25,24.63,25.13,3.6315,28400.0,0.0,1.0
1998-09-17,25.0,25.0,24.44,24.63,3.5593,26900.0,0.0,1.0
1998-09-18,24.88,24.94,24.38,24.63,3.5593,90100.0,0.0,1.0
1998-09-21,24.38,25.38,24.13,25.38,3.6677,48600.0,0.0,1.0
1998-09-22,25.63,25.63,25.38,25.44,3.6763,42700.0,0.0,1.0
1998-09-23,25.44,25.88,25.25,25.69,3.7125,73700.0,0.0,1.0
1998-09-24,25.56,25.63,25.13,25.25,3.6489,41300.0,0.0,1.0
1998-09-25,25.13,25.94,25.13,25.75,3.7211,23900.0,0.0,1.0
1998-09-28,25.81,25.94,25.0,25.5,3.685,58300.0,0.0,1.0
1998-09-29,25.06,25.44,25.0,25.25,3.6732,24700.0,0.168,1.0
1998-09-30,25.38,25.38,24.63,24.88,3.6193,16400.0,0.0,1.0
1998-10-01,24.94,25.19,24.63,25.19,3.6644,38400.0,0.0,1.0
1998-10-02,25.0,25.06,24.56,24.69,3.5917,58300.0,0.0,1.0
1998-10-05,24.69,24.94,24.44,24.88,3.6193,27000.0,0.0,1.0
1998-10-06,24.88,24.88,24.25,24.25,3.5277,23700.0,0.0,1.0
1998-10-07,24.25,24.38,24.0,24.19,3.519,30400.0,0.0,1.0
1998-10-08,24.25,24.38,23.94,24.38,3.5466,39000.0,0.0,1.0
1998-10-09,24.5,24.63,24.13,24.44,3.5553,18900.0,0.0,1.0
1998-10-12,24.56,25.0,24.25,24.5,3.564,41400.0,0.0,1.0
1998-10-13,24.5,24.81,24.25,24.25,3.5277,22200.0,0.0,1.0
1998-10-14,24.5,24.94,24.38,24.69,3.5917,21900.0,0.0,1.0
1998-10-15,24.44,25.25,24.44,25.13,3.6557,22500.0,0.0,1.0
1998-10-16,25.13,25.56,24.88,25.5,3.7095,24000.0,0.0,1.0
1998-10-19,25.25,25.44,25.0,25.0,3.6368,32500.0,0.0,1.0
1998-10-20,25.13,25.5,24.75,24.81,3.6091,31000.0,0.0,1.0
1998-10-21,24.88,25.38,24.75,25.0,3.6368,30600.0,0.0,1.0
1998-10-22,24.88,25.31,24.88,25.13,3.6557,22900.0,0.0,1.0
1998-10-23,25.38,25.44,24.88,24.88,3.6193,19100.0,0.0,1.0
1998-10-26,24.88,25.56,24.75,25.56,3.7182,35500.0,0.0,1.0
1998-10-27,25.44,25.44,25.0,25.19,3.6644,34200.0,0.0,1.0
1998-10-28,25.13,25.25,25.06,25.13,3.6557,14400.0,0.0,1.0
1998-10-29,24.81,25.13,24.81,25.0,3.6612,16200.0,0.168,1.0
1998-10-30,25.0,25.38,24.88,24.94,3.6524,26500.0,0.0,1.0
1998-11-02,24.94,25.0,24.75,24.94,3.6524,17700.0,0.0,1.0
1998-11-03,24.69,25.13,24.69,25.0,3.6612,19900.0,0.0,1.0
1998-11-04,24.75,25.06,24.75,24.94,3.6524,26100.0,0.0,1.0
1998-11-05,25.0,25.13,24.63,24.94,3.6524,27400.0,0.0,1.0
1998-11-06,25.06,25.06,24.75,24.94,3.6524,15700.0,0.0,1.0
1998-11-09,24.75,25.0,24.75,25.0,3.6612,23200.0,0.0,1.0
1998-11-10,25.0,25.44,25.0,25.25,3.6978,49200.0,0.0,1.0
1998-11-11,25.38,25.38,25.13,25.19,3.6891,27900.0,0.0,1.0
1998-11-12,25.19,25.5,25.13,25.5,3.7344,46500.0,0.0,1.0
1998-11-13,25.25,25.5,25.13,25.19,3.6891,19000.0,0.0,1.0
1998-11-16,25.13,25.25,25.0,25.19,3.6891,48600.0,0.0,1.0
1998-11-17,25.19,25.44,25.0,25.31,3.7066,93900.0,0.0,1.0
1998-11-18,25.13,25.44,25.0,25.31,3.7066,83300.0,0.0,1.0
1998-11-19,25.31,25.44,25.19,25.38,3.7169,43800.0,0.0,1.0
1998-11-20,25.13,25.44,25.0,25.38,3.7169,29900.0,0.0,1.0
1998-11-23,25.31,25.69,25.25,25.25,3.6978,75300.0,0.0,1.0
1998-11-24,25.0,25.13,24.63,24.75,3.6246,35600.0,0.0,1.0
1998-11-25,24.75,25.5,24.75,25.38,3.7169,68500.0,0.0,1.0
1998-11-27,25.13,25.19,25.0,25.0,3.6858,4400.0,0.168,1.0
1998-11-30,25.0,25.25,25.0,25.25,3.7227,17100.0,0.0,1.0
1998-12-01,25.13,25.28,24.56,24.63,3.6313,47100.0,0.0,1.0
1998-12-02,24.69,24.81,24.31,24.31,3.5841,21600.0,0.0,1.0
1998-12-03,24.38,24.56,24.19,24.31,3.5841,113900.0,0.0,1.0
1998-12-04,24.31,24.44,24.13,24.31,3.5841,41200.0,0.0,1.0
1998-12-07,24.31,24.56,24.25,24.44,3.6033,52900.0,0.0,1.0
1998-12-08,24.44,24.94,24.38,24.69,3.6401,28100.0,0.0,1.0
1998-12-09,24.81,24.94,24.56,24.56,3.621,24600.0,0.0,1.0
1998-12-10,24.81,24.81,24.5,24.63,3.6313,36700.0,0.0,1.0
1998-12-11,24.63,24.88,24.56,24.63,3.6313,22300.0,0.0,1.0
1998-12-14,24.25,24.5,24.0,24.0,3.5384,47900.0,0.0,1.0
1998-12-15,24.06,24.5,24.06,24.38,3.5944,35400.0,0.0,1.0
1998-12-16,24.44,24.44,24.06,24.25,3.5753,28400.0,0.0,1.0
