date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,20.81,21.06,20.81,20.88,7.9895,41800.0,0.0,1.0
1998-01-05,20.88,22.0,20.88,21.81,8.3453,150400.0,0.0,1.0
1998-01-06,21.69,21.88,21.19,21.25,8.1311,88600.0,0.0,1.0
1998-01-07,21.44,21.62,20.88,20.88,7.9895,60600.0,0.0,1.0
1998-01-08,21.0,21.5,20.94,21.19,8.1081,61200.0,0.0,1.0
1998-01-09,21.19,21.25,19.44,19.69,7.5341,106500.0,0.0,1.0
1998-01-12,19.62,20.62,19.56,20.44,7.8211,80900.0,0.0,1.0
1998-01-13,20.56,20.56,19.94,20.44,7.8211,200000.0,0.0,1.0
1998-01-14,20.38,21.0,20.19,21.0,8.089,141000.0,0.14,1.0
1998-01-15,20.94,21.0,20.69,20.94,8.0659,292200.0,0.0,1.0
1998-01-16,21.25,21.25,20.94,21.19,8.1621,101400.0,0.0,1.0
1998-01-20,21.19,22.94,21.19,22.44,8.6436,338700.0,0.0,1.0
1998-01-21,22.69,23.44,22.69,22.94,8.8362,608300.0,0.0,1.0
1998-01-22,22.75,22.75,22.5,22.75,8.763,329500.0,0.0,1.0
1998-01-23,22.69,23.19,22.56,23.06,8.8825,252600.0,0.0,1.0
1998-01-26,23.0,23.81,23.0,23.62,9.0982,300400.0,0.0,1.0
1998-01-27,23.5,23.88,23.38,23.69,9.1251,229200.0,0.0,1.0
1998-01-28,23.81,24.62,23.81,24.44,9.414,292200.0,0.0,1.0
1998-01-29,24.56,25.38,24.12,24.31,9.3639,308600.0,0.0,1.0
1998-01-30,24.19,24.44,24.0,24.12,9.2908,131200.0,0.0,1.0
1998-02-02,24.38,24.62,24.25,24.56,9.4602,273600.0,0.0,1.0
1998-02-03,24.56,24.69,24.19,24.56,9.4602,242700.0,0.0,1.0
1998-02-04,24.38,25.19,24.38,24.88,9.5835,154900.0,0.0,1.0
1998-02-05,24.81,26.44,24.81,25.75,9.9186,737700.0,0.0,1.0
1998-02-06,25.75,26.62,25.5,25.69,9.8955,222200.0,0.0,1.0
1998-02-09,25.81,26.19,25.38,25.88,9.9687,150500.0,0.0,1.0
1998-02-10,26.0,26.44,25.94,26.12,10.0611,215300.0,0.0,1.0
1998-02-11,26.12,26.31,25.81,26.0,10.0149,99700.0,0.0,1.0
1998-02-12,26.0,26.06,25.75,25.94,9.9918,99600.0,0.0,1.0
1998-02-13,25.69,26.06,25.69,25.94,9.9918,132400.0,0.0,1.0
1998-02-17,25.94,26.12,25.88,26.0,10.0149,321900.0,0.0,1.0
1998-02-18,25.88,26.19,25.88,26.0,10.0149,233700.0,0.0,1.0
1998-02-19,26.12,26.12,25.62,26.0,10.0149,109900.0,0.0,1.0
1998-02-20,25.88,26.5,25.88,26.38,10.1613,289100.0,0.0,1.0
1998-02-23,26.31,26.5,26.31,26.44,10.1844,124900.0,0.0,1.0
1998-02-24,26.38,26.94,26.31,26.44,10.1844,454600.0,0.0,1.0
1998-02-25,26.69,26.94,26.5,26.62,10.2537,200000.0,0.0,1.0
1998-02-26,26.62,26.94,26.44,26.94,10.377,305200.0,0.0,1.0
1998-02-27,26.81,27.38,26.69,26.94,10.377,295000.0,0.0,1.0
1998-03-02,27.12,27.5,26.88,27.31,10.5195,316300.0,0.0,1.0
1998-03-03,27.06,27.25,27.0,27.12,10.4463,106000.0,0.0,1.0
1998-03-04,27.31,27.31,26.94,27.0,10.4001,267700.0,0.0,1.0
1998-03-05,26.75,27.12,26.56,26.81,10.3269,271600.0,0.0,1.0
1998-03-06,26.75,28.12,26.75,27.44,10.5696,314800.0,0.0,1.0
1998-03-09,27.31,27.56,27.12,27.5,10.5927,251600.0,0.0,1.0
1998-03-10,27.5,27.62,27.31,27.38,10.5465,242800.0,0.0,1.0
1998-03-11,27.12,27.69,27.0,27.62,10.6389,100800.0,0.0,1.0
1998-03-12,27.38,28.25,27.25,27.56,10.6158,112200.0,0.0,1.0
1998-03-13,27.69,27.81,27.5,27.69,10.6659,49300.0,0.0,1.0
1998-03-16,27.75,28.5,27.75,28.0,10.7853,225200.0,0.0,1.0
1998-03-17,28.12,28.12,27.56,28.0,10.7853,65100.0,0.0,1.0
1998-03-18,28.0,28.06,27.75,27.94,10.7622,142800.0,0.0,1.0
1998-03-19,27.75,28.25,27.62,28.0,10.7853,159400.0,0.0,1.0
