date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,57.0,57.63,57.0,57.5,16.5703,135600.0,0.0,1.0
1998-01-05,57.88,58.25,57.75,57.94,16.6971,286800.0,0.0,1.0
1998-01-06,57.88,58.0,57.38,57.69,16.625,160300.0,0.0,1.0
1998-01-07,57.75,58.19,57.44,57.63,16.6077,227300.0,0.0,1.0
1998-01-08,57.63,57.63,56.81,56.88,16.3916,219100.0,0.0,1.0
1998-01-09,56.63,56.63,54.0,54.25,15.6337,247300.0,0.0,1.0
1998-01-12,53.0,54.25,53.0,54.25,15.6337,367700.0,0.0,1.0
1998-01-13,54.5,54.5,52.75,53.31,15.3628,317400.0,0.0,1.0
1998-01-14,53.69,54.5,53.63,54.44,15.6884,288500.0,0.0,1.0
1998-01-15,55.0,56.13,54.63,55.19,15.9046,386500.0,0.0,1.0
1998-01-16,55.63,56.25,55.31,56.13,16.1755,174500.0,0.0,1.0
1998-01-20,56.63,57.44,56.31,57.38,16.5357,197400.0,0.0,1.0
1998-01-21,57.13,57.75,56.81,57.0,16.4262,228200.0,0.0,1.0
1998-01-22,56.63,56.81,56.25,56.56,16.2994,225300.0,0.0,1.0
1998-01-23,56.38,56.63,54.38,54.38,15.6712,647700.0,0.0,1.0
1998-01-26,54.5,56.19,54.44,56.0,16.138,971400.0,0.0,1.0
1998-01-27,56.38,57.75,56.25,57.06,16.4435,208600.0,0.0,1.0
1998-01-28,56.88,57.44,56.25,56.63,16.3196,298500.0,0.0,1.0
1998-01-29,56.63,57.0,56.38,56.75,16.3541,942100.0,0.0,1.0
1998-01-30,56.81,57.63,56.75,57.38,16.5357,397300.0,0.0,1.0
1998-02-02,57.5,59.13,57.5,59.13,17.04,271600.0,0.0,1.0
1998-02-03,58.88,59.13,58.5,59.06,17.0198,179500.0,0.0,1.0
1998-02-04,58.94,59.88,58.81,59.63,17.1841,639800.0,0.0,1.0
1998-02-05,59.56,60.88,59.56,59.88,17.2561,442100.0,0.0,1.0
1998-02-06,60.0,61.5,60.0,61.5,17.723,236400.0,0.0,1.0
1998-02-09,61.63,61.75,59.75,60.56,17.4521,472000.0,0.0,1.0
1998-02-10,60.56,60.94,60.0,60.19,17.3455,376600.0,0.0,1.0
1998-02-11,60.63,61.0,60.38,60.81,17.5241,257100.0,0.0,1.0
1998-02-12,60.69,61.44,59.63,61.38,17.7864,236800.0,0.34,1.0
1998-02-13,60.88,61.0,60.31,60.44,17.514,304400.0,0.0,1.0
1998-02-17,60.69,61.19,60.63,61.0,17.6763,154600.0,0.0,1.0
1998-02-18,61.0,61.94,60.88,61.88,17.9313,189000.0,0.0,1.0
1998-02-19,61.63,61.75,61.13,61.19,17.7313,166300.0,0.0,1.0
1998-02-20,61.75,62.0,61.06,62.0,17.9661,355100.0,0.0,1.0
1998-02-23,63.25,63.25,62.63,62.75,18.1834,511000.0,0.0,1.0
1998-02-24,63.0,63.75,62.75,63.56,18.4181,487900.0,0.0,1.0
1998-02-25,63.75,64.38,62.88,63.13,18.2935,384900.0,0.0,1.0
1998-02-26,63.63,65.63,63.63,65.63,19.0179,276700.0,0.0,1.0
1998-02-27,65.38,65.38,64.5,64.81,18.7803,246700.0,0.0,1.0
1998-03-02,64.63,65.0,63.94,64.44,18.6731,198900.0,0.0,1.0
1998-03-03,64.25,65.0,64.19,64.94,18.818,167700.0,0.0,1.0
1998-03-04,64.94,65.25,64.75,65.19,18.8904,180600.0,0.0,1.0
1998-03-05,65.06,66.0,65.0,65.25,18.9078,205800.0,0.0,1.0
1998-03-06,65.06,65.75,65.06,65.5,18.9803,281000.0,0.0,1.0
1998-03-09,64.75,65.63,64.75,65.25,18.9078,308400.0,0.0,1.0
1998-03-10,64.13,65.5,64.13,65.44,18.9629,402300.0,0.0,1.0
1998-03-11,64.25,65.94,64.25,65.5,18.9803,289000.0,0.0,1.0
1998-03-12,65.5,65.5,64.63,65.44,18.9629,322800.0,0.0,1.0
1998-03-13,65.44,65.5,64.5,64.5,18.6905,372900.0,0.0,1.0
1998-03-16,64.56,66.88,64.56,66.88,19.3802,549700.0,0.0,1.0
1998-03-17,66.63,66.63,65.06,65.44,18.9629,346900.0,0.0,1.0
1998-03-18,65.44,66.06,65.25,66.06,19.1425,283000.0,0.0,1.0
1998-03-19,66.19,66.69,65.63,66.69,19.3251,181100.0,0.0,1.0
1998-03-20,67.13,67.19,65.94,66.63,19.3077,284700.0,0.0,1.0
1998-03-23,66.44,67.5,66.13,67.5,19.5598,215200.0,0.0,1.0
1998-03-24,67.25,67.69,67.0,67.69,19.6149,246600.0,0.0,1.0
1998-03-25,68.25,68.5,67.63,67.63,19.5975,286800.0,0.0,1.0
1998-03-26,68.19,68.56,67.88,67.88,19.6699,310400.0,0.0,1.0
1998-03-27,68.0,68.0,66.38,67.0,19.4149,185000.0,0.0,1.0
1998-03-30,67.0,67.5,65.63,66.44,19.2527,294200.0,0.0,1.0
1998-03-31,66.69,68.5,66.69,67.94,19.6873,189100.0,0.0,1.0
1998-04-01,67.94,68.75,67.5,68.75,19.922,186600.0,0.0,1.0
1998-04-02,68.75,69.5,68.75,69.13,20.0321,230000.0,0.0,1.0
1998-04-03,69.38,69.63,68.5,68.81,19.9394,176400.0,0.0,1.0
1998-04-06,68.81,68.81,67.88,67.88,19.6699,154000.0,0.0,1.0
1998-04-07,67.63,68.69,67.38,68.5,19.8496,191100.0,0.0,1.0
1998-04-08,68.25,68.44,67.81,68.31,19.7945,211900.0,0.0,1.0
1998-04-09,68.31,69.25,68.25,69.25,20.0669,158000.0,0.0,1.0
1998-04-13,69.06,69.31,68.0,68.5,19.8496,297900.0,0.0,1.0
1998-04-14,68.5,70.5,68.31,70.25,20.3567,378100.0,0.0,1.0
1998-04-15,70.13,70.75,69.63,70.5,20.4291,465500.0,0.0,1.0
1998-04-16,70.38,71.75,70.13,70.63,20.4668,566600.0,0.0,1.0
1998-04-17,71.0,73.25,70.5,73.0,21.1536,367700.0,0.0,1.0
1998-04-20,72.75,73.5,72.25,73.19,21.2086,374600.0,0.0,1.0
1998-04-21,73.0,73.25,72.69,73.25,21.226,585800.0,0.0,1.0
1998-04-22,73.0,73.5,72.75,73.44,21.2811,233800.0,0.0,1.0
1998-04-23,73.19,73.5,71.5,71.69,20.774,554500.0,0.0,1.0
1998-04-24,71.69,71.75,70.0,70.44,20.4118,421100.0,0.0,1.0
1998-04-27,70.0,70.19,69.63,70.19,20.3393,359900.0,0.0,1.0
1998-04-28,70.25,70.69,70.0,70.63,20.4668,296100.0,0.0,1.0
1998-04-29,70.63,70.69,70.13,70.44,20.4118,252800.0,0.0,1.0
1998-04-30,70.5,71.13,70.5,70.69,20.4842,408300.0,0.0,1.0
1998-05-01,70.69,71.31,70.25,71.31,20.6639,108800.0,0.0,1.0
1998-05-04,71.31,72.13,71.25,71.69,20.774,293600.0,0.0,1.0
1998-05-05,72.25,72.63,71.44,71.88,20.829,231300.0,0.0,1.0
1998-05-06,71.75,71.88,70.25,70.38,20.3944,143600.0,0.0,1.0
1998-05-07,70.0,71.0,69.94,70.13,20.4262,187000.0,0.36,1.0
1998-05-08,70.38,72.13,70.06,71.56,20.8427,300900.0,0.0,1.0
1998-05-11,72.0,72.38,71.63,72.25,21.0437,247000.0,0.0,1.0
1998-05-12,74.88,76.25,74.75,75.25,21.9175,1305400.0,0.0,1.0
1998-05-13,74.0,76.31,73.88,76.31,22.2262,803100.0,0.0,1.0
1998-05-14,76.13,76.63,75.38,76.0,22.136,615800.0,0.0,1.0
1998-05-15,76.0,76.56,75.56,75.81,22.0806,677000.0,0.0,1.0
1998-05-18,74.88,75.63,74.88,75.56,22.0078,294500.0,0.0,1.0
1998-05-19,75.31,76.38,75.25,76.13,22.1738,534900.0,0.0,1.0
1998-05-20,75.44,75.44,75.44,75.44,21.9728,290600.0,0.0,1.0
1998-05-21,75.81,75.81,74.63,75.44,21.9728,171300.0,0.0,1.0
1998-05-22,75.31,75.63,75.13,75.25,21.9175,153400.0,0.0,1.0
1998-05-26,75.25,75.25,73.56,73.56,21.4253,207800.0,0.0,1.0
1998-05-27,73.31,73.63,72.0,72.44,21.0991,372800.0,0.0,1.0
1998-05-28,72.63,73.56,72.44,73.5,21.4078,274100.0,0.0,1.0
1998-05-29,74.13,74.31,72.88,72.88,21.2272,354700.0,0.0,1.0
1998-06-01,72.63,74.13,72.5,73.25,21.335,282800.0,0.0,1.0
1998-06-02,74.25,74.63,73.63,74.13,21.5913,237800.0,0.0,1.0
1998-06-03,75.0,75.0,73.38,73.88,21.5185,525200.0,0.0,1.0
1998-06-04,73.88,73.88,72.75,73.19,21.3175,309500.0,0.0,1.0
1998-06-05,73.75,75.0,73.38,75.0,21.8447,501100.0,0.0,1.0
1998-06-08,75.0,75.19,74.63,74.88,21.8097,190100.0,0.0,1.0
1998-06-09,74.75,75.63,74.75,75.0,21.8447,318100.0,0.0,1.0
