date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-07-01,25.25,25.69,24.94,25.5,11.6085,13879067.0,0.0,1.0
1998-07-02,25.56,25.75,25.5,25.69,11.695,2024800.0,0.0,1.0
1998-07-06,25.69,26.0,25.5,25.88,11.7815,1158467.0,0.0,1.0
1998-07-07,26.0,26.0,25.5,25.5,11.6085,718000.0,0.0,1.0
1998-07-08,25.63,25.75,25.5,25.69,11.695,787000.0,0.0,1.0
1998-07-09,25.63,25.94,25.5,25.88,11.7815,962600.0,0.0,1.0
1998-07-10,26.0,26.44,25.81,25.81,11.7496,744867.0,0.0,1.0
1998-07-13,25.75,25.81,25.5,25.75,11.7223,527200.0,0.0,1.0
1998-07-14,25.75,25.88,25.56,25.56,11.6358,850867.0,0.0,1.0
1998-07-15,25.5,26.0,25.5,26.0,11.8361,575600.0,0.0,1.0
1998-07-16,25.75,25.94,25.5,25.69,11.695,723000.0,0.0,1.0
1998-07-17,25.5,26.13,25.38,26.0,11.8361,801067.0,0.0,1.0
1998-07-20,26.0,27.38,26.0,27.38,12.4643,663667.0,0.0,1.0
1998-07-21,27.38,27.44,26.25,26.56,12.091,523067.0,0.0,1.0
1998-07-22,26.25,26.5,25.44,25.63,11.6677,998600.0,0.0,1.0
1998-07-23,25.75,25.81,24.75,25.5,11.6085,832200.0,0.0,1.0
1998-07-24,25.75,26.06,25.63,26.0,11.8361,673200.0,0.0,1.0
1998-07-27,26.0,26.31,25.75,25.88,11.7815,562400.0,0.0,1.0
1998-07-28,25.94,26.06,25.0,25.0,11.3809,1387867.0,0.0,1.0
1998-07-29,25.0,25.25,24.5,24.63,11.2124,887600.0,0.0,1.0
1998-07-30,24.81,25.0,24.5,25.0,11.3809,1321600.0,0.0,1.0
1998-07-31,25.0,25.63,24.88,25.0,11.3809,729067.0,0.0,1.0
1998-08-03,25.0,25.0,24.31,24.38,11.0986,672667.0,0.0,1.0
1998-08-04,24.31,24.31,22.88,23.0,10.4704,830600.0,0.0,1.0
1998-08-05,22.75,23.13,21.94,21.94,9.9879,436067.0,0.0,1.0
1998-08-06,22.06,22.19,21.88,21.88,9.9605,392800.0,0.0,1.0
1998-08-07,22.0,22.63,21.88,22.13,10.0743,733467.0,0.0,1.0
1998-08-10,22.13,23.94,22.0,23.13,10.5296,214467.0,0.0,1.0
1998-08-11,22.75,22.75,22.0,22.0,10.0152,222667.0,0.0,1.0
1998-08-12,22.75,22.75,21.94,21.94,9.9879,342400.0,0.0,1.0
1998-08-13,22.0,22.06,21.75,21.75,9.9014,646000.0,0.0,1.0
1998-08-14,22.5,22.5,21.94,22.0,10.0152,152867.0,0.0,1.0
1998-08-17,22.25,22.38,22.0,22.0,10.0152,213267.0,0.0,1.0
1998-08-18,22.0,22.06,21.88,22.0,10.0152,141267.0,0.0,1.0
1998-08-19,22.13,22.25,21.94,21.94,9.9879,65200.0,0.0,1.0
1998-08-20,22.19,22.38,21.94,22.0,10.0152,252467.0,0.0,1.0
1998-08-21,21.88,21.88,20.13,20.5,9.3323,342667.0,0.0,1.0
1998-08-24,20.63,21.0,20.63,20.69,9.4188,182667.0,0.0,1.0
1998-08-25,20.94,21.69,20.75,20.81,9.4734,187267.0,0.0,1.0
1998-08-26,20.75,21.0,20.63,20.94,9.5326,42400.0,0.0,1.0
1998-08-27,20.75,20.75,18.88,18.88,8.5948,244800.0,0.0,1.0
1998-08-28,19.0,19.75,16.75,16.88,7.6844,447467.0,0.0,1.0
1998-08-31,17.25,17.75,15.75,16.13,7.3429,1456600.0,0.0,1.0
1998-09-01,16.13,16.75,15.88,16.25,7.3976,621000.0,0.0,1.0
1998-09-02,16.25,16.38,15.63,15.88,7.2291,159200.0,0.0,1.0
1998-09-03,15.81,15.88,13.5,15.88,7.2291,1886800.0,0.0,1.0
1998-09-04,15.88,16.19,15.25,15.88,7.2291,121800.0,0.0,1.0
1998-09-08,16.5,17.0,16.5,16.75,7.6252,411400.0,0.0,1.0
1998-09-09,16.75,16.75,16.13,16.13,7.3429,172200.0,0.0,1.0
1998-09-10,16.0,16.0,14.75,14.81,6.742,89600.0,0.0,1.0
1998-09-11,14.81,15.25,14.75,14.94,6.8012,328067.0,0.0,1.0
1998-09-14,15.5,15.5,14.94,14.94,6.8012,343867.0,0.0,1.0
1998-09-15,14.94,15.0,13.75,13.75,6.2595,437267.0,0.0,1.0
1998-09-16,14.0,14.75,13.38,14.5,6.6009,1066800.0,0.0,1.0
1998-09-17,14.25,15.56,14.0,15.19,6.915,173400.0,0.0,1.0
1998-09-18,15.19,15.56,14.88,15.25,6.9423,303000.0,0.0,1.0
1998-09-21,14.75,15.38,14.75,15.31,6.9696,598667.0,0.0,1.0
1998-09-22,15.56,18.25,15.56,17.25,7.8528,291200.0,0.0,1.0
1998-09-23,18.25,21.38,18.25,19.94,9.0774,552000.0,0.0,1.0
1998-09-24,20.0,21.13,19.5,19.5,8.8771,385400.0,0.0,1.0
1998-09-25,19.25,20.38,19.0,19.69,8.9636,360067.0,0.0,1.0
1998-09-28,21.38,21.5,19.88,19.88,9.0501,288000.0,0.0,1.0
1998-09-29,19.63,19.75,18.38,19.25,8.7633,527400.0,0.0,1.0
1998-09-30,19.5,19.69,19.31,19.5,8.8771,196067.0,0.0,1.0
1998-10-01,19.25,19.94,19.13,19.88,9.0501,90200.0,0.0,1.0
1998-10-02,19.88,19.88,19.0,19.0,8.6495,964600.0,0.0,1.0
1998-10-05,18.75,19.5,18.0,19.44,8.8498,171200.0,0.0,1.0
1998-10-06,19.56,19.63,18.06,18.94,8.6221,712667.0,0.0,1.0
1998-10-07,18.69,19.0,15.0,15.25,6.9423,328200.0,0.0,1.0
1998-10-08,14.88,15.25,14.0,14.5,6.6009,707667.0,0.0,1.0
1998-10-09,15.0,16.63,14.88,16.38,7.4567,201000.0,0.0,1.0
1998-10-12,17.0,17.63,16.63,16.94,7.7117,198800.0,0.0,1.0
1998-10-13,16.94,17.25,16.0,16.5,7.5114,310267.0,0.0,1.0
1998-10-14,16.25,16.5,16.25,16.25,7.3976,76600.0,0.0,1.0
1998-10-15,16.25,16.38,15.75,16.19,7.3703,353067.0,0.0,1.0
1998-10-16,16.0,16.13,15.88,16.0,7.2838,651400.0,0.0,1.0
1998-10-19,15.94,17.0,15.88,16.75,7.6252,685000.0,0.0,1.0
1998-10-20,16.94,17.13,16.69,16.75,7.6252,428867.0,0.0,1.0
1998-10-21,16.75,17.06,16.56,16.56,7.5387,235800.0,0.0,1.0
1998-10-22,16.75,17.25,16.5,17.0,7.739,359200.0,0.0,1.0
1998-10-23,17.13,17.31,16.88,17.06,7.7663,104067.0,0.0,1.0
1998-10-26,17.19,17.19,16.5,16.63,7.5706,235600.0,0.0,1.0
1998-10-27,16.69,16.81,16.56,16.69,7.5979,264200.0,0.0,1.0
1998-10-28,16.69,17.0,16.5,17.0,7.739,252400.0,0.0,1.0
1998-10-29,17.75,19.75,17.75,18.88,8.5948,631600.0,0.0,1.0
1998-10-30,19.5,22.13,19.13,21.88,9.9605,739600.0,0.0,1.0
1998-11-02,21.94,22.19,20.31,22.19,10.1017,207467.0,0.0,1.0
1998-11-03,22.19,23.19,22.06,23.0,10.4704,397667.0,0.0,1.0
1998-11-04,23.0,24.56,22.88,24.0,10.9256,592267.0,0.0,1.0
1998-11-05,23.5,23.69,22.88,23.25,10.5842,566067.0,0.0,1.0
1998-11-06,23.25,23.38,21.13,21.63,9.8467,677600.0,0.0,1.0
1998-11-09,21.38,21.5,20.0,20.63,9.3915,355800.0,0.0,1.0
1998-11-10,20.5,20.63,19.25,19.63,8.9363,623467.0,0.0,1.0
1998-11-11,19.88,20.25,19.69,19.81,9.0182,522200.0,0.0,1.0
1998-11-12,19.94,19.94,19.31,19.69,8.9636,426667.0,0.0,1.0
1998-11-13,19.75,20.38,19.63,20.06,9.132,772000.0,0.0,1.0
1998-11-16,20.06,20.38,19.88,20.13,9.1639,223800.0,0.0,1.0
1998-11-17,20.0,20.06,19.69,19.69,8.9636,172600.0,0.0,1.0
1998-11-18,19.69,19.69,18.63,19.13,8.7086,220600.0,0.0,1.0
1998-11-19,19.0,19.25,18.5,18.63,8.481,293067.0,0.0,1.0
1998-11-20,18.75,18.88,18.63,18.75,8.5357,412067.0,0.0,1.0
1998-11-23,18.75,19.44,18.25,18.25,8.308,882067.0,0.0,1.0
1998-11-24,18.5,19.75,18.5,18.94,8.6221,822400.0,0.0,1.0
1998-11-25,18.94,18.94,17.81,18.12,8.2489,228000.0,0.0,1.0
1998-11-27,18.38,18.75,18.38,18.75,8.5357,54667.0,0.0,1.0
1998-11-30,18.63,18.75,18.31,18.63,8.481,268000.0,0.0,1.0
1998-12-01,18.63,18.88,18.5,18.56,8.4492,324400.0,0.0,1.0
1998-12-02,18.81,19.13,18.56,18.63,8.481,447667.0,0.0,1.0
1998-12-03,18.75,18.75,18.38,18.38,8.3672,366000.0,0.0,1.0
1998-12-04,18.5,18.5,18.0,18.06,8.2215,142667.0,0.0,1.0
1998-12-07,18.19,18.25,18.06,18.13,8.2534,267400.0,0.0,1.0
1998-12-08,18.13,18.25,17.25,17.63,8.0258,437267.0,0.0,1.0
1998-12-09,17.69,17.75,16.0,17.13,7.7982,1388800.0,0.0,1.0
1998-12-10,17.38,17.5,16.13,16.13,7.3429,513667.0,0.0,1.0
1998-12-11,16.13,17.06,16.0,16.88,7.6844,759000.0,0.0,1.0
