date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,50.56,52.25,50.12,52.25,30.0801,439200.0,0.0,1.0
1998-01-05,52.44,52.44,50.81,51.44,29.6138,522100.0,0.0,1.0
1998-01-06,51.19,51.19,50.06,50.06,28.8193,368300.0,0.0,1.0
1998-01-07,49.81,49.94,48.56,48.62,27.9903,491500.0,0.0,1.0
1998-01-08,48.44,49.44,48.12,49.0,28.2091,613400.0,0.0,1.0
1998-01-09,48.69,49.0,46.62,46.75,26.9138,493900.0,0.0,1.0
1998-01-12,46.0,47.94,45.75,47.81,27.524,628100.0,0.0,1.0
1998-01-13,48.56,48.88,48.25,48.81,28.0997,547700.0,0.0,1.0
1998-01-14,49.12,49.56,48.38,49.44,28.4624,352300.0,0.0,1.0
1998-01-15,49.19,50.94,49.19,50.44,29.0381,525100.0,0.0,1.0
1998-01-16,50.62,50.69,49.94,50.62,29.1417,624200.0,0.0,1.0
1998-01-20,50.0,51.56,49.75,51.5,29.6483,689600.0,0.0,1.0
1998-01-21,51.31,52.0,50.88,52.0,29.9362,644700.0,0.0,1.0
1998-01-22,51.62,52.12,50.5,50.88,29.2914,709900.0,0.0,1.0
1998-01-23,50.19,50.5,49.81,50.0,28.7848,685700.0,0.0,1.0
1998-01-26,50.5,52.06,50.12,52.0,29.9362,793400.0,0.0,1.0
1998-01-27,52.0,53.44,51.88,53.06,30.5464,730000.0,0.0,1.0
1998-01-28,52.81,53.12,52.69,52.94,30.4773,708600.0,0.0,1.0
1998-01-29,52.81,53.38,52.81,53.19,30.6213,657900.0,0.0,1.0
1998-01-30,52.94,53.06,52.12,52.12,30.0053,268600.0,0.0,1.0
1998-02-02,52.62,54.12,52.62,53.81,30.9782,598500.0,0.0,1.0
1998-02-03,53.81,54.5,53.0,54.5,31.3754,789600.0,0.0,1.0
1998-02-04,54.44,54.75,53.62,54.69,31.4848,617800.0,0.0,1.0
1998-02-05,54.62,54.62,53.81,54.31,31.266,575100.0,0.0,1.0
1998-02-06,54.44,54.75,54.25,54.5,31.3754,409800.0,0.0,1.0
1998-02-09,54.88,54.88,53.94,54.0,31.0876,328900.0,0.0,1.0
1998-02-10,54.0,54.69,54.0,54.56,31.41,417700.0,0.0,1.0
1998-02-11,54.62,54.62,53.94,54.38,31.3063,596900.0,0.0,1.0
1998-02-12,54.25,54.94,54.0,54.75,31.5194,860900.0,0.0,1.0
1998-02-13,54.5,54.56,54.0,54.25,31.2315,437900.0,0.0,1.0
1998-02-17,54.31,54.31,53.75,54.12,31.1567,373200.0,0.0,1.0
1998-02-18,53.94,54.69,53.75,54.25,31.2315,505500.0,0.0,1.0
1998-02-19,54.25,54.56,53.88,54.19,31.197,305800.0,0.0,1.0
1998-02-20,54.5,55.56,54.25,55.44,31.9166,670200.0,0.0,1.0
1998-02-23,55.25,55.62,55.0,55.56,31.9857,534300.0,0.0,1.0
1998-02-24,55.56,55.56,54.5,54.94,31.6287,627800.0,0.0,1.0
1998-02-25,55.12,57.38,54.94,57.38,33.0334,794400.0,0.0,1.0
1998-02-26,57.0,58.38,57.0,57.94,33.3558,870600.0,0.0,1.0
1998-02-27,58.0,59.0,57.81,58.81,33.8567,617400.0,0.0,1.0
1998-03-02,58.44,59.0,58.06,58.75,33.8221,751700.0,0.0,1.0
1998-03-03,58.25,59.38,58.19,59.12,34.0351,565000.0,0.0,1.0
1998-03-04,59.0,59.5,58.69,59.38,34.1848,420900.0,0.0,1.0
1998-03-05,59.0,59.44,58.38,59.0,33.9661,497400.0,0.0,1.0
1998-03-06,59.0,60.12,58.94,60.0,34.5418,1024700.0,0.0,1.0
1998-03-09,59.56,60.0,59.5,59.94,34.5072,498800.0,0.0,1.0
1998-03-10,59.62,60.25,59.62,60.0,34.5418,289000.0,0.0,1.0
1998-03-11,59.75,60.19,59.56,60.06,34.5763,204200.0,0.0,1.0
1998-03-12,59.75,60.19,59.75,60.06,34.5763,509600.0,0.0,1.0
1998-03-13,59.38,59.94,59.19,59.94,34.5072,453200.0,0.0,1.0
1998-03-16,59.19,59.81,59.06,59.62,34.323,474200.0,0.0,1.0
1998-03-17,59.5,60.0,59.31,60.0,34.5418,941300.0,0.0,1.0
1998-03-18,59.56,60.31,59.5,60.06,34.5763,375900.0,0.0,1.0
1998-03-19,59.94,60.38,59.88,60.38,34.7605,709600.0,0.0,1.0
1998-03-20,60.69,60.69,59.81,60.69,34.939,594400.0,0.0,1.0
1998-03-23,60.44,60.56,59.88,60.38,34.7605,350900.0,0.0,1.0
1998-03-24,60.12,60.38,59.75,60.19,34.6511,510600.0,0.0,1.0
1998-03-25,60.0,60.38,59.94,60.31,34.7202,669600.0,0.0,1.0
1998-03-26,60.25,60.5,59.94,60.38,34.7605,871300.0,0.0,1.0
1998-03-27,60.5,60.5,60.0,60.25,34.6857,817200.0,0.0,1.0
1998-03-30,60.12,60.19,58.94,59.25,34.11,807500.0,0.0,1.0
1998-03-31,58.88,59.19,58.25,58.38,33.7243,1019200.0,0.2,1.0
1998-04-01,58.31,58.31,57.56,57.75,33.3603,522900.0,0.0,1.0
1998-04-02,57.75,57.94,57.5,57.5,33.2159,550300.0,0.0,1.0
1998-04-03,57.81,58.81,57.56,57.81,33.395,874300.0,0.0,1.0
1998-04-06,58.38,58.38,57.62,57.81,33.395,416500.0,0.0,1.0
1998-04-07,57.81,57.81,56.88,57.31,33.1062,781300.0,0.0,1.0
1998-04-08,57.12,57.12,56.31,56.94,32.8924,1098600.0,0.0,1.0
1998-04-09,57.0,58.38,56.81,58.38,33.7243,447400.0,0.0,1.0
1998-04-13,58.12,58.56,57.88,58.5,33.7936,582400.0,0.0,1.0
1998-04-14,58.5,58.75,58.06,58.56,33.8282,510000.0,0.0,1.0
1998-04-15,58.62,58.62,57.94,58.06,33.5394,712300.0,0.0,1.0
1998-04-16,58.06,58.75,57.94,58.62,33.8629,513300.0,0.0,1.0
1998-04-17,58.62,58.75,58.0,58.75,33.938,745800.0,0.0,1.0
1998-04-20,58.5,59.19,58.44,58.62,33.8629,414200.0,0.0,1.0
1998-04-21,58.31,58.44,58.12,58.44,33.7589,641600.0,0.0,1.0
1998-04-22,58.19,58.19,57.06,57.19,33.0368,366500.0,0.0,1.0
1998-04-23,57.19,57.25,56.19,56.25,32.4938,339500.0,0.0,1.0
1998-04-24,56.31,56.44,55.25,55.5,32.0606,599000.0,0.0,1.0
1998-04-27,55.38,55.44,54.06,54.38,31.4136,699600.0,0.0,1.0
1998-04-28,54.62,54.62,53.56,54.0,31.1941,616900.0,0.0,1.0
1998-04-29,54.12,55.5,54.0,55.12,31.8411,684500.0,0.0,1.0
1998-04-30,55.38,56.94,55.31,56.69,32.748,536800.0,0.0,1.0
1998-05-01,57.0,57.06,56.25,57.06,32.9617,383800.0,0.0,1.0
1998-05-04,57.06,57.12,56.25,56.88,32.8578,752900.0,0.0,1.0
1998-05-05,56.75,57.0,56.25,56.69,32.748,427500.0,0.0,1.0
1998-05-06,56.31,56.75,55.94,56.25,32.4938,587500.0,0.0,1.0
1998-05-07,56.12,56.12,55.62,55.88,32.2801,466000.0,0.0,1.0
1998-05-08,56.06,56.56,55.88,56.44,32.6036,265100.0,0.0,1.0
1998-05-11,56.44,57.0,56.44,56.75,32.7827,412700.0,0.0,1.0
1998-05-12,56.81,57.06,56.62,57.06,32.9617,304900.0,0.0,1.0
1998-05-13,57.0,57.0,56.69,56.94,32.8924,199400.0,0.0,1.0
1998-05-14,56.94,56.94,56.5,56.5,32.6383,520000.0,0.0,1.0
1998-05-15,56.69,56.75,55.88,56.19,32.4592,858000.0,0.0,1.0
