date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,61.75,61.75,61.13,61.75,24.0983,307800.0,0.0,1.0
1998-01-05,61.88,62.88,61.75,62.44,24.3676,224300.0,0.0,1.0
1998-01-06,62.44,62.44,61.38,61.81,24.1217,174800.0,0.0,1.0
1998-01-07,61.63,61.69,60.13,60.75,23.708,102700.0,0.0,1.0
1998-01-08,60.63,60.63,58.56,59.19,23.0992,140800.0,0.0,1.0
1998-01-09,59.19,59.19,56.63,56.81,22.1704,241900.0,0.0,1.0
1998-01-12,56.56,56.56,55.94,56.0,21.8543,292200.0,0.0,1.0
1998-01-13,56.0,56.06,55.19,55.81,21.7802,330100.0,0.0,1.0
1998-01-14,56.06,57.25,56.06,57.0,22.2446,228400.0,0.0,1.0
1998-01-15,56.88,57.69,56.63,57.69,22.5138,292400.0,0.0,1.0
1998-01-16,57.69,59.81,57.69,59.31,23.1461,408800.0,0.0,1.0
1998-01-20,59.56,61.38,59.5,61.13,23.8563,403900.0,0.0,1.0
1998-01-21,60.88,61.63,60.06,60.19,23.4895,120300.0,0.0,1.0
1998-01-22,60.19,60.25,59.25,59.63,23.2709,634700.0,0.0,1.0
1998-01-23,59.69,59.88,59.31,59.63,23.2709,145800.0,0.0,1.0
1998-01-26,59.69,59.69,58.5,58.75,22.9275,203400.0,0.0,1.0
1998-01-27,58.75,61.63,58.75,60.5,23.6105,227300.0,0.0,1.0
1998-01-28,60.5,62.5,60.5,62.0,24.1959,205900.0,0.0,1.0
1998-01-29,61.5,62.63,61.5,62.25,24.2934,376100.0,0.0,1.0
1998-01-30,62.44,63.25,62.38,62.88,24.5393,143700.0,0.0,1.0
1998-02-02,63.5,64.19,63.44,63.5,24.7812,172400.0,0.0,1.0
1998-02-03,63.63,63.94,63.25,63.5,24.7812,179500.0,0.0,1.0
1998-02-04,63.56,63.88,63.25,63.69,24.8554,187600.0,0.0,1.0
1998-02-05,63.63,64.5,63.44,63.75,24.8788,155900.0,0.0,1.0
1998-02-06,63.69,63.69,62.75,62.94,24.5627,210300.0,0.0,1.0
1998-02-09,63.0,63.25,61.31,61.44,23.9773,184800.0,0.0,1.0
1998-02-10,61.69,62.63,61.56,61.63,24.0515,164500.0,0.0,1.0
1998-02-11,61.88,62.63,61.63,61.63,24.0515,127000.0,0.0,1.0
1998-02-12,61.69,61.75,60.44,61.0,23.8056,213600.0,0.0,1.0
1998-02-13,61.0,61.0,60.0,60.25,23.5129,152200.0,0.0,1.0
1998-02-17,60.25,61.25,60.25,60.5,23.6105,640700.0,0.0,1.0
1998-02-18,60.5,61.06,60.31,61.0,23.8056,727300.0,0.0,1.0
1998-02-19,61.0,61.06,60.31,60.56,23.6339,325800.0,0.0,1.0
1998-02-20,60.69,60.75,60.0,60.19,23.4895,180900.0,0.0,1.0
1998-02-23,60.25,60.75,60.13,60.19,23.4895,297800.0,0.0,1.0
1998-02-24,59.63,60.13,59.38,59.69,23.2944,470400.0,0.0,1.0
1998-02-25,60.5,62.25,60.44,61.0,23.8056,985300.0,0.0,1.0
1998-02-26,61.13,65.0,61.13,64.31,25.0973,1147000.0,0.0,1.0
1998-02-27,64.19,67.5,64.19,67.31,26.2681,1240200.0,0.0,1.0
1998-03-02,67.06,68.5,67.06,67.31,26.2681,516800.0,0.0,1.0
1998-03-03,67.25,67.25,66.31,66.88,26.1003,547400.0,0.0,1.0
1998-03-04,66.88,66.88,66.19,66.25,25.8544,281100.0,0.0,1.0
1998-03-05,66.25,66.75,65.5,66.69,26.0262,201600.0,0.0,1.0
1998-03-06,66.63,67.75,66.63,67.19,26.2213,334600.0,0.0,1.0
1998-03-09,67.0,68.5,66.75,66.75,26.0496,122600.0,0.0,1.0
1998-03-10,67.25,70.0,67.25,69.5,27.1228,583000.0,0.0,1.0
1998-03-11,69.63,69.63,68.25,68.75,26.8301,151400.0,0.0,1.0
1998-03-12,68.81,68.81,67.88,68.19,26.6115,807100.0,0.0,1.0
1998-03-13,68.44,68.63,67.88,68.06,26.5608,216700.0,0.0,1.0
1998-03-16,68.31,68.88,68.0,68.06,26.5608,363700.0,0.0,1.0
1998-03-17,68.13,69.06,68.06,68.81,26.8535,650000.0,0.0,1.0
1998-03-18,68.81,68.81,67.75,67.81,26.4632,163800.0,0.0,1.0
1998-03-19,67.81,68.0,66.0,66.38,25.9052,301700.0,0.0,1.0
1998-03-20,66.63,67.13,66.63,66.75,26.0496,209500.0,0.0,1.0
1998-03-23,67.0,67.19,66.75,66.81,26.073,290400.0,0.0,1.0
1998-03-24,66.88,67.0,65.75,66.38,25.9052,409200.0,0.0,1.0
1998-03-25,68.5,68.5,66.94,67.19,26.2213,1217400.0,0.0,1.0
1998-03-26,67.19,67.19,66.44,66.5,25.952,358100.0,0.0,1.0
1998-03-27,66.75,66.88,65.75,66.25,25.8544,495400.0,0.0,1.0
1998-03-30,66.25,66.75,65.56,66.19,25.831,642900.0,0.0,1.0
1998-03-31,66.25,66.25,65.06,65.5,25.5617,2642200.0,0.0,1.0
1998-04-01,66.5,66.5,64.25,64.69,25.2456,676000.0,0.0,1.0
1998-04-02,64.94,65.5,63.0,65.38,25.5149,419100.0,0.0,1.0
1998-04-03,65.62,65.94,65.19,65.19,25.4408,290200.0,0.0,1.0
1998-04-06,65.44,65.5,64.12,64.44,25.1481,275500.0,0.0,1.0
1998-04-07,64.69,64.69,63.5,64.12,25.0232,211000.0,0.0,1.0
1998-04-08,63.88,64.19,63.13,63.44,24.7578,457100.0,0.0,1.0
1998-04-09,63.5,63.5,62.69,63.0,24.5861,561500.0,0.0,1.0
1998-04-13,63.25,63.31,61.81,62.31,24.3168,614200.0,0.0,1.0
1998-04-14,62.56,64.13,62.56,63.94,24.9529,690300.0,0.0,1.0
1998-04-15,64.19,64.38,63.56,63.56,24.8047,633900.0,0.0,1.0
1998-04-16,63.63,63.69,62.44,62.69,24.4651,296200.0,0.0,1.0
1998-04-17,62.63,62.63,60.38,61.88,24.149,727400.0,0.0,1.0
1998-04-20,61.88,63.38,61.88,62.56,24.4144,1046500.0,0.0,1.0
1998-04-21,62.69,63.13,62.5,62.88,24.5393,548200.0,0.0,1.0
1998-04-22,62.81,62.81,61.31,61.31,23.9266,699400.0,0.0,1.0
1998-04-23,61.38,61.5,60.25,61.13,23.8563,361500.0,0.0,1.0
1998-04-24,61.06,61.06,58.25,58.25,22.7324,257600.0,0.0,1.0
1998-04-27,57.63,59.25,57.25,58.75,22.9275,1007100.0,0.0,1.0
1998-04-28,60.25,60.25,59.56,59.81,23.3412,819600.0,0.0,1.0
1998-04-29,59.88,61.88,59.88,61.5,24.0007,916400.0,0.0,1.0
1998-04-30,61.5,63.13,61.5,62.69,24.4651,781800.0,0.0,1.0
1998-05-01,62.75,63.38,62.38,63.25,24.6837,399700.0,0.0,1.0
1998-05-04,63.06,63.94,63.06,63.06,24.6095,263800.0,0.0,1.0
1998-05-05,63.0,63.38,62.69,62.88,24.5393,158700.0,0.0,1.0
1998-05-06,55.0,55.25,52.75,54.56,21.2923,5766100.0,0.0,1.0
1998-05-07,54.56,55.38,54.0,54.06,21.0972,1627700.0,0.0,1.0
1998-05-08,54.13,54.19,51.75,52.25,20.3909,1441300.0,0.0,1.0
1998-05-11,52.75,54.88,52.5,54.81,21.3899,661800.0,0.0,1.0
1998-05-12,54.75,54.88,53.94,54.5,21.2689,1100400.0,0.0,1.0
1998-05-13,54.56,55.94,54.56,55.31,21.585,715400.0,0.0,1.0
1998-05-14,55.25,55.38,54.75,54.94,21.4406,432400.0,0.0,1.0
1998-05-15,54.81,55.19,54.44,54.44,21.2455,707500.0,0.0,1.0
1998-05-18,54.44,54.75,53.81,54.13,21.1245,233700.0,0.0,1.0
1998-05-19,54.38,54.63,54.06,54.5,21.2689,408800.0,0.0,1.0
1998-05-20,54.69,54.69,54.69,54.69,21.3431,186700.0,0.0,1.0
1998-05-21,54.5,54.69,53.81,54.13,21.1245,280800.0,0.0,1.0
