date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,26.19,26.19,25.75,25.94,12.3096,16900.0,0.0,1.0
1998-01-05,25.88,26.0,25.88,25.88,12.2811,71800.0,0.0,1.0
1998-01-06,25.88,25.94,25.5,25.75,12.2194,56600.0,0.0,1.0
1998-01-07,25.75,25.75,25.62,25.62,12.1577,30700.0,0.0,1.0
1998-01-08,25.69,25.75,25.44,25.5,12.1008,69100.0,0.0,1.0
1998-01-09,25.62,25.62,25.38,25.5,12.1008,20100.0,0.0,1.0
1998-01-12,25.25,25.25,25.0,25.0,11.8635,215100.0,0.0,1.0
1998-01-13,25.12,25.12,24.88,25.12,11.9204,9700.0,0.0,1.0
1998-01-14,25.12,25.62,25.12,25.56,12.1292,293600.0,0.0,1.0
1998-01-15,25.31,25.31,25.12,25.25,11.9821,45600.0,0.0,1.0
1998-01-16,25.5,25.5,25.5,25.5,12.1008,82300.0,0.0,1.0
1998-01-20,25.62,26.12,25.56,26.0,12.338,104300.0,0.0,1.0
1998-01-21,26.12,26.75,25.88,26.12,12.395,65000.0,0.0,1.0
1998-01-22,26.19,26.62,26.19,26.5,12.5753,122800.0,0.0,1.0
1998-01-23,26.5,26.88,26.38,26.5,12.5753,48700.0,0.0,1.0
1998-01-26,26.62,26.94,26.5,26.62,12.6322,41400.0,0.0,1.0
1998-01-27,26.69,27.0,26.69,26.75,12.6939,19500.0,0.0,1.0
1998-01-28,27.0,27.0,26.75,26.75,12.6939,19500.0,0.0,1.0
1998-01-29,26.81,27.0,26.75,26.75,12.6939,21700.0,0.0,1.0
1998-01-30,26.81,27.88,26.75,27.88,13.2302,60600.0,0.0,1.0
1998-02-02,27.88,27.88,27.12,27.44,13.0214,26400.0,0.0,1.0
1998-02-03,27.44,28.0,26.88,26.88,12.7556,130300.0,0.0,1.0
1998-02-04,27.0,27.0,26.56,26.56,12.6038,25300.0,0.0,1.0
1998-02-05,26.69,26.69,26.31,26.44,12.5468,11000.0,0.0,1.0
1998-02-06,26.25,26.5,26.25,26.31,12.4851,53400.0,0.0,1.0
1998-02-09,26.31,26.38,26.0,26.19,12.4282,37900.0,0.0,1.0
1998-02-10,26.19,26.19,25.88,26.0,12.338,30400.0,0.0,1.0
1998-02-11,26.19,26.62,26.06,26.5,12.5753,37500.0,0.0,1.0
1998-02-12,26.38,26.38,26.12,26.12,12.395,8100.0,0.0,1.0
1998-02-13,26.12,26.5,26.0,26.5,12.5753,27100.0,0.0,1.0
1998-02-17,26.44,26.62,26.38,26.56,12.6038,8600.0,0.0,1.0
1998-02-18,26.56,26.56,25.94,26.12,12.395,26400.0,0.0,1.0
1998-02-19,26.12,26.5,26.12,26.25,12.4567,42500.0,0.0,1.0
1998-02-20,26.25,26.62,26.25,26.5,12.5753,25900.0,0.0,1.0
1998-02-23,26.62,27.19,26.62,27.12,12.8695,62000.0,0.0,1.0
1998-02-24,27.12,27.12,27.0,27.0,12.8126,11200.0,0.0,1.0
1998-02-25,27.0,27.06,26.88,26.88,12.7556,4000.0,0.0,1.0
1998-02-26,26.69,26.69,26.5,26.5,12.5753,29000.0,0.0,1.0
1998-02-27,26.62,26.62,26.56,26.56,12.6038,4700.0,0.0,1.0
1998-03-02,26.62,26.62,26.12,26.12,12.395,23500.0,0.0,1.0
1998-03-03,25.94,25.94,25.75,25.75,12.2194,5700.0,0.0,1.0
1998-03-04,25.88,25.88,25.75,25.88,12.2811,15700.0,0.0,1.0
1998-03-05,25.81,25.88,25.0,25.0,11.8635,31300.0,0.0,1.0
1998-03-06,25.25,25.44,25.25,25.25,11.9821,29500.0,0.0,1.0
1998-03-09,25.25,25.62,25.25,25.62,12.1577,10300.0,0.0,1.0
1998-03-10,25.62,25.62,25.25,25.62,12.1577,17900.0,0.0,1.0
1998-03-11,25.62,25.62,25.0,25.0,11.8635,19000.0,0.0,1.0
1998-03-12,25.12,25.19,25.12,25.19,11.9537,3700.0,0.0,1.0
1998-03-13,24.94,24.94,24.12,24.25,11.5076,101900.0,0.0,1.0
1998-03-16,24.25,24.25,24.0,24.12,11.4459,103600.0,0.0,1.0
1998-03-17,24.31,24.44,24.12,24.38,11.5693,29800.0,0.0,1.0
1998-03-18,24.44,24.44,23.94,24.0,11.389,57400.0,0.0,1.0
1998-03-19,24.0,24.19,24.0,24.19,11.4791,2100.0,0.0,1.0
1998-03-20,24.38,25.0,24.38,24.88,11.8065,15300.0,0.0,1.0
1998-03-23,25.12,25.31,25.0,25.19,11.9537,14800.0,0.0,1.0
1998-03-24,25.12,25.44,25.12,25.38,12.0438,10500.0,0.0,1.0
1998-03-25,25.38,25.88,25.06,25.06,11.892,63700.0,0.0,1.0
1998-03-26,25.0,25.25,24.81,25.0,11.8635,26700.0,0.0,1.0
1998-03-27,24.5,25.56,24.44,25.56,12.2953,68900.0,0.35,1.0
1998-03-30,25.56,25.56,25.38,25.38,12.2087,6400.0,0.0,1.0
1998-03-31,25.38,25.62,25.19,25.56,12.2953,15400.0,0.0,1.0
1998-04-01,25.5,25.69,25.5,25.69,12.3579,2700.0,0.0,1.0
1998-04-02,25.56,26.5,25.56,26.25,12.6272,17800.0,0.0,1.0
1998-04-03,26.12,26.56,26.12,26.44,12.7186,5800.0,0.0,1.0
1998-04-06,26.38,26.75,26.38,26.5,12.7475,16500.0,0.0,1.0
1998-04-07,26.75,26.75,26.38,26.5,12.7475,37600.0,0.0,1.0
1998-04-08,26.38,26.38,25.81,26.38,12.6898,19700.0,0.0,1.0
1998-04-09,26.25,26.38,26.25,26.38,12.6898,54700.0,0.0,1.0
1998-04-13,26.25,26.56,26.0,26.0,12.507,7600.0,0.0,1.0
1998-04-14,25.88,26.31,25.75,25.75,12.3867,176800.0,0.0,1.0
1998-04-15,25.81,25.81,25.5,25.62,12.3242,16700.0,0.0,1.0
1998-04-16,25.69,25.69,25.5,25.5,12.2665,2900.0,0.0,1.0
1998-04-17,25.5,25.5,24.88,25.0,12.0259,138900.0,0.0,1.0
1998-04-20,24.88,24.94,24.62,24.62,11.8431,44000.0,0.0,1.0
1998-04-21,24.38,24.38,23.75,23.75,11.4246,166500.0,0.0,1.0
1998-04-22,23.81,23.88,23.56,23.88,11.4872,33900.0,0.0,1.0
1998-04-23,23.94,24.0,23.75,23.88,11.4872,7600.0,0.0,1.0
1998-04-24,23.94,23.94,23.44,23.56,11.3332,14400.0,0.0,1.0
1998-04-27,23.69,23.69,23.38,23.38,11.2467,30000.0,0.0,1.0
1998-04-28,23.56,23.75,23.38,23.5,11.3044,19100.0,0.0,1.0
1998-04-29,23.62,23.88,23.62,23.81,11.4535,10000.0,0.0,1.0
1998-04-30,23.81,24.0,23.81,24.0,11.5449,17200.0,0.0,1.0
1998-05-01,24.0,24.06,23.94,24.06,11.5738,1000.0,0.0,1.0
1998-05-04,24.0,24.0,23.88,24.0,11.5449,29400.0,0.0,1.0
1998-05-05,24.0,24.0,23.88,23.94,11.516,23500.0,0.0,1.0
1998-05-06,23.94,23.94,23.5,23.56,11.3332,29300.0,0.0,1.0
1998-05-07,23.56,23.56,23.12,23.12,11.1216,28300.0,0.0,1.0
1998-05-08,23.25,23.25,22.62,22.75,10.9436,116400.0,0.0,1.0
1998-05-11,22.75,22.81,22.0,22.25,10.7031,239800.0,0.0,1.0
1998-05-12,22.38,22.62,22.25,22.25,10.7031,119500.0,0.0,1.0
1998-05-13,22.25,22.5,22.25,22.38,10.7656,3662200.0,0.0,1.0
1998-05-14,22.38,22.38,22.25,22.25,10.7031,322800.0,0.0,1.0
1998-05-15,22.31,22.5,22.31,22.31,10.732,252800.0,0.0,1.0
1998-05-18,22.31,22.44,22.31,22.44,10.7945,182200.0,0.0,1.0
1998-05-19,22.44,22.69,22.38,22.69,10.9147,249900.0,0.0,1.0
1998-05-20,22.69,22.69,22.5,22.5,10.8233,138400.0,0.0,1.0
1998-05-21,22.5,22.62,22.25,22.25,10.7031,97300.0,0.0,1.0
1998-05-22,22.5,22.5,22.38,22.5,10.8233,181600.0,0.0,1.0
1998-05-26,22.56,22.62,22.44,22.5,10.8233,197900.0,0.0,1.0
1998-05-27,22.5,22.5,22.25,22.25,10.7031,137200.0,0.0,1.0
1998-05-28,22.25,22.38,22.25,22.25,10.7031,62600.0,0.0,1.0
1998-05-29,22.31,22.69,22.31,22.69,10.9147,136300.0,0.0,1.0
1998-06-01,22.56,22.69,22.5,22.56,10.8522,99500.0,0.0,1.0
1998-06-02,22.62,22.69,22.56,22.62,10.8811,59000.0,0.0,1.0
1998-06-03,22.62,23.0,22.62,22.88,11.0061,136100.0,0.0,1.0
1998-06-04,22.88,22.88,22.56,22.62,10.8811,136400.0,0.0,1.0
1998-06-05,22.62,22.69,22.5,22.56,10.8522,56600.0,0.0,1.0
1998-06-08,22.56,22.62,22.5,22.56,10.8522,28200.0,0.0,1.0
1998-06-09,22.56,22.75,22.5,22.75,10.9436,188700.0,0.0,1.0
1998-06-10,22.62,22.69,22.56,22.62,10.8811,64700.0,0.0,1.0
1998-06-11,22.38,22.44,22.31,22.38,10.7656,52800.0,0.0,1.0
