date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,32.63,32.81,32.38,32.63,11.2626,103352.0,0.0,1.0
1998-01-05,33.0,33.63,33.0,33.06,11.4111,193517.0,0.0,1.0
1998-01-06,33.25,33.5,32.63,32.94,11.3696,287491.0,0.0,1.0
1998-01-07,33.0,33.0,32.63,32.75,11.3041,224288.0,0.0,1.0
1998-01-08,32.94,33.0,32.63,32.69,11.2834,185702.0,0.0,1.0
1998-01-09,32.88,32.94,32.0,32.13,11.0901,190098.0,0.0,1.0
1998-01-12,32.13,32.38,31.5,31.94,11.0245,176910.0,0.0,1.0
1998-01-13,31.94,32.06,31.63,31.75,10.9589,472510.0,0.0,1.0
1998-01-14,31.94,32.5,31.88,32.38,11.1764,241872.0,0.0,1.0
1998-01-15,32.56,33.31,32.56,32.94,11.3696,283682.0,0.0,1.0
1998-01-16,33.0,33.25,32.31,32.31,11.1522,214715.0,0.0,1.0
1998-01-20,32.5,32.75,32.38,32.56,11.2385,167630.0,0.0,1.0
1998-01-21,32.81,32.94,32.69,32.69,11.2834,169193.0,0.0,1.0
1998-01-22,32.69,32.94,32.69,32.88,11.3489,203090.0,0.0,1.0
1998-01-23,33.0,33.13,32.88,32.94,11.3696,164211.0,0.0,1.0
1998-01-26,33.19,33.19,32.88,32.88,11.3489,172124.0,0.0,1.0
1998-01-27,33.0,33.06,32.63,32.63,11.2626,255352.0,0.0,1.0
1998-01-28,32.81,33.0,32.75,32.88,11.3489,89285.0,0.0,1.0
1998-01-29,33.0,33.13,32.88,32.94,11.3696,209635.0,0.0,1.0
1998-01-30,32.94,33.25,32.94,33.19,11.4559,135687.0,0.0,1.0
1998-02-02,33.25,33.44,33.19,33.25,11.4766,196252.0,0.0,1.0
1998-02-03,33.44,33.5,33.13,33.38,11.5215,188144.0,0.0,1.0
1998-02-04,33.0,33.0,32.63,33.0,11.5647,75902.0,0.505,1.0
1998-02-05,32.88,33.19,32.81,32.94,11.5436,259651.0,0.0,1.0
1998-02-06,33.0,33.0,32.88,33.0,11.5647,96514.0,0.0,1.0
1998-02-09,33.0,33.13,32.88,32.94,11.5436,109507.0,0.0,1.0
1998-02-10,33.13,33.25,32.94,33.13,11.6102,553003.0,0.0,1.0
1998-02-11,33.25,33.44,33.19,33.19,11.6312,165774.0,0.0,1.0
1998-02-12,33.38,33.38,33.0,33.31,11.6733,147702.0,0.0,1.0
1998-02-13,33.25,33.5,33.19,33.25,11.6523,98175.0,0.0,1.0
1998-02-17,33.44,33.5,33.0,33.0,11.5647,120154.0,0.0,1.0
1998-02-18,33.13,33.63,32.88,33.63,11.7854,149363.0,0.0,1.0
1998-02-19,33.0,33.06,32.38,32.5,11.3894,176226.0,0.0,1.0
1998-02-20,32.63,32.75,32.25,32.25,11.3018,329301.0,0.0,1.0
1998-02-23,32.38,32.38,31.63,31.69,11.1056,399245.0,0.0,1.0
1998-02-24,31.88,31.88,31.25,31.38,10.9969,451019.0,0.0,1.0
1998-02-25,31.25,31.5,31.25,31.38,10.9969,266586.0,0.0,1.0
1998-02-26,31.31,31.5,31.19,31.19,10.9304,361245.0,0.0,1.0
1998-02-27,31.38,31.38,30.75,30.88,10.8217,126699.0,0.0,1.0
1998-03-02,31.31,31.31,31.0,31.06,10.8848,149851.0,0.0,1.0
1998-03-03,31.06,31.13,30.88,30.94,10.8427,115075.0,0.0,1.0
1998-03-04,31.0,31.13,30.81,30.88,10.8217,138031.0,0.0,1.0
1998-03-05,30.69,30.88,30.38,30.5,10.6886,217939.0,0.0,1.0
1998-03-06,30.75,31.0,30.63,30.75,10.7762,410283.0,0.0,1.0
1998-03-09,30.81,31.13,30.5,30.88,10.8217,296185.0,0.0,1.0
1998-03-10,30.88,31.19,30.88,31.0,10.8638,215496.0,0.0,1.0
1998-03-11,30.75,31.38,30.75,30.94,10.8427,638967.0,0.0,1.0
1998-03-12,31.0,32.25,31.0,31.75,11.1266,784911.0,0.0,1.0
1998-03-13,32.0,32.31,31.75,32.25,11.3018,320705.0,0.0,1.0
1998-03-16,32.25,32.75,31.63,31.75,11.1266,872145.0,0.0,1.0
1998-03-17,31.94,32.25,31.81,32.0,11.2142,265121.0,0.0,1.0
1998-03-18,32.0,32.31,32.0,32.0,11.2142,181502.0,0.0,1.0
1998-03-19,32.0,32.38,31.94,32.0,11.2142,211101.0,0.0,1.0
1998-03-20,33.13,33.44,32.63,32.88,11.5226,345810.0,0.0,1.0
1998-03-23,32.94,32.94,32.5,32.69,11.456,114977.0,0.0,1.0
1998-03-24,32.75,32.88,32.5,32.69,11.456,175445.0,0.0,1.0
1998-03-25,32.88,33.75,32.75,33.63,11.7854,473486.0,0.0,1.0
1998-03-26,33.81,34.5,33.75,34.06,11.9361,630469.0,0.0,1.0
1998-03-27,34.06,34.13,33.63,33.63,11.7854,378828.0,0.0,1.0
1998-03-30,33.63,34.0,33.38,33.88,11.8731,172417.0,0.0,1.0
1998-03-31,34.38,34.44,33.88,34.25,12.0027,434607.0,0.0,1.0
1998-04-01,34.25,34.25,33.75,34.06,11.9361,243825.0,0.0,1.0
1998-04-02,34.13,34.44,34.13,34.44,12.0693,129923.0,0.0,1.0
1998-04-03,34.75,34.88,34.38,34.38,12.0483,129923.0,0.0,1.0
1998-04-06,34.38,34.69,34.0,34.19,11.9817,172807.0,0.0,1.0
1998-04-07,34.19,34.56,34.13,34.44,12.0693,159327.0,0.0,1.0
1998-04-08,34.5,34.5,33.75,33.88,11.8731,159034.0,0.0,1.0
1998-04-09,34.0,34.38,33.38,34.31,12.0237,116345.0,0.0,1.0
1998-04-13,34.13,34.63,34.06,34.5,12.0903,150437.0,0.0,1.0
1998-04-14,34.63,34.63,33.94,34.13,11.9607,132854.0,0.0,1.0
1998-04-15,34.25,34.25,33.75,34.06,11.9361,70627.0,0.0,1.0
1998-04-16,34.13,34.19,33.88,34.0,11.9151,125625.0,0.0,1.0
1998-04-17,33.75,33.75,33.31,33.56,11.7609,272155.0,0.0,1.0
1998-04-20,33.44,33.69,33.0,33.31,11.6733,128946.0,0.0,1.0
1998-04-21,33.06,33.25,32.0,32.13,11.2598,547337.0,0.0,1.0
1998-04-22,32.25,32.63,32.13,32.25,11.3018,285635.0,0.0,1.0
1998-04-23,32.5,32.5,32.13,32.44,11.3684,297553.0,0.0,1.0
1998-04-24,32.38,32.75,32.31,32.75,11.4771,169779.0,0.0,1.0
