date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,44.0,44.25,43.19,43.19,35.7535,378400.0,0.0,1.0
1998-01-05,43.0,43.31,42.06,42.31,35.025,434200.0,0.0,1.0
1998-01-06,41.88,42.75,41.63,42.06,34.818,353400.0,0.0,1.0
1998-01-07,41.88,41.94,41.19,41.19,34.0978,624200.0,0.0,1.0
1998-01-08,41.06,41.13,39.88,40.19,33.27,684500.0,0.0,1.0
1998-01-09,40.13,40.31,39.38,39.94,33.0631,515300.0,0.0,1.0
1998-01-12,39.25,39.88,39.19,39.5,32.6988,693000.0,0.0,1.0
1998-01-13,39.5,40.44,39.5,40.44,33.477,375800.0,0.0,1.0
1998-01-14,40.13,40.63,40.0,40.5,33.5266,257700.0,0.0,1.0
1998-01-15,40.44,40.44,39.56,40.25,33.3197,447600.0,0.0,1.0
1998-01-16,40.31,41.0,40.31,40.5,33.5266,377500.0,0.0,1.0
1998-01-20,40.75,41.38,40.13,41.0,33.9405,283900.0,0.0,1.0
1998-01-21,40.75,40.75,40.0,40.56,33.5763,218200.0,0.0,1.0
1998-01-22,40.31,40.63,39.69,40.06,33.1624,169100.0,0.0,1.0
1998-01-23,40.25,40.56,39.06,39.44,32.6491,445200.0,0.0,1.0
1998-01-26,39.5,39.88,38.56,39.06,32.3346,308300.0,0.0,1.0
1998-01-27,38.88,39.69,38.81,39.5,32.6988,294000.0,0.0,1.0
1998-01-28,39.5,39.88,39.25,39.69,32.8561,294300.0,0.0,1.0
1998-01-29,39.75,40.13,38.75,38.75,32.0779,417900.0,0.0,1.0
1998-01-30,38.75,39.13,37.94,39.0,32.2849,578900.0,0.0,1.0
1998-02-02,39.75,40.56,39.63,40.5,33.5266,405200.0,0.0,1.0
1998-02-03,40.25,40.56,39.69,40.5,33.5266,290100.0,0.0,1.0
1998-02-04,40.06,40.19,39.63,40.0,33.1127,217800.0,0.0,1.0
1998-02-05,40.5,40.94,39.38,39.63,32.8064,346700.0,0.0,1.0
1998-02-06,39.5,40.19,39.38,40.06,33.1624,320400.0,0.0,1.0
1998-02-09,39.88,40.38,39.5,39.88,33.0134,226300.0,0.0,1.0
1998-02-10,39.75,39.88,39.0,39.13,32.3925,410800.0,0.0,1.0
1998-02-11,39.12,39.31,38.75,39.19,32.4422,254700.0,0.0,1.0
1998-02-12,39.25,39.63,38.94,39.44,32.6491,258200.0,0.0,1.0
1998-02-13,39.31,39.63,39.19,39.63,32.8064,188800.0,0.0,1.0
1998-02-17,39.38,39.69,38.5,38.56,31.9207,308200.0,0.0,1.0
1998-02-18,38.63,39.0,38.5,38.81,32.1276,631600.0,0.0,1.0
1998-02-19,38.81,39.19,38.44,39.19,32.4422,386100.0,0.0,1.0
1998-02-20,39.19,39.44,38.75,39.19,32.4422,388700.0,0.0,1.0
1998-02-23,39.19,39.63,39.13,39.44,32.6491,464000.0,0.0,1.0
1998-02-24,39.69,40.0,39.38,39.44,32.6491,483400.0,0.0,1.0
1998-02-25,39.69,41.0,39.63,41.0,33.9405,545100.0,0.0,1.0
1998-02-26,40.88,41.5,40.81,41.19,34.0978,397500.0,0.0,1.0
1998-02-27,41.0,41.25,40.75,41.0,33.9405,507300.0,0.0,1.0
1998-03-02,40.75,40.94,39.75,39.88,33.0134,503000.0,0.0,1.0
1998-03-03,39.94,40.0,39.63,40.0,33.1127,274300.0,0.0,1.0
1998-03-04,40.0,40.5,39.69,40.19,33.27,389500.0,0.0,1.0
1998-03-05,39.25,40.0,39.25,39.81,32.9554,707700.0,0.0,1.0
1998-03-06,39.63,40.0,39.44,39.88,33.0134,612000.0,0.0,1.0
1998-03-09,39.38,39.94,39.06,39.31,32.5415,385000.0,0.0,1.0
1998-03-10,39.69,39.75,38.94,39.25,32.4919,668500.0,0.0,1.0
1998-03-11,39.0,39.44,38.25,38.56,31.9207,643600.0,0.0,1.0
1998-03-12,38.56,38.75,38.06,38.44,31.8213,767800.0,0.0,1.0
1998-03-13,38.5,38.81,38.06,38.31,31.7137,377500.0,0.0,1.0
1998-03-16,38.13,38.69,37.5,37.63,31.1508,793700.0,0.0,1.0
1998-03-17,37.81,37.94,37.0,37.25,30.8362,679100.0,0.0,1.0
1998-03-18,37.25,37.5,36.63,37.31,30.8859,757700.0,0.0,1.0
1998-03-19,37.13,38.63,37.06,38.44,31.8213,539900.0,0.0,1.0
1998-03-20,38.63,38.94,37.56,38.38,31.7717,378300.0,0.0,1.0
1998-03-23,37.88,38.0,37.0,37.38,30.9438,484000.0,0.0,1.0
1998-03-24,37.63,39.19,37.63,39.0,32.2849,626800.0,0.0,1.0
1998-03-25,39.19,40.06,39.19,39.81,32.9554,685900.0,0.0,1.0
1998-03-26,39.25,40.0,39.06,40.0,33.1127,376700.0,0.0,1.0
1998-03-27,40.0,40.0,39.19,39.44,32.6491,244900.0,0.0,1.0
1998-03-30,39.25,39.81,39.0,39.25,32.4919,224200.0,0.0,1.0
1998-03-31,39.5,40.69,39.13,40.38,33.4273,522300.0,0.0,1.0
1998-04-01,40.13,41.44,40.13,41.38,34.2551,617300.0,0.0,1.0
1998-04-02,41.25,42.88,41.06,42.44,35.1326,820400.0,0.0,1.0
1998-04-03,42.19,42.31,41.13,41.13,34.0482,402900.0,0.0,1.0
1998-04-06,41.06,41.75,40.38,40.88,33.8412,521700.0,0.0,1.0
1998-04-07,41.13,41.31,40.63,40.69,33.6839,3767600.0,0.0,1.0
1998-04-08,40.69,40.88,40.63,40.75,33.7336,594900.0,0.0,1.0
1998-04-09,40.81,41.38,40.75,41.19,34.0978,338500.0,0.0,1.0
1998-04-13,41.0,41.06,40.69,41.0,33.9405,490400.0,0.0,1.0
1998-04-14,40.81,41.88,40.75,41.75,34.5614,505100.0,0.0,1.0
1998-04-15,41.94,41.94,41.0,41.44,34.3048,595400.0,0.0,1.0
1998-04-16,41.63,41.63,40.75,40.94,33.8909,574100.0,0.0,1.0
1998-04-17,40.94,41.25,39.94,41.19,34.0978,543200.0,0.0,1.0
1998-04-20,41.44,41.44,40.5,40.88,33.8412,449700.0,0.0,1.0
1998-04-21,40.25,40.44,40.06,40.06,33.1624,668300.0,0.0,1.0
1998-04-22,40.25,40.44,40.13,40.31,33.3693,611900.0,0.0,1.0
1998-04-23,40.19,40.5,40.13,40.25,33.3197,352900.0,0.0,1.0
1998-04-24,40.25,40.25,39.5,39.75,32.9058,518800.0,0.0,1.0
1998-04-27,39.63,39.69,37.75,38.0,31.4571,743000.0,0.0,1.0
1998-04-28,38.38,38.88,38.25,38.56,31.9207,756100.0,0.0,1.0
1998-04-29,38.69,39.25,38.63,38.88,32.1856,710600.0,0.0,1.0
1998-04-30,39.25,40.0,39.19,39.81,32.9554,504800.0,0.0,1.0
1998-05-01,40.06,40.38,39.88,40.38,33.4273,256100.0,0.0,1.0
1998-05-04,40.5,41.0,40.13,40.88,33.8412,403900.0,0.0,1.0
1998-05-05,40.75,40.75,39.69,39.75,32.9058,600700.0,0.0,1.0
1998-05-06,39.25,39.44,38.5,38.75,32.0779,379500.0,0.0,1.0
1998-05-07,37.75,38.5,37.25,38.38,31.7717,658600.0,0.0,1.0
1998-05-08,38.56,39.63,38.56,39.13,32.3925,441900.0,0.0,1.0
1998-05-11,39.06,39.13,37.56,37.63,31.1508,320800.0,0.0,1.0
