date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,62.38,62.63,61.56,62.63,23.6603,166400.0,0.0,1.0
1998-01-05,62.63,63.5,61.75,62.19,23.4941,484300.0,0.0,1.0
1998-01-06,61.63,61.81,60.69,60.94,23.0218,415600.0,0.0,1.0
1998-01-07,60.94,60.94,59.25,59.94,22.6441,538700.0,0.0,1.0
1998-01-08,59.94,60.5,59.0,60.0,22.6667,383300.0,0.0,1.0
1998-01-09,59.88,59.94,58.0,58.25,22.0056,295200.0,0.0,1.0
1998-01-12,57.0,58.94,57.0,58.81,22.2172,557900.0,0.0,1.0
1998-01-13,58.56,59.25,58.0,59.25,22.3834,325900.0,0.0,1.0
1998-01-14,59.25,59.25,57.88,58.94,22.2663,293400.0,0.0,1.0
1998-01-15,59.19,60.38,58.25,58.25,22.0056,689300.0,0.0,1.0
1998-01-16,58.44,59.0,58.13,58.25,22.0056,231300.0,0.0,1.0
1998-01-20,58.38,58.44,57.19,57.25,21.6278,491000.0,0.0,1.0
1998-01-21,57.13,58.13,57.06,57.56,21.7449,524100.0,0.0,1.0
1998-01-22,57.13,58.25,57.06,57.31,21.6505,498900.0,0.0,1.0
1998-01-23,57.19,57.5,56.5,56.88,21.4881,672400.0,0.0,1.0
1998-01-26,56.5,57.06,56.38,56.88,21.4881,367200.0,0.0,1.0
1998-01-27,57.25,58.69,56.75,56.75,21.4389,684200.0,0.0,1.0
1998-01-28,56.88,58.25,56.88,58.0,21.9112,2387300.0,0.0,1.0
1998-01-29,58.0,60.13,57.88,59.5,22.4778,2368000.0,0.0,1.0
1998-01-30,59.5,60.31,59.06,59.81,22.5949,448100.0,0.0,1.0
1998-02-02,60.81,62.19,60.63,62.13,23.4714,516100.0,0.0,1.0
1998-02-03,61.75,63.63,61.56,63.63,24.0381,733200.0,0.0,1.0
1998-02-04,63.31,65.56,63.25,65.44,24.7218,1047800.0,0.0,1.0
1998-02-05,65.88,66.0,64.44,64.75,24.4612,672500.0,0.0,1.0
1998-02-06,64.75,66.06,64.75,65.94,24.9107,373400.0,0.0,1.0
1998-02-09,65.88,68.5,65.81,67.88,25.6436,787200.0,0.0,1.0
1998-02-10,67.94,69.88,67.88,68.75,25.9723,681300.0,0.0,1.0
1998-02-11,69.25,70.06,68.0,68.06,25.7116,678900.0,0.0,1.0
1998-02-12,67.25,67.94,66.06,67.94,25.6663,352500.0,0.0,1.0
1998-02-13,67.06,70.06,67.06,69.69,26.3274,939400.0,0.0,1.0
1998-02-17,70.0,70.13,68.44,69.75,26.3501,458800.0,0.0,1.0
1998-02-18,69.63,69.63,69.13,69.25,26.1612,351400.0,0.0,1.0
1998-02-19,69.0,69.13,68.13,68.19,25.7607,181200.0,0.0,1.0
1998-02-20,68.44,68.88,67.69,68.5,25.8778,339700.0,0.0,1.0
