date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,54.38,54.63,53.5,54.19,35.8288,201100.0,0.0,1.0
1998-01-05,54.0,54.0,52.69,52.94,35.0023,257600.0,0.0,1.0
1998-01-06,52.94,53.0,52.0,52.38,34.6321,274100.0,0.0,1.0
1998-01-07,51.5,52.5,51.38,52.5,34.7114,346800.0,0.0,1.0
1998-01-08,52.19,52.25,51.56,51.94,34.3412,174600.0,0.0,1.0
1998-01-09,51.88,52.25,49.19,49.63,32.8139,331100.0,0.0,1.0
1998-01-12,49.13,50.63,49.13,50.56,33.4288,234000.0,0.0,1.0
1998-01-13,50.81,51.0,50.38,51.0,33.7197,172300.0,0.0,1.0
1998-01-14,51.0,51.5,50.88,51.5,34.0503,238500.0,0.0,1.0
1998-01-15,51.13,51.63,51.0,51.0,33.7197,273400.0,0.0,1.0
1998-01-16,50.75,51.19,50.5,51.13,33.8056,318800.0,0.0,1.0
1998-01-20,51.0,52.13,50.63,52.0,34.3808,310000.0,0.0,1.0
1998-01-21,51.75,51.94,50.56,51.0,33.7197,317600.0,0.0,1.0
1998-01-22,50.5,50.88,49.44,49.75,32.9874,335700.0,0.1425,1.0
1998-01-23,49.5,49.63,48.25,49.0,32.4901,452600.0,0.0,1.0
1998-01-26,49.0,49.88,48.5,49.0,32.4901,273900.0,0.0,1.0
1998-01-27,48.63,49.44,48.0,48.13,31.9133,596200.0,0.0,1.0
1998-01-28,48.25,49.5,48.25,49.0,32.4901,288800.0,0.0,1.0
1998-01-29,49.06,49.5,48.75,48.94,32.4503,315100.0,0.0,1.0
1998-01-30,49.0,49.0,48.44,48.63,32.2448,415600.0,0.0,1.0
1998-02-02,48.75,49.94,48.5,49.88,33.0736,486300.0,0.0,1.0
1998-02-03,50.5,51.13,49.94,51.0,33.8163,344000.0,0.0,1.0
1998-02-04,50.75,51.0,50.13,50.38,33.4052,305800.0,0.0,1.0
1998-02-05,50.13,50.19,48.31,49.63,32.9079,431500.0,0.0,1.0
1998-02-06,49.63,50.38,49.5,49.94,33.1134,463300.0,0.0,1.0
1998-02-09,50.0,50.0,49.0,49.31,32.6957,599200.0,0.0,1.0
1998-02-10,49.5,50.38,49.38,49.5,32.8217,1227800.0,0.0,1.0
1998-02-11,50.0,50.75,49.63,50.13,33.2394,942700.0,0.0,1.0
1998-02-12,49.88,50.25,49.81,49.88,33.0736,665000.0,0.0,1.0
1998-02-13,50.13,51.94,50.06,50.63,33.5709,609000.0,0.0,1.0
1998-02-17,50.75,51.75,50.56,50.75,33.6505,253100.0,0.0,1.0
1998-02-18,50.75,51.38,50.63,51.06,33.856,304300.0,0.0,1.0
1998-02-19,51.0,51.31,50.25,50.69,33.6107,436600.0,0.0,1.0
1998-02-20,50.94,50.94,49.88,50.81,33.6903,454000.0,0.0,1.0
1998-02-23,51.06,51.06,50.25,50.5,33.4847,615800.0,0.0,1.0
1998-02-24,51.88,51.88,50.0,50.13,33.2394,789000.0,0.0,1.0
1998-02-25,50.38,51.5,50.38,50.88,33.7367,796400.0,0.0,1.0
1998-02-26,50.88,51.19,50.25,50.94,33.7765,327700.0,0.0,1.0
1998-02-27,50.94,51.69,50.88,51.44,34.108,752200.0,0.0,1.0
1998-03-02,51.5,51.75,51.38,51.75,34.3136,739300.0,0.0,1.0
1998-03-03,51.63,51.75,51.25,51.5,34.1478,935300.0,0.0,1.0
1998-03-04,51.5,51.56,51.0,51.5,34.1478,501300.0,0.0,1.0
1998-03-05,51.13,51.38,51.06,51.19,33.9422,319500.0,0.0,1.0
1998-03-06,51.44,51.69,51.38,51.63,34.234,288200.0,0.0,1.0
1998-03-09,51.69,51.88,51.5,51.75,34.3136,237900.0,0.0,1.0
1998-03-10,51.63,52.5,51.31,52.38,34.7313,252800.0,0.0,1.0
1998-03-11,52.75,52.75,51.69,52.13,34.5655,348600.0,0.0,1.0
1998-03-12,52.13,52.56,51.5,52.25,34.6451,377700.0,0.0,1.0
1998-03-13,52.5,52.94,52.25,52.56,34.8506,353600.0,0.0,1.0
1998-03-16,52.94,54.13,52.88,54.0,35.8054,318000.0,0.0,1.0
1998-03-17,54.0,54.63,53.56,54.56,36.1768,346500.0,0.0,1.0
1998-03-18,54.44,54.81,54.0,54.5,36.137,318600.0,0.0,1.0
1998-03-19,54.63,54.75,54.19,54.25,35.9712,364100.0,0.0,1.0
1998-03-20,54.5,54.5,53.75,53.81,35.6795,297200.0,0.0,1.0
1998-03-23,53.56,54.0,53.5,53.63,35.5601,241100.0,0.0,1.0
1998-03-24,53.81,54.06,53.44,54.06,35.8452,159200.0,0.0,1.0
1998-03-25,54.06,55.56,54.06,55.25,36.6343,638100.0,0.0,1.0
1998-03-26,55.0,55.25,54.81,55.0,36.4685,275500.0,0.0,1.0
1998-03-27,55.38,55.44,54.63,55.0,36.4685,365900.0,0.0,1.0
1998-03-30,55.25,55.38,54.63,55.0,36.4685,279600.0,0.0,1.0
1998-03-31,55.38,55.38,54.88,55.19,36.5945,365900.0,0.0,1.0
1998-04-01,55.38,55.44,55.0,55.25,36.6343,298200.0,0.0,1.0
1998-04-02,55.5,56.31,55.5,56.19,37.2576,183500.0,0.0,1.0
1998-04-03,56.44,57.69,56.19,56.69,37.5891,224200.0,0.0,1.0
1998-04-06,56.94,57.13,55.63,55.75,36.9658,281000.0,0.0,1.0
1998-04-07,55.75,56.13,54.94,55.13,36.5547,281500.0,0.0,1.0
1998-04-08,55.06,55.38,55.0,55.13,36.5547,173000.0,0.0,1.0
1998-04-09,55.25,55.88,55.06,55.5,36.8,176700.0,0.0,1.0
1998-04-13,55.5,55.5,54.0,54.69,36.263,422700.0,0.0,1.0
1998-04-14,55.13,55.13,54.0,54.88,36.3889,239300.0,0.0,1.0
1998-04-15,54.63,55.94,53.75,55.63,36.8862,203800.0,0.0,1.0
1998-04-16,55.63,55.63,54.19,54.31,36.011,159000.0,0.0,1.0
1998-04-17,54.38,54.94,53.88,54.94,36.4287,155800.0,0.0,1.0
1998-04-20,54.94,54.94,53.75,53.88,35.7259,157600.0,0.0,1.0
