date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,35.25,38.63,34.63,38.63,7.0163,2925300.0,0.0,1.0
1998-01-05,38.63,39.88,37.06,37.75,6.8564,2580300.0,0.0,1.0
1998-01-06,37.88,38.69,36.25,37.38,6.7892,1675700.0,0.0,1.0
1998-01-07,36.0,37.19,34.75,35.81,6.5041,2572600.0,0.0,1.0
1998-01-08,35.38,37.44,34.75,36.13,6.5622,2191900.0,0.0,1.0
1998-01-09,36.38,36.38,33.13,34.63,6.2897,3626100.0,0.0,1.0
1998-01-12,33.0,35.75,32.63,34.06,6.1862,2757900.0,0.0,1.0
1998-01-13,35.0,37.5,34.81,37.25,6.7656,3889700.0,0.0,1.0
1998-01-14,37.25,37.75,35.63,36.88,6.6984,1774700.0,0.0,1.0
1998-01-15,36.75,37.88,36.13,36.38,6.6076,1552000.0,0.0,1.0
1998-01-16,36.5,37.38,35.5,35.63,6.4714,1315100.0,0.0,1.0
1998-01-20,36.0,39.31,35.25,38.25,6.9472,2801600.0,0.0,1.0
1998-01-21,36.5,37.38,35.88,36.75,6.6748,3719600.0,0.0,1.0
1998-01-22,35.75,35.75,34.63,35.13,6.3806,3025100.0,0.0,1.0
1998-01-23,35.63,36.5,35.38,35.88,6.5168,2542400.0,0.0,1.0
1998-01-26,36.25,36.75,35.5,35.63,6.4714,977900.0,0.0,1.0
1998-01-27,35.69,36.5,35.5,36.25,6.584,1111200.0,0.0,1.0
1998-01-28,36.56,38.94,36.31,38.5,6.9926,2495700.0,0.0,1.0
1998-01-29,37.75,38.88,37.25,37.31,6.7765,1787800.0,0.0,1.0
1998-01-30,37.63,38.63,37.25,37.94,6.8909,1106400.0,0.0,1.0
1998-02-02,38.63,41.38,38.5,40.0,7.2651,2740700.0,0.0,1.0
1998-02-03,40.0,41.94,39.75,40.75,7.4013,2982300.0,0.0,1.0
1998-02-04,40.63,41.06,39.88,40.25,7.3105,1596000.0,0.0,1.0
1998-02-05,40.94,41.13,38.63,38.63,7.0163,1735500.0,0.0,1.0
1998-02-06,38.69,40.56,38.38,40.5,7.3559,1447000.0,0.0,1.0
1998-02-09,40.63,40.94,38.81,39.0,7.0835,2228400.0,0.0,1.0
1998-02-10,39.25,42.63,39.25,40.69,7.3904,4289000.0,0.0,1.0
1998-02-11,40.13,40.75,39.56,40.0,7.2651,1713000.0,0.0,1.0
1998-02-12,39.69,40.38,38.63,39.13,7.1071,2751100.0,0.0,1.0
1998-02-13,38.88,40.25,38.5,39.5,7.1743,2055100.0,0.0,1.0
1998-02-17,40.0,40.25,39.0,39.0,7.0835,1688800.0,0.0,1.0
1998-02-18,39.0,40.25,38.75,40.25,7.3105,1684800.0,0.0,1.0
1998-02-19,40.63,41.13,39.75,39.94,7.2542,1837900.0,0.0,1.0
1998-02-20,40.69,41.25,39.09,40.06,7.276,2257900.0,0.0,1.0
1998-02-23,40.5,41.44,39.75,40.88,7.4249,1343000.0,0.0,1.0
1998-02-24,40.63,42.0,40.63,41.31,7.503,2912100.0,0.0,1.0
1998-02-25,41.88,44.63,41.75,44.63,8.106,3256100.0,0.0,1.0
1998-02-26,43.88,46.69,43.75,46.25,8.4003,4344100.0,0.0,1.0
1998-02-27,46.13,46.63,43.63,43.88,7.9698,2350500.0,0.0,1.0
1998-03-02,44.5,44.75,41.63,41.94,7.6174,3363600.0,0.0,1.0
