date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-09-27,0,21.05,21.4,19.1,19.3,18.4333,2576944.0,0.0,1.0
2005-09-28,1,19.3,20.53,19.2,20.5,19.5794,15409920.0,0.0,1.0
2005-09-29,2,20.4,20.58,20.1,20.21,19.3025,2890617.0,0.0,1.0
2005-09-30,3,20.26,21.05,20.18,21.01,20.0665,8373458.0,0.0,1.0
2005-10-03,4,20.9,21.75,20.9,21.5,20.5345,2836193.0,0.0,1.0
2005-10-04,5,21.44,22.5,21.44,22.16,21.1649,4742091.0,0.0,1.0
2005-10-05,6,22.1,22.31,21.75,22.2,21.2031,2424397.0,0.0,1.0
2005-10-06,7,22.6,23.0,22.4,22.58,21.566,4327614.0,0.0,1.0
2005-10-07,8,22.25,22.6,21.8,22.15,21.1554,2019839.0,0.0,1.0
2005-10-10,9,22.28,22.29,22.1,22.21,21.2127,1444236.0,0.0,1.0
2005-10-11,10,22.26,22.3,21.8,21.98,20.993,2049866.0,0.0,1.0
2005-10-12,11,21.9,22.05,21.64,21.76,20.7829,2447453.0,0.0,1.0
2005-10-13,12,21.7,21.8,21.4,21.71,20.7351,1424397.0,0.0,1.0
2005-10-14,13,21.85,22.4,21.85,22.27,21.27,2380161.0,0.0,1.0
2005-10-17,14,22.15,22.22,21.85,22.08,21.0885,1243968.0,0.0,1.0
2005-10-18,15,22.06,22.3,21.35,21.49,20.525,4867292.0,0.0,1.0
2005-10-19,16,21.37,21.6,20.85,21.38,20.4199,3930295.0,0.0,1.0
2005-10-20,17,21.35,21.48,20.85,21.02,20.0761,1718231.0,0.0,1.0
2005-10-21,18,21.02,22.42,21.01,21.96,20.9739,2458445.0,0.0,1.0
2005-10-24,19,22.01,22.36,21.95,22.31,21.3082,1364075.0,0.0,1.0
2005-10-25,20,22.25,22.54,21.7,22.0,21.0121,1172386.0,0.0,1.0
2005-10-26,21,22.0,22.45,21.99,22.32,21.3177,1456300.0,0.0,1.0
2005-10-27,22,22.26,22.56,22.2,22.56,21.5469,941555.0,0.0,1.0
2005-10-28,23,22.55,23.9,22.37,23.9,22.8268,4329491.0,0.0,1.0
2005-10-31,24,24.0,25.35,24.0,24.68,23.5717,1893834.0,0.0,1.0
2005-11-01,25,24.7,25.08,24.69,25.02,23.8965,2323861.0,0.0,1.0
2005-11-02,26,25.23,28.1,25.2,27.55,26.3129,7694906.0,0.0,1.0
2005-11-03,27,27.6,28.1,27.6,27.87,26.6185,2429223.0,0.0,1.0
2005-11-04,28,27.8,29.0,27.77,28.8,27.5067,2446649.0,0.0,1.0
2005-11-07,29,29.0,29.43,28.38,28.93,27.6309,1305362.0,0.0,1.0
2005-11-08,30,29.1,29.7,29.0,29.43,28.1084,3739946.0,0.0,1.0
2005-11-09,31,29.43,31.3,29.43,31.3,29.8945,3518231.0,0.0,1.0
2005-11-10,32,31.15,33.96,31.15,32.8,31.3271,5224933.0,0.0,1.0
2005-11-11,33,33.05,33.95,33.0,33.35,31.8524,3173995.0,0.0,1.0
2005-11-14,34,33.5,34.5,33.45,33.75,32.2345,2839678.0,0.0,1.0
2005-11-15,35,33.75,33.88,32.84,33.88,32.3586,2035389.0,0.0,1.0
2005-11-16,36,33.51,33.85,33.4,33.6,32.0912,1454692.0,0.0,1.0
2005-11-17,37,33.4,34.55,33.23,34.32,32.7789,2712869.0,0.0,1.0
2005-11-18,38,34.35,34.35,32.86,33.05,31.5659,1420375.0,0.0,1.0
2005-11-21,39,32.75,32.75,31.26,31.99,30.5535,1705898.0,0.0,1.0
2005-11-22,40,31.99,32.74,31.6,32.5,31.0406,1131099.0,0.0,1.0
2005-11-23,41,32.2,33.68,32.16,33.04,31.5563,1799732.0,0.0,1.0
2005-11-25,42,33.01,33.2,32.72,32.85,31.3749,371314.0,0.0,1.0
2005-11-28,43,33.05,33.85,33.0,33.41,31.9097,1690080.0,0.0,1.0
2005-11-29,44,33.3,33.5,32.63,32.9,31.4226,1149062.0,0.0,1.0
2005-11-30,45,32.9,33.8,32.9,33.59,32.0816,1850134.0,0.0,1.0
2005-12-01,46,34.0,34.94,34.0,34.28,32.7407,996783.0,0.0,1.0
2005-12-02,47,34.4,34.65,34.25,34.28,32.7407,1149062.0,0.0,1.0
2005-12-05,48,32.08,32.64,31.38,32.35,30.8973,3014477.0,0.0,1.0
2005-12-06,49,32.04,33.75,32.04,33.62,32.1103,2119571.0,0.0,1.0
2005-12-07,50,33.4,34.18,33.3,33.95,32.4255,2101609.0,0.0,1.0
2005-12-08,51,33.95,33.98,33.53,33.66,32.1485,1028686.0,0.0,1.0
2005-12-09,52,33.41,34.07,33.35,33.88,32.3586,1098391.0,0.0,1.0
2005-12-12,53,33.8,33.91,33.71,33.76,32.244,1130027.0,0.0,1.0
2005-12-13,54,33.76,33.8,33.05,33.25,31.7569,607775.0,0.0,1.0
