date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,27.63,27.69,27.31,27.56,9.5876,768400.0,0.0,1.0
1998-01-05,1,27.63,29.5,27.63,28.81,10.0224,1839500.0,0.0,1.0
1998-01-06,2,28.5,28.63,27.5,27.63,9.6119,759300.0,0.0,1.0
1998-01-07,3,27.63,27.63,26.25,26.44,9.198,960400.0,0.0,1.0
1998-01-08,4,26.44,26.75,26.06,26.56,9.2397,1221200.0,0.0,1.0
1998-01-09,5,26.56,26.56,24.5,25.0,8.697000000000001,1538000.0,0.0,1.0
1998-01-12,6,24.13,25.75,24.13,25.0,8.697000000000001,1118700.0,0.0,1.0
1998-01-13,7,25.56,26.5,25.0,26.5,9.2188,2370200.0,0.0,1.0
1998-01-14,8,26.5,26.63,24.81,25.0,8.697000000000001,2408800.0,0.0,1.0
1998-01-15,9,25.19,26.75,24.94,26.38,9.1771,2278800.0,0.0,1.0
1998-01-16,10,26.38,27.13,26.38,26.63,9.2641,1252600.0,0.0,1.0
1998-01-20,11,27.0,27.63,26.75,27.56,9.5876,798100.0,0.0,1.0
1998-01-21,12,27.5,27.5,26.56,26.75,9.3058,1409300.0,0.0,1.0
1998-01-22,13,26.5,26.56,25.75,25.81,8.9788,869400.0,0.0,1.0
1998-01-23,14,25.31,26.88,25.31,26.88,9.351,958700.0,0.0,1.0
1998-01-26,15,26.88,27.0,25.75,25.75,8.9579,850700.0,0.0,1.0
1998-01-27,16,26.0,26.5,25.88,26.19,9.111,1162800.0,0.0,1.0
1998-01-28,17,26.63,27.69,26.5,27.56,9.5876,1178600.0,0.0,1.0
1998-01-29,18,27.56,29.25,27.25,28.56,9.9355,1548800.0,0.0,1.0
1998-01-30,19,28.88,29.75,28.69,29.5,10.2625,1252100.0,0.0,1.0
1998-02-02,20,29.25,29.31,27.69,28.31,9.8485,2011500.0,0.0,1.0
1998-02-03,21,28.38,29.63,28.31,29.5,10.2625,1465500.0,0.0,1.0
1998-02-04,22,29.25,30.25,28.56,29.88,10.3947,1154500.0,0.0,1.0
1998-02-05,23,30.0,30.75,29.06,29.19,10.1546,976800.0,0.0,1.0
1998-02-06,24,29.0,29.19,28.31,29.19,10.1546,1423100.0,0.0,1.0
1998-02-09,25,29.25,29.31,28.31,28.38,9.8729,1492000.0,0.0,1.0
1998-02-10,26,28.13,29.13,27.94,28.94,10.0677,1716400.0,0.0,1.0
1998-02-11,27,28.44,28.44,27.75,28.19,9.8068,1277600.0,0.0,1.0
1998-02-12,28,28.19,29.0,27.63,28.81,10.0224,816700.0,0.0,1.0
1998-02-13,29,28.75,29.06,27.94,28.13,9.7859,853200.0,0.0,1.0
1998-02-17,30,29.0,29.0,27.13,27.63,9.6119,1104700.0,0.0,1.0
1998-02-18,31,27.69,31.63,27.5,31.63,11.0035,4218100.0,0.0,1.0
1998-02-19,32,32.0,33.69,31.75,32.38,11.2644,4178000.0,0.0,1.0
1998-02-20,33,32.5,32.5,31.44,31.94,11.1113,1297500.0,0.0,1.0
1998-02-23,34,32.25,32.63,31.94,32.63,11.3513,1858600.0,0.0,1.0
1998-02-24,35,32.38,32.38,31.38,31.38,10.9165,491000.0,0.0,1.0
1998-02-25,36,31.44,33.0,31.0,32.88,11.4383,2425800.0,0.0,1.0
1998-02-26,37,32.94,34.0,32.56,33.56,11.6749,1834600.0,0.0,1.0
1998-02-27,38,33.5,33.69,32.25,32.31,11.24,812300.0,0.0,1.0
1998-03-02,39,32.06,32.38,31.0,31.13,10.8295,898200.0,0.0,1.0
1998-03-03,40,31.25,31.44,30.13,31.25,10.8713,614400.0,0.0,1.0
1998-03-04,41,31.0,32.63,30.94,32.63,11.3513,1600000.0,0.0,1.0
1998-03-05,42,31.63,32.0,31.25,31.25,10.8713,1341300.0,0.0,1.0
1998-03-06,43,31.38,32.19,31.38,32.0,11.1322,1426700.0,0.0,1.0
1998-03-09,44,31.63,32.06,31.38,31.44,10.9374,677900.0,0.0,1.0
1998-03-10,45,31.56,31.94,31.13,31.63,11.0035,509400.0,0.0,1.0
1998-03-11,46,31.81,33.13,31.63,33.13,11.5253,1216600.0,0.0,1.0
1998-03-12,47,33.25,34.13,33.13,33.88,11.7862,1062300.0,0.0,1.0
1998-03-13,48,33.94,35.0,33.69,33.75,11.741,1354200.0,0.0,1.0
1998-03-16,49,34.0,34.19,33.31,33.44,11.6331,717800.0,0.0,1.0
1998-03-17,50,33.88,34.69,33.75,33.88,11.7862,1661000.0,0.0,1.0
1998-03-18,51,34.0,34.19,33.75,34.19,11.894,946400.0,0.0,1.0
1998-03-19,52,34.06,34.25,33.13,33.44,11.6331,773800.0,0.0,1.0
1998-03-20,53,33.31,33.5,32.63,32.81,11.414,1231600.0,0.0,1.0
1998-03-23,54,32.63,33.13,32.0,32.81,11.414,1217800.0,0.0,1.0
1998-03-24,55,32.81,33.63,32.63,33.5,11.654000000000002,740600.0,0.0,1.0
1998-03-25,56,33.75,35.06,33.75,34.5,12.0019,1486000.0,0.0,1.0
1998-03-26,57,34.25,34.5,33.94,34.13,11.8732,1090400.0,0.0,1.0
1998-03-27,58,34.13,34.44,33.25,33.63,11.6992,493400.0,0.0,1.0
