date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,61.31,61.38,59.25,60.0,15.6116,687450.0,0.0,1.0
1998-01-05,1,60.38,60.88,59.69,60.81,15.8224,1067050.0,0.0,1.0
1998-01-06,2,60.44,61.0,59.88,60.94,15.8562,590950.0,0.0,1.0
1998-01-07,3,60.75,60.75,59.63,60.13,15.6455,780100.0,0.0,1.0
1998-01-08,4,60.0,60.19,59.31,59.88,15.5804,500950.0,0.0,1.0
1998-01-09,5,59.81,59.81,58.56,58.69,15.2708,914050.0,0.0,1.0
1998-01-12,6,57.56,59.94,57.56,59.94,15.595999999999998,874800.0,0.0,1.0
1998-01-13,7,60.0,60.19,59.31,60.13,15.6455,1016050.0,0.0,1.0
1998-01-14,8,60.06,60.06,58.75,60.0,15.6116,495250.0,0.0,1.0
1998-01-15,9,60.06,60.31,58.88,59.19,15.4009,663450.0,0.0,1.0
1998-01-16,10,59.06,59.94,58.88,59.5,15.4815,983000.0,0.0,1.0
1998-01-20,11,60.25,61.25,60.19,61.25,15.9369,1040900.0,0.0,1.0
1998-01-21,12,61.25,61.25,60.5,61.06,15.8874,606650.0,0.0,1.0
1998-01-22,13,61.0,62.19,60.94,61.0,15.8718,813150.0,0.0,1.0
1998-01-23,14,61.0,61.5,60.31,60.56,15.7573,569900.0,0.0,1.0
1998-01-26,15,60.75,60.88,60.06,60.56,15.7573,426800.0,0.0,1.0
1998-01-27,16,60.81,61.25,60.0,60.63,15.7755,563450.0,0.0,1.0
1998-01-28,17,60.63,60.69,59.81,60.31,15.6923,691850.0,0.0,1.0
1998-01-29,18,60.31,61.06,59.88,59.94,15.595999999999998,763700.0,0.0,1.0
1998-01-30,19,60.06,60.44,59.75,59.81,15.5622,871050.0,0.0,1.0
1998-02-02,20,59.88,61.5,59.88,61.5,16.0019,868600.0,0.0,1.0
1998-02-03,21,61.63,62.38,61.25,62.19,16.1815,562850.0,0.0,1.0
1998-02-04,22,62.25,62.5,61.63,61.81,16.0826,486900.0,0.0,1.0
1998-02-05,23,61.81,61.88,60.75,61.31,15.9525,1181600.0,0.0,1.0
1998-02-06,24,61.31,61.38,60.44,61.0,15.8718,522500.0,0.0,1.0
1998-02-09,25,61.0,61.0,60.31,60.75,15.8068,512650.0,0.0,1.0
1998-02-10,26,60.81,61.0,60.19,60.44,15.7261,582650.0,0.0,1.0
1998-02-11,27,60.75,60.94,60.06,60.75,15.8068,836900.0,0.0,1.0
1998-02-12,28,60.5,60.75,59.88,60.69,15.7912,485050.0,0.0,1.0
1998-02-13,29,60.44,60.69,59.5,60.38,15.7105,552000.0,0.0,1.0
1998-02-17,30,60.63,61.0,59.75,60.56,15.7573,661200.0,0.0,1.0
1998-02-18,31,60.56,61.5,60.5,61.25,15.9369,530300.0,0.0,1.0
1998-02-19,32,61.0,61.56,60.13,60.13,15.6455,642700.0,0.0,1.0
1998-02-20,33,60.63,61.0,59.88,60.69,15.7912,896750.0,0.0,1.0
1998-02-23,34,60.75,61.56,60.69,61.0,15.8718,432200.0,0.0,1.0
1998-02-24,35,60.94,60.94,59.69,59.94,15.595999999999998,663750.0,0.0,1.0
1998-02-25,36,60.19,61.5,60.06,60.88,15.8406,680000.0,0.0,1.0
1998-02-26,37,60.94,61.81,60.31,61.81,16.0826,586050.0,0.0,1.0
1998-02-27,38,61.81,61.81,61.0,61.06,15.8874,565850.0,0.0,1.0
1998-03-02,39,60.63,61.88,60.56,61.88,16.1008,719750.0,0.0,1.0
1998-03-03,40,61.81,62.25,61.63,62.13,16.1658,582050.0,0.0,1.0
1998-03-04,41,61.88,62.56,61.0,62.38,16.2309,779100.0,0.0,1.0
1998-03-05,42,61.81,62.38,61.13,61.25,15.9369,625250.0,0.0,1.0
1998-03-06,43,61.75,63.63,61.75,63.06,16.4078,611750.0,0.0,1.0
1998-03-09,44,63.06,63.81,62.75,63.06,16.4078,661700.0,0.0,1.0
1998-03-10,45,62.94,64.25,62.56,64.0,16.6524,674700.0,0.0,1.0
1998-03-11,46,63.81,64.56,63.63,64.25,16.7521,507900.0,0.133,1.0
