date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2001-06-15,13.16,13.16,12.75,12.86,12.5359,511400.0,0.0,1.0
2001-06-18,12.85,13.15,12.7,13.11,12.7796,408000.0,0.0,1.0
2001-06-19,13.4,13.6,13.15,13.55,13.2085,216400.0,0.0,1.0
2001-06-20,13.5,13.65,13.3,13.55,13.2085,54400.0,0.0,1.0
2001-06-21,13.53,13.9,13.52,13.88,13.5302,80700.0,0.0,1.0
2001-06-22,14.0,14.98,14.0,14.55,14.1833,127900.0,0.0,1.0
2001-06-25,14.75,14.85,14.4,14.65,14.2807,87100.0,0.0,1.0
2001-06-26,14.7,14.78,14.65,14.7,14.3295,48900.0,0.0,1.0
2001-06-27,14.6,15.15,14.55,15.11,14.7292,139800.0,0.0,1.0
2001-06-28,15.01,15.25,14.9,15.0,14.6219,195100.0,0.0,1.0
2001-06-29,15.1,15.9,15.0,15.0,14.6219,130700.0,0.0,1.0
2001-07-02,15.25,15.6,14.31,14.4,14.037,42000.0,0.0,1.0
2001-07-03,14.45,15.05,14.45,14.97,14.5927,35600.0,0.0,1.0
2001-07-05,14.9,15.45,14.9,15.2,14.8169,97100.0,0.0,1.0
2001-07-06,15.4,15.4,14.75,14.95,14.5732,149700.0,0.0,1.0
2001-07-09,15.0,15.2,14.86,14.9,14.5244,130000.0,0.0,1.0
2001-07-10,14.9,15.1,14.7,14.7,14.3295,189200.0,0.0,1.0
2001-07-11,14.7,14.8,14.6,14.6,14.232,76800.0,0.0,1.0
2001-07-12,14.7,15.21,14.7,15.21,14.8266,177600.0,0.0,1.0
2001-07-13,15.0,15.81,15.0,15.81,15.4115,144200.0,0.0,1.0
2001-07-16,15.81,15.81,15.21,15.5,15.1093,38600.0,0.0,1.0
2001-07-17,15.5,16.0,15.5,15.85,15.4505,32900.0,0.0,1.0
2001-07-18,15.8,16.75,15.5,16.75,16.3278,102500.0,0.0,1.0
2001-07-19,16.9,17.4,16.0,16.4,15.9866,303700.0,0.0,1.0
2001-07-20,16.4,16.4,14.7,14.95,14.5732,82700.0,0.0,1.0
2001-07-23,14.98,15.05,14.81,14.85,14.4757,55500.0,0.0,1.0
2001-07-24,14.85,14.85,14.0,14.1,13.7446,45600.0,0.0,1.0
2001-07-25,14.1,14.1,13.5,13.5,13.1597,65800.0,0.0,1.0
2001-07-26,13.5,13.9,13.5,13.75,13.4034,653100.0,0.0,1.0
2001-07-27,13.85,14.15,13.84,14.15,13.7933,62000.0,0.0,1.0
2001-07-30,14.15,14.5,14.15,14.38,14.0176,54800.0,0.0,1.0
2001-07-31,14.37,15.0,14.37,15.0,14.6219,268500.0,0.0,1.0
2001-08-01,14.9,15.4,14.9,15.0,14.6219,19200.0,0.0,1.0
2001-08-02,15.0,15.5,14.9,15.5,15.1093,36900.0,0.0,1.0
2001-08-03,15.5,15.5,15.3,15.5,15.1093,34300.0,0.0,1.0
2001-08-06,15.5,15.59,15.45,15.59,15.1971,2700.0,0.0,1.0
2001-08-07,15.59,15.69,15.3,15.4,15.0118,23200.0,0.0,1.0
2001-08-08,15.65,15.78,15.2,15.2,14.8169,28500.0,0.0,1.0
2001-08-09,15.25,15.25,14.85,14.99,14.6122,9400.0,0.0,1.0
2001-08-10,15.1,15.3,14.95,14.95,14.5732,26800.0,0.0,1.0
2001-08-13,14.95,15.89,14.95,15.45,15.0606,55800.0,0.0,1.0
2001-08-14,15.45,15.7,15.45,15.5,15.1093,59200.0,0.0,1.0
2001-08-15,15.65,16.15,15.51,16.15,15.7429,29400.0,0.0,1.0
2001-08-16,16.15,16.17,16.05,16.15,15.7429,12300.0,0.0,1.0
2001-08-17,16.19,16.3,16.19,16.25,15.8404,6100.0,0.0,1.0
2001-08-20,16.25,16.25,16.25,16.25,15.8404,36200.0,0.0,1.0
2001-08-21,16.3,16.65,16.3,16.5,16.0841,92800.0,0.0,1.0
2001-08-22,16.4,16.4,15.6,15.75,15.353,11600.0,0.0,1.0
2001-08-23,15.7,15.7,15.25,15.48,15.0898,23500.0,0.0,1.0
2001-08-24,15.4,15.47,14.95,15.09,14.7097,11100.0,0.0,1.0
2001-08-27,15.0,15.04,14.7,14.95,14.5732,16900.0,0.0,1.0
2001-08-28,14.85,14.89,14.4,14.89,14.5147,10800.0,0.0,1.0
2001-08-29,14.99,15.4,14.25,15.05,14.6707,209600.0,0.0,1.0
2001-08-30,15.1,15.1,14.75,15.01,14.6317,388900.0,0.0,1.0
2001-08-31,15.1,15.4,15.1,15.25,14.8656,103800.0,0.0,1.0
2001-09-04,15.35,15.4,15.35,15.4,15.0118,17100.0,0.0,1.0
2001-09-05,15.39,16.56,15.39,16.25,15.8404,108600.0,0.0,1.0
2001-09-06,16.15,16.25,16.1,16.1,15.6942,70100.0,0.0,1.0
2001-09-07,16.05,16.2,16.05,16.18,15.7722,48500.0,0.0,1.0
2001-09-10,16.15,16.2,16.0,16.0,15.5967,91400.0,0.0,1.0
2001-09-17,14.5,14.5,13.9,13.9,13.5497,28900.0,0.0,1.0
2001-09-18,13.8,13.8,12.5,12.5,12.1849,111300.0,0.0,1.0
2001-09-19,12.5,12.5,11.1,11.4,11.1127,23300.0,0.0,1.0
2001-09-20,11.65,11.65,11.35,11.35,11.0639,166200.0,0.0,1.0
