date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,36.63,37.5,35.88,37.5,8.9134,276200.0,0.0,1.0
1998-01-05,1,36.88,38.5,36.88,38.25,9.0916,704500.0,0.0,1.0
1998-01-06,2,38.13,40.0,38.13,39.38,9.3602,832700.0,0.0,1.0
1998-01-07,3,39.5,39.5,37.5,38.0,9.0465,697600.0,0.06,1.0
1998-01-08,4,37.75,39.13,37.38,38.88,9.256,538600.0,0.0,1.0
1998-01-09,5,38.63,38.88,34.75,35.94,8.556000000000001,1315900.0,0.0,1.0
1998-01-12,6,34.5,36.38,34.38,35.75,8.5108,730800.0,0.0,1.0
1998-01-13,7,36.0,37.25,35.63,36.38,8.6608,748600.0,0.0,1.0
1998-01-14,8,36.5,37.5,35.84,37.38,8.8989,406200.0,0.0,1.0
1998-01-15,9,37.25,38.5,37.0,37.88,9.0179,674000.0,0.0,1.0
1998-01-16,10,38.25,38.75,38.0,38.19,9.0917,454400.0,0.0,1.0
1998-01-20,11,38.0,38.25,36.75,38.06,9.0607,708200.0,0.0,1.0
1998-01-21,12,37.5,38.56,37.0,37.88,9.0179,429200.0,0.0,1.0
1998-01-22,13,37.13,37.94,36.75,37.5,8.9274,596400.0,0.0,1.0
1998-01-23,14,37.38,38.63,37.38,38.56,9.1798,813200.0,0.0,1.0
1998-01-26,15,38.25,39.0,38.13,38.13,9.0774,556100.0,0.0,1.0
1998-01-27,16,38.0,38.13,36.5,37.75,8.9869,1011000.0,0.0,1.0
1998-01-28,17,37.75,38.0,36.63,36.81,8.7632,910600.0,0.0,1.0
1998-01-29,18,36.94,38.44,36.5,37.19,8.8536,1369700.0,0.0,1.0
1998-01-30,19,37.5,38.88,37.13,38.63,9.1964,816800.0,0.0,1.0
1998-02-02,20,39.13,40.63,38.81,39.19,9.3298,1530700.0,0.0,1.0
1998-02-03,21,39.25,40.13,38.5,39.69,9.4488,616800.0,0.0,1.0
1998-02-04,22,39.5,40.5,39.0,40.31,9.5964,664300.0,0.0,1.0
1998-02-05,23,40.5,41.25,39.25,39.5,9.4036,737700.0,0.0,1.0
1998-02-06,24,40.0,44.0,39.75,42.69,10.163,1709700.0,0.0,1.0
1998-02-09,25,42.63,43.44,42.25,42.69,10.163,828700.0,0.0,1.0
1998-02-10,26,42.63,44.13,42.63,43.81,10.4296,790500.0,0.0,1.0
1998-02-11,27,43.75,45.38,43.75,44.75,10.6534,1491700.0,0.0,1.0
1998-02-12,28,44.63,45.75,44.38,45.38,10.8034,1278800.0,0.0,1.0
1998-02-13,29,45.0,45.25,44.13,44.38,10.5653,833700.0,0.0,1.0
1998-02-17,30,44.88,45.38,43.38,43.5,10.3558,875800.0,0.0,1.0
1998-02-18,31,43.63,44.38,43.5,44.25,10.5344,573500.0,0.0,1.0
1998-02-19,32,44.0,44.75,43.0,43.75,10.4153,441700.0,0.0,1.0
1998-02-20,33,44.0,44.0,41.75,42.25,10.0582,801100.0,0.0,1.0
1998-02-23,34,42.63,44.63,42.5,43.81,10.4296,691100.0,0.0,1.0
1998-02-24,35,43.56,45.38,43.25,43.38,10.3273,780900.0,0.0,1.0
1998-02-25,36,43.75,45.0,43.63,44.88,10.6843,461600.0,0.0,1.0
1998-02-26,37,47.88,49.88,47.0,49.88,11.8747,3776400.0,0.0,1.0
1998-02-27,38,50.0,50.06,47.38,47.38,11.2795,1072800.0,0.0,1.0
1998-03-02,39,48.0,48.56,47.38,48.0,11.4271,979900.0,0.0,1.0
1998-03-03,40,47.63,48.13,46.88,48.0,11.4271,451700.0,0.0,1.0
1998-03-04,41,47.38,48.44,46.25,48.0,11.4271,923400.0,0.0,1.0
1998-03-05,42,47.0,48.13,45.88,46.44,11.0557,2237300.0,0.0,1.0
1998-03-06,43,47.0,47.75,46.13,46.31,11.0248,641400.0,0.0,1.0
1998-03-09,44,45.88,47.25,45.5,45.69,10.8772,679400.0,0.0,1.0
1998-03-10,45,46.25,47.25,46.19,47.13,11.22,549000.0,0.0,1.0
1998-03-11,46,47.38,47.5,45.44,46.13,10.9819,1113500.0,0.0,1.0
1998-03-12,47,46.0,46.75,45.63,46.0,10.951,538700.0,0.0,1.0
1998-03-13,48,46.38,46.63,45.63,46.13,10.9819,613500.0,0.0,1.0
1998-03-16,49,45.75,46.63,45.0,46.56,11.0843,602700.0,0.0,1.0
1998-03-17,50,46.38,47.63,45.75,47.44,11.2938,1167300.0,0.0,1.0
1998-03-18,51,47.0,47.75,46.5,47.63,11.339,899000.0,0.0,1.0
1998-03-19,52,47.25,48.38,46.63,48.06,11.4414,764000.0,0.0,1.0
1998-03-20,53,48.44,48.5,46.88,47.19,11.2343,484700.0,0.0,1.0
1998-03-23,54,47.19,47.38,46.5,46.88,11.1605,666900.0,0.0,1.0
1998-03-24,55,46.75,47.5,46.5,47.13,11.22,490700.0,0.0,1.0
1998-03-25,56,48.0,48.0,46.0,46.13,10.9819,481000.0,0.0,1.0
1998-03-26,57,46.13,47.0,46.0,46.81,11.1438,681500.0,0.0,1.0
1998-03-27,58,47.13,47.5,44.88,45.5,10.8319,1384400.0,0.0,1.0
1998-03-30,59,45.38,46.25,42.0,42.75,10.1773,1166000.0,0.0,1.0
1998-03-31,60,43.38,43.81,42.63,43.13,10.2677,1356600.0,0.0,1.0
1998-04-01,61,42.63,44.75,41.75,44.5,10.5939,2165200.0,0.0,1.0
1998-04-02,62,45.06,46.25,44.88,45.5,10.8319,1766900.0,0.0,1.0
1998-04-03,63,45.5,46.25,44.31,44.5,10.5939,928700.0,0.0,1.0
1998-04-06,64,44.25,44.5,41.88,44.25,10.5344,894600.0,0.0,1.0
1998-04-07,65,43.88,44.25,41.88,42.25,10.0725,841400.0,0.06,1.0
1998-04-08,66,42.38,42.63,40.75,41.25,9.8341,791400.0,0.0,1.0
1998-04-09,67,41.63,42.38,41.5,42.13,10.0439,1370100.0,0.0,1.0
1998-04-13,68,42.0,42.13,41.63,41.75,9.9533,884100.0,0.0,1.0
1998-04-14,69,41.63,42.13,41.63,42.0,10.0129,587400.0,0.0,1.0
1998-04-15,70,42.25,43.56,42.25,43.5,10.3705,2145800.0,0.0,1.0
1998-04-16,71,43.63,45.13,43.13,44.88,10.6995,976000.0,0.0,1.0
1998-04-17,72,45.5,46.25,44.75,46.25,11.0261,798000.0,0.0,1.0
1998-04-20,73,45.88,46.38,43.5,45.13,10.7591,1477600.0,0.0,1.0
1998-04-21,74,45.0,45.0,43.88,45.0,10.7281,517200.0,0.0,1.0
1998-04-22,75,45.75,46.75,45.13,45.75,10.9069,936200.0,0.0,1.0
1998-04-23,76,45.75,46.13,44.88,45.06,10.7424,502100.0,0.0,1.0
1998-04-24,77,45.0,45.75,44.0,44.5,10.6089,428500.0,0.0,1.0
1998-04-27,78,43.75,44.88,43.25,43.88,10.4611,762100.0,0.0,1.0
1998-04-28,79,44.5,45.13,44.0,45.13,10.7591,709400.0,0.0,1.0
1998-04-29,80,45.25,46.63,44.75,46.5,11.0857,550100.0,0.0,1.0
1998-04-30,81,46.5,47.25,46.25,47.0,11.2049,807200.0,0.0,1.0
1998-05-01,82,46.88,48.13,45.88,48.0,11.4433,1408300.0,0.0,1.0
1998-05-04,83,48.0,48.63,47.5,48.63,11.5935,1002100.0,0.0,1.0
1998-05-05,84,48.25,48.5,47.5,47.94,11.429,949700.0,0.0,1.0
1998-05-06,85,48.25,48.25,47.13,47.88,11.4147,629700.0,0.0,1.0
1998-05-07,86,47.63,47.75,47.5,47.63,11.3551,432000.0,0.0,1.0
1998-05-08,87,47.5,49.0,47.5,48.88,11.6531,991400.0,0.0,1.0
1998-05-11,88,48.63,49.0,48.0,48.13,11.4743,503400.0,0.0,1.0
1998-05-12,89,48.06,49.0,48.0,48.81,11.6364,772200.0,0.0,1.0
1998-05-13,90,48.56,48.88,48.38,48.38,11.5339,744300.0,0.0,1.0
1998-05-14,91,48.25,48.31,47.38,47.38,11.2955,777900.0,0.0,1.0
1998-05-15,92,47.31,47.44,45.25,46.0,10.9665,1098500.0,0.0,1.0
1998-05-18,93,46.06,46.75,45.75,45.94,10.9522,303500.0,0.0,1.0
1998-05-19,94,46.38,48.38,46.38,48.0,11.4433,985100.0,0.0,1.0
1998-05-20,95,48.13,48.25,45.5,46.0,10.9665,610000.0,0.0,1.0
1998-05-21,96,46.5,46.75,43.75,44.5,10.6089,1094600.0,0.0,1.0
1998-05-22,97,46.13,46.13,41.5,42.0,10.0129,2096300.0,0.0,1.0
1998-05-26,98,43.38,43.38,41.5,42.25,10.0725,1683000.0,0.0,1.0
1998-05-27,99,41.75,43.13,41.38,43.0,10.2513,1381100.0,0.0,1.0
1998-05-28,100,43.13,43.38,41.88,42.75,10.1917,760400.0,0.0,1.0
1998-05-29,101,43.13,43.25,41.25,42.5,10.1321,826300.0,0.0,1.0
1998-06-01,102,42.25,43.0,41.38,41.5,9.8937,589000.0,0.0,1.0
1998-06-02,103,41.88,43.38,41.81,42.44,10.1178,559600.0,0.0,1.0
1998-06-03,104,42.38,42.75,41.25,41.88,9.9843,791700.0,0.0,1.0
1998-06-04,105,41.56,42.25,41.5,42.13,10.0439,436900.0,0.0,1.0
