date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,43.0,43.06,42.38,42.81,14.1425,444000.0,0.0,1.0
1998-01-05,1,43.06,43.13,42.06,42.5,14.0401,564300.0,0.0,1.0
1998-01-06,2,42.13,42.19,41.75,41.88,13.8353,253600.0,0.0,1.0
1998-01-07,3,41.88,41.88,40.88,41.5,13.7097,358100.0,0.0,1.0
1998-01-08,4,41.56,41.56,40.75,41.0,13.5446,325100.0,0.0,1.0
1998-01-09,5,40.94,41.81,40.94,41.38,13.6701,306600.0,0.0,1.0
1998-01-12,6,41.13,41.81,41.0,41.75,13.7923,268300.0,0.0,1.0
1998-01-13,7,41.75,41.75,41.19,41.44,13.6899,193300.0,0.0,1.0
1998-01-14,8,41.44,41.44,41.13,41.25,13.6271,139500.0,0.0,1.0
1998-01-15,9,41.19,41.19,40.25,40.31,13.3166,155400.0,0.0,1.0
1998-01-16,10,40.63,40.81,40.44,40.5,13.3794,251100.0,0.0,1.0
1998-01-20,11,37.5,37.63,36.5,37.06,12.243,1051500.0,0.0,1.0
1998-01-21,12,36.88,36.88,35.75,36.81,12.1604,1026300.0,0.0,1.0
1998-01-22,13,36.38,36.63,36.13,36.38,12.0183,492700.0,0.0,1.0
1998-01-23,14,36.13,36.38,35.63,36.0,11.8928,323500.0,0.0,1.0
1998-01-26,15,36.06,36.25,35.56,36.19,11.9555,273000.0,0.0,1.0
1998-01-27,16,36.19,36.44,35.81,36.25,11.9754,563700.0,0.0,1.0
1998-01-28,17,36.06,36.5,36.06,36.5,12.058,284000.0,0.0,1.0
1998-01-29,18,36.5,37.0,36.38,36.75,12.1405,383800.0,0.0,1.0
1998-01-30,19,36.75,36.88,36.56,36.63,12.1009,486500.0,0.0,1.0
1998-02-02,20,36.75,36.88,36.5,36.69,12.1207,233000.0,0.0,1.0
1998-02-03,21,36.63,36.81,36.38,36.63,12.1009,189200.0,0.0,1.0
1998-02-04,22,36.63,36.63,36.25,36.5,12.058,557800.0,0.0,1.0
1998-02-05,23,36.94,37.13,36.63,36.94,12.2033,210000.0,0.0,1.0
1998-02-06,24,37.0,37.56,36.75,37.56,12.4081,251100.0,0.0,1.0
1998-02-09,25,37.44,37.94,37.44,37.88,12.5138,271700.0,0.0,1.0
1998-02-10,26,37.81,38.31,37.81,37.94,12.5337,357200.0,0.0,1.0
1998-02-11,27,37.81,37.88,37.63,37.75,12.4709,280600.0,0.0,1.0
1998-02-12,28,37.5,37.94,37.38,37.81,12.4907,496100.0,0.0,1.0
1998-02-13,29,37.63,37.88,37.44,37.5,12.3883,181800.0,0.0,1.0
1998-02-17,30,37.44,38.0,37.13,38.0,12.5535,360600.0,0.0,1.0
1998-02-18,31,38.0,38.25,37.94,38.0,12.5535,267600.0,0.0,1.0
1998-02-19,32,38.0,38.19,38.0,38.19,12.6163,386300.0,0.0,1.0
1998-02-20,33,38.13,38.31,37.81,38.31,12.6559,798600.0,0.0,1.0
1998-02-23,34,38.31,38.63,38.06,38.63,12.7616,347100.0,0.0,1.0
1998-02-24,35,38.44,38.5,38.13,38.5,12.7187,228500.0,0.0,1.0
1998-02-25,36,38.56,38.75,38.38,38.38,12.679,342500.0,0.0,1.0
1998-02-26,37,38.25,38.44,38.06,38.19,12.6163,152800.0,0.0,1.0
1998-02-27,38,38.13,38.49,38.06,38.44,12.6988,218800.0,0.0,1.0
1998-03-02,39,38.19,38.5,38.19,38.44,12.6988,219700.0,0.0,1.0
1998-03-03,40,38.44,38.5,38.38,38.44,12.6988,416300.0,0.0,1.0
1998-03-04,41,38.38,38.5,38.25,38.38,12.679,146700.0,0.0,1.0
1998-03-05,42,38.19,38.44,38.13,38.31,12.6559,293600.0,0.0,1.0
1998-03-06,43,37.38,38.13,37.38,38.13,12.8062,3544900.0,0.635,1.0
1998-03-09,44,38.0,38.06,37.75,37.81,12.6987,309000.0,0.0,1.0
1998-03-10,45,37.81,38.25,37.75,38.13,12.8062,290000.0,0.0,1.0
1998-03-11,46,38.06,38.88,38.06,38.75,13.0144,543800.0,0.0,1.0
1998-03-12,47,38.75,38.75,38.44,38.56,12.9506,241700.0,0.0,1.0
1998-03-13,48,38.44,38.75,38.38,38.69,12.9943,425000.0,0.0,1.0
1998-03-16,49,38.69,39.69,38.63,39.5,13.2663,395400.0,0.0,1.0
1998-03-17,50,39.5,40.31,39.5,40.31,13.5384,351500.0,0.0,1.0
1998-03-18,51,40.13,41.0,40.13,40.88,13.7298,668800.0,0.0,1.0
1998-03-19,52,40.75,41.5,40.63,41.5,13.938,431500.0,0.0,1.0
1998-03-20,53,41.75,42.44,41.63,42.31,14.2101,521300.0,0.0,1.0
1998-03-23,54,42.25,42.31,41.81,42.06,14.1261,293400.0,0.0,1.0
1998-03-24,55,42.0,42.25,41.75,42.06,14.1261,291300.0,0.0,1.0
1998-03-25,56,42.0,42.44,41.88,42.44,14.2538,222000.0,0.0,1.0
1998-03-26,57,42.38,42.38,41.88,41.94,14.0858,452000.0,0.0,1.0
1998-03-27,58,41.69,41.81,41.06,41.38,13.8977,412800.0,0.0,1.0
1998-03-30,59,41.38,41.81,41.25,41.5,13.938,366000.0,0.0,1.0
1998-03-31,60,41.25,42.25,41.13,42.13,14.1496,414900.0,0.0,1.0
1998-04-01,61,42.19,42.19,41.63,42.0,14.106,200100.0,0.0,1.0
1998-04-02,62,41.88,42.19,41.81,42.19,14.1698,386000.0,0.0,1.0
1998-04-03,63,42.19,42.56,42.0,42.5,14.2739,254700.0,0.0,1.0
1998-04-06,64,42.31,42.38,42.06,42.19,14.1698,179800.0,0.0,1.0
1998-04-07,65,42.06,42.06,41.63,41.81,14.0422,235300.0,0.0,1.0
1998-04-08,66,41.69,41.88,41.5,41.88,14.0657,453200.0,0.0,1.0
1998-04-09,67,41.81,41.88,41.31,41.88,14.0657,731700.0,0.0,1.0
1998-04-13,68,42.0,42.0,41.63,41.81,14.0422,796600.0,0.0,1.0
1998-04-14,69,41.69,42.31,41.56,42.25,14.1899,526400.0,0.0,1.0
1998-04-15,70,42.13,42.5,42.0,42.31,14.2101,357100.0,0.0,1.0
1998-04-16,71,42.06,42.06,41.75,41.94,14.0858,325300.0,0.0,1.0
1998-04-17,72,41.94,42.13,41.56,42.13,14.1496,287900.0,0.0,1.0
1998-04-20,73,41.94,41.94,41.56,41.69,14.0019,149800.0,0.0,1.0
1998-04-21,74,41.5,41.5,41.06,41.31,13.8742,373900.0,0.0,1.0
1998-04-22,75,41.19,41.19,41.0,41.0,13.7701,285400.0,0.0,1.0
1998-04-23,76,41.06,41.31,39.75,39.75,13.3503,387700.0,0.0,1.0
1998-04-24,77,39.75,40.56,39.44,39.88,13.394,398800.0,0.0,1.0
1998-04-27,78,39.75,39.81,38.19,39.56,13.2865,128000.0,0.0,1.0
1998-04-28,79,39.63,39.69,39.06,39.25,13.1824,592600.0,0.0,1.0
1998-04-29,80,39.38,39.38,38.88,39.06,13.1186,242900.0,0.0,1.0
1998-04-30,81,39.19,39.88,39.19,39.63,13.31,442400.0,0.0,1.0
1998-05-01,82,39.69,39.69,39.25,39.31,13.2025,258000.0,0.0,1.0
