date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,46.63,46.94,45.31,45.31,16.5839,179300.0,0.0,1.0
1998-01-05,45.19,46.0,44.38,46.0,16.8364,478900.0,0.0,1.0
1998-01-06,45.75,45.75,45.0,45.75,16.7449,330400.0,0.0,1.0
1998-01-07,45.88,46.75,45.88,46.25,16.9279,390600.0,0.0,1.0
1998-01-08,46.31,46.31,45.19,45.31,16.5839,427900.0,0.0,1.0
1998-01-09,44.88,45.31,44.13,44.5,16.2874,687400.0,0.0,1.0
1998-01-12,43.0,44.44,42.06,44.31,16.2179,575400.0,0.0,1.0
1998-01-13,44.56,45.31,44.13,44.44,16.2654,509700.0,0.0,1.0
1998-01-14,44.5,44.5,43.13,43.25,15.8299,108000.0,0.0,1.0
1998-01-15,43.0,43.0,40.5,41.69,15.2589,545500.0,0.0,1.0
1998-01-16,41.94,42.63,41.0,41.0,15.0064,239900.0,0.0,1.0
1998-01-20,41.88,42.5,41.19,41.75,15.2809,240300.0,0.0,1.0
1998-01-21,41.5,42.75,41.5,42.69,15.6249,526900.0,0.0,1.0
1998-01-22,42.63,42.75,42.25,42.75,15.6469,568900.0,0.0,1.0
1998-01-23,42.75,43.63,42.75,43.25,15.8299,344200.0,0.0,1.0
1998-01-26,43.13,43.56,43.13,43.44,15.8994,333700.0,0.0,1.0
1998-01-27,43.19,43.31,41.31,41.31,15.1198,441100.0,0.0,1.0
1998-01-28,41.44,42.06,40.75,41.19,15.0759,380000.0,0.0,1.0
1998-01-29,41.13,42.5,41.13,41.19,15.0759,322400.0,0.0,1.0
1998-01-30,41.44,43.06,41.44,42.81,15.6688,646600.0,0.0,1.0
1998-02-02,43.5,43.88,43.5,43.5,15.9214,912800.0,0.0,1.0
1998-02-03,43.56,44.44,43.56,43.94,16.0824,492500.0,0.0,1.0
1998-02-04,44.13,44.19,43.19,43.38,15.8775,199400.0,0.0,1.0
1998-02-05,43.75,44.13,43.19,43.31,15.8518,535900.0,0.0,1.0
1998-02-06,43.31,44.25,43.25,43.63,15.969,223900.0,0.0,1.0
1998-02-09,43.88,43.94,42.06,42.75,15.6469,175800.0,0.0,1.0
1998-02-10,43.5,43.5,41.13,41.25,15.0979,443500.0,0.0,1.0
1998-02-11,41.44,41.69,41.19,41.56,15.2113,356800.0,0.0,1.0
1998-02-12,42.5,43.0,42.13,42.75,15.6469,648300.0,0.0,1.0
1998-02-13,42.56,42.63,41.13,41.5,15.1894,445400.0,0.0,1.0
1998-02-17,41.63,41.81,40.88,41.25,15.0979,233600.0,0.0,1.0
1998-02-18,41.31,41.31,41.0,41.06,15.0283,380400.0,0.0,1.0
1998-02-19,41.19,41.19,39.38,39.88,14.5964,644700.0,0.0,1.0
1998-02-20,40.0,41.0,40.0,40.63,14.8709,517700.0,0.0,1.0
1998-02-23,40.5,42.13,40.44,42.0,15.3724,556300.0,0.0,1.0
1998-02-24,42.0,42.63,41.75,42.0,15.3724,308900.0,0.0,1.0
