date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,51.0,51.19,50.13,50.19,4.3272,109600.0,0.0,1.0
1998-01-05,1,50.0,50.31,49.5,50.31,4.3376,121100.0,0.0,1.0
1998-01-06,2,49.81,50.63,49.75,50.31,4.3376,169900.0,0.0,1.0
1998-01-07,3,49.0,49.94,48.31,49.81,4.2945,447300.0,0.0,1.0
1998-01-08,4,49.5,49.5,48.44,48.5,4.1815,176900.0,0.0,1.0
1998-01-09,5,48.13,48.19,46.69,47.38,4.085,191100.0,0.0,1.0
1998-01-12,6,45.81,47.44,45.38,47.38,4.085,339900.0,0.0,1.0
1998-01-13,7,47.31,47.63,46.81,46.94,4.047,140300.0,0.0,1.0
1998-01-14,8,47.19,48.0,47.19,48.0,4.1384,217600.0,0.0,1.0
1998-01-15,9,48.06,48.56,47.69,47.94,4.1333,193100.0,0.0,1.0
1998-01-16,10,48.19,48.5,47.56,48.06,4.1436,95900.0,0.0,1.0
1998-01-20,11,48.13,49.56,48.0,49.25,4.2462,177200.0,0.0,1.0
1998-01-21,12,49.06,49.75,49.06,49.56,4.2729,233800.0,0.0,1.0
1998-01-22,13,49.0,49.56,48.56,49.25,4.2462,200500.0,0.0,1.0
1998-01-23,14,49.38,49.38,48.75,48.88,4.2143,125100.0,0.0,1.0
1998-01-26,15,49.13,49.31,48.38,48.63,4.1927,139000.0,0.0,1.0
1998-01-27,16,48.63,49.25,48.56,49.19,4.2410000000000005,212600.0,0.0,1.0
1998-01-28,17,49.13,49.63,48.94,49.25,4.2462,249500.0,0.0,1.0
1998-01-29,18,49.0,50.0,48.94,50.0,4.3109,379100.0,0.0,1.0
1998-01-30,19,51.0,54.44,51.0,54.44,4.6937,1015000.0,0.0,1.0
1998-02-02,20,54.44,56.44,53.81,56.19,4.8446,698200.0,0.0,1.0
1998-02-03,21,55.75,59.13,55.19,58.69,5.0601,641900.0,0.0,1.0
1998-02-04,22,58.19,60.38,58.0,59.56,5.1351,729000.0,0.0,1.0
1998-02-05,23,59.63,61.19,59.56,60.88,5.2489,460800.0,0.0,1.0
1998-02-06,24,60.0,61.31,59.31,61.31,5.2860000000000005,577500.0,0.0,1.0
1998-02-09,25,61.06,61.75,60.56,61.38,5.292000000000002,211900.0,0.0,1.0
1998-02-10,26,60.63,61.5,60.25,61.38,5.292000000000002,310300.0,0.0,1.0
1998-02-11,27,61.13,61.88,60.13,60.19,5.1894,312600.0,0.0,1.0
1998-02-12,28,60.19,60.5,59.5,60.5,5.2161,210000.0,0.0,1.0
1998-02-13,29,60.5,60.75,59.63,59.94,5.1679,204300.0,0.0,1.0
1998-02-17,30,60.25,60.81,59.88,60.63,5.2373,176600.0,0.115,1.0
1998-02-18,31,60.44,61.69,60.38,61.44,5.3072,182400.0,0.0,1.0
1998-02-19,32,61.25,61.5,60.56,61.44,5.3072,237100.0,0.0,1.0
1998-02-20,33,61.38,61.38,60.69,61.06,5.2744,231100.0,0.0,1.0
1998-02-23,34,61.0,61.38,60.5,61.31,5.296,165900.0,0.0,1.0
1998-02-24,35,61.06,61.5,60.69,61.44,5.3072,128700.0,0.0,1.0
1998-02-25,36,61.19,62.19,61.0,61.69,5.3288,380600.0,0.0,1.0
1998-02-26,37,61.06,61.44,61.0,61.31,5.296,160900.0,0.0,1.0
