date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,34.56,34.69,34.13,34.19,8.2383,10700.0,0.0,1.0
1998-01-05,34.19,34.5,34.0,34.44,8.2985,6200.0,0.0,1.0
1998-01-06,34.38,34.63,34.25,34.31,8.2672,31100.0,0.0,1.0
1998-01-07,34.31,34.38,34.25,34.25,8.2527,4900.0,0.0,1.0
1998-01-08,34.25,34.25,33.63,33.81,8.1467,8700.0,0.0,1.0
1998-01-09,33.75,34.31,33.75,33.88,8.1636,24500.0,0.0,1.0
1998-01-12,33.81,33.94,33.56,33.75,8.1322,10900.0,0.0,1.0
1998-01-13,33.81,34.19,33.63,34.13,8.2238,15500.0,0.0,1.0
1998-01-14,34.13,34.44,34.0,34.0,8.1925,6000.0,0.0,1.0
1998-01-15,34.19,34.25,33.56,33.75,8.1322,14000.0,0.0,1.0
1998-01-16,34.0,34.0,33.72,33.94,8.178,15100.0,0.0,1.0
1998-01-20,33.94,35.0,33.81,34.94,8.419,89900.0,0.0,1.0
1998-01-21,34.94,35.38,34.75,35.0,8.4334,45500.0,0.0,1.0
1998-01-22,34.75,35.94,34.75,35.69,8.5997,283300.0,0.0,1.0
1998-01-23,35.94,36.94,35.94,36.75,8.8551,39100.0,0.0,1.0
1998-01-26,36.5,36.63,35.69,35.88,8.6455,72300.0,0.0,1.0
1998-01-27,35.81,37.0,35.81,36.88,8.8864,48900.0,0.0,1.0
1998-01-28,36.94,37.44,36.63,37.13,8.9467,52400.0,0.0,1.0
1998-01-29,36.94,37.19,36.75,36.81,8.8696,52800.0,0.0,1.0
1998-01-30,36.81,37.38,36.81,37.0,8.9154,60300.0,0.0,1.0
1998-02-02,37.25,38.38,37.25,38.31,9.231,82700.0,0.0,1.0
1998-02-03,38.31,39.5,38.31,39.19,9.443,58200.0,0.0,1.0
1998-02-04,39.13,39.5,38.69,38.88,9.3683,230500.0,0.0,1.0
1998-02-05,39.44,39.44,38.88,39.13,9.4286,100000.0,0.0,1.0
1998-02-06,39.38,39.38,38.5,38.5,9.2768,34400.0,0.0,1.0
1998-02-09,38.94,39.5,38.69,39.5,9.5177,81900.0,0.0,1.0
1998-02-10,39.5,39.5,39.0,39.13,9.4286,15700.0,0.0,1.0
1998-02-11,39.19,39.38,38.75,39.13,9.4286,36000.0,0.0,1.0
1998-02-12,39.38,39.5,39.0,39.19,9.443,31200.0,0.0,1.0
1998-02-13,39.19,39.5,38.75,39.44,9.5033,34600.0,0.0,1.0
1998-02-17,39.44,39.5,39.0,39.19,9.443,18700.0,0.0,1.0
1998-02-18,39.0,39.44,39.0,39.38,9.4888,21200.0,0.0,1.0
1998-02-19,39.38,39.38,37.75,37.75,9.0961,35800.0,0.0,1.0
1998-02-20,38.0,38.63,37.5,38.38,9.2479,36300.0,0.0,1.0
1998-02-23,38.63,38.94,38.13,38.81,9.3515,45400.0,0.0,1.0
1998-02-24,38.94,39.75,38.81,39.69,9.5635,122600.0,0.0,1.0
1998-02-25,39.75,41.5,39.75,40.5,9.7587,70600.0,0.0,1.0
1998-02-26,40.5,40.63,39.75,40.56,9.7732,40000.0,0.0,1.0
1998-02-27,40.56,41.5,40.56,41.31,9.9539,33600.0,0.0,1.0
1998-03-02,41.5,42.0,40.25,40.69,9.8045,44000.0,0.0,1.0
1998-03-03,40.13,42.0,40.13,42.0,10.1201,62400.0,0.0,1.0
1998-03-04,42.0,43.0,42.0,42.56,10.2551,28200.0,0.0,1.0
1998-03-05,42.0,43.0,42.0,42.19,10.1659,65600.0,0.0,1.0
1998-03-06,41.5,42.88,41.5,42.44,10.2262,101400.0,0.0,1.0
1998-03-09,42.31,42.94,42.25,42.63,10.2719,69800.0,0.0,1.0
1998-03-10,42.5,42.94,42.44,42.63,10.2719,11100.0,0.0,1.0
1998-03-11,42.88,43.19,42.63,43.19,10.4069,44800.0,0.0,1.0
1998-03-12,42.94,42.94,42.38,42.56,10.2551,21600.0,0.0,1.0
1998-03-13,42.69,42.94,42.63,42.88,10.3322,56900.0,0.0,1.0
1998-03-16,42.5,43.13,42.38,42.94,10.3466,43500.0,0.0,1.0
1998-03-17,43.0,43.0,42.25,42.25,10.1804,18300.0,0.0,1.0
1998-03-18,42.25,43.63,42.0,43.0,10.3611,106800.0,0.0,1.0
1998-03-19,43.0,44.06,43.0,43.75,10.5418,36000.0,0.0,1.0
1998-03-20,43.38,44.5,43.19,44.25,10.6623,30000.0,0.0,1.0
1998-03-23,43.88,45.0,43.63,44.56,10.737,38500.0,0.0,1.0
1998-03-24,44.38,45.44,44.38,45.38,10.9346,25800.0,0.0,1.0
1998-03-25,45.38,46.13,45.06,45.25,10.9032,41100.0,0.0,1.0
1998-03-26,45.13,45.13,44.5,44.94,10.8285,15900.0,0.0,1.0
1998-03-27,44.5,45.0,44.25,44.38,10.7779,19200.0,0.35,1.0
