date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,23.88,24.06,23.38,24.06,8.421,59900.0,0.0,1.0
1998-01-05,23.94,24.19,23.69,24.06,8.421,90400.0,0.0,1.0
1998-01-06,24.06,24.13,23.25,23.75,8.3125,337600.0,0.0,1.0
1998-01-07,23.63,23.69,23.31,23.31,8.1585,57300.0,0.0,1.0
1998-01-08,23.19,23.63,23.06,23.06,8.071,34300.0,0.0,1.0
1998-01-09,23.25,23.25,22.31,22.38,7.833,33900.0,0.0,1.0
1998-01-12,22.13,22.94,21.63,22.69,7.9415,63800.0,0.0,1.0
1998-01-13,22.63,22.81,22.5,22.75,7.9625,69100.0,0.0,1.0
1998-01-14,22.69,22.94,21.81,22.13,7.7455,239900.0,0.0,1.0
1998-01-15,22.38,22.5,21.81,21.88,7.658,131700.0,0.0,1.0
1998-01-16,21.94,22.06,21.88,21.94,7.679,66000.0,0.0,1.0
1998-01-20,22.0,22.25,21.75,22.13,7.7455,79200.0,0.0,1.0
1998-01-21,22.13,22.13,21.56,21.88,7.658,54600.0,0.0,1.0
1998-01-22,21.88,21.88,21.56,21.75,7.6125,33900.0,0.0,1.0
1998-01-23,21.75,21.75,21.31,21.5,7.525,72900.0,0.0,1.0
1998-01-26,21.13,21.38,21.0,21.31,7.4585,73600.0,0.0,1.0
1998-01-27,21.19,21.69,21.19,21.69,7.5915,103500.0,0.0,1.0
1998-01-28,21.94,22.56,21.94,22.44,7.854,126900.0,0.0,1.0
1998-01-29,22.44,22.88,21.63,21.88,7.658,89600.0,0.0,1.0
1998-01-30,21.81,22.56,21.44,22.13,7.7455,121700.0,0.0,1.0
1998-02-02,22.25,22.94,22.13,22.69,7.9415,87400.0,0.0,1.0
1998-02-03,22.81,22.81,22.63,22.75,7.9625,88200.0,0.0,1.0
1998-02-04,22.75,22.81,22.44,22.75,7.9625,124500.0,0.0,1.0
1998-02-05,22.63,23.13,22.56,23.13,8.0955,39800.0,0.0,1.0
1998-02-06,23.19,23.5,22.88,22.94,8.029,59200.0,0.0,1.0
1998-02-09,22.94,23.38,22.63,23.25,8.1375,39800.0,0.0,1.0
1998-02-10,23.31,23.5,23.13,23.13,8.0955,38200.0,0.0,1.0
1998-02-11,23.06,24.0,23.06,23.75,8.3125,83300.0,0.0,1.0
1998-02-12,23.69,23.94,23.56,23.88,8.358,97700.0,0.0,1.0
1998-02-13,23.69,23.94,23.56,23.69,8.2915,25200.0,0.0,1.0
1998-02-17,23.56,23.88,23.56,23.69,8.2915,29600.0,0.0,1.0
