date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,91.19,91.19,90.56,91.13,27.5055,361300.0,0.0,1.0
1998-01-05,91.38,92.25,88.81,89.88,27.1282,801000.0,0.0,1.0
1998-01-06,88.94,89.5,88.69,88.94,26.8445,1053700.0,0.0,1.0
1998-01-07,89.0,90.0,88.75,89.0,26.8626,762700.0,0.0,1.0
1998-01-08,88.94,89.0,87.63,88.13,26.6,755800.0,0.0,1.0
1998-01-09,88.63,88.63,84.38,84.5,25.5044,920100.0,0.0,1.0
1998-01-12,83.5,86.25,83.5,85.44,25.7881,1235200.0,0.0,1.0
1998-01-13,86.0,88.25,86.0,88.13,26.6,679900.0,0.0,1.0
1998-01-14,87.88,89.13,87.56,89.06,26.8807,494000.0,0.0,1.0
1998-01-15,89.38,89.38,87.06,87.75,26.4853,568700.0,0.0,1.0
1998-01-16,88.0,89.25,87.25,88.63,26.7509,695800.0,0.0,1.0
1998-01-20,88.94,89.63,88.44,89.56,27.0316,707000.0,0.0,1.0
1998-01-21,89.25,89.5,87.88,89.0,26.8626,987200.0,0.0,1.0
1998-01-22,89.06,89.06,86.81,86.88,26.2227,663800.0,0.0,1.0
1998-01-23,86.88,87.88,86.75,87.06,26.2771,778300.0,0.0,1.0
1998-01-26,87.06,87.25,86.5,86.56,26.1262,502000.0,0.0,1.0
1998-01-27,85.88,86.44,85.13,85.13,25.6945,1329000.0,0.0,1.0
1998-01-28,87.0,87.75,86.63,87.0,26.259,1082300.0,0.0,1.0
1998-01-29,87.13,89.13,86.81,88.25,26.6362,1090600.0,0.0,1.0
1998-01-30,88.63,89.13,87.94,88.5,26.7117,773800.0,0.0,1.0
1998-02-02,89.0,89.44,88.81,88.94,26.8445,952800.0,0.0,1.0
1998-02-03,87.94,90.25,87.75,90.06,27.1826,1090400.0,0.0,1.0
1998-02-04,89.25,91.44,88.88,91.31,27.5598,1712700.0,0.0,1.0
1998-02-05,91.63,91.94,90.31,90.5,27.3154,982600.0,0.0,1.0
1998-02-06,90.25,91.5,90.13,91.0,27.4663,1006200.0,0.0,1.0
1998-02-09,91.25,91.88,90.69,91.38,27.581,679700.0,0.0,1.0
1998-02-10,91.75,92.63,91.38,92.13,27.8073,942000.0,0.0,1.0
1998-02-11,94.5,94.88,92.44,93.75,28.2963,1756800.0,0.0,1.0
1998-02-12,94.0,94.44,92.5,93.56,28.2389,1487100.0,0.0,1.0
1998-02-13,92.75,93.25,91.75,92.31,27.8617,822100.0,0.0,1.0
1998-02-17,92.06,93.56,92.0,93.31,28.1635,1604600.0,0.0,1.0
1998-02-18,93.06,94.38,93.06,94.0,28.3718,1095600.0,0.0,1.0
1998-02-19,94.25,94.38,92.88,93.0,28.0699,781200.0,0.0,1.0
1998-02-20,93.0,93.25,91.25,92.5,27.919,1175300.0,0.0,1.0
1998-02-23,93.0,93.13,92.25,93.0,28.0699,701400.0,0.0,1.0
1998-02-24,93.13,93.25,92.0,92.63,27.9582,955600.0,0.0,1.0
1998-02-25,93.19,93.94,92.75,92.88,28.1152,857600.0,0.27,1.0
1998-02-26,92.0,93.31,91.88,93.0,28.1515,955400.0,0.0,1.0
1998-02-27,93.0,93.44,92.25,93.25,28.2272,557500.0,0.0,1.0
1998-03-02,93.25,93.63,92.25,92.25,27.9245,776400.0,0.0,1.0
1998-03-03,92.13,93.75,92.06,93.13,28.1909,1150200.0,0.0,1.0
1998-03-04,93.13,93.19,91.75,91.81,27.7913,1081800.0,0.0,1.0
1998-03-05,91.25,91.56,91.0,91.56,27.7156,764300.0,0.0,1.0
1998-03-06,92.0,93.69,91.94,93.31,28.2454,1157200.0,0.0,1.0
1998-03-09,93.44,94.31,92.56,94.0,28.4542,892400.0,0.0,1.0
1998-03-10,94.13,95.0,93.94,94.75,28.6813,1056100.0,0.0,1.0
1998-03-11,94.75,96.25,94.63,96.0,29.0596,1217700.0,0.0,1.0
1998-03-12,95.75,97.0,94.88,97.0,29.3623,887000.0,0.0,1.0
1998-03-13,97.0,97.88,96.63,96.81,29.3048,1271700.0,0.0,1.0
1998-03-16,97.5,98.38,97.0,98.0,29.665,698800.0,0.0,1.0
1998-03-17,96.13,96.38,94.31,95.25,28.8326,2243900.0,0.0,1.0
1998-03-18,94.5,95.0,94.44,94.81,28.6994,1164700.0,0.0,1.0
1998-03-19,95.25,95.25,94.63,95.0,28.7569,1253200.0,0.0,1.0
1998-03-20,95.38,95.38,94.63,94.75,28.6813,1311000.0,0.0,1.0
1998-03-23,93.5,94.88,93.25,93.25,28.2272,642500.0,0.0,1.0
1998-03-24,94.0,94.63,93.88,94.13,28.4936,1098200.0,0.0,1.0
1998-03-25,94.44,95.44,93.38,94.5,28.6056,1050100.0,0.0,1.0
1998-03-26,93.5,95.13,93.5,94.94,28.7388,705600.0,0.0,1.0
1998-03-27,95.25,95.38,93.88,94.5,28.6056,830100.0,0.0,1.0
1998-03-30,94.5,95.0,91.88,92.69,28.0577,1015000.0,0.0,1.0
1998-03-31,92.94,93.5,91.75,91.94,27.8307,1318800.0,0.0,1.0
1998-04-01,92.0,92.38,91.38,91.38,27.6611,1444800.0,0.0,1.0
1998-04-02,91.38,93.0,90.75,92.25,27.9245,1812400.0,0.0,1.0
1998-04-03,93.63,93.81,92.63,93.0,28.1515,1086600.0,0.0,1.0
1998-04-06,94.0,95.5,93.25,93.78,28.3876,1899700.0,0.0,1.0
1998-04-07,95.0,96.25,94.0,94.88,28.7206,1339000.0,0.0,1.0
1998-04-08,95.5,95.63,93.56,93.69,28.3604,931600.0,0.0,1.0
1998-04-09,94.0,94.25,93.25,93.75,28.3786,780700.0,0.0,1.0
1998-04-13,93.75,94.75,93.31,94.56,28.6237,977200.0,0.0,1.0
1998-04-14,95.5,97.5,94.88,97.13,29.4017,1200100.0,0.0,1.0
1998-04-15,97.75,98.75,96.75,98.0,29.665,1494200.0,0.0,1.0
1998-04-16,98.06,98.75,96.31,96.44,29.1928,722700.0,0.0,1.0
1998-04-17,96.44,97.69,96.06,97.0,29.3623,833700.0,0.0,1.0
1998-04-20,97.5,97.63,95.13,95.81,29.0021,667200.0,0.0,1.0
1998-04-21,95.25,96.5,94.5,96.13,29.099,1226400.0,0.0,1.0
1998-04-22,96.75,99.38,96.25,96.75,29.2867,2117000.0,0.0,1.0
1998-04-23,97.5,100.3,97.44,98.94,29.9496,2342400.0,0.0,1.0
1998-04-24,98.5,98.94,96.25,97.13,29.4017,1521200.0,0.0,1.0
1998-04-27,95.0,96.0,94.0,94.63,28.6449,1116400.0,0.0,1.0
1998-04-28,95.5,95.88,92.75,94.06,28.4724,786000.0,0.0,1.0
