date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,26.88,26.94,26.38,26.44,3.3619,31200.0,0.0,1.0
1998-01-05,26.31,26.63,25.88,26.38,3.3542,23393.0,0.0,1.0
1998-01-06,26.44,27.0,26.25,27.0,3.4331,98993.0,0.0,1.0
1998-01-07,26.88,26.88,26.0,26.25,3.3377,35481.0,0.0,1.0
1998-01-08,26.38,26.69,26.31,26.38,3.3542,41289.0,0.0,1.0
1998-01-09,26.25,26.44,25.88,25.88,3.2907,38400.0,0.0,1.0
1998-01-12,25.81,26.0,25.38,25.38,3.2271,48089.0,0.0,1.0
1998-01-13,25.63,26.25,25.5,26.13,3.3225,41481.0,0.0,1.0
1998-01-14,26.25,26.75,26.25,26.5,3.3695,42800.0,0.0,1.0
1998-01-15,26.44,26.5,25.56,25.75,3.2741,27793.0,0.0,1.0
1998-01-16,25.75,26.88,25.75,26.5,3.3695,32193.0,0.0,1.0
1998-01-20,26.44,26.63,26.06,26.44,3.3619,22889.0,0.0,1.0
1998-01-21,26.31,26.5,26.06,26.44,3.3619,39689.0,0.0,1.0
1998-01-22,26.44,27.0,26.38,27.0,3.4331,65481.0,0.0,1.0
1998-01-23,27.0,27.19,26.81,27.06,3.4407,18000.0,0.0,1.0
1998-01-26,27.0,27.13,26.0,26.0,3.3059,41481.0,0.0,1.0
1998-01-27,26.06,26.5,26.0,26.38,3.3542,30993.0,0.0,1.0
1998-01-28,26.5,26.81,26.5,26.75,3.4013,29200.0,0.0,1.0
1998-01-29,26.75,26.94,26.75,26.94,3.4254,24089.0,0.0,1.0
1998-01-30,26.81,26.81,26.06,26.06,3.3136,31289.0,0.0,1.0
1998-02-02,26.19,26.25,25.75,26.06,3.3136,113393.0,0.0,1.0
1998-02-03,26.13,26.75,26.13,26.56,3.3771,41200.0,0.0,1.0
1998-02-04,26.56,26.94,26.44,26.94,3.4254,30889.0,0.0,1.0
1998-02-05,27.0,27.0,26.75,26.94,3.4254,37081.0,0.0,1.0
1998-02-06,26.75,27.0,26.69,27.0,3.4331,83289.0,0.0,1.0
1998-02-09,27.0,27.44,26.88,27.38,3.4814,111200.0,0.0,1.0
1998-02-10,27.38,27.38,27.06,27.25,3.4649,55600.0,0.0,1.0
1998-02-11,27.25,27.38,27.13,27.13,3.4496,23689.0,0.0,1.0
1998-02-12,27.0,27.31,26.69,27.25,3.4649,31600.0,0.0,1.0
1998-02-13,27.25,27.25,26.94,27.13,3.4496,41289.0,0.0,1.0
1998-02-17,27.0,27.0,26.5,26.88,3.4178,26800.0,0.0,1.0
1998-02-18,26.75,27.25,26.69,27.25,3.4649,53793.0,0.0,1.0
1998-02-19,27.25,27.31,27.0,27.13,3.4496,120681.0,0.0,1.0
1998-02-20,27.19,27.19,27.06,27.13,3.4496,21200.0,0.0,1.0
1998-02-23,27.06,27.19,27.0,27.19,3.4572,26489.0,0.0,1.0
1998-02-24,27.25,27.25,27.0,27.13,3.4496,278681.0,0.0,1.0
1998-02-25,27.13,27.13,27.06,27.13,3.4496,109600.0,0.0,1.0
1998-02-26,27.19,27.25,27.13,27.25,3.4649,61289.0,0.0,1.0
1998-02-27,27.06,27.19,26.88,26.88,3.4178,87600.0,0.0,1.0
1998-03-02,26.94,27.38,26.94,27.19,3.4572,200489.0,0.0,1.0
1998-03-03,27.25,27.25,27.13,27.19,3.4572,29881.0,0.0,1.0
1998-03-04,27.19,27.19,27.0,27.13,3.4496,33881.0,0.0,1.0
1998-03-05,26.94,27.06,26.69,26.75,3.4013,39481.0,0.0,1.0
1998-03-06,26.69,27.13,26.69,26.88,3.4178,50193.0,0.0,1.0
1998-03-09,26.75,27.19,26.75,27.06,3.4407,205081.0,0.0,1.0
1998-03-10,27.13,27.81,27.13,27.44,3.489,128993.0,0.0,1.0
1998-03-11,27.38,27.88,27.38,27.75,3.5284,48681.0,0.0,1.0
1998-03-12,27.63,28.19,27.63,28.13,3.5768,40889.0,0.0,1.0
1998-03-13,28.13,29.0,28.13,29.0,3.695,92889.0,0.06,1.0
1998-03-16,29.0,29.69,29.0,29.5,3.7587,85600.0,0.0,1.0
1998-03-17,29.25,29.63,29.25,29.31,3.7345,196681.0,0.0,1.0
1998-03-18,29.25,29.63,29.25,29.56,3.7664,87793.0,0.0,1.0
1998-03-19,29.63,29.81,29.56,29.63,3.7753,45481.0,0.0,1.0
1998-03-20,29.56,29.69,29.5,29.5,3.7587,78281.0,0.0,1.0
1998-03-23,29.38,29.69,29.19,29.31,3.7345,57393.0,0.0,1.0
1998-03-24,29.25,29.69,29.25,29.63,3.7753,58089.0,0.0,1.0
1998-03-25,29.69,29.69,29.5,29.63,3.7753,19289.0,0.0,1.0
1998-03-26,29.56,29.63,29.44,29.63,3.7753,54889.0,0.0,1.0
1998-03-27,29.63,29.69,29.5,29.5,3.7587,36281.0,0.0,1.0
1998-03-30,29.38,29.44,28.63,29.38,3.7434,73689.0,0.0,1.0
1998-03-31,29.44,29.94,29.44,29.94,3.8148,33481.0,0.0,1.0
1998-04-01,30.0,30.0,29.63,29.81,3.7982,62489.0,0.0,1.0
1998-04-02,29.81,30.0,29.69,29.94,3.8148,22193.0,0.0,1.0
1998-04-03,29.88,29.88,29.63,29.81,3.7982,43481.0,0.0,1.0
1998-04-06,29.81,29.94,29.56,29.69,3.7829,25081.0,0.0,1.0
1998-04-07,29.56,29.63,29.13,29.19,3.7192,42400.0,0.0,1.0
1998-04-08,29.19,29.44,28.88,28.88,3.6797,92089.0,0.0,1.0
1998-04-09,29.0,29.94,28.94,29.75,3.7906,424000.0,0.0,1.0
1998-04-13,29.56,29.69,29.44,29.5,3.7587,142993.0,0.0,1.0
1998-04-14,29.63,30.75,29.5,30.56,3.8938,226193.0,0.0,1.0
1998-04-15,30.75,30.88,29.81,29.81,3.7982,63081.0,0.0,1.0
1998-04-16,29.94,30.13,29.81,30.13,3.839,35200.0,0.0,1.0
1998-04-17,29.88,30.19,29.88,30.19,3.8466,24489.0,0.0,1.0
1998-04-20,30.19,31.38,30.19,31.0,3.9498,73600.0,0.0,1.0
1998-04-21,31.0,31.13,30.56,30.94,3.9422,48681.0,0.0,1.0
1998-04-22,30.81,31.0,30.63,30.69,3.9103,19881.0,0.0,1.0
1998-04-23,30.5,30.69,29.94,30.06,3.8301,43793.0,0.0,1.0
1998-04-24,30.13,30.25,29.75,29.75,3.7906,42681.0,0.0,1.0
1998-04-27,29.63,29.69,28.38,28.88,3.6797,62800.0,0.0,1.0
1998-04-28,29.13,29.38,29.0,29.25,3.7269,38193.0,0.0,1.0
1998-04-29,29.25,29.44,29.13,29.38,3.7434,38889.0,0.0,1.0
1998-04-30,29.5,30.5,29.5,30.44,3.8785,41881.0,0.0,1.0
1998-05-01,30.31,30.5,30.31,30.44,3.8785,32089.0,0.0,1.0
1998-05-04,30.81,30.88,30.31,30.31,3.8619,151600.0,0.0,1.0
1998-05-05,30.19,30.19,29.75,30.13,3.839,30089.0,0.0,1.0
