date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,54.06,54.13,53.38,53.94,11.3032,1058700.0,0.0,1.0
1998-01-05,1,54.0,54.69,53.5,53.75,11.2634,2472300.0,0.0,1.0
1998-01-06,2,53.13,53.69,52.88,53.13,11.1335,1484300.0,0.0,1.0
1998-01-07,3,52.88,53.75,52.75,53.19,11.1461,2298000.0,0.0,1.0
1998-01-08,4,53.13,53.5,52.88,53.38,11.1859,1148200.0,0.0,1.0
1998-01-09,5,53.38,53.38,52.38,52.63,11.0287,1581500.0,0.0,1.0
1998-01-12,6,51.38,53.0,51.25,52.94,11.0937,2239100.0,0.0,1.0
1998-01-13,7,53.38,53.5,51.63,51.94,10.8841,2555400.0,0.0,1.0
1998-01-14,8,51.88,51.88,49.56,50.0,10.4776,4789800.0,0.0,1.0
1998-01-15,9,49.94,50.0,48.13,49.0,10.268,3424800.0,0.0,1.0
1998-01-16,10,49.5,49.75,48.75,49.0,10.268,2610600.0,0.0,1.0
1998-01-20,11,49.13,49.94,49.0,49.94,10.465,2616000.0,0.0,1.0
1998-01-21,12,49.88,50.25,49.5,49.56,10.3854,2308200.0,0.0,1.0
1998-01-22,13,48.75,49.25,47.0,47.13,9.8762,3095000.0,0.0,1.0
1998-01-23,14,47.5,49.81,46.63,48.5,10.1633,4536700.0,0.0,1.0
1998-01-26,15,48.5,49.0,48.44,48.69,10.2031,1306800.0,0.0,1.0
1998-01-27,16,48.75,49.88,48.56,49.13,10.2953,2432200.0,0.0,1.0
1998-01-28,17,49.38,50.31,49.25,50.31,10.5426,2359900.0,0.0,1.0
1998-01-29,18,50.06,50.63,49.25,49.44,10.3602,2340200.0,0.0,1.0
1998-01-30,19,49.56,50.09,49.44,50.0,10.4776,1402600.0,0.0,1.0
1998-02-02,20,50.88,54.13,50.88,54.0,11.3158,7899200.0,0.0,1.0
1998-02-03,21,53.63,53.63,53.13,53.56,11.2236,3260700.0,0.0,1.0
1998-02-04,22,53.38,53.38,52.5,52.94,11.0937,2119200.0,0.0,1.0
1998-02-05,23,53.0,53.25,51.13,51.25,10.7395,2238000.0,0.0,1.0
1998-02-06,24,51.56,54.0,51.5,53.94,11.3032,4035300.0,0.0,1.0
1998-02-09,25,54.06,54.06,52.31,52.94,11.0937,1948400.0,0.0,1.0
1998-02-10,26,52.94,56.75,52.88,55.06,11.5379,5689300.0,0.0,1.0
1998-02-11,27,55.0,56.38,54.44,54.81,11.4855,2781500.0,0.0,1.0
1998-02-12,28,54.38,55.38,54.25,55.0,11.5254,1824400.0,0.0,1.0
1998-02-13,29,54.81,55.25,53.31,53.69,11.2508,1330000.0,0.0,1.0
1998-02-17,30,53.88,54.63,53.0,53.81,11.276,1756100.0,0.0,1.0
1998-02-18,31,53.75,55.0,53.56,55.0,11.5254,1938400.0,0.0,1.0
1998-02-19,32,55.0,55.19,54.38,55.0,11.5254,1674800.0,0.0,1.0
1998-02-20,33,55.19,55.5,53.5,54.25,11.3682,1823400.0,0.0,1.0
1998-02-23,34,54.19,55.0,53.63,54.44,11.408,1638400.0,0.0,1.0
1998-02-24,35,53.88,54.44,53.0,53.0,11.1063,2136100.0,0.0,1.0
1998-02-25,36,53.06,53.75,52.38,53.31,11.1712,1937200.0,0.0,1.0
1998-02-26,37,53.31,53.88,53.13,53.56,11.2236,2055900.0,0.0,1.0
1998-02-27,38,53.5,53.56,53.13,53.13,11.1335,1930700.0,0.0,1.0
1998-03-02,39,53.19,53.25,52.0,52.41,10.9826,1924700.0,0.0,1.0
1998-03-03,40,52.0,53.5,51.88,53.44,11.1985,2220500.0,0.0,1.0
1998-03-04,41,53.0,53.2,52.38,52.75,11.0539,1658300.0,0.0,1.0
1998-03-05,42,52.38,53.25,52.25,52.44,10.9889,1437800.0,0.0,1.0
1998-03-06,43,52.5,53.25,52.5,52.88,11.0811,1478000.0,0.0,1.0
1998-03-09,44,52.75,54.94,52.5,54.38,11.3954,4162100.0,0.0,1.0
1998-03-10,45,54.5,54.5,53.75,54.38,11.3954,1979000.0,0.0,1.0
1998-03-11,46,54.5,55.56,54.38,55.0,11.5254,3769600.0,0.0,1.0
1998-03-12,47,59.23,60.63,58.13,58.38,12.2336,17218200.0,0.0,1.0
1998-03-13,48,58.63,58.88,57.94,58.44,12.2462,4962500.0,0.0,1.0
1998-03-16,49,58.38,60.0,58.25,59.63,12.4956,3622600.0,0.0,1.0
1998-03-17,50,60.0,61.63,59.63,60.22,12.6192,6728300.0,0.0,1.0
1998-03-18,51,59.94,61.19,59.38,61.13,12.8099,3918300.0,0.0,1.0
1998-03-19,52,60.63,61.38,60.5,61.0,12.7827,3050300.0,0.0,1.0
1998-03-20,53,60.94,61.25,60.69,60.75,12.7303,2831000.0,0.0,1.0
1998-03-23,54,60.5,61.13,60.38,61.06,12.7952,2725900.0,0.0,1.0
1998-03-24,55,61.13,62.0,61.0,61.19,12.8225,2531200.0,0.0,1.0
1998-03-25,56,61.38,61.63,61.06,61.63,12.9147,2797000.0,0.0,1.0
1998-03-26,57,61.38,61.5,60.81,61.38,12.8623,1961600.0,0.0,1.0
1998-03-27,58,61.44,61.56,59.75,60.56,12.6905,1869200.0,0.0,1.0
1998-03-30,59,60.25,60.31,59.69,60.13,12.6004,1607200.0,0.0,1.0
1998-03-31,60,60.0,61.13,59.88,60.88,12.7575,2066000.0,0.0,1.0
1998-04-01,61,60.88,60.94,59.75,60.13,12.6004,2247400.0,0.0,1.0
1998-04-02,62,59.88,59.88,58.13,59.13,12.3908,1964600.0,0.0,1.0
1998-04-03,63,59.0,59.13,58.0,58.25,12.2064,2331000.0,0.0,1.0
