date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,60.0,60.0,57.56,59.5,4.9583,138400.0,0.0,1.0
1998-01-05,1,58.63,59.25,56.5,57.0,4.75,299200.0,0.0,1.0
1998-01-06,2,56.38,58.5,56.0,58.06,4.8383,347900.0,0.0,1.0
1998-01-07,3,58.0,58.0,56.31,57.38,4.7817,227100.0,0.0,1.0
1998-01-08,4,56.38,56.44,54.38,55.38,4.615,501300.0,0.0,1.0
1998-01-09,5,56.0,56.0,50.75,51.13,4.2608,553600.0,0.0,1.0
1998-01-12,6,50.0,52.63,49.75,51.63,4.3025,616800.0,0.0,1.0
1998-01-13,7,52.13,56.0,51.88,55.75,4.6458,610100.0,0.0,1.0
1998-01-14,8,55.88,58.5,55.5,58.5,4.875,708800.0,0.0,1.0
1998-01-15,9,57.5,60.13,57.5,59.44,4.9533,501200.0,0.0,1.0
1998-01-16,10,59.5,59.75,57.25,57.5,4.7917,213600.0,0.0,1.0
1998-01-20,11,57.88,60.13,57.75,59.44,4.9533,455600.0,0.0,1.0
1998-01-21,12,59.25,62.0,58.5,60.88,5.0733,728200.0,0.0,1.0
1998-01-22,13,60.88,63.25,60.25,61.63,5.1358,789300.0,0.0,1.0
1998-01-23,14,64.13,64.13,59.25,59.25,4.9375,759900.0,0.0,1.0
1998-01-26,15,59.75,59.88,56.88,57.75,4.8125,392700.0,0.0,1.0
1998-01-27,16,57.81,58.38,56.0,57.0,4.75,342000.0,0.0,1.0
1998-01-28,17,57.0,58.0,55.5,57.25,4.7708,441100.0,0.0,1.0
1998-01-29,18,57.5,59.88,57.38,59.5,4.9583,403000.0,0.0,1.0
1998-01-30,19,60.0,60.75,58.63,59.0,4.9167,310200.0,0.0,1.0
1998-02-02,20,59.38,62.5,59.25,62.38,5.1983,576100.0,0.0,1.0
1998-02-03,21,62.25,63.0,61.13,61.81,5.1508,369100.0,0.0,1.0
1998-02-04,22,60.75,62.25,60.63,60.75,5.0625,102900.0,0.0,1.0
1998-02-05,23,61.38,61.38,58.5,59.25,4.9375,486000.0,0.0,1.0
1998-02-06,24,59.13,60.25,58.5,58.88,4.9067,176900.0,0.0,1.0
1998-02-09,25,59.0,59.5,57.25,58.25,4.8542,218900.0,0.0,1.0
1998-02-10,26,58.5,63.81,58.0,63.63,5.3025,1024700.0,0.0,1.0
1998-02-11,27,63.5,65.56,63.38,63.5,5.2917,539500.0,0.0,1.0
1998-02-12,28,63.25,63.63,62.25,63.13,5.2608,253000.0,0.0,1.0
1998-02-13,29,63.0,63.25,61.75,62.25,5.1875,701700.0,0.0,1.0
1998-02-17,30,62.63,62.63,60.88,61.75,5.1458,198000.0,0.0,1.0
1998-02-18,31,61.75,61.75,60.63,60.88,5.0733,247600.0,0.0,1.0
1998-02-19,32,61.31,63.5,61.0,62.75,5.2292,369700.0,0.0,1.0
1998-02-20,33,62.75,63.5,61.38,63.25,5.2708,225300.0,0.0,1.0
1998-02-23,34,63.5,65.0,62.5,64.88,5.4067,331500.0,0.0,1.0
1998-02-24,35,65.0,68.13,64.25,64.88,5.4067,1162100.0,0.0,1.0
1998-02-25,36,65.63,66.5,63.13,65.88,5.49,562100.0,0.0,1.0
1998-02-26,37,65.56,73.0,65.25,72.75,6.0625,1281100.0,0.0,1.0
1998-02-27,38,72.25,79.63,71.81,77.0,6.4167,2058900.0,0.0,1.0
1998-03-02,39,75.88,77.25,75.0,76.25,6.3542,913100.0,0.0,1.0
1998-03-03,40,75.5,75.75,71.5,71.75,5.9792,668000.0,0.0,1.0
1998-03-04,41,72.0,74.25,70.0,73.44,6.12,609500.0,0.0,1.0
1998-03-05,42,71.75,78.19,71.25,75.0,6.25,1000100.0,0.0,1.0
1998-03-06,43,75.63,77.0,73.75,76.75,6.3958,490600.0,0.0,1.0
1998-03-09,44,76.88,85.75,76.75,83.5,6.9583,1921300.0,0.0,1.0
1998-03-10,45,85.5,88.25,82.88,83.11,6.9258,2062500.0,0.0,1.0
1998-03-11,46,82.0,82.5,78.25,79.63,6.6358,1029100.0,0.0,1.0
1998-03-12,47,78.75,81.13,77.13,78.5,6.5417,816600.0,0.0,1.0
1998-03-13,48,79.63,80.88,77.75,78.69,6.5575,543600.0,0.0,1.0
1998-03-16,49,79.56,80.75,79.0,79.0,6.5833,276000.0,0.0,1.0
1998-03-17,50,79.75,80.25,77.88,79.88,6.6567,258400.0,0.0,1.0
1998-03-18,51,79.25,85.75,79.25,85.31,7.1092,1138300.0,0.0,1.0
1998-03-19,52,85.38,87.5,83.75,84.0,7.0,1009600.0,0.0,1.0
1998-03-20,53,84.0,84.88,83.13,84.0,7.0,534400.0,0.0,1.0
1998-03-23,54,83.56,84.75,82.75,83.81,6.9842,250400.0,0.0,1.0
1998-03-24,55,82.5,86.75,82.5,84.25,7.0208,473400.0,0.0,1.0
1998-03-25,56,85.0,85.75,81.0,81.69,6.8075,940800.0,0.0,1.0
1998-03-26,57,81.75,83.75,79.5,82.75,6.8958,656500.0,0.0,1.0
1998-03-27,58,84.25,87.13,82.75,85.0,7.0833,637200.0,0.0,1.0
1998-03-30,59,85.88,87.5,85.13,85.88,7.1567,458400.0,0.0,1.0
1998-03-31,60,85.38,86.5,83.75,85.53,7.1275,547100.0,0.0,1.0
1998-04-01,61,85.25,90.38,84.03,90.13,7.5108,1204300.0,0.0,1.0
1998-04-02,62,91.13,96.75,89.75,95.06,7.9217,1386900.0,0.0,1.0
1998-04-03,63,96.25,96.38,92.25,93.0,7.75,974500.0,0.0,1.0
1998-04-06,64,94.25,94.75,88.25,88.63,7.3858,918700.0,0.0,1.0
1998-04-07,65,87.0,87.25,84.75,86.0,7.1667,969500.0,0.0,1.0
1998-04-08,66,86.38,89.75,85.5,88.63,7.3858,942900.0,0.0,1.0
