date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,42.38,42.88,42.25,42.88,3.3068,17400.0,0.0,1.0
1998-01-05,1,42.81,43.5,42.62,42.62,3.2868,40467.0,0.0,1.0
1998-01-06,2,42.5,42.56,42.19,42.44,3.2729,10000.0,0.0,1.0
1998-01-07,3,42.38,42.44,41.94,42.12,3.2482,14667.0,0.0,1.0
1998-01-08,4,41.88,41.88,41.44,41.44,3.1958,9400.0,0.0,1.0
1998-01-09,5,41.0,41.13,40.44,40.5,3.1233,121467.0,0.0,1.0
1998-01-12,6,40.5,40.63,40.31,40.31,3.1086,58467.0,0.0,1.0
1998-01-13,7,40.44,40.63,40.31,40.63,3.1333,48600.0,0.0,1.0
1998-01-14,8,40.63,42.12,40.63,42.06,3.2436,26400.0,0.0,1.0
1998-01-15,9,42.19,42.44,41.81,41.81,3.2243,31467.0,0.0,1.0
1998-01-16,10,41.81,41.88,41.5,41.88,3.2297,21267.0,0.0,1.0
1998-01-20,11,42.12,42.69,42.12,42.69,3.2922,27867.0,0.0,1.0
1998-01-21,12,42.75,42.75,41.75,42.56,3.2821,47067.0,0.0,1.0
1998-01-22,13,42.44,42.62,42.38,42.62,3.2868,51600.0,0.0,1.0
1998-01-23,14,42.75,42.75,41.81,42.0,3.2389,71467.0,0.0,1.0
1998-01-26,15,42.25,43.0,42.25,43.0,3.3161,18267.0,0.0,1.0
1998-01-27,16,43.0,43.0,42.44,42.62,3.2868,51867.0,0.0,1.0
1998-01-28,17,42.5,42.5,41.94,42.0,3.2474,15267.0,0.11,1.0
1998-01-29,18,42.12,42.44,42.0,42.31,3.2714,19800.0,0.0,1.0
1998-01-30,19,42.25,42.25,42.0,42.0,3.2474,135600.0,0.0,1.0
1998-02-02,20,41.88,42.94,41.88,42.94,3.3201,111000.0,0.0,1.0
1998-02-03,21,43.06,43.25,42.94,43.0,3.3247,16600.0,0.0,1.0
1998-02-04,22,42.88,43.0,42.69,43.0,3.3247,14067.0,0.0,1.0
1998-02-05,23,43.12,43.88,43.12,43.69,3.3781,36067.0,0.0,1.0
1998-02-06,24,43.44,43.56,43.12,43.56,3.3680000000000003,18600.0,0.0,1.0
1998-02-09,25,43.44,43.5,43.06,43.38,3.3541,33000.0,0.0,1.0
1998-02-10,26,44.0,44.0,43.62,43.75,3.3827,49200.0,0.0,1.0
1998-02-11,27,43.69,43.75,43.31,43.56,3.3680000000000003,43267.0,0.0,1.0
