date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,82.25,83.56,82.0,83.56,25.5941,223600.0,0.0,1.0
1998-01-05,1,83.69,84.44,83.13,83.63,25.6155,273900.0,0.0,1.0
1998-01-06,2,83.63,83.63,81.69,81.81,25.0581,373000.0,0.0,1.0
1998-01-07,3,81.81,82.0,80.75,80.88,24.7732,559800.0,0.0,1.0
1998-01-08,4,80.88,80.88,79.44,79.81,24.4455,429900.0,0.0,1.0
1998-01-09,5,79.75,79.75,76.56,76.69,23.4898,625600.0,0.0,1.0
1998-01-12,6,75.69,77.63,75.69,77.5,23.7379,316600.0,0.0,1.0
1998-01-13,7,77.56,77.69,76.44,76.81,23.5266,278900.0,0.0,1.0
1998-01-14,8,76.75,77.38,76.5,77.31,23.6797,240900.0,0.0,1.0
1998-01-15,9,77.25,78.38,77.25,77.69,23.7961,392300.0,0.0,1.0
1998-01-16,10,78.75,79.0,78.19,78.88,24.1606,210800.0,0.0,1.0
1998-01-20,11,78.63,79.0,78.38,79.0,24.1974,207200.0,0.0,1.0
1998-01-21,12,79.13,79.13,77.63,78.5,24.0442,206400.0,0.0,1.0
1998-01-22,13,78.5,79.0,78.5,78.69,24.1024,382800.0,0.0,1.0
1998-01-23,14,78.81,79.0,78.0,78.38,24.0075,408900.0,0.0,1.0
1998-01-26,15,78.38,79.38,78.06,79.13,24.2372,287100.0,0.0,1.0
1998-01-27,16,79.19,80.5,79.13,80.5,24.6568,474000.0,0.0,1.0
1998-01-28,17,80.5,80.5,79.56,79.81,24.4455,214600.0,0.0,1.0
1998-01-29,18,80.0,80.0,79.56,79.69,24.4087,325400.0,0.0,1.0
1998-01-30,19,79.81,80.44,79.38,80.19,24.5619,224900.0,0.0,1.0
1998-02-02,20,81.56,83.56,81.56,83.56,25.5941,220200.0,0.0,1.0
1998-02-03,21,83.31,84.19,82.56,84.19,25.7871,226700.0,0.0,1.0
1998-02-04,22,84.13,84.44,83.13,83.38,25.539,166700.0,0.0,1.0
1998-02-05,23,83.38,84.0,82.56,83.94,25.7105,150000.0,0.0,1.0
1998-02-06,24,84.0,84.94,83.75,84.75,25.9586,142100.0,0.0,1.0
1998-02-09,25,84.75,84.75,82.5,82.88,25.3858,287200.0,0.0,1.0
1998-02-10,26,83.25,86.44,83.25,86.0,26.3415,209900.0,0.0,1.0
1998-02-11,27,85.75,86.0,84.63,84.88,25.9984,210200.0,0.0,1.0
1998-02-12,28,84.88,85.5,83.31,85.44,26.1699,183300.0,0.0,1.0
1998-02-13,29,85.19,86.31,84.38,86.0,26.3415,143500.0,0.0,1.0
1998-02-17,30,86.0,86.69,85.38,86.19,26.3997,142400.0,0.0,1.0
1998-02-18,31,86.13,87.5,86.13,86.88,26.611,163100.0,0.0,1.0
1998-02-19,32,86.63,87.06,86.0,86.94,26.6294,137900.0,0.0,1.0
1998-02-20,33,87.0,87.75,86.75,87.56,26.8193,138900.0,0.0,1.0
1998-02-23,34,87.31,87.75,86.06,86.94,26.6294,162300.0,0.0,1.0
1998-02-24,35,87.0,87.13,84.56,84.81,25.977,279900.0,0.0,1.0
1998-02-25,36,84.0,84.38,83.56,84.25,25.8054,409600.0,0.0,1.0
1998-02-26,37,84.06,84.5,83.88,84.25,25.8054,729100.0,0.0,1.0
1998-02-27,38,84.13,84.5,83.69,83.94,25.7105,394800.0,0.0,1.0
1998-03-02,39,83.69,84.13,83.5,83.69,25.6339,514400.0,0.0,1.0
