date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,31.38,31.69,31.38,31.69,14.0278,3400.0,0.0,1.0
1998-01-05,31.81,32.0,31.69,31.81,14.0809,26000.0,0.0,1.0
1998-01-06,32.0,32.38,32.0,32.38,14.3333,23400.0,0.0,1.0
1998-01-07,31.81,32.0,31.81,31.94,14.3156,76300.0,0.4,1.0
1998-01-08,32.0,32.0,31.56,31.69,14.2035,29400.0,0.0,1.0
1998-01-09,31.75,31.75,31.44,31.44,14.0915,12000.0,0.0,1.0
1998-01-12,31.19,31.19,30.75,30.75,13.7822,30600.0,0.0,1.0
1998-01-13,30.94,32.13,30.75,32.0,14.3424,91600.0,0.0,1.0
1998-01-14,31.94,32.0,31.88,32.0,14.3424,58700.0,0.0,1.0
1998-01-15,32.0,32.0,31.69,32.0,14.3424,33000.0,0.0,1.0
1998-01-16,32.25,32.69,32.25,32.44,14.5397,90400.0,0.0,1.0
1998-01-20,32.63,32.63,32.25,32.31,14.4814,25400.0,0.0,1.0
1998-01-21,32.19,32.31,32.06,32.19,14.4276,27200.0,0.0,1.0
1998-01-22,32.13,32.25,31.19,31.94,14.3156,14300.0,0.0,1.0
1998-01-23,31.94,32.0,31.63,32.0,14.3424,122400.0,0.0,1.0
1998-01-26,32.13,32.13,31.69,32.06,14.3693,11300.0,0.0,1.0
1998-01-27,31.94,32.25,31.94,32.19,14.4276,25400.0,0.0,1.0
1998-01-28,32.06,32.31,31.94,32.13,14.4007,32700.0,0.0,1.0
1998-01-29,32.0,32.44,32.0,32.44,14.5397,57500.0,0.0,1.0
1998-01-30,32.38,33.5,32.38,33.38,14.961,30000.0,0.0,1.0
1998-02-02,33.56,33.69,33.19,33.25,14.9027,12700.0,0.0,1.0
1998-02-03,33.0,33.06,32.56,32.69,14.6517,8800.0,0.0,1.0
1998-02-04,32.75,33.81,32.75,33.25,14.9027,8200.0,0.0,1.0
1998-02-05,33.13,33.38,32.81,33.06,14.8175,13500.0,0.0,1.0
1998-02-06,32.94,33.38,32.94,33.38,14.961,6800.0,0.0,1.0
1998-02-09,33.44,34.56,33.44,33.94,15.212,11500.0,0.0,1.0
1998-02-10,33.75,34.06,33.44,33.69,15.0999,11900.0,0.0,1.0
1998-02-11,33.94,34.13,32.38,32.88,14.7369,176500.0,0.0,1.0
1998-02-12,33.06,33.38,32.81,32.94,14.7638,19800.0,0.0,1.0
1998-02-13,33.06,33.06,32.75,32.75,14.6786,4800.0,0.0,1.0
1998-02-17,32.81,32.81,32.0,32.5,14.5665,27900.0,0.0,1.0
1998-02-18,32.06,32.63,31.94,31.94,14.3156,11200.0,0.0,1.0
1998-02-19,31.94,32.0,31.5,31.56,14.1452,7400.0,0.0,1.0
1998-02-20,31.31,31.31,29.88,31.0,13.8942,36300.0,0.0,1.0
1998-02-23,31.13,31.38,30.81,31.0,13.8942,72900.0,0.0,1.0
1998-02-24,31.25,31.88,31.19,31.69,14.2035,25200.0,0.0,1.0
1998-02-25,31.81,32.75,31.81,32.5,14.5665,17600.0,0.0,1.0
1998-02-26,32.44,33.63,32.44,33.31,14.9296,9000.0,0.0,1.0
1998-02-27,33.25,34.13,33.19,34.13,15.2971,17000.0,0.0,1.0
1998-03-02,33.63,33.69,31.75,32.81,14.7055,97400.0,0.0,1.0
1998-03-03,32.69,32.81,32.44,32.75,14.6786,67400.0,0.0,1.0
1998-03-04,32.63,33.06,32.63,32.69,14.6517,17100.0,0.0,1.0
1998-03-05,32.31,32.5,32.0,32.5,14.5665,17100.0,0.0,1.0
1998-03-06,32.38,33.56,32.38,32.94,14.7638,11100.0,0.0,1.0
1998-03-09,32.94,33.0,32.06,32.13,14.4007,16200.0,0.0,1.0
1998-03-10,32.06,32.5,32.06,32.38,14.5128,5800.0,0.0,1.0
1998-03-11,32.25,32.38,32.06,32.13,14.4007,6600.0,0.0,1.0
1998-03-12,32.19,32.19,31.81,31.94,14.3156,4200.0,0.0,1.0
1998-03-13,31.81,31.94,31.13,31.94,14.3156,11500.0,0.0,1.0
1998-03-16,32.06,32.25,31.94,32.25,14.4545,10600.0,0.0,1.0
1998-03-17,32.13,32.25,32.0,32.0,14.3424,8900.0,0.0,1.0
1998-03-18,31.81,31.94,31.5,31.5,14.1183,6800.0,0.0,1.0
1998-03-19,31.56,31.63,31.0,31.19,13.9794,12000.0,0.0,1.0
1998-03-20,31.44,31.69,31.38,31.38,14.0646,14200.0,0.0,1.0
1998-03-23,31.19,31.25,31.0,31.13,13.9525,2900.0,0.0,1.0
1998-03-24,31.06,31.38,31.0,31.06,13.9211,8100.0,0.0,1.0
1998-03-25,31.0,31.25,31.0,31.19,13.9794,10900.0,0.0,1.0
1998-03-26,31.06,31.19,30.88,31.06,13.9211,23600.0,0.0,1.0
1998-03-27,31.69,32.06,31.38,31.63,14.1766,40300.0,0.0,1.0
1998-03-30,31.63,31.63,31.25,31.38,14.0646,4500.0,0.0,1.0
1998-03-31,31.44,31.69,31.44,31.69,14.2035,11000.0,0.0,1.0
1998-04-01,31.56,31.81,31.5,31.63,14.1766,12900.0,0.0,1.0
1998-04-02,31.75,31.94,31.63,31.69,14.2035,36800.0,0.0,1.0
1998-04-03,31.5,31.69,31.13,31.19,14.1587,19300.0,0.4,1.0
1998-04-06,31.25,31.31,31.0,31.0,14.0724,23500.0,0.0,1.0
1998-04-07,31.13,31.13,30.94,31.0,14.0724,59900.0,0.0,1.0
1998-04-08,30.88,31.0,30.88,30.94,14.0452,25100.0,0.0,1.0
1998-04-09,30.94,31.06,30.75,30.94,14.0452,12200.0,0.0,1.0
1998-04-13,30.94,30.94,30.75,30.94,14.0452,3000.0,0.0,1.0
1998-04-14,30.94,31.0,30.94,30.94,14.0452,67300.0,0.0,1.0
1998-04-15,30.75,30.94,30.63,30.63,13.9045,15700.0,0.0,1.0
1998-04-16,30.63,30.63,30.0,30.0,13.6185,10100.0,0.0,1.0
1998-04-17,30.0,30.5,29.38,30.25,13.732,61700.0,0.0,1.0
1998-04-20,30.25,30.31,30.25,30.31,13.7592,119300.0,0.0,1.0
1998-04-21,30.31,30.88,30.25,30.81,13.9862,25400.0,0.0,1.0
1998-04-22,30.75,31.69,30.75,31.69,14.3857,13800.0,0.0,1.0
1998-04-23,31.56,31.63,31.56,31.56,14.3266,1400.0,0.0,1.0
1998-04-24,31.44,31.75,31.38,31.56,14.3266,10900.0,0.0,1.0
1998-04-27,31.75,31.75,31.44,31.63,14.3584,37600.0,0.0,1.0
1998-04-28,31.5,31.63,31.31,31.44,14.2722,32900.0,0.0,1.0
1998-04-29,31.56,32.0,31.44,32.0,14.5264,6300.0,0.0,1.0
1998-04-30,32.13,33.06,32.13,32.94,14.9531,23500.0,0.0,1.0
1998-05-01,33.0,34.5,33.0,34.0,15.4343,79800.0,0.0,1.0
1998-05-04,34.0,34.0,33.44,33.88,15.3798,16500.0,0.0,1.0
1998-05-05,33.75,33.81,33.38,33.38,15.1528,18400.0,0.0,1.0
1998-05-06,33.38,33.38,33.0,33.13,15.0393,6600.0,0.0,1.0
1998-05-07,33.13,33.13,32.25,32.25,14.6399,5500.0,0.0,1.0
1998-05-08,32.13,32.25,31.88,32.25,14.6399,4800.0,0.0,1.0
1998-05-11,32.25,32.25,32.0,32.06,14.5536,3800.0,0.0,1.0
1998-05-12,32.0,32.31,31.75,32.31,14.6671,7000.0,0.0,1.0
1998-05-13,32.19,32.19,32.0,32.06,14.5536,5400.0,0.0,1.0
1998-05-14,32.06,32.25,32.06,32.25,14.6399,14300.0,0.0,1.0
1998-05-15,32.19,32.5,32.0,32.06,14.5536,3700.0,0.0,1.0
1998-05-18,32.06,32.44,31.88,32.44,14.7261,43000.0,0.0,1.0
1998-05-19,32.31,32.38,31.94,32.0,14.5264,51700.0,0.0,1.0
1998-05-20,32.0,32.0,31.56,31.56,14.3266,6400.0,0.0,1.0
1998-05-21,31.63,31.63,31.25,31.31,14.2132,9600.0,0.0,1.0
1998-05-22,31.19,31.25,31.0,31.06,14.0997,8200.0,0.0,1.0
1998-05-26,31.13,31.13,30.88,30.88,14.018,10900.0,0.0,1.0
1998-05-27,30.88,30.88,30.5,30.56,13.8727,14100.0,0.0,1.0
1998-05-28,30.56,31.31,30.5,31.25,14.1859,22800.0,0.0,1.0
1998-05-29,31.25,31.69,31.25,31.69,14.3857,7800.0,0.0,1.0
1998-06-01,31.69,31.88,31.56,31.69,14.3857,55200.0,0.0,1.0
1998-06-02,31.75,31.75,31.44,31.44,14.2722,12000.0,0.0,1.0
1998-06-03,31.19,31.19,31.0,31.06,14.0997,6500.0,0.0,1.0
1998-06-04,31.13,31.13,31.13,31.13,14.1314,600.0,0.0,1.0
1998-06-05,31.13,31.13,30.94,30.94,14.0452,3300.0,0.0,1.0
1998-06-08,30.94,31.19,30.81,31.19,14.1587,19400.0,0.0,1.0
1998-06-09,31.19,31.19,30.81,31.0,14.0724,2300.0,0.0,1.0
1998-06-10,30.88,30.88,29.38,29.81,13.5322,54400.0,0.0,1.0
1998-06-11,29.81,29.88,29.44,29.69,13.4778,24900.0,0.0,1.0
1998-06-12,29.69,29.69,29.69,29.69,13.4778,3300.0,0.0,1.0
1998-06-15,29.56,29.56,29.0,29.0,13.1645,3900.0,0.0,1.0
1998-06-16,29.06,29.13,29.0,29.06,13.1918,18300.0,0.0,1.0
1998-06-17,29.06,29.19,28.75,29.0,13.1645,10600.0,0.0,1.0
1998-06-18,28.94,29.38,28.88,29.38,13.337,22200.0,0.0,1.0
1998-06-19,29.44,29.81,29.31,29.63,13.4505,8700.0,0.0,1.0
1998-06-22,29.69,30.06,29.63,30.06,13.6457,157400.0,0.0,1.0
1998-06-23,29.88,30.13,29.88,29.94,13.5912,17800.0,0.0,1.0
1998-06-24,30.0,30.19,30.0,30.06,13.6457,10500.0,0.0,1.0
1998-06-25,30.06,30.13,30.06,30.06,13.6457,2000.0,0.0,1.0
1998-06-26,30.0,30.0,29.63,29.63,13.4505,15100.0,0.0,1.0
1998-06-29,29.5,29.5,28.5,29.0,13.1645,75000.0,0.0,1.0
1998-06-30,29.13,29.94,29.13,29.94,13.5912,17900.0,0.0,1.0
1998-07-01,29.81,30.0,29.81,30.0,13.6185,4500.0,0.0,1.0
1998-07-02,29.38,29.81,29.19,29.75,13.6866,38700.0,0.4,1.0
1998-07-06,29.69,30.0,29.5,29.88,13.7464,24300.0,0.0,1.0
1998-07-07,30.0,31.25,30.0,30.69,14.119,35900.0,0.0,1.0
1998-07-08,30.75,31.0,30.56,31.0,14.2616,12600.0,0.0,1.0
1998-07-09,30.56,30.69,30.44,30.44,14.004,18500.0,0.0,1.0
1998-07-10,30.0,30.13,29.94,30.13,13.8614,9400.0,0.0,1.0
1998-07-13,30.31,30.31,29.75,30.19,13.889,86400.0,0.0,1.0
1998-07-14,30.31,30.81,30.31,30.56,14.0592,3600.0,0.0,1.0
1998-07-15,30.69,30.69,29.94,30.5,14.0316,13300.0,0.0,1.0
1998-07-16,30.63,31.69,30.63,31.69,14.5791,40100.0,0.0,1.0
1998-07-17,31.69,31.69,31.0,31.0,14.2616,7800.0,0.0,1.0
1998-07-20,31.06,31.06,31.0,31.0,14.2616,3300.0,0.0,1.0
1998-07-21,30.88,30.88,30.38,30.38,13.9764,51200.0,0.0,1.0
1998-07-22,30.44,30.44,29.75,29.75,13.6866,32300.0,0.0,1.0
1998-07-23,29.88,29.88,29.31,29.44,13.544,17100.0,0.0,1.0
1998-07-24,29.25,29.25,28.56,28.63,13.1713,8000.0,0.0,1.0
1998-07-27,28.5,28.5,28.31,28.44,13.0839,11200.0,0.0,1.0
1998-07-28,28.38,28.38,27.81,28.0,12.8815,33300.0,0.0,1.0
1998-07-29,28.0,28.44,28.0,28.13,12.9413,32300.0,0.0,1.0
1998-07-30,28.06,28.5,28.06,28.44,13.0839,10000.0,0.0,1.0
1998-07-31,28.63,29.31,28.63,29.13,13.4013,205300.0,0.0,1.0
