date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,39.12,39.12,38.75,39.12,15.5059,53400.0,0.0,1.0
1998-01-05,39.25,39.25,39.0,39.25,15.5575,81000.0,0.0,1.0
1998-01-06,39.25,39.25,38.88,38.88,15.4108,60900.0,0.0,1.0
1998-01-07,38.88,39.0,38.75,38.88,15.4108,41800.0,0.0,1.0
1998-01-08,38.88,39.0,38.38,38.5,15.2602,23800.0,0.0,1.0
1998-01-09,38.5,38.88,38.5,38.75,15.3593,21500.0,0.0,1.0
1998-01-12,38.62,38.62,38.5,38.5,15.2602,19900.0,0.0,1.0
1998-01-13,38.5,38.88,38.38,38.88,15.4108,67800.0,0.0,1.0
1998-01-14,38.75,38.75,38.75,38.75,15.3593,0.0,0.0,1.0
1998-01-15,38.62,38.62,38.12,38.12,15.1096,100400.0,0.0,1.0
1998-01-16,38.38,38.5,38.12,38.38,15.2126,29900.0,0.0,1.0
1998-01-20,38.38,39.12,38.38,38.62,15.3077,45400.0,0.0,1.0
1998-01-21,38.75,38.75,38.12,38.25,15.1611,90600.0,0.0,1.0
1998-01-22,38.12,38.25,38.0,38.0,15.062,62700.0,0.0,1.0
1998-01-23,38.12,38.62,37.88,38.0,15.062,93700.0,0.0,1.0
1998-01-26,38.12,38.25,38.0,38.12,15.1096,91500.0,0.0,1.0
1998-01-27,38.12,38.38,38.0,38.0,15.062,57900.0,0.0,1.0
1998-01-28,38.38,38.38,38.12,38.12,15.1096,66000.0,0.0,1.0
1998-01-29,38.25,38.38,38.0,38.12,15.1096,23800.0,0.0,1.0
1998-01-30,38.0,38.25,37.88,37.88,15.0144,206600.0,0.0,1.0
1998-02-02,38.0,38.25,38.0,38.25,15.1611,151500.0,0.0,1.0
1998-02-03,38.25,38.5,38.25,38.25,15.1611,52900.0,0.0,1.0
1998-02-04,38.38,38.5,38.25,38.25,15.1611,32800.0,0.0,1.0
1998-02-05,38.25,38.62,38.0,38.0,15.062,46300.0,0.0,1.0
1998-02-06,38.0,38.12,38.0,38.12,15.1096,222100.0,0.0,1.0
1998-02-09,38.0,38.38,37.75,37.88,15.0144,61600.0,0.0,1.0
1998-02-10,37.88,38.25,37.88,38.12,15.1096,78100.0,0.0,1.0
1998-02-11,38.25,38.25,37.5,37.75,14.9629,43000.0,0.0,1.0
1998-02-12,37.88,38.0,37.62,38.0,15.062,32300.0,0.0,1.0
1998-02-13,38.0,38.0,37.5,37.88,15.0144,71700.0,0.0,1.0
1998-02-17,37.75,38.12,37.75,38.0,15.062,33800.0,0.0,1.0
1998-02-18,38.0,38.25,37.88,38.25,15.1611,66200.0,0.0,1.0
1998-02-19,38.12,38.62,37.88,37.88,15.0144,69800.0,0.0,1.0
1998-02-20,37.88,37.88,37.25,37.5,14.8638,97300.0,0.0,1.0
1998-02-23,37.38,37.88,37.25,37.88,15.0144,70800.0,0.0,1.0
1998-02-24,37.88,38.0,37.75,37.88,15.0144,48700.0,0.0,1.0
1998-02-25,37.75,38.0,37.75,37.88,15.0144,51200.0,0.0,1.0
1998-02-26,37.88,38.12,37.88,38.0,15.062,16300.0,0.0,1.0
1998-02-27,38.0,38.25,37.75,37.75,14.9629,103700.0,0.0,1.0
1998-03-02,37.88,37.88,37.38,37.38,14.8163,137900.0,0.0,1.0
1998-03-03,37.38,37.5,37.12,37.38,14.8163,51300.0,0.0,1.0
1998-03-04,37.25,37.25,37.0,37.12,14.7132,37300.0,0.0,1.0
1998-03-05,37.0,37.0,36.5,36.62,14.515,57300.0,0.0,1.0
1998-03-06,36.62,37.12,36.62,37.0,14.6656,46100.0,0.0,1.0
1998-03-09,37.12,37.75,37.12,37.25,14.7647,69200.0,0.0,1.0
1998-03-10,37.25,37.5,37.12,37.25,14.7647,47300.0,0.0,1.0
1998-03-11,37.5,37.62,37.12,37.12,14.7132,71100.0,0.0,1.0
1998-03-12,37.25,37.25,36.75,36.75,14.5665,48800.0,0.0,1.0
1998-03-13,36.62,36.75,36.25,36.25,14.3684,71100.0,0.0,1.0
1998-03-16,36.5,37.0,36.5,36.88,14.6181,76900.0,0.0,1.0
