date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,45.0,45.44,44.25,44.38,25.6782,101100.0,0.0,1.0
1998-01-05,44.13,44.38,44.0,44.06,25.4931,211800.0,0.0,1.0
1998-01-06,43.56,44.25,43.56,44.0,25.4583,312300.0,0.0,1.0
1998-01-07,44.06,44.06,43.38,43.88,25.3889,144500.0,0.0,1.0
1998-01-08,43.94,43.94,42.75,42.81,24.7698,250900.0,0.0,1.0
1998-01-09,42.63,42.75,41.25,41.56,24.0466,193300.0,0.0,1.0
1998-01-12,40.63,41.81,40.63,41.81,24.1912,221900.0,0.0,1.0
1998-01-13,42.0,42.63,41.88,42.38,24.521,187100.0,0.0,1.0
1998-01-14,42.13,42.75,41.56,42.75,24.7351,199300.0,0.0,1.0
1998-01-15,42.75,42.75,41.94,42.13,24.3764,110600.0,0.0,1.0
1998-01-16,42.06,43.25,42.0,43.25,25.0244,150300.0,0.0,1.0
1998-01-20,43.25,43.25,42.31,42.56,24.6252,168800.0,0.0,1.0
1998-01-21,42.5,43.31,42.0,43.25,25.0244,173200.0,0.0,1.0
1998-01-22,43.0,43.31,42.56,42.63,24.6657,182000.0,0.0,1.0
1998-01-23,42.5,43.0,42.06,42.44,24.5557,144000.0,0.0,1.0
1998-01-26,42.56,43.44,42.5,43.13,24.955,171800.0,0.0,1.0
1998-01-27,43.06,44.25,43.06,43.63,25.2443,189400.0,0.0,1.0
1998-01-28,43.75,44.06,43.56,43.81,25.3484,167300.0,0.0,1.0
1998-01-29,43.63,44.81,43.5,44.25,25.603,216900.0,0.0,1.0
1998-01-30,45.0,45.88,44.75,44.88,25.9675,360200.0,0.0,1.0
1998-02-02,45.5,46.31,45.5,45.81,26.5056,212900.0,0.0,1.0
1998-02-03,45.63,46.5,45.5,46.38,26.8354,270800.0,0.0,1.0
1998-02-04,46.5,47.56,46.38,47.19,27.3041,239300.0,0.0,1.0
1998-02-05,47.19,47.56,46.69,47.25,27.3388,197300.0,0.0,1.0
1998-02-06,47.25,48.44,47.25,48.0,27.7727,155600.0,0.0,1.0
1998-02-09,48.0,50.38,47.94,49.56,28.6754,358700.0,0.0,1.0
1998-02-10,49.56,50.25,49.56,49.69,28.7506,318400.0,0.0,1.0
1998-02-11,49.63,49.63,48.5,49.13,28.4266,142000.0,0.0,1.0
1998-02-12,48.88,49.5,48.75,49.38,28.5712,177000.0,0.0,1.0
1998-02-13,49.31,49.88,49.19,49.38,28.5712,208000.0,0.0,1.0
1998-02-17,49.38,51.0,48.88,51.0,29.5085,321000.0,0.0,1.0
1998-02-18,51.0,51.44,50.44,51.31,29.6879,334500.0,0.0,1.0
1998-02-19,51.31,51.94,50.81,51.81,29.9772,235900.0,0.0,1.0
1998-02-20,51.81,54.63,51.75,54.25,31.389,377600.0,0.0,1.0
1998-02-23,53.5,53.56,53.0,53.06,30.7005,610600.0,0.0,1.0
1998-02-24,52.88,52.94,49.38,50.13,29.0052,852000.0,0.0,1.0
1998-02-25,51.0,51.56,49.94,49.94,28.8952,322300.0,0.0,1.0
1998-02-26,49.94,50.19,49.19,49.25,28.496,276700.0,0.0,1.0
1998-02-27,49.63,51.06,49.63,50.5,29.2192,419800.0,0.0,1.0
1998-03-02,50.13,50.25,49.25,50.0,29.0514,309900.0,0.21,1.0
1998-03-03,49.94,51.38,49.94,50.94,29.5976,205900.0,0.0,1.0
1998-03-04,51.06,51.06,49.88,51.06,29.6673,257400.0,0.0,1.0
1998-03-05,50.63,51.0,50.44,50.81,29.5221,307100.0,0.0,1.0
1998-03-06,50.94,51.75,50.94,51.69,30.0334,777400.0,0.0,1.0
1998-03-09,51.44,51.75,51.25,51.44,29.8881,385900.0,0.0,1.0
1998-03-10,51.44,51.94,51.44,51.88,30.1438,239100.0,0.0,1.0
1998-03-11,51.75,51.88,51.5,51.75,30.0682,139300.0,0.0,1.0
1998-03-12,51.5,52.19,51.5,52.19,30.3239,209700.0,0.0,1.0
1998-03-13,52.0,52.38,50.56,51.31,29.8126,226000.0,0.0,1.0
1998-03-16,51.38,51.5,51.31,51.38,29.8533,251900.0,0.0,1.0
1998-03-17,51.56,51.88,51.5,51.63,29.9985,135500.0,0.0,1.0
1998-03-18,51.56,52.25,51.31,52.13,30.289,417700.0,0.0,1.0
1998-03-19,52.0,52.38,51.94,52.25,30.3588,141900.0,0.0,1.0
1998-03-20,52.5,52.75,52.31,52.38,30.4343,216300.0,0.0,1.0
1998-03-23,52.25,52.94,52.19,52.75,30.6493,105200.0,0.0,1.0
1998-03-24,52.75,53.13,52.69,52.94,30.7597,196400.0,0.0,1.0
1998-03-25,53.13,54.0,53.0,53.31,30.9747,280600.0,0.0,1.0
1998-03-26,53.0,53.06,52.44,52.81,30.6841,108600.0,0.0,1.0
1998-03-27,53.06,53.13,51.38,52.0,30.2135,205600.0,0.0,1.0
1998-03-30,52.0,52.88,52.0,52.5,30.504,128200.0,0.0,1.0
1998-03-31,52.75,53.38,52.69,53.38,31.0153,174300.0,0.0,1.0
1998-04-01,53.38,54.13,52.56,53.94,31.3407,435700.0,0.0,1.0
1998-04-02,53.75,55.0,53.13,55.0,31.9566,237000.0,0.0,1.0
1998-04-03,54.94,55.0,54.0,54.06,31.4104,125100.0,0.0,1.0
1998-04-06,54.25,54.25,53.94,54.0,31.3756,293400.0,0.0,1.0
1998-04-07,54.0,54.0,53.25,53.44,31.0502,134100.0,0.0,1.0
1998-04-08,53.44,53.81,53.31,53.63,31.1606,180400.0,0.0,1.0
1998-04-09,53.88,54.06,53.69,53.94,31.3407,145800.0,0.0,1.0
1998-04-13,53.94,54.0,53.13,53.31,30.9747,191800.0,0.0,1.0
1998-04-14,53.13,53.5,52.25,53.5,31.085,451200.0,0.0,1.0
1998-04-15,53.5,54.81,52.63,54.63,31.7416,235700.0,0.0,1.0
1998-04-16,54.38,54.81,54.06,54.63,31.7416,254200.0,0.0,1.0
1998-04-17,54.75,55.25,54.63,55.25,32.1018,186500.0,0.0,1.0
1998-04-20,55.0,55.31,54.38,55.31,32.1367,186500.0,0.0,1.0
1998-04-21,55.19,55.81,54.69,54.75,31.8113,253000.0,0.0,1.0
1998-04-22,54.5,54.5,53.63,54.0,31.3756,433700.0,0.0,1.0
1998-04-23,53.94,54.75,53.88,54.63,31.7416,439600.0,0.0,1.0
1998-04-24,54.69,55.13,54.69,54.94,31.9217,486200.0,0.0,1.0
1998-04-27,54.94,54.94,52.5,52.5,30.504,592200.0,0.0,1.0
1998-04-28,52.56,53.0,52.13,52.25,30.3588,337500.0,0.0,1.0
1998-04-29,52.5,52.63,51.88,52.5,30.504,249600.0,0.0,1.0
1998-04-30,52.63,53.0,52.25,52.38,30.4343,557800.0,0.0,1.0
1998-05-01,52.38,52.69,52.0,52.5,30.504,182200.0,0.0,1.0
1998-05-04,52.75,53.5,52.75,53.25,30.9398,174700.0,0.0,1.0
1998-05-05,53.5,53.5,52.13,52.75,30.6493,127900.0,0.0,1.0
1998-05-06,52.38,52.38,51.63,51.69,30.0334,110900.0,0.0,1.0
1998-05-07,51.88,51.88,50.19,50.81,29.5221,219300.0,0.0,1.0
1998-05-08,50.38,51.31,50.38,51.31,29.8126,148900.0,0.0,1.0
1998-05-11,51.31,51.44,50.88,50.94,29.5976,121600.0,0.0,1.0
1998-05-12,50.88,50.94,50.06,50.81,29.5221,118500.0,0.0,1.0
1998-05-13,50.94,51.38,50.69,51.19,29.7429,108900.0,0.0,1.0
1998-05-14,51.19,51.69,51.19,51.56,29.9579,96200.0,0.0,1.0
1998-05-15,51.38,51.44,50.0,50.31,29.2316,117300.0,0.0,1.0
1998-05-18,50.38,50.44,49.75,49.75,28.9062,117900.0,0.0,1.0
1998-05-19,50.0,50.13,49.56,49.75,28.9062,126300.0,0.0,1.0
1998-05-20,49.94,50.13,49.56,50.13,29.127,91000.0,0.0,1.0
1998-05-21,50.31,50.5,50.19,50.25,29.1967,122800.0,0.0,1.0
1998-05-22,50.25,51.25,50.25,51.06,29.6673,161500.0,0.0,1.0
1998-05-26,50.94,52.13,50.5,50.94,29.5976,392600.0,0.0,1.0
1998-05-27,51.06,51.06,50.25,50.63,29.4175,211800.0,0.0,1.0
1998-05-28,50.63,51.44,50.44,51.25,29.7777,210600.0,0.0,1.0
1998-05-29,51.38,51.94,51.31,51.81,30.1031,159800.0,0.0,1.0
1998-06-01,51.69,52.56,51.63,52.31,30.5156,214500.0,0.21,1.0
1998-06-02,52.5,54.0,52.38,53.25,31.064,239100.0,0.0,1.0
1998-06-03,53.25,53.56,51.94,52.13,30.4106,238000.0,0.0,1.0
1998-06-04,51.63,52.19,51.25,51.94,30.2998,275000.0,0.0,1.0
1998-06-05,52.0,53.06,51.56,53.06,30.9532,107400.0,0.0,1.0
1998-06-08,53.5,54.69,53.38,53.69,31.3207,197000.0,0.0,1.0
1998-06-09,53.56,54.94,53.56,54.38,31.7232,155200.0,0.0,1.0
1998-06-10,54.25,54.31,53.19,53.19,31.029,117600.0,0.0,1.0
1998-06-11,53.19,53.19,51.88,52.13,30.4106,150300.0,0.0,1.0
1998-06-12,52.13,52.13,50.81,51.63,30.119,119300.0,0.0,1.0
1998-06-15,51.25,51.25,49.5,49.5,28.8764,274000.0,0.0,1.0
