date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,28.75,28.94,28.5,28.81,28.81,319800.0,0.0,1.0
1998-01-05,1,28.88,28.94,28.13,28.13,28.13,1162800.0,0.0,1.0
1998-01-06,2,28.31,28.31,27.25,27.38,27.38,1123600.0,0.0,1.0
1998-01-07,3,27.44,27.56,27.06,27.25,27.25,519700.0,0.0,1.0
1998-01-08,4,27.31,27.75,26.88,27.06,27.06,577700.0,0.0,1.0
1998-01-09,5,26.94,26.94,25.31,26.0,26.0,1115400.0,0.0,1.0
1998-01-12,6,25.13,25.88,25.0,25.56,25.56,1647500.0,0.0,1.0
1998-01-13,7,25.75,25.75,23.75,24.31,24.31,3025200.0,0.0,1.0
1998-01-14,8,25.0,25.44,24.81,25.44,25.44,2202500.0,0.0,1.0
1998-01-15,9,26.13,27.06,25.88,26.69,26.69,1915000.0,0.0,1.0
1998-01-16,10,26.69,27.56,26.63,27.56,27.56,1266200.0,0.0,1.0
1998-01-20,11,27.63,27.94,27.25,27.44,27.44,1060300.0,0.0,1.0
1998-01-21,12,27.56,27.94,26.88,27.0,27.0,626800.0,0.0,1.0
1998-01-22,13,26.75,26.75,25.5,26.19,26.19,1089700.0,0.0,1.0
1998-01-23,14,26.25,26.38,25.5,26.0,26.0,804400.0,0.0,1.0
1998-01-26,15,26.38,26.5,26.06,26.31,26.31,354500.0,0.0,1.0
1998-01-27,16,26.56,27.19,26.5,26.75,26.75,595200.0,0.0,1.0
1998-01-28,17,27.0,27.44,26.94,27.38,27.38,315300.0,0.0,1.0
1998-01-29,18,27.31,27.75,27.31,27.69,27.69,376600.0,0.0,1.0
1998-01-30,19,27.5,27.68,27.25,27.44,27.44,247200.0,0.0,1.0
1998-02-02,20,27.69,28.25,27.69,28.0,28.0,470600.0,0.0,1.0
1998-02-03,21,28.19,28.69,28.0,28.38,28.38,405800.0,0.0,1.0
1998-02-04,22,28.63,28.69,28.44,28.63,28.63,402000.0,0.0,1.0
1998-02-05,23,28.63,29.44,28.31,29.38,29.38,746100.0,0.0,1.0
1998-02-06,24,29.5,29.63,29.13,29.5,29.5,354000.0,0.0,1.0
1998-02-09,25,29.5,29.81,29.31,29.56,29.56,493100.0,0.0,1.0
1998-02-10,26,29.81,29.81,29.19,29.38,29.38,502300.0,0.0,1.0
1998-02-11,27,29.38,29.63,29.19,29.63,29.63,831600.0,0.0,1.0
1998-02-12,28,29.63,30.06,29.38,30.0,30.0,540400.0,0.0,1.0
1998-02-13,29,29.88,30.13,29.69,29.88,29.88,776500.0,0.0,1.0
1998-02-17,30,30.0,30.5,29.94,30.25,30.25,444200.0,0.0,1.0
1998-02-18,31,30.0,30.19,29.75,30.0,30.0,517200.0,0.0,1.0
1998-02-19,32,30.0,30.38,29.88,30.31,30.31,515300.0,0.0,1.0
1998-02-20,33,30.06,30.13,29.69,29.88,29.88,958300.0,0.0,1.0
1998-02-23,34,29.94,29.94,29.63,29.75,29.75,629600.0,0.0,1.0
1998-02-24,35,29.75,29.75,29.0,29.31,29.31,456700.0,0.0,1.0
1998-02-25,36,29.31,29.5,29.25,29.44,29.44,267500.0,0.0,1.0
1998-02-26,37,29.31,29.44,29.13,29.13,29.13,295900.0,0.0,1.0
1998-02-27,38,29.13,30.63,29.06,30.25,30.25,1748300.0,0.0,1.0
1998-03-02,39,30.56,31.19,30.0,30.0,30.0,530100.0,0.0,1.0
1998-03-03,40,30.06,30.81,29.81,30.5,30.5,279900.0,0.0,1.0
1998-03-04,41,30.38,30.81,30.13,30.5,30.5,403400.0,0.0,1.0
1998-03-05,42,30.25,30.44,29.75,30.38,30.38,2604600.0,0.0,1.0
