date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,63.56,63.62,62.56,63.12,15.6044,202600.0,0.0,1.0
1998-01-05,63.0,63.19,62.56,62.94,15.5599,258100.0,0.0,1.0
1998-01-06,62.69,62.75,62.0,62.25,15.3893,302800.0,0.0,1.0
1998-01-07,62.0,62.0,60.5,61.38,15.1742,313300.0,0.0,1.0
1998-01-08,61.38,61.38,59.81,60.38,14.927,253500.0,0.0,1.0
1998-01-09,60.0,60.38,59.44,59.56,14.7243,491500.0,0.0,1.0
1998-01-12,58.0,59.19,58.0,59.0,14.5858,400200.0,0.0,1.0
1998-01-13,59.0,60.0,58.94,59.81,14.7861,182600.0,0.0,1.0
1998-01-14,59.94,60.19,59.5,60.19,14.9567,158100.0,0.31,1.0
1998-01-15,60.0,60.31,59.5,59.5,14.7852,155200.0,0.0,1.0
1998-01-16,59.5,59.81,59.44,59.56,14.8001,247300.0,0.0,1.0
1998-01-20,59.56,60.0,59.56,60.0,14.9094,223800.0,0.0,1.0
1998-01-21,60.0,60.0,58.75,59.19,14.7082,156700.0,0.0,1.0
1998-01-22,59.0,59.0,58.12,58.44,14.5218,200700.0,0.0,1.0
1998-01-23,58.62,58.81,57.88,58.06,14.4274,186100.0,0.0,1.0
1998-01-26,58.19,58.94,58.0,58.31,14.4895,131800.0,0.0,1.0
1998-01-27,58.25,59.25,58.25,58.88,14.6311,174100.0,0.0,1.0
1998-01-28,59.12,59.5,58.5,59.5,14.7852,161900.0,0.0,1.0
1998-01-29,59.0,60.25,59.0,59.5,14.7852,197400.0,0.0,1.0
1998-01-30,59.5,59.5,58.75,58.94,14.646,152500.0,0.0,1.0
1998-02-02,59.56,60.25,59.56,60.25,14.9716,273600.0,0.0,1.0
1998-02-03,60.25,60.94,59.69,60.94,15.143,136600.0,0.0,1.0
1998-02-04,60.69,60.69,59.88,60.12,14.9393,328600.0,0.0,1.0
1998-02-05,60.25,60.38,59.44,60.19,14.9567,124200.0,0.0,1.0
1998-02-06,60.38,61.94,60.38,61.88,15.3766,217300.0,0.0,1.0
1998-02-09,61.75,61.94,61.19,61.94,15.3915,133000.0,0.0,1.0
1998-02-10,61.94,62.44,61.94,62.12,15.4362,164600.0,0.0,1.0
1998-02-11,62.12,62.31,61.75,62.0,15.4064,75900.0,0.0,1.0
1998-02-12,61.81,62.06,61.25,61.88,15.3766,126100.0,0.0,1.0
1998-02-13,61.88,62.31,61.88,62.06,15.4213,111000.0,0.0,1.0
1998-02-17,62.5,62.88,62.38,62.75,15.5928,183900.0,0.0,1.0
1998-02-18,62.88,63.56,62.5,62.62,15.5605,232300.0,0.0,1.0
1998-02-19,62.62,62.94,62.0,62.25,15.4685,94100.0,0.0,1.0
1998-02-20,62.44,62.44,62.06,62.25,15.4685,142400.0,0.0,1.0
1998-02-23,62.5,62.5,61.5,62.31,15.4835,121200.0,0.0,1.0
1998-02-24,62.38,62.44,61.44,62.0,15.4064,114900.0,0.0,1.0
1998-02-25,62.25,62.69,61.44,61.69,15.3294,313400.0,0.0,1.0
1998-02-26,61.69,61.69,60.56,61.31,15.235,212700.0,0.0,1.0
1998-02-27,61.94,62.25,61.81,62.06,15.4213,248700.0,0.0,1.0
1998-03-02,62.06,62.06,61.19,61.56,15.2971,117700.0,0.0,1.0
1998-03-03,61.38,62.0,61.38,61.94,15.3915,197400.0,0.0,1.0
1998-03-04,62.0,62.12,61.38,61.5,15.2822,104500.0,0.0,1.0
1998-03-05,61.25,61.44,61.12,61.19,15.2051,109700.0,0.0,1.0
1998-03-06,61.06,62.56,61.0,61.88,15.3766,168600.0,0.0,1.0
1998-03-09,61.75,61.81,60.94,61.5,15.2822,103500.0,0.0,1.0
1998-03-10,61.75,62.5,61.69,62.44,15.5158,124600.0,0.0,1.0
1998-03-11,62.19,62.69,61.94,62.31,15.4835,87000.0,0.0,1.0
1998-03-12,62.31,63.69,62.31,63.56,15.7941,302100.0,0.0,1.0
1998-03-13,63.5,64.25,62.94,63.81,15.8562,373200.0,0.0,1.0
1998-03-16,64.06,65.0,64.06,65.0,16.1519,224500.0,0.0,1.0
1998-03-17,64.94,65.31,64.94,65.31,16.2289,192800.0,0.0,1.0
1998-03-18,65.31,65.31,64.88,65.06,16.1668,150500.0,0.0,1.0
1998-03-19,65.0,65.38,65.0,65.38,16.2463,51000.0,0.0,1.0
1998-03-20,65.44,65.75,65.31,65.5,16.2761,232100.0,0.0,1.0
1998-03-23,65.44,65.5,65.0,65.12,16.1817,154200.0,0.0,1.0
1998-03-24,65.0,66.38,65.0,66.25,16.4625,221300.0,0.0,1.0
1998-03-25,66.25,66.81,65.69,65.75,16.3383,237900.0,0.0,1.0
1998-03-26,65.69,66.56,65.62,66.31,16.4774,187400.0,0.0,1.0
1998-03-27,66.44,66.69,65.69,66.06,16.4153,203700.0,0.0,1.0
