date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,36.94,36.94,36.0,36.38,2.8931,353400.0,0.0,1.0
1998-01-05,1,37.88,38.94,37.88,38.13,3.0322,570300.0,0.0,1.0
1998-01-06,2,38.0,38.0,37.44,37.88,3.0124,206600.0,0.0,1.0
1998-01-07,3,40.0,42.38,39.88,41.75,3.3201,1448500.0,0.0,1.0
1998-01-08,4,41.5,43.06,41.0,42.25,3.3599,719600.0,0.0,1.0
1998-01-09,5,42.0,42.31,40.5,40.75,3.2406,826300.0,0.0,1.0
1998-01-12,6,39.75,43.44,39.5,43.44,3.4545,989200.0,0.0,1.0
1998-01-13,7,43.63,43.94,43.38,43.44,3.4545,467800.0,0.0,1.0
1998-01-14,8,43.5,44.56,43.13,44.56,3.5436,600000.0,0.0,1.0
1998-01-15,9,44.31,45.88,44.19,45.5,3.6183,684400.0,0.0,1.0
1998-01-16,10,45.5,46.5,45.38,45.75,3.6382,539300.0,0.0,1.0
1998-01-20,11,45.75,46.25,45.75,46.0,3.6581,311300.0,0.0,1.0
1998-01-21,12,46.13,47.0,45.75,46.75,3.7177,429700.0,0.0,1.0
1998-01-22,13,46.75,49.56,46.63,49.13,3.907,839400.0,0.0,1.0
1998-01-23,14,49.13,49.88,48.13,49.0,3.8967,895900.0,0.0,1.0
1998-01-26,15,48.88,48.94,47.5,47.5,3.7774,392000.0,0.0,1.0
1998-01-27,16,47.25,48.75,46.5,48.75,3.8768,560300.0,0.0,1.0
1998-01-28,17,48.75,49.38,47.75,47.94,3.8124,400000.0,0.0,1.0
1998-01-29,18,47.5,49.81,47.19,48.06,3.8219,509000.0,0.0,1.0
1998-01-30,19,48.19,50.75,48.0,50.75,4.0358,593800.0,0.0,1.0
1998-02-02,20,51.63,52.0,50.94,52.0,4.1352,733600.0,0.0,1.0
1998-02-03,21,52.0,54.5,52.0,54.13,4.3046,1236000.0,0.0,1.0
1998-02-04,22,54.0,55.5,52.81,55.19,4.3889,846800.0,0.0,1.0
1998-02-05,23,56.25,57.13,55.75,56.94,4.5281,1325700.0,0.0,1.0
1998-02-06,24,57.0,57.0,54.25,54.25,4.3142,676600.0,0.0,1.0
1998-02-09,25,54.38,54.44,53.44,53.69,4.2696,536800.0,0.0,1.0
1998-02-10,26,53.75,55.0,53.69,53.81,4.2792,519400.0,0.0,1.0
1998-02-11,27,55.75,58.0,55.44,57.88,4.6028,1085200.0,0.0,1.0
1998-02-12,28,57.75,57.75,56.75,57.44,4.5678,635100.0,0.0,1.0
1998-02-13,29,56.88,56.88,56.13,56.19,4.4684,358900.0,0.0,1.0
1998-02-17,30,55.94,56.88,55.5,56.38,4.4836,392200.0,0.0,1.0
1998-02-18,31,56.44,56.56,55.75,56.13,4.4637,282500.0,0.0,1.0
1998-02-19,32,55.88,55.88,53.5,54.56,4.3388,969100.0,0.0,1.0
1998-02-20,33,54.38,54.38,53.44,53.75,4.2744,469300.0,0.0,1.0
1998-02-23,34,54.63,57.0,54.63,57.0,4.5329,1032400.0,0.0,1.0
1998-02-24,35,56.75,56.75,55.56,55.75,4.4335,541200.0,0.0,1.0
1998-02-25,36,56.0,58.63,56.0,58.31,4.637,714700.0,0.0,1.0
1998-02-26,37,58.75,59.44,58.19,58.94,4.6871,966700.0,0.0,1.0
1998-02-27,38,59.19,61.19,59.0,59.56,4.7364,909100.0,0.0,1.0
1998-03-02,39,59.69,60.31,59.31,59.38,4.7221,371400.0,0.0,1.0
1998-03-03,40,59.44,61.13,58.94,60.94,4.8462,641000.0,0.0,1.0
1998-03-04,41,62.13,68.44,62.13,67.19,5.3432,1962800.0,0.0,1.0
1998-03-05,42,66.13,66.94,63.19,63.94,5.0848,1208600.0,0.0,1.0
1998-03-06,43,65.38,67.0,65.25,66.0,5.2486,1483500.0,0.0,1.0
1998-03-09,44,66.06,67.88,65.63,66.75,5.3082,1089000.0,0.0,1.0
1998-03-10,45,67.0,67.44,64.0,64.0,5.0895,1130500.0,0.0,1.0
1998-03-11,46,64.25,64.88,61.25,63.5,5.0498,1146900.0,0.0,1.0
