date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,34.38,34.5,33.0,33.87,5.645,221400.0,0.0,1.0
1998-01-05,1,34.12,34.38,32.75,34.0,5.6667,125500.0,0.0,1.0
1998-01-06,2,33.5,35.25,33.5,35.0,5.8333,273700.0,0.0,1.0
1998-01-07,3,35.0,36.0,34.0,34.25,5.7083,493300.0,0.0,1.0
1998-01-08,4,35.13,35.88,34.5,35.25,5.875,353400.0,0.0,1.0
1998-01-09,5,35.5,36.0,34.75,35.94,5.99,253500.0,0.0,1.0
1998-01-12,6,35.5,36.0,34.5,35.0,5.8333,277600.0,0.0,1.0
1998-01-13,7,35.0,37.62,35.0,37.38,6.23,575100.0,0.0,1.0
1998-01-14,8,36.56,39.0,36.5,39.0,6.5,968200.0,0.0,1.0
1998-01-15,9,39.0,40.25,38.75,39.25,6.5417,460500.0,0.0,1.0
1998-01-16,10,40.0,40.0,37.38,38.75,6.4583,161600.0,0.0,1.0
1998-01-20,11,39.12,43.25,38.88,43.25,7.2083,1087100.0,0.0,1.0
1998-01-21,12,42.75,43.25,41.5,42.38,7.0633,458200.0,0.0,1.0
1998-01-22,13,41.75,42.5,41.62,42.0,7.0,173500.0,0.0,1.0
1998-01-23,14,42.38,42.38,41.5,42.0,7.0,463900.0,0.0,1.0
1998-01-26,15,42.0,42.0,41.0,41.0,6.8333,109200.0,0.0,1.0
1998-01-27,16,41.0,42.0,40.0,41.56,6.9267,173900.0,0.0,1.0
1998-01-28,17,41.94,42.87,41.31,42.75,7.125,187100.0,0.0,1.0
1998-01-29,18,42.5,44.25,41.62,42.87,7.145,327700.0,0.0,1.0
1998-01-30,19,42.19,42.63,41.13,41.75,6.9583,395100.0,0.0,1.0
1998-02-02,20,42.25,44.5,42.25,43.12,7.1867,521500.0,0.0,1.0
1998-02-03,21,43.0,43.62,42.0,42.5,7.0833,153700.0,0.0,1.0
1998-02-04,22,42.87,43.38,41.75,42.5,7.0833,198900.0,0.0,1.0
1998-02-05,23,43.0,44.5,40.5,41.5,6.9167,512000.0,0.0,1.0
1998-02-06,24,41.37,42.0,40.56,41.75,6.9583,347500.0,0.0,1.0
1998-02-09,25,41.25,43.88,41.25,43.38,7.23,454800.0,0.0,1.0
1998-02-10,26,43.5,44.37,42.75,43.88,7.3133,387900.0,0.0,1.0
1998-02-11,27,43.88,43.88,42.25,42.5,7.0833,433600.0,0.0,1.0
1998-02-12,28,43.0,43.0,41.25,42.5,7.0833,265500.0,0.0,1.0
1998-02-13,29,41.88,44.62,41.75,43.75,7.2917,279300.0,0.0,1.0
1998-02-17,30,44.0,45.25,42.87,43.5,7.25,321400.0,0.0,1.0
1998-02-18,31,43.5,45.12,43.25,44.88,7.48,243500.0,0.0,1.0
1998-02-19,32,44.81,45.12,44.25,44.88,7.48,322600.0,0.0,1.0
1998-02-20,33,44.37,44.88,43.38,44.5,7.4167,149500.0,0.0,1.0
1998-02-23,34,44.13,44.75,42.75,43.5,7.25,146900.0,0.0,1.0
1998-02-24,35,43.0,43.62,40.5,41.81,6.9683,1335700.0,0.0,1.0
1998-02-25,36,42.0,43.5,41.75,43.5,7.25,218000.0,0.0,1.0
1998-02-26,37,43.25,44.0,42.75,44.0,7.3333,158900.0,0.0,1.0
1998-02-27,38,44.75,46.62,44.62,45.38,7.5633,496200.0,0.0,1.0
1998-03-02,39,45.75,47.37,42.75,43.0,7.1667,1174100.0,0.0,1.0
1998-03-03,40,43.12,43.25,40.25,41.13,6.855,1236200.0,0.0,1.0
1998-03-04,41,41.25,42.12,39.0,39.25,6.5417,691700.0,0.0,1.0
1998-03-05,42,40.62,41.75,40.38,41.25,6.875,598000.0,0.0,1.0
1998-03-06,43,42.0,43.25,42.0,43.25,7.2083,335200.0,0.0,1.0
1998-03-09,44,44.13,45.0,41.5,42.0,7.0,405200.0,0.0,1.0
1998-03-10,45,42.12,44.13,42.12,44.0,7.3333,237500.0,0.0,1.0
1998-03-11,46,44.25,45.38,43.56,44.88,7.48,388600.0,0.0,1.0
1998-03-12,47,45.12,45.75,43.75,45.44,7.5733,399400.0,0.0,1.0
1998-03-13,48,45.87,46.0,44.31,45.25,7.5417,279600.0,0.0,1.0
1998-03-16,49,46.12,46.12,44.25,44.5,7.4167,172600.0,0.0,1.0
1998-03-17,50,44.75,45.75,44.0,45.19,7.5317,281900.0,0.0,1.0
1998-03-18,51,45.12,45.5,45.0,45.5,7.5833,106500.0,0.0,1.0
1998-03-19,52,44.88,45.75,44.88,45.5,7.5833,114400.0,0.0,1.0
1998-03-20,53,44.88,45.63,44.88,45.5,7.5833,119300.0,0.0,1.0
1998-03-23,54,45.63,46.75,44.94,45.38,7.5633,451700.0,0.0,1.0
1998-03-24,55,44.88,46.0,44.25,45.12,7.52,331100.0,0.0,1.0
1998-03-25,56,45.38,45.38,44.0,44.62,7.4367,102200.0,0.0,1.0
1998-03-26,57,44.62,45.0,44.0,44.44,7.4067,72300.0,0.0,1.0
1998-03-27,58,44.44,44.88,43.5,43.69,7.2817,129000.0,0.0,1.0
1998-03-30,59,43.38,43.62,42.25,43.0,7.1667,316700.0,0.0,1.0
1998-03-31,60,43.56,44.62,42.75,44.25,7.375,338300.0,0.0,1.0
1998-04-01,61,44.44,45.0,43.94,44.62,7.4367,224400.0,0.0,1.0
