date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-03-31,0,75.25,86.25,73.0,82.88,497.28,7937400.0,0.0,1.0
1999-04-01,1,91.75,92.0,79.25,80.5,483.0,2899200.0,0.0,1.0
1999-04-05,2,83.5,84.0,72.5,75.13,450.78,1949400.0,0.0,1.0
1999-04-06,3,75.38,80.69,70.0,79.0,474.0,2123400.0,0.0,1.0
1999-04-07,4,80.13,81.25,73.75,74.5,447.0,939600.0,0.0,1.0
1999-04-08,5,74.5,75.13,70.63,72.5,435.0,886200.0,0.0,1.0
1999-04-09,6,72.0,76.0,67.75,74.0,444.0,851400.0,0.0,1.0
1999-04-12,7,70.13,79.25,69.0,76.56,459.36,1096800.0,0.0,1.0
1999-04-13,8,78.75,85.88,77.25,81.5,489.0,1440000.0,0.0,1.0
1999-04-14,9,92.38,99.25,85.0,93.13,558.78,3767400.0,0.0,1.0
1999-04-15,10,94.0,94.0,76.5,79.88,479.28,2034600.0,0.0,1.0
1999-04-16,11,81.0,85.0,73.0,81.38,488.28,1059600.0,0.0,1.0
1999-04-19,12,81.75,82.0,58.0,59.88,359.28,1374600.0,0.0,1.0
1999-04-20,13,59.88,69.0,58.0,67.63,405.78,1584600.0,0.0,1.0
1999-04-21,14,71.5,76.0,67.63,74.5,447.0,902400.0,0.0,1.0
1999-04-22,15,81.06,81.75,73.5,76.38,458.28,873600.0,0.0,1.0
1999-04-23,16,86.06,95.75,82.0,88.0,528.0,4450200.0,0.0,1.0
1999-04-26,17,104.44,121.44,100.75,120.75,724.5,8113800.0,0.0,1.0
1999-04-27,18,123.13,140.0,120.13,129.69,778.14,7180200.0,0.0,1.0
1999-04-28,19,124.94,134.44,116.0,121.0,726.0,2692800.0,0.0,1.0
1999-04-29,20,115.06,138.88,115.0,137.82,826.92,4331400.0,0.0,1.0
1999-04-30,21,151.5,165.0,135.0,162.38,974.28,5072400.0,0.0,1.0
1999-05-03,22,152.44,158.88,138.88,139.25,835.5,5239800.0,0.0,1.0
1999-05-04,23,142.63,150.0,130.63,134.0,804.0,4156200.0,0.0,1.0
1999-05-05,24,141.19,152.0,120.13,151.19,907.14,7584000.0,0.0,1.0
1999-05-06,25,148.0,152.0,137.88,139.44,836.64,3792000.0,0.0,1.0
1999-05-07,26,144.25,144.32,129.63,130.66,783.96,3417600.0,0.0,1.0
1999-05-10,27,128.0,131.88,121.0,128.0,768.0,2694600.0,0.0,1.0
1999-05-11,28,134.5,134.75,123.0,123.0,738.0,1718400.0,0.0,1.0
1999-05-12,29,122.75,129.0,122.0,126.0,756.0,1443000.0,0.0,1.0
1999-05-13,30,129.88,132.0,121.0,121.5,729.0,1122600.0,0.0,1.0
1999-05-14,31,120.0,134.5,119.0,132.82,796.92,4755600.0,0.0,1.0
1999-05-17,32,131.5,132.32,124.0,131.75,790.5,2048400.0,0.0,1.0
1999-05-18,33,131.25,139.75,127.69,136.13,816.78,2511000.0,0.0,1.0
1999-05-19,34,136.75,144.25,134.75,142.5,855.0,1359000.0,0.0,1.0
1999-05-20,35,144.94,145.0,131.13,134.38,806.28,1046400.0,0.0,1.0
1999-05-21,36,145.32,145.75,137.0,138.94,833.64,3322200.0,0.0,1.0
1999-05-24,37,138.25,138.88,121.13,125.35,752.1,1887600.0,0.0,1.0
1999-05-25,38,121.0,129.38,103.0,104.0,624.0,3243600.0,0.0,1.0
1999-05-26,39,108.5,115.0,97.0,113.78,682.68,4146600.0,0.0,1.0
1999-05-27,40,112.75,117.0,109.06,110.81,664.86,1641600.0,0.0,1.0
1999-05-28,41,107.0,112.25,106.0,112.03,672.18,1168800.0,0.0,1.0
1999-06-01,42,109.63,110.5,97.5,99.44,596.64,2123400.0,0.0,1.0
1999-06-02,43,96.25,105.69,89.13,92.91,557.46,4488000.0,0.0,1.0
1999-06-03,44,93.38,95.88,84.0,84.13,504.78,2690400.0,0.0,1.0
1999-06-04,45,84.5,92.25,83.38,90.31,541.86,2590800.0,0.0,1.0
1999-06-07,46,92.5,109.5,91.63,101.5,609.0,4428600.0,0.0,1.0
1999-06-08,47,104.88,111.0,101.63,104.25,625.5,3361200.0,0.0,1.0
1999-06-09,48,106.63,108.88,102.88,105.0,630.0,1348200.0,0.0,1.0
1999-06-10,49,100.69,104.13,100.0,102.25,613.5,1743000.0,0.0,1.0
1999-06-11,50,104.0,106.25,95.0,95.69,574.14,1609800.0,0.0,1.0
1999-06-14,51,94.0,94.0,76.5,76.88,461.28,3205800.0,0.0,1.0
1999-06-15,52,76.13,84.31,74.75,78.44,470.64,3265200.0,0.0,1.0
1999-06-16,53,85.0,90.0,83.75,88.5,531.0,3132600.0,0.0,1.0
1999-06-17,54,87.5,95.0,83.69,88.94,533.64,2634000.0,0.0,1.0
1999-06-18,55,91.38,95.19,91.0,94.0,564.0,1546800.0,0.0,1.0
1999-06-21,56,95.75,109.25,95.25,106.31,637.86,2908800.0,0.0,1.0
1999-06-22,57,109.06,119.44,105.75,108.75,652.5,4596600.0,0.0,1.0
1999-06-23,58,104.0,113.94,104.0,110.88,665.28,2613000.0,0.0,1.0
1999-06-24,59,108.25,109.5,102.0,102.0,612.0,1884600.0,0.0,1.0
1999-06-25,60,105.44,107.38,95.5,95.75,574.5,2282400.0,0.0,1.0
1999-06-28,61,99.0,105.63,92.0,105.5,633.0,2666400.0,0.0,1.0
1999-06-29,62,103.13,111.0,102.44,107.5,645.0,2306400.0,0.0,1.0
1999-06-30,63,106.25,119.0,104.25,115.56,693.36,2624400.0,0.0,1.0
1999-07-01,64,116.88,118.38,107.25,107.5,645.0,1977000.0,0.0,1.0
1999-07-02,65,109.0,113.5,109.0,111.5,669.0,1101600.0,0.0,1.0
1999-07-06,66,113.56,117.19,112.0,112.0,672.0,1885200.0,0.0,1.0
